Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
1271696,2,ALDERMAN,STACKS,"AM1 .A5 no.18, 1958",1958,Museum security /,"Howard, Richard Foster.",X004456929,BOOK,6/30/96,6/14/07,STACKS,0,0,0,1,1
1274461,2,ALDERMAN,STACKS,AM1 .E9 1969,1969,"Exploration of the ways, means, and values of museum communication with the viewing public.",,X000876776,BOOK,6/30/96,3/9/17,STACKS,0,0,0,3,1
1786519,2,ALDERMAN,STACKS,AM1 .M5 no.2 1961,1961,"Bibliography of museums and museum work, 1900-61 : Supplementary volume /",Milwaukee Public Museum.,X030221969,BOOK,6/30/96,6/18/07,STACKS,0,0,0,0,1
4611311,2,ALDERMAN,STACKS,AM101 .A5 P4 1948,1948,Amgueddfeydd gwerin : Folk museums.,"Peate, Iorwerth Cyfeiliog,",X030280111,BOOK,7/25/07,7/27/07,STACKS,0,0,0,0,1
2798154,2,ALDERMAN,STACKS,AM101 .B5 I46 1997,1997,Immer wieder Heimat : 100 Jahre Heimatmuseum Neukˆlln /,,X004241095,BOOK,5/28/98,6/14/07,STACKS,0,0,0,2,1
1262799,2,ALDERMAN,STACKS,AM101 .B85 1856,1856,Synopsis of the contents of the British museum.,British Museum.,X001091566,BOOK,6/30/96,10/28/15,STACKS,0,0,0,1,1
1272989,2,ALDERMAN,STACKS,AM101 .B85 1890,1890,A guide to the exhibition galleries of the British museum (Bloomsbury)...,British Museum.,X030222209,BOOK,6/30/96,6/21/07,STACKS,0,0,1,1,1
1272989,2,ALDERMAN,STACKS,AM101 .B85 1892,1890,A guide to the exhibition galleries of the British museum (Bloomsbury)...,British Museum.,X001091550,BOOK,9/6/07,9/6/07,STACKS,0,0,1,0,1
1216855,2,ALDERMAN,STACKS,AM101 .B87 M63 1973,1973,That noble cabinet : a history of the British Museum /,"Miller, Edward,",X001083795,BOOK,6/30/96,10/17/10,STACKS,0,0,3,24,1
794446,2,ALDERMAN,STACKS,AM101 .C63 M3,1908,"The Charleston Museum, its genesis and development,","Mazˇck, William Gaillard,",X001244268,BOOK,6/29/96,3/24/17,STACKS,1,0,2,6,1
