Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
2395689,2,ALDERMAN,STACKS,DC100 .A94 1994,1994,Charles V : le Sage /,"Autrand, FranÁoise.",X002604633,BOOK,7/1/96,5/12/15,STACKS,1,10,0,15,1
162618,2,ALDERMAN,STACKS,DC100 .C3 1979,1979,Charles V /,"Calmette, Joseph,",X000274226,BOOK,6/28/96,11/21/11,STACKS,0,0,1,10,1
945469,2 14,ALDERMAN,STACKS,DC100 .L4 1966 t.4,1966,"Jean de France, duc de Berri, sa vie, son action politique (1340-1416) ...","Lehoux, FranÁoise.",X030475297,BOOK,11/1/17,1/1/00,STACKS,0,0,0,0,1
2727957,2,ALDERMAN,STACKS,DC100 .P5 1997,1997,Le livre des faits et bonnes moeurs du roi Charles V le Sage /,"Christine,",X006044263,BOOK,10/22/97,3/17/15,STACKS,0,0,2,6,1
406981,2,ALDERMAN,STACKS,DC100 .P5 t.1-2,1936,"Le livre des fais et bonnes meurs du sage roy Charles V,","Christine,",X002303756,BOOK,6/28/96,11/6/13,CHECKEDOUT,0,7,0,17,1
406981,2,ALDERMAN,STACKS,DC100 .P5 t.2,1936,"Le livre des fais et bonnes meurs du sage roy Charles V,","Christine,",X002263696,BOOK,6/28/96,11/6/13,CHECKEDOUT,0,6,0,15,1
38226,2,ALDERMAN,STACKS,DC100 .Q85 1984,1984,"Charles V, le roi lettrÈ : essai sur la pensÈe politique d'un rËgne /","Quillet, Jeannine.",X000789829,BOOK,6/28/96,1/28/17,STACKS,2,0,0,4,1
3585958,2,ALDERMAN,STACKS,DC100.7 .B47 A87 2000,2000,Jean de Berry : l'art et le pouvoir /,"Autrand, FranÁoise.",X004545629,BOOK,11/29/00,7/25/14,CHECKEDOUT,1,0,0,5,1
91830,2,ALDERMAN,STACKS,DC100.7 .B69 L45,1985,"Le livre des fais du bon messire Jehan le Maingre, dit Bouciquaut, Mareschal de France et Gouverneur de Jennes.",,X001023495,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
136805,2,ALDERMAN,STACKS,DC101 .A2 F3 1965,1965,MÈmoires de Pierre de Fenin : comprenant le rÈcit des ÈvÈnements qui se sont passÈs en France et en Bourgogne sous les rËgnes de Charles VI et Charles VII (1407-1427) /,"Fenin, Pierre de,",X001098231,BOOK,6/28/96,1/5/11,STACKS,0,0,1,0,1
502253,2,ALDERMAN,STACKS,DC101 .A2 J68 1975,1975,"Journal d'un bourgeois de Paris, 1405-1449 /",,X000047628,BOOK,6/29/96,2/20/13,STACKS,0,0,1,3,1
266093,2,ALDERMAN,STACKS,DC101 .A2 L4 v.1,1876,"Chronique de Jean Le FÈvre, seigneur de Saint-Remy,","Le FËvre, Jean,",X000423803,BOOK,6/28/96,12/8/98,STACKS,0,0,0,1,1
