Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
2413317,2,ALDERMAN,STACKS,DE1 .A28 v.1,1988,East and west : cultural relations in the ancient world /,,X002642519,BOOK,7/1/96,11/20/02,STACKS,0,0,5,3,1
2381198,2,ALDERMAN,STACKS,DE1 .A28 v.5,1993,Aspects of Hellenism in Italy : towards a cultural unity? /,,X002600173,BOOK,7/1/96,4/25/14,STACKS,0,0,2,5,1
189564,2 14,ALDERMAN,STACKS,DE1 .C3 v.1 no.1,1929,"New aspects of the Menon painter,","Smith, H. R. W. (Henry Roy William),",X000868488,BOOK,6/28/96,8/29/17,STACKS,0,0,0,1,1
420892,2,ALDERMAN,STACKS,DE1 .C3 v.1 no.2,1930,"The ""armed Aphrodite"" on Acrocorinth and the Aphrodite of Capua,","Broneer, Oscar,",X000868490,BOOK,6/29/96,11/17/11,STACKS,0,0,0,3,1
421376,2,ALDERMAN,STACKS,DE1 .C3 v.1 no.3,1932,"The origin of Chalcidian ware,","Smith, H. R. W. (Henry Roy William),",X000868487,BOOK,6/29/96,1/26/11,STACKS,0,0,0,2,1
2357763,2,ALDERMAN,STACKS,"DE1 .C3 v.1 no.6-7,12",1937,"On the Athenian theater before 441 B.C.,","Allen, James Turney,",X002540086,BOOK,7/1/96,1/26/11,STACKS,0,0,0,3,1
331299,2,ALDERMAN,STACKS,DE1 .C3 v.2 no.3,1977,Supralineate abbreviations in Latin inscriptions /,"Gordon, Arthur E. (Arthur Ernest),",X000049660,BOOK,6/28/96,1/26/11,STACKS,0,0,0,0,1
2269393,2,ALDERMAN,STACKS,DE1 .C3 v.2 no.5 1952,1952,"Quintus Veranius, consul A.D. 49; a study based upon his recently identified sepulchral inscription.","Gordon, Arthur E. (Arthur Ernest),",X002399892,BOOK,7/1/96,10/31/17,STACKS,0,0,1,4,1
2269394,2,ALDERMAN,STACKS,DE1 .C3 v.3 no.1 1946,1946,"The figure of Dionysos on the Siphnian frieze,","Lenzen, Victor Fritz,",X002589159,BOOK,7/1/96,10/31/17,STACKS,0,0,1,9,1
2269395,2,ALDERMAN,STACKS,DE1 .C3 v.3 no.3 1957,1957,"Contributions to the palaeography of Latin inscriptions,","Gordon, Joyce Anna (Stiefbold)",X002399890,BOOK,7/1/96,10/31/17,STACKS,0,0,1,0,1
2269396,2,ALDERMAN,STACKS,DE1 .C3 v.4 no.4,1963,Ancient Athenian calendars on stone.,"Pritchett, W. Kendrick (William Kendrick),",X000836390,BOOK,7/1/96,1/26/11,STACKS,0,0,0,0,1
2465223,2,ALDERMAN,STACKS,DE1 .L58 1993,1993,Tria Lustra: Essays and notes presented to John Pinsent founder and editor of Liverpool Classical Monthly by some of its contributors on the occasion of the 150th issue/,,X002712204,BOOK,7/1/96,2/6/18,STACKS,1,0,20,18,1
3788591,2,ALDERMAN,STACKS,DE1 .S9 v.2 2000,1998,Syggraph? : materiali e appunti per lo studio della storia e della letteratura antica /,,X004562878,BOOK,10/31/01,1/26/11,STACKS,0,0,1,1,1
954652,2,ALDERMAN,STACKS,DE10 .D5 1932 v.3,1932,"The legacy of Alexander; a history of the Greek world from 323 to 146 B. C.,","Cary, M. (Max),",X031871093,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
7277300,2,ALDERMAN,STACKS,DE10 .M34 1920,1920,L'antiquite : orient-Grece-Rome : redige conformement aux programmes du 3i mai 1902,"Malet, Albert",X031871278,BOOK,11/2/17,1/1/00,STACKS,0,0,0,0,1
308438,2,ALDERMAN,STACKS,DE10 .R6 1928,1928,"The story of Greece and Rome; their growth and their legacy to our western world,","Robertson, John Charles,",X000236956,BOOK,6/28/96,4/22/97,STACKS,0,0,0,2,1
2647742,2,ALDERMAN,STACKS,DE100 .C35 1996,1996,Navigating regional dynamics in the post-cold war world : patterns of relations in the Mediterranean area /,"Calleya, Stephen C.",X004045878,BOOK,2/4/97,1/1/00,STACKS,0,0,0,0,1
610080,2,ALDERMAN,STACKS,DE100 .C66 1972,1974,"The Western Mediterranean: its political, economic, and strategic importance.",Conference on the Western Mediterranean,X000493728,BOOK,6/29/96,1/1/00,STACKS,0,0,1,1,1
2410574,2,ALDERMAN,STACKS,DE100 .C665 no.12,1994,GÈopolitique des mouvements islamistes en MÈditerranÈe /,,X002627666,BOOK,7/1/96,1/1/00,STACKS,0,0,0,1,1
1994349,2,ALDERMAN,STACKS,DE100 .C665 no.3,1992,"Maghreb, la dÈmocratie entre parenthËses? ; Confluences culturelles /",,X002134067,BOOK,6/30/96,1/1/00,STACKS,0,0,0,1,1
2297820,2,ALDERMAN,STACKS,DE100 .C665 no.8,1993,"Balkans, l'implosion? /",,X002480221,BOOK,7/1/96,4/26/00,STACKS,0,0,0,2,1
141425,2,ALDERMAN,STACKS,DE100 .C67 1983,1983,The Contemporary Mediterranean world /,,X000505218,BOOK,6/28/96,10/23/01,STACKS,0,0,1,2,1
4409057,2,ALDERMAN,STACKS,DE100 .C675 2006,2006,The convergence of civilizations : constructing a Mediterranean Region /,,X030107906,BOOK,10/25/06,5/20/13,STACKS,1,0,1,5,1
1379812,2,ALDERMAN,STACKS,DE100 .C76 1988,1988,GÈopolitique de la MÈditerranÈe /,"Crouzatier, Jean-Marie.",X001617343,BOOK,6/30/96,1/1/00,STACKS,0,0,0,1,1
5213188,2,ALDERMAN,STACKS,DE100 .D48 2010,2010,Deux MÈditerranÈes : les voies de la mondialisation et de l'autonomie /,,X030781184,BOOK,9/8/10,6/14/11,STACKS,0,0,0,10,1
2232921,2,ALDERMAN,STACKS,DE100 .G46 1993,1993,"GenËse de l'Etat moderne en MÈditerranÈe : approches historique et anthropologique des pratiques et des reprÈsentations : actes des tables rondes internationales tenues ‡ Paris les 24, 25 et 26 septembre 1987 et les 18 et 19 mars 1988.",,X002303396,BOOK,7/1/96,1/1/00,STACKS,0,0,0,1,1
377181,2 17,ALDERMAN,STACKS,DE100 .L49,1976,The strategic balance in the Mediterranean /,"Lewis, Jesse W. (Jesse Walter),",X000529677,BOOK,7/1/96,1/1/00,STACKS,0,0,0,0,1
244616,2,ALDERMAN,STACKS,DE100 .M36,1977,al-Ba?r al-Abya? al-Mutawassi? f? al-istir?tij?yah al-dawl?yah /,"Miqlad, Ism???l ?abr?.",X001100011,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
2395835,2,ALDERMAN,STACKS,DE100 .M42 1994 v.1,1994,Mediterranean politics /,,X002588659,BOOK,7/1/96,1/1/00,STACKS,0,0,1,0,1
2395835,2,ALDERMAN,STACKS,DE100 .M42 1994 v.2,1994,Mediterranean politics /,,X004340705,BOOK,11/17/99,1/1/00,STACKS,0,0,0,0,1
20541,2,ALDERMAN,STACKS,DE100 .M43 1984,1984,The Mediterranean region : economic interdependence and the future of security /,,X000690663,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,1
