Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
2266289,2,ALDERMAN,STACKS,DR1 .B365 sb.2,1993,Simvolicheski? i?azyk tradit?sionno? kul?tury  /,,X002455794,BOOK,7/1/96,5/11/99,STACKS,0,0,0,2,1
2387361,2,ALDERMAN,STACKS,DR1 .B365 sb.3,1994,Lingvo-?tnokul?turnai?a istorii?a Balkan i Vostochno? Evropy : tezisy i materialy simpoziuma /,,X006035866,BOOK,7/1/96,3/1/11,STACKS,0,0,0,1,1
958996,2,ALDERMAN,STACKS,DR1 .B4 1966,1966,Beitr‰ge zur S¸dosteuropa-Forschung.,,X002403690,BOOK,6/29/96,1/1/00,STACKS,0,0,0,2,1
2526967,2,ALDERMAN,STACKS,DR1 .B45 Bd.14,1969,Die Eroberung von Kasan 1552 als Gegenstand der zeitgenˆssischen russischen Historiographie /,,X002705528,BOOK,7/1/96,3/1/11,STACKS,0,0,0,0,1
2503052,2,ALDERMAN,STACKS,DR1 .B45 Bd.16,1972,Die sowjetische Politik auf dem Gebiet der bildenden Kunst von 1917 [neunzehnhundertsiebzehn] bis 1934 [neunzehnhundertvierunddreissig] /,"Drengenberg, Hans-J¸rgen,",X002708599,BOOK,7/1/96,1/1/00,STACKS,0,0,0,0,1
2503053,2,ALDERMAN,STACKS,DR1 .B45 Bd.17-18 1973,1973,Politische und gesellschaftliche Vorstellungen in der Aufstandsbewegung unter Pugacev (1773-1775).,"Peters, Dorothea.",X002708601,BOOK,7/1/96,11/7/17,STACKS,0,0,1,0,1
2499059,2,ALDERMAN,STACKS,DR1 .B45 Bd.19-20 1973,1973,"Die Petersburger religiˆs-philosophischen Vereinigungen : die Entwicklung d. religiˆsen Selbstverst‰ndnisses ihrer Intelligencija-Mitglieder, (1901-1917) /","Scherrer, Jutta.",X002694570,BOOK,7/1/96,11/7/17,STACKS,0,0,1,0,1
2499049,2,ALDERMAN,STACKS,DR1 .B45 Bd.22-23 1975-1976,1975,Die Struktur der russischen Posadgemeinden und der Katalog der Beschwerden und Forderungen der Kaufmannschaft (1762-1767) /,"Knabe, Bernd.",X002708607,BOOK,7/1/96,11/7/17,STACKS,0,0,0,0,1
2499039,2,ALDERMAN,STACKS,DR1 .B45 Bd.24-26,1978,"Beitr‰ge zur 3. Internationalen Konferenz ¸ber altrussische Geschichte. (Oxford, 1.-4. 9. 1975) /",Internationale Konferenz ¸ber Altrussische Geschichte,X002708603,BOOK,7/1/96,3/1/11,STACKS,0,0,0,0,1
2499032,2,ALDERMAN,STACKS,DR1 .B45 Bd.27,1980,"Beitr‰ge zur 4. Internationalen Konferenz ¸ber Altrussische Geschichte. Begunov, ""Weisse Rus"" /",Internationale Konferenz ¸ber Altrussische Geschichte,X002694520,BOOK,7/1/96,3/1/11,STACKS,0,0,0,0,1
