Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
2263193,2,ALDERMAN,STACKS,DT 07.2 .M8 A25 1986 v.1,1986,al-Maq?l?t /,"Mu??af· K?mil,",X002609084,BOOK,7/1/96,4/2/12,STACKS,0,0,0,0,1
2765085,2,ALDERMAN,STACKS,DT1 .A2148 no.61,1995,Fiasco in Somalia : US-UN intervention /,"Diriye Abdullahi, Mohamed,",X006048233,BOOK,2/5/98,11/11/11,STACKS,0,0,0,14,1
547092,2,ALDERMAN,STACKS,DT1 .A283,1969,African National Congress; South Africa: a short history.,African National Congress.,X000405914,BOOK,6/29/96,5/1/99,STACKS,0,0,0,3,1
2043721,2,ALDERMAN,STACKS,DT1 .A2922,1991,"Index to the African studies review/bulletin and the ASA review of books, 1958-1990 /","Howell, John Bruce,",X002194451,BOOK,6/30/96,10/3/97,STACKS,0,0,1,4,1
38738,2,ALDERMAN,STACKS,DT1 .A295 1983 no.1,1983,"History, experience and culture /","Bozzoli, Belinda.",X000912156,BOOK,6/28/96,2/3/09,STACKS,0,0,0,3,1
38790,2,ALDERMAN,STACKS,DT1 .A295 1983 no.10,1983,Legitimation and control : ideological struggles within the South African state /,"Greenberg, Stanley B.,",X000912161,BOOK,6/28/96,2/3/09,STACKS,0,0,0,0,1
38788,2,ALDERMAN,STACKS,DT1 .A295 1983 no.11,1983,Explanation of the Mau Mau revolt /,"Lonsdale, John.",X000912162,BOOK,6/28/96,5/3/18,STACKS,0,0,3,7,1
40814,2,ALDERMAN,STACKS,DT1 .A295 1983 no.12,1983,"Domination by consent : elections under the Representation of Natives Act, 1937-1948 /","Roth, M.",X000912163,BOOK,6/28/96,2/3/09,STACKS,0,0,0,1,1
40817,2,ALDERMAN,STACKS,DT1 .A295 1983 no.13,1983,Recession and its aftermath : the Cape Colony in the eighteen eighties /,"Mabin, Alan.",X000912164,BOOK,6/28/96,2/3/09,STACKS,0,0,1,1,1
40819,2,ALDERMAN,STACKS,DT1 .A295 1983 no.14,1983,Independent trade union[s] in the 1970s /,"Maree, Johann.",X000912185,BOOK,6/28/96,2/3/09,STACKS,0,0,0,0,1
40820,2,ALDERMAN,STACKS,DT1 .A295 1983 no.15,1983,Aspects in monopoly captalism in South Africa /,"Innes, Duncan.",X000912166,BOOK,6/28/96,2/3/09,STACKS,0,0,0,1,1
