Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
974585,2,ALDERMAN,STACKS,DX101 .G7 no.5 1928,1928,"Romani versions,","MacAlister, Donald,",X002548142,BOOK,6/29/96,3/18/09,STACKS,0,0,0,3,1
974586,2,ALDERMAN,STACKS,DX115 .B4,1928,"The story of the Gypsies,","Bercovici, Konrad,",X002454726,BOOK,6/29/96,4/19/10,STACKS,0,0,2,10,1
2478156,2 3,ALDERMAN,STACKS,DX115 .F66 1995,1995,Bury me standing : the Gypsies and their journey /,"Fonseca, Isabel.",X002693620,BOOK,7/1/96,11/27/18,CHECKEDOUT,3,4,1,41,1
2478156,2 3,CLEMONS,BY-REQUEST,DX115 .F66 1995,1995,Bury me standing : the Gypsies and their journey /,"Fonseca, Isabel.",X002689562,BOOK,7/1/96,11/19/18,BY-REQUEST,4,0,1,15,1
1914364,2 3,ALDERMAN,STACKS,DX115 .F72 1992,1992,The gypsies /,"Fraser, Angus M.",X002174569,BOOK,6/30/96,11/18/13,STACKS,1,0,3,12,1
1914364,2 3,ALDERMAN,STACKS,DX115 .F72 1992,1992,The gypsies /,"Fraser, Angus M.",X002591833,BOOK,6/30/96,11/29/10,STACKS,0,0,3,35,1
709655,2,ALDERMAN,STACKS,DX115 .H35,1987,The pariah syndrome : an account of Gypsy slavery and persecution /,"Hancock, Ian F.",X001239354,BOOK,6/29/96,11/3/11,STACKS,0,0,0,23,1
650722,2,ALDERMAN,STACKS,DX115 .H36,1982,Land of pain : five centuries of Gypsy slavery /,"Hancock, Ian F.",X000601975,BOOK,6/29/96,5/1/06,STACKS,0,0,0,11,1
4042403,2,ALDERMAN,STACKS,DX115 .K45 2004,2004,"Gypsies, from the Ganges to the Thames /","Kenrick, Donald.",X004774348,BOOK,7/22/04,3/2/11,STACKS,0,0,1,5,1
974587,2,ALDERMAN,STACKS,DX115 .K6 1963 pt.1,1963,Gypsy studies.,"Kochanowski, Jan,",X031918722,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
974587,2,ALDERMAN,STACKS,DX115 .K6 1963 pt.2,1963,Gypsy studies.,"Kochanowski, Jan,",X031918723,BOOK,1/16/18,1/1/00,STACKS,0,0,0,0,1
475218,2,ALDERMAN,STACKS,DX115 .L5 1882,1882,"The Gypsies,","Leland, Charles Godfrey,",X004194079,BOOK,6/29/96,1/6/09,STACKS,0,0,0,5,1
475218,2,ALDERMAN,STACKS,DX115 .L5 1882,1882,"The Gypsies,","Leland, Charles Godfrey,",X030754131,BOOK,10/6/10,1/1/00,STACKS,0,0,0,0,1
5225881,2,ALDERMAN,STACKS,DX115 .L5 1898,1898,The Gypsies /,"Leland, Charles Godfrey,",X001125417,BOOK,6/29/96,6/19/01,STACKS,0,0,2,18,1
974589,2,ALDERMAN,STACKS,DX115 .L6 1968,1968,Die Zigeuner in ihrem Wesen und ihrer Sprache;,"Liebich, Richard.",X031918699,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
685783,2,ALDERMAN,STACKS,DX115 .L6313 1986b,1986,Gypsies : an illustrated history /,"LiÈgeois, Jean-Pierre.",X001107411,BOOK,6/29/96,11/29/11,STACKS,0,0,5,35,1
57496,2,ALDERMAN,STACKS,DX115 .M37 1983,1983,Zur mythischen Figur des Zigeuners in der deutschen Zigeunerforschung /,"Martins-Heuss, Kirsten.",X000924978,BOOK,6/28/96,2/9/11,STACKS,0,0,0,0,1
221033,2,ALDERMAN,STACKS,DX115 .M39 1979,1979,"El gitanismo : historia, costumbres, y dialecto de los gitanos /","Mayo, Francisco de Sales.",X000222137,BOOK,6/28/96,11/29/11,STACKS,0,0,0,7,1
974590,2,ALDERMAN,STACKS,DX115 .P2,1915,"Historia y costumbres de los gitanos,","PabanÛ, F. M.",X000357014,BOOK,6/29/96,3/18/09,STACKS,0,0,3,14,1
974590,2,ALDERMAN,STACKS,DX115 .P2,1915,"Historia y costumbres de los gitanos,","PabanÛ, F. M.",X001175414,BOOK,6/29/96,2/12/08,STACKS,0,0,4,7,1
974591,2,ALDERMAN,STACKS,DX115 .R35 1972,1972,"Nosotros, los gitano.","RamÌrez Heredia, Juan de Dios,",X001038485,BOOK,6/29/96,3/21/12,STACKS,0,0,3,26,1
974592,2,ALDERMAN,STACKS,DX115 .R6 1836,1836,"The gypsies: their origin, continuance, and destination.","Roberts, Samuel,",X001475955,BOOK,6/29/96,10/6/08,STACKS,0,0,1,13,1
4057938,2,ALDERMAN,STACKS,DX115 .R64 2004,2004,"The role of the Romanies : images and counter-images of ""Gypsies""/Romanies in European cultures /",,X004771721,BOOK,9/10/04,4/6/12,STACKS,1,0,0,10,1
2314394,2,ALDERMAN,STACKS,DX115 .R66 1994,1994,Roma : das unbekannte Volk : Schicksal und Kultur /,,X002513116,BOOK,7/1/96,4/23/06,STACKS,0,0,2,3,1
2677320,2,ALDERMAN,STACKS,DX115 .R67 1997,1997,Romani culture and gypsy identity /,,X006036292,BOOK,4/2/97,3/9/15,STACKS,0,0,6,27,1
974593,2,ALDERMAN,STACKS,DX115 .S27,1973,Jipas?ra p??e p??e.,"Sarak?ra, Nikhila.",X031999187,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
1743316,2,ALDERMAN,STACKS,DX115 .S48 1990,1990,"Roma, the gypsy world /","Shashi, Shyam Singh,",X001827556,BOOK,6/30/96,11/29/11,STACKS,0,0,2,27,1
984257,2,ALDERMAN,STACKS,DX115 .S5 1871,1878,A history of the Gipsies: with specimens of the Gipsy language.,"Simson, Walter.",X001850471,BOOK,6/29/96,3/9/06,STACKS,0,0,1,3,1
974595,2,ALDERMAN,STACKS,DX115 .S69 1953,1953,In Sara's tents.,"Starkie, Walter,",X006114349,BOOK,6/29/96,1/8/02,STACKS,0,0,1,7,1
974596,2,ALDERMAN,STACKS,DX115 .S69 1954,1954,In Sara's tents.,"Starkie, Walter,",X000298352,BOOK,6/29/96,3/18/09,STACKS,0,0,1,12,1
974597,2,ALDERMAN,STACKS,DX115 .S73,1974,Les Tsiganes : leur ordre social /,"Stoyanovitch, Constantin.",X031918698,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
6220893,2,ALDERMAN,STACKS,DX115 .T39 2014,2014,"Another darkness, another dawn : a history of Gypsies, Roma and travellers /","Taylor, Becky",X031628110,BOOK,2/28/14,1/1/00,STACKS,0,0,0,0,1
1350733,2,ALDERMAN,STACKS,DX115 .V67 1983,1983,"Zigeuner : Roma, Sinti, Gitanos, Gypsies zwischen Verfolgung und Romantisierung : Katalog zur Ausstellung ""Zigeuner zwischen Romantisierung und Verfolgung--Roma, Sinti, Manusch, CalÈ in Europa"" des Hamburgischen Museums f¸r Vˆlkerkunde /","Vossen, R¸diger,",X001544228,BOOK,6/30/96,12/3/01,STACKS,0,0,1,3,1
578341,2,ALDERMAN,STACKS,DX115 .Y6,1967,The gypsies.,"Yoors, Jan.",X000869196,BOOK,6/29/96,10/2/12,STACKS,1,0,1,17,1
1303045,2,ALDERMAN,STACKS,DX115 .Z525 1979,1979,Zigeuner und wir /,,X001397327,BOOK,6/30/96,5/27/14,STACKS,0,0,0,0,1
263159,2,ALDERMAN,STACKS,DX115 .Z53 Bd.1,1977,Zigeunerkundliche Forschungen /,,X031918697,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
4667613,2,ALDERMAN,STACKS,DX118 .B59,1953,Les Tsiganes.,"Bloch, Jules,",X030339854,BOOK,11/28/07,1/1/00,STACKS,0,0,0,0,1
974598,2,ALDERMAN,STACKS,DX118 .P5,1893,"To gipsyland,","Pennell, Elizabeth Robins,",X002588963,BOOK,6/29/96,9/21/08,STACKS,0,0,0,2,1
974599,2,ALDERMAN,STACKS,DX118 .S7 1933,1933,"Raggle-taggle; adventures with a fiddle in Hungary and Roumania,","Starkie, Walter,",X001818385,BOOK,6/29/96,10/22/17,STACKS,1,0,1,3,1
974600,2,ALDERMAN,STACKS,DX118 .S7 1947,1947,Raggle-taggle; adventures with a fiddle in Hungary and Roumania.,"Starkie, Walter,",X001474436,BOOK,6/29/96,3/18/09,STACKS,0,0,1,2,1
1325291,2 3,ALDERMAN,STACKS,DX118 .T66 1988,1988,Gypsies of the world /,"Toma?evi?, Neboj?a.",X001508462,BOOK,6/30/96,4/12/15,STACKS,1,0,7,15,1
1325291,2 3,CLEMONS,BY-REQUEST,DX118 .T66 1988,1988,Gypsies of the world /,"Toma?evi?, Neboj?a.",X006025625,BOOK,6/30/96,3/26/14,BY-REQUEST,1,4,3,32,1
974601,2,ALDERMAN,STACKS,DX127 .B47 A3,1971,Dromengro: man of the road.,"Berlin, Sven.",X000458187,BOOK,6/29/96,11/21/99,STACKS,0,0,0,2,1
974602,2,ALDERMAN,STACKS,DX127 .P4 A3 1936,1936,"A Romany life,","Petulengro,",X000298351,BOOK,6/29/96,2/6/09,STACKS,0,0,1,4,1
1315805,2,ALDERMAN,STACKS,DX127 .S54 A3 1924,1924,The adventures of a gipsy boy : and other stories /,"Smith, Simon.",X000442507,BOOK,6/30/96,3/18/09,STACKS,0,0,0,1,1
1935894,2,ALDERMAN,STACKS,DX127 .S76 A3 1989,1989,Wir leben im Verborgenen : Erinnerungen einer Rom-Zigeunerin /,"Stojka, Ceija,",X002073249,BOOK,6/30/96,10/17/17,STACKS,0,0,1,1,1
484936,2,ALDERMAN,STACKS,DX127 .T46 M3 1975,1975,King of the gypsies /,"Maas, Peter,",X000282413,BOOK,6/29/96,11/1/97,STACKS,0,0,0,9,1
5561039,2,ALDERMAN,STACKS,DX127 .W35 A3 2012,2012,Gypsy boy : my life in the secret world of the Romany Gypsies /,"Walsh, Mikey.",X031196324,BOOK,2/24/12,1/1/00,STACKS,0,0,1,0,1
1653578,2,ALDERMAN,STACKS,DX127 .W57 W57 1990,1990,Beitr?ge zur Zigeunerkunde /,"Wittich, Engelbert,",X001941293,BOOK,6/30/96,1/1/00,STACKS,0,0,1,0,1
296544,2,ALDERMAN,STACKS,DX131 .P7,1978,Los gitanos /,"Prat Vallribera, Jaime.",X000009637,BOOK,6/28/96,4/23/09,STACKS,0,0,4,17,1
4735356,2,ALDERMAN,STACKS,DX135 .K85 1994,1994,al-Zu? wa-al-u??l al-?l· li-t?r?kh al-Ghajar /,"Ku?aylah, ?Ub?dah.",X030405005,BOOK,6/18/08,1/1/00,STACKS,0,0,0,0,1
231076,2,ALDERMAN,STACKS,DX135 .R57,1976,"Roma : the Panjabi emigrants in Europe, central and middle Asia, the USSR, and the Americas /","Rishi, W. R. (Weer Rajendra),",X001039605,BOOK,6/28/96,10/12/06,STACKS,0,0,1,9,1
2528285,2,ALDERMAN,STACKS,DX145 .A47 1996,1996,Weeping violins : the Gypsy tragedy in Europe /,"Alt, Betty Sowers.",X004004808,BOOK,7/1/96,11/18/13,STACKS,1,0,0,12,1
3791648,2,ALDERMAN,STACKS,DX145 .B37 2002,2002,"The East European gypsies : regime change, marginality, and ethnopolitics /","Barany, Zoltan D.",X004555248,BOOK,11/12/01,3/22/13,STACKS,3,6,7,28,1
95466,2,ALDERMAN,STACKS,DX145 .C47 1983,1983,Populations nomades et pauvretÈ /,"Charlemagne, Jacqueline.",X000978668,BOOK,6/28/96,11/21/99,STACKS,0,0,0,1,1
2279312,2,ALDERMAN,STACKS,DX145 .E44 1993,1993,Geboren bin ich vor Jahrtausenden-- Bilderwelten in der Literatur der Roma und Sinti /,"Eder, Beate,",X002455762,BOOK,7/1/96,3/6/01,STACKS,0,0,0,3,1
693486,2,ALDERMAN,STACKS,DX145 .E54 1983,1983,Eigensinn und Hilfe : Zigeuner in der Sozialpolitik heutiger Leistungsgesellschaften /,,X001184099,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
2288280,2,ALDERMAN,STACKS,DX145 .G5 1994 T.1,1994,"Weltchronik der Zigeuner : 2500 Ereignisse aus der Geschichte der Roma und Sinti, der Luri, Zott und Boz?a, der Athinganer, Tattern, Heiden und Sarazenen, der BohÈmiens, Gypsies und Gitanos und aller anderen Minderheiten, die ""Zigeuner"" genannt werdern /","Gilsenbach, Reimar.",X002479383,BOOK,7/1/96,1/29/99,STACKS,0,0,0,2,1
