Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
2243135,2,ALDERMAN,STACKS,HG1 .P7 no.1-2,1965,The cloakroom rule of international reserves : reserve creation and resources transfer /,"Machlup, Fritz,",X004346173,BOOK,7/1/96,12/4/17,STACKS,0,0,0,0,1
2243144,2,ALDERMAN,STACKS,HG1 .P7 no.10 1968,1968,The price of gold /,"Machlup, Fritz,",X004428757,BOOK,7/1/96,9/29/09,STACKS,0,0,0,0,1
2243146,2,ALDERMAN,STACKS,HG1 .P7 no.11 1968,1968,The transfer gap of the United States /,"Machlup, Fritz,",X031954975,BOOK,7/1/96,1/1/00,STACKS,0,0,0,0,1
2243147,2,ALDERMAN,STACKS,HG1 .P7 no.12 1969,1969,Speculations on gold speculation /,"Machlup, Fritz,",X031954976,BOOK,7/1/96,1/1/00,STACKS,0,0,0,0,1
2243148,2,ALDERMAN,STACKS,HG1 .P7 no.13 1970,1970,Sterling and the city /,"Cohen, Benjamin J.",X031954977,BOOK,7/1/96,1/1/00,STACKS,0,0,0,0,1
2243149,2,ALDERMAN,STACKS,HG1 .P7 no.14 1970,1970,"On terms, concepts, theories and strategies in the discussion of greater flexibility of exchange rates.","Machlup, Fritz,",X031954978,BOOK,7/1/96,1/1/00,STACKS,0,0,0,0,1
2243150,2,ALDERMAN,STACKS,HG1 .P7 no.15,1970,The benefits and costs of sterling.,"Cohen, Benjamin J.",X031954979,BOOK,7/1/96,1/1/00,STACKS,0,0,0,0,1
2243151,2,ALDERMAN,STACKS,HG1 .P7 no.16,1970,Euro-dollar creation: a mystery story.,"Machlup, Fritz,",X031954980,BOOK,7/1/96,1/1/00,STACKS,0,0,0,0,1
2243152,2,ALDERMAN,STACKS,HG1 .P7 no.17,1971,"An econometric study of Euro-dollar borrowing by New York banks and the rate of interest on Euro-dollars,","Black, Stanley W.",X031954981,BOOK,7/1/96,1/1/00,STACKS,0,0,0,0,1
484412,2,ALDERMAN,STACKS,HG1 .P7 no.18,1975,"Floats, glides and indicators : a comparison of methods for changing exchange rates /","Kenen, Peter B.,",X000176297,BOOK,6/29/96,9/29/09,STACKS,0,0,2,0,1
237988,2,ALDERMAN,STACKS,HG1 .P7 no.19,1979,"The balance of payments, exchange rates, and economic policy /","Allen, Polly Reynolds.",X000444929,BOOK,6/28/96,1/1/00,STACKS,0,0,0,2,1
