Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
2705638,2,ALDERMAN,STACKS,HN1 .I57 1997,1997,Internationale situationniste,Internationale situationniste.,X006048717,BOOK,7/29/97,5/15/13,STACKS,1,6,0,17,1
163491,2,ALDERMAN,STACKS,HN1 .R3,1972,"L'Internationale situationniste; chronologie, bibliographie, protagonistes (avec un index des noms insultÈs)","Raspaud, Jean Jacques.",X000516084,BOOK,6/28/96,10/3/02,STACKS,0,0,4,4,1
3897589,2,ALDERMAN,STACKS,HN1 .R48 v.10,2002,The environmental state under pressure /,,X004656778,BOOK,11/20/02,4/19/06,STACKS,0,0,2,16,1
4005981,2,ALDERMAN,STACKS,HN1 .R48 v.11,2003,"Terrorism and disaster : new threats, new ideas /",,X004758504,BOOK,2/9/04,10/9/08,STACKS,0,0,2,1,1
4304501,2,ALDERMAN,STACKS,HN1 .R48 v.12,2005,The organizational response to persons with mental illness involved with the criminal justice system /,,X004925807,BOOK,9/20/05,1/1/00,STACKS,0,0,1,0,1
4471810,2,ALDERMAN,STACKS,HN1 .R48 v.13,2007,Long-term management of contaminated sites /,,X030198128,BOOK,3/5/07,1/1/00,STACKS,0,0,0,0,1
4608592,2,ALDERMAN,STACKS,HN1 .R48 v.14,2007,Cultures of contamination : legacies of pollution in Russia and the U.S. /,,X030268419,BOOK,7/17/07,5/31/11,STACKS,0,0,1,3,1
4697570,2,ALDERMAN,STACKS,HN1 .R48 v.15,2007,Equity and the environment /,,X030369640,BOOK,3/14/08,4/9/09,STACKS,0,0,1,1,1
4877852,2,ALDERMAN,STACKS,HN1 .R48 v.16,2008,"Integrating the sciences and society : challenges, practices, and potentials /",,X030574000,BOOK,5/18/09,2/21/18,CHECKEDOUT,1,5,0,6,1
5161193,2,ALDERMAN,STACKS,HN1 .R48 v.17,2010,New approaches to social problems treatment /,,X030692587,BOOK,6/4/10,1/1/00,STACKS,0,0,0,0,1
5239231,2,ALDERMAN,STACKS,HN1 .R48 v.18,2010,Environmental and social justice : an international perspective /,,X030754488,BOOK,10/28/10,8/12/16,STACKS,1,0,0,1,1
5312099,2,ALDERMAN,STACKS,HN1 .R48 v.19,2011,Government secrecy /,,X030925691,BOOK,3/21/11,5/10/18,CHECKEDOUT,2,2,3,4,1
5942466,2,ALDERMAN,STACKS,HN1 .R48 v.20,2012,Disaster by design : the Aral Sea and its lessons for sustainability /,,X031612179,BOOK,2/13/13,3/7/13,STACKS,1,0,1,1,1
6190067,2,ALDERMAN,STACKS,HN1 .R48 v.21,2013,"William R. Freudenburg, a life in social research /",,X031624058,BOOK,1/30/14,1/1/00,STACKS,0,0,0,0,1
6996069,2,ALDERMAN,STACKS,HN1 .R48 v.22,2017,Paradoxes of the democratization of higher education /,,X031800096,BOOK,3/3/17,1/1/00,STACKS,0,0,0,0,1
3815047,2,ALDERMAN,STACKS,HN1 .R48 v.8,2001,The organizational response to social problems /,,X004550752,BOOK,2/15/02,1/1/00,STACKS,0,0,1,0,1
3815048,2,ALDERMAN,STACKS,HN1 .R48 v.9,2001,"Environmental risks : perception, evaluation and management /",,X004607198,BOOK,2/15/02,10/23/03,STACKS,0,0,0,1,1
3547101,2,ALDERMAN,STACKS,HN10 .A74 C65 2000,2000,The Athenian nation /,"Cohen, Edward E.",X004415855,BOOK,7/4/00,5/7/03,STACKS,0,0,0,14,1
1342428,2,ALDERMAN,STACKS,HN10 .G7 F38 1988,1988,Ehre und Gerechtigkeit : Studien zur gesellschaftlichen Ordnung im fr¸hen Griechenland /,"Fatheuer, Thomas.",X001562111,BOOK,6/30/96,9/8/09,STACKS,0,0,0,1,1
2077534,2 3,ALDERMAN,STACKS,HN10 .G7 G73 1992,1992,A social history of Greece and Rome /,"Grant, Michael,",X002212797,BOOK,6/30/96,10/30/05,STACKS,0,0,1,2,1
6787109,2,ALDERMAN,STACKS,HN10 .G7 T67 2016,2016,The topography of violence in the Greco-Roman world /,,X031763417,BOOK,7/15/16,5/4/17,STACKS,1,1,0,2,1
316013,2,ALDERMAN,STACKS,HN10 .G8 R65,1976,Tribu et citÈ /,"Roussel, Denis.",X000207671,BOOK,6/28/96,7/10/18,CHECKEDOUT,1,0,0,2,1
316013,2,ALDERMAN,STACKS,HN10 .G8 R65,1976,Tribu et citÈ /,"Roussel, Denis.",X000395475,BOOK,6/28/96,3/2/11,STACKS,0,0,0,1,1
