Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
476323,2 3,ALDERMAN,STACKS,HX1 .A49 V.1,1974,"The American radical press, 1880-1960.",,X000179158,BOOK,6/29/96,4/29/02,STACKS,0,0,1,12,1
476323,2 3,ALDERMAN,STACKS,HX1 .A49 V.2,1974,"The American radical press, 1880-1960.",,X000031561,BOOK,6/29/96,5/13/99,STACKS,0,0,0,13,1
7323965,2,ALDERMAN,STACKS,HX1 .E56 v.1-2 no.3 1942-1945,1968,Enquiry.,,X031969671,BOUND-JRNL,12/21/17,1/1/00,STACKS,0,0,0,0,1
1633563,2,ALDERMAN,STACKS,HX1 .M18 no.1-3 1937,1968,"Marxist quarterly : v.1, 1937.",,X000529581,BOUND-JRNL,6/30/96,9/28/09,STACKS,0,0,0,1,1
557198,2 3,ALDERMAN,STACKS,HX1 .M22 1966,1966,"Echoes of revolt: the Masses, 1911-1917.",,X000755065,BOOK,6/29/96,12/2/13,STACKS,2,0,0,9,1
7345044,2,ALDERMAN,STACKS,HX1 .R57 an.1 v.1-2 1899,1899,Rivista critica del socialismo,,X031948057,BOOK,1/19/18,1/1/00,STACKS,0,0,0,0,1
1729752,2,ALDERMAN,STACKS,HX1 .Y66 1990,1990,"""Yours for the revolution"" : the Appeal to reason, 1895-1922 /",,X001804234,BOOK,6/30/96,5/13/18,CHECKEDOUT,1,4,0,72,1
151617,2,ALDERMAN,STACKS,HX101 .L43 H67,1980,"The League for Social Reconstruction : intellectual origins of the democratic left in Canada, 1930-1942 /","Horn, Michiel,",X000160188,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
120280,2,ALDERMAN,STACKS,HX103 .A53 1981,1981,Canadian Bolsheviks : the early years of the Communist Party of Canada /,"Angus, Ian,",X000323382,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
24423,2,ALDERMAN,STACKS,HX103 .B47 1982,1982,"The little band : the clashes between the Communists and the political and legal establishment in Canada, 1928-1932 /","Betcherman, Lita-Rose.",X000504429,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
359375,2,ALDERMAN,STACKS,HX103 .B817,1977,Yours in the struggle : reminiscences of Tim Buck /,"Buck, Tim.",X000075339,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
431437,2,ALDERMAN,STACKS,HX103 .B84 W37,1976,She never was afraid : the biography of Annie Buller /,"Watson, Louise.",X000710417,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
249066,2,ALDERMAN,STACKS,HX103 .K6,1979,The shattered illusion : the history of Ukrainian pro-communist organizations in Canada /,"Kolasky, John.",X000087273,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
550438,2,ALDERMAN,STACKS,HX103 .M65 1970,1970,"Look on Canada, now ..., selected writings of Leslie Morris, 1923/1964.","Morris, Leslie,",X000710419,BOOK,6/29/96,1/1/00,STACKS,0,0,1,0,1
32514,2,ALDERMAN,STACKS,HX103 .W45 1983,1983,"The strangest dream : Canadian Communists, the spy trials, and the Cold War /","Weisbord, Merrily.",X000667102,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
351925,2,ALDERMAN,STACKS,HX104 .P76 1977,1977,Prospects for a socialist Canada /,,X000066155,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
2068542,2,ALDERMAN,STACKS,HX104 .S6 1991,1991,Social democracy without illusions : renewal of the Canadian left /,,X002219688,BOOK,6/30/96,9/30/09,STACKS,0,0,0,5,1
336631,2,ALDERMAN,STACKS,HX106 .P45,1977,The Canadian left : a critical analysis /,"Penner, Norman,",X000056386,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
1918787,2,ALDERMAN,STACKS,HX109 .D39 1991,1991,Debating Canada's future : views from the left /,,X002074348,BOOK,6/30/96,9/30/09,STACKS,0,0,0,2,1
2684218,2,ALDERMAN,STACKS,HX109 .L38 1996,1996,In search of a new left : Canadian politics after the neoconservative assault /,"Laxer, James,",X004029727,BOOK,4/25/97,7/25/07,STACKS,0,0,0,0,1
429938,2,ALDERMAN,STACKS,HX109 .M3,1977,"Reformers, rebels, and revolutionaries : the Western Canadian radical movement, 1899-1919 /","McCormack, A. R. (Andrew Ross),",X000046066,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
2287452,2,ALDERMAN,STACKS,HX11 .A88 O78 1994,1994,"Revolution‰re im Exil : der ""Auslandsbund russischer Sozialdemokraten"" zwischen autorit‰rem F¸hrungsanspruch und politischer Ohnmacht (1888-1903) /","Ortmann, Frank.",X002450620,BOOK,7/1/96,1/1/00,STACKS,0,0,0,1,1
2275508,2,ALDERMAN,STACKS,HX11 .C48 1986,1986,Zhongguo she hui ke xue jia lian meng zi liao xuan bian /,,X001263581,BOOK,7/1/96,7/25/07,STACKS,0,0,0,0,1
353288,2,ALDERMAN,STACKS,HX11 .C6 1976,1976,Informbiro : ?ta je to : Jugoslavija je rekla ne /,"Kr?avac, Savo.",X000047268,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
7323823,2,ALDERMAN,STACKS,HX11 .C6 M4 1954,1954,Function of the Cominform in Communist international politics.,"Mestenhauser, Josef.",X031964923,BOOK,12/20/17,1/1/00,STACKS,0,0,0,0,1
140991,2,ALDERMAN,STACKS,HX11 .C62 R33 1979,1979,Sukob KPJ sa Kominformom i dru?tveni razvoj Jugoslavije : 1948-1950 /,"Radonji?, Radovan.",X000848082,BOOK,6/28/96,9/29/09,STACKS,0,0,1,0,1
610265,2,ALDERMAN,STACKS,HX11 .F24 no.124,1948,The second five years; a labour programme for 1950.,"Mikardo, Ian,",610265-1001,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
610432,2,ALDERMAN,STACKS,HX11 .F24 no.125,1948,Management by consent;,,610432-1001,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
610406,2,ALDERMAN,STACKS,HX11 .F24 no.126,1948,Self-government and the communal problem. A study of colonial constitutional problems arising in plural societies.,"Nicholson, Marjorie,",610406-1001,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
610399,2,ALDERMAN,STACKS,HX11 .F24 no.127,1948,Can Britain recover? A survey of foreign economic policy.,"Warbey, William.",610399-1001,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
610430,2,ALDERMAN,STACKS,HX11 .F24 no.128,1948,"Russian economic policy in Eastern Europe; Albania, Bulgaria, Czechoslovakia, Hungary, Jugoslavia, Poland, Roumania and Austria,","McKitterick, T. E. M. (Thomas Edward Maurice)",610430-1001,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
610427,2,ALDERMAN,STACKS,HX11 .F24 no.129,1948,"The National Coal Board; its tasks, its organisation, and its prospects,","Cole, G. D. H. (George Douglas Howard),",610427-1001,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
610429,2,ALDERMAN,STACKS,HX11 .F24 no.130,1948,The West Indies; towards a new dominion?,"Wiseman, H. V.",610429-1001,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
610418,2,ALDERMAN,STACKS,HX11 .F24 no.131,1949,"Common sense and colonial development; report to the Fabian Colonial Bureau,","Hinden, Rita.",610418-1001,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
610414,2,ALDERMAN,STACKS,HX11 .F24 no.133,1949,Labour politics in U. S. A.,"Starr, Mark,",610414-1001,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
610413,2,ALDERMAN,STACKS,HX11 .F24 no.134,1949,"Miners and the Board; based on the report of a Fabian research group,","Cole, Margaret,",610413-1001,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
611264,2,ALDERMAN,STACKS,HX11 .F24 no.135,1949,"Dilemma in Malaya,","Silcock, Thomas H. (Thomas Henry),",X000126647,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
611261,2,ALDERMAN,STACKS,HX11 .F24 no.136,1949,"Facts for socialists; including some unwelcome home truths which call for attention,",Fabian Society (Great Britain),611261-1001,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
611418,2,ALDERMAN,STACKS,HX11 .F24 no.191,1957,"The future of legal aid,","Benenson, Peter,",611418-1001,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
2363098,2,ALDERMAN,STACKS,HX11 .F24 no.258 1966,1966,Britain and world security.,"Brown, Neville.",X030229829,BOOK,7/1/96,12/20/17,STACKS,0,0,0,0,1
2363099,2,ALDERMAN,STACKS,HX11 .F24 no.263 1967,1967,Europe: problems of negotiation.,"Robinson, Geoffrey.",X030229830,BOOK,7/1/96,12/20/17,STACKS,0,0,0,0,1
2363100,2,ALDERMAN,STACKS,HX11 .F24 no.274 1969,1969,Human rights.,"Archer, Peter,",X030229828,BOOK,7/1/96,12/20/17,STACKS,0,0,0,0,1
499850,2,ALDERMAN,STACKS,HX11 .F24 no.317,1974,The lesson of Chile /,"Whitehead, Laurence.",X000291839,BOOK,6/29/96,7/24/07,STACKS,0,0,0,4,1
