Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
1247282,2,ALDERMAN,STACKS,PF101 .B68 1987,1987,Historische grammatica van het Nederlands /,"Bree, C. van (Cor)",X001315975,BOOK,6/30/96,11/6/09,STACKS,0,0,0,1,1
339467,2,ALDERMAN,STACKS,PF101 .B7,1977,"Leerboek voor de historische grammatica van het Nederlands : klank- en vormleer, met een beknopte grammatica van het Gotisch /","Bree, C. van (Cor)",X000033012,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
1335503,2,ALDERMAN,STACKS,PF103 .A4 1887,1887,"Middelnederlandsche spraakkunst,","Helten, W. L. van (Willem Lodewijk),",1335503-1001,BOOK,6/30/96,1/1/00,STACKS,0,0,0,0,1
7357353,2,ALDERMAN,STACKS,PF103 .H4 1887,1887,Middelnederlandsche spraakkunst /,"Helten, W. L. van (Willem Lodewijk),",X031989372,BOOK,2/12/18,1/1/00,STACKS,0,0,0,0,1
691017,2,ALDERMAN,STACKS,PF103 .T84 1985,1985,"Twe-spraack vande Nederduitsche letterkunst, 1584 /",,X001162977,BOOK,6/29/96,11/6/09,STACKS,0,0,2,0,1
1661118,2,ALDERMAN,STACKS,PF107 .R84 1989,1989,"Terminografische index op de oudste Nederlandse grammaticale werken : Voorreden (1568), Twe-spraack (1584), Noodige waarschouwinge (1624), De Nederduytsche grammatica (1625), Nederlandsch tael-bericht (1628), De Nederduytsche spraec-konst (1633), Waernemingen op de Hollandsche tael, Ont-werp der Neder-duitsche letter-konst (1649","Ruijsendaal, E.",X002116167,BOOK,6/30/96,1/1/00,STACKS,0,0,0,1,1
105501,2,ALDERMAN,STACKS,PF109 .H3 1814,1814,"Dutch grammar, : with practical exercises; containing also a vocabulary, dialogues, idioms, letters, &c. /","Hasendonck, J. B. van.",X000304191,BOOK,6/28/96,9/21/15,STACKS,0,0,1,2,1
1015804,2,ALDERMAN,STACKS,PF109 .S3,1799,A grammar of the Dutch language;,"Schwiers, Conradus.",X001406083,BOOK,6/29/96,9/12/14,STACKS,1,0,0,1,1
1015805,2,ALDERMAN,STACKS,PF111 .A5 1894,1894,"A new practical grammar of the Dutch language, with dialogues and readings in prose and verse,","Ahn, F. (Franz),",X000236999,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
20133,2,ALDERMAN,STACKS,PF111 .D8 1940,1940,"Dutch simplified : an easy and rapid self-instructor. Containing a condensed and simplified grammar, practical conversation ... and supplements dealing with AFrikaans, South African Dutch, and Flemish.",,X000206009,BOOK,6/28/96,11/6/09,STACKS,0,0,0,1,1
1015806,2,ALDERMAN,STACKS,PF111 .D8 1948,1948,Dutch simplified.,,X001406196,BOOK,6/29/96,3/11/11,STACKS,0,0,3,23,1
348241,2,ALDERMAN,STACKS,PF111 .H45 1972 V.1,1972,Nederlandse spraakkunst /,"Hertog, Cornelis Herman den,",X001164659,BOOK,6/28/96,11/6/09,STACKS,0,0,0,2,1
