Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
2517238,2,ALDERMAN,STACKS,PH1051 .L9 1996,1995,"Zyri?anski? kra? pri episkopakh permskikh i zyri?anski? i?azyk, 1383-1501 : posobie pri izuchenii zyri?anami russkogo i?azyka /","Lytkin, G. S. (Georgi? Stepanovich),",X004082832,BOOK,7/1/96,4/6/10,STACKS,0,0,0,1,1
2141460,2,ALDERMAN,STACKS,PH1108 .P76 1992,1992,"Problemy pis?mennosti i kul?tury : materialy konferent?sii, posvi?ashchenno? 250-letii?u so dni?a rozhdenii?a chuvashskogo uchenogo i prosvetiteli?a Ermei?a Rozhanskogo /",,X002267565,BOOK,7/1/96,1/1/00,STACKS,0,0,0,0,1
2334884,2,ALDERMAN,STACKS,PH1108.4 .G94 1991,1991,Gydyke /,,X002626836,BOOK,7/1/96,1/1/00,STACKS,0,0,1,0,1
674949,2,ALDERMAN,STACKS,PH131 .K2913 1983,1983,Finnish grammar /,"Karlsson, Fred.",X001205461,BOOK,6/29/96,12/15/16,STACKS,1,0,0,20,1
417454,2,ALDERMAN,STACKS,PH131 .L8,1973,"Phonological and lexical aspects of colloquial Finnish,","Luthy, Melvin J.",X000079646,BOOK,6/29/96,6/15/11,STACKS,0,0,1,4,1
4455399,2,ALDERMAN,STACKS,PH133 .G73 2006,2006,"Grammar from the human perspective : case, space and person in Finnish /",,X030111186,BOOK,1/16/07,8/29/17,STACKS,1,0,0,2,1
4678561,2,ALDERMAN,STACKS,PH135 .K35 2008,2008,Finnish : an essential grammar /,"Karlsson, Fred.",X030278564,BOOK,1/11/08,12/11/18,CHECKEDOUT,5,13,1,22,1
267440,2,ALDERMAN,STACKS,PH135 .L4,1963,Basic course in Finnish.,"Lehtinen, Meri K. Tuulikki.",X000377742,BOOK,6/28/96,5/29/12,STACKS,1,0,3,23,1
1789642,2,ALDERMAN,STACKS,PH14 .D42 1990,1990,The Uralic Protolanguage : a comprehensive reconstruction /,"DÈcsy, Gyula.",X001878962,BOOK,6/30/96,12/15/16,STACKS,1,0,1,7,1
427372,2,ALDERMAN,STACKS,PH143 .T5 1976,1976,Le systËme graphique du franÁais : introduction ‡ une pÈdagogie rationnelle de l'orthographe /,"Thimonnier, RenÈ.",427372-2001,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
1023266,2,ALDERMAN,STACKS,PH2111 .B34 1965,1965,"Learn Hungarian,","B·nhidi, Zolt·n.",X000209336,BOOK,6/29/96,2/20/01,CHECKEDOUT,0,0,2,11,1
1023266,2,ALDERMAN,STACKS,PH2111 .B34 1965a,1965,"Learn Hungarian,","B·nhidi, Zolt·n.",X000276904,BOOK,6/29/96,5/7/18,STACKS,14,8,5,62,1
246059,2,ALDERMAN,STACKS,PH2121 .S42 1944 v.1,1944,"Spoken Hungarian, basic course.","Sebeok, Thomas A. (Thomas Albert),",X000681781,BOOK,6/28/96,5/11/14,STACKS,1,5,1,17,1
3556409,2,ALDERMAN,STACKS,PH2131 .S55 2000,2000,The phonology of Hungarian /,"Sipt·r, PÈter.",X004435651,BOOK,8/10/00,4/2/18,STACKS,2,1,0,6,1
4447123,2,ALDERMAN,STACKS,PH2361 .E94 2006,2006,Event structure and the left periphery : studies on Hungarian /,,X030113835,BOOK,12/5/06,1/1/00,STACKS,0,0,0,0,1
3883854,2,ALDERMAN,STACKS,PH2361 .K55 2002,2002,The syntax of Hungarian /,"Kiss, Katalin ….",X004631055,BOOK,9/10/02,4/2/18,STACKS,2,0,0,6,1
445645,2,ALDERMAN,STACKS,PH2375 .Z7513 1967,1967,The system of Hungarian sentence patterns.,"Zsilka, J·nos.",X000305420,BOOK,6/29/96,9/1/11,STACKS,0,0,0,6,1
445488,2,ALDERMAN,STACKS,PH2390 .K5 1967,1967,On emphasis and word order in Hungarian.,"Kiefer, Ferenc.",X000298422,BOOK,6/29/96,5/14/13,STACKS,0,3,0,10,1
1312092,2,ALDERMAN,STACKS,PH2576 .K313 1978,1978,The world of names : a study in Hungarian onomatology /,"K·lm·n, BÈla,",X001509466,BOOK,6/30/96,5/14/13,STACKS,0,3,0,11,1
677159,2,ALDERMAN,STACKS,PH2635 .R4 1957,1957,"A-B-C; Magyar, Angol, Francia ...",,X001168167,BOOK,6/29/96,5/1/14,STACKS,1,7,0,12,1
1649875,2,ALDERMAN,STACKS,PH2640 .O67 1989,1989,Angol-Magyar kÈziszÛt·r = a concise English-Hungarian dictionary /,"Orsz·gh, L·szlÛ.",X001937039,BOOK,6/30/96,5/14/13,STACKS,0,3,0,26,1
3493068,2,ALDERMAN,STACKS,PH2640 .O715 1959,1959,Magyar-angol kÈziszÛt·r.,"Orsz·gh, L·szlÛ.",X004274730,BOOK,1/31/00,5/1/15,STACKS,2,9,1,20,1
238944,2,ALDERMAN,STACKS,PH2640 .O715 1979,1979,Magyar-angol kÈziszÛt·r = A concise Hungarian-English dictionary /,"Orsz·gh, L·szlÛ.",X000323604,BOOK,6/28/96,4/24/14,STACKS,0,3,0,17,1
2330834,2,ALDERMAN,STACKS,PH2640 .O95 1994,1994,The Oxford-Duden pictorial Hungarian-English dictionary.,,X002560101,BOOK,7/1/96,5/14/13,STACKS,0,3,1,15,1
1023281,2,ALDERMAN,STACKS,PH2645 .G4 H3 1966,1966,NÈmet-magyar kÈziszÛt·r.,"Hal·sz, El?d.",X002417479,BOOK,6/29/96,4/6/10,STACKS,0,0,0,2,1
706676,2,ALDERMAN,STACKS,PH275 .S8 1967 O.1-2,1967,Nykysuomen sanakirja; lyhent‰m‰tˆn kansanpainos.,Suomalaisen Kirjallisuuden Seura.,X032014496,BOOK,3/7/18,1/1/00,STACKS,0,0,0,0,1
706676,2,ALDERMAN,STACKS,PH275 .S8 1967 O.3-4,1967,Nykysuomen sanakirja; lyhent‰m‰tˆn kansanpainos.,Suomalaisen Kirjallisuuden Seura.,X031710522,BOOK,4/20/15,1/1/00,STACKS,0,0,1,0,1
706676,2,ALDERMAN,STACKS,PH275 .S8 1967 O.5-6,1967,Nykysuomen sanakirja; lyhent‰m‰tˆn kansanpainos.,Suomalaisen Kirjallisuuden Seura.,X031710521,BOOK,6/29/96,1/1/00,STACKS,0,0,1,0,1
50816,2,ALDERMAN,CATALOGING,PH279 .H83 1984,1984,Uusi suomi-englanti suursanakirja = Finnish-English general dictionary /,"Hurme, Raija.",50816-1002,OFFICECOPY,7/22/98,1/1/00,CATALOGING,0,0,0,0,1
239880,2,ALDERMAN,STACKS,PH279 .N8 1915,1915,"English-Finnish dictionary,","Nuorteva, Santeri,",X000486066,BOOK,6/28/96,11/8/15,STACKS,0,0,0,3,1
1268637,2,ALDERMAN,STACKS,PH279 .V8 1966,1966,Suomalais-englantilainen koulusanakirja.,"Wuolle, Aino,",X001168147,BOOK,6/30/96,5/29/12,STACKS,1,0,0,3,1
4291255,2,ALDERMAN,STACKS,PH3001 .N92 F45 1975,1975,FeljegyzÈsek Ès levelek a NyugatrÛl /,,X004913014,BOOK,7/6/05,1/1/00,STACKS,0,0,0,0,1
622869,2,ALDERMAN,STACKS,PH301 .A35,1973,A history of Finnish literature.,"Ahokas, Jaakko,",X000486067,BOOK,6/29/96,9/2/01,STACKS,0,0,1,4,1
