Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
5174751,2,ALDERMAN,STACKS,PK1 .S5 v.5 pt.3/4 1957,1957,Liebenthal Festschrift /,,X030767237,BOOK,7/8/10,1/1/00,STACKS,0,0,0,0,1
29076,2,ALDERMAN,STACKS,PK1004 .K5 1982,1982,Deutsch-P?li Wˆrterbuch /,"Klar, Helmut,",X000627978,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
2096108,2,ALDERMAN,STACKS,PK101 .M33 1985,1985,"Madras Literary Society : a history, 1812-1984 /","Ir?macuv?mi, N?. Ci.,",X002269658,BOOK,6/30/96,7/15/16,STACKS,0,0,0,0,1
4015724,2,ALDERMAN,STACKS,PK101 .M332 1950,1950,Madras Literary Society and Auxiliary of Royal Asiatic Society (Est. 1812).,,X004758734,BOOK,3/15/04,4/7/10,STACKS,0,0,0,0,1
1345743,2,ALDERMAN,STACKS,PK101 .R36 1985,1985,"Three decades : a short history of Sahitya Akademi, 1954-84 /","Rao, D. S.,",X001601500,BOOK,6/30/96,1/1/00,STACKS,0,0,0,0,1
4366747,2,ALDERMAN,STACKS,PK101 .R36 2004,2004,"Five decades : the National Academy of Letters, India : a short history of Sahitya Akademi /","Rao, D. S.,",X030024593,BOOK,5/11/06,1/1/00,STACKS,0,0,2,0,1
3885689,2,ALDERMAN,STACKS,PK101 .S688 1993,1994,"Papers from the fifteenth South Asian Language Analysis Roundtable Conference, 1993 /",South Asian Languages Analysis Roundtable,X004622318,BOOK,9/18/02,4/7/10,STACKS,0,0,2,1,1
1865162,2,ALDERMAN,STACKS,PK101 .V495 Index,1987,"The second decennial index to Vishveshvaranand indological journal, volumes XI-XX (1973-1982) /","Bindra, T. S.",X002001327,BOOK,6/30/96,1/1/00,STACKS,0,0,0,0,1
248243,2,ALDERMAN,STACKS,PK1017 .A4 V.3,1928,Saddan?ti; la grammaire palie d'Aggava?sa;,,X000533897,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
248243,2,ALDERMAN,STACKS,PK1017 .A4 V.4,1928,Saddan?ti; la grammaire palie d'Aggava?sa;,,X000533896,BOOK,6/28/96,6/24/99,STACKS,0,0,0,2,1
248243,2,ALDERMAN,STACKS,PK1017 .A4 V.5 PT.1,1928,Saddan?ti; la grammaire palie d'Aggava?sa;,,X000533899,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,1
248243,2,ALDERMAN,STACKS,PK1017 .A4 V.5 PT.2,1928,Saddan?ti; la grammaire palie d'Aggava?sa;,,X000533876,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,1
4454608,2,ALDERMAN,STACKS,PK1017 .A423 1978 v.1,1978,Satthan?ti pak??n = Saddan?ti pakara?a? /,"Aggava?sa, Khem?s?vam Sayadaw.",X030163451,BOOK,1/11/07,1/1/00,STACKS,0,0,0,0,1
4454608,2,ALDERMAN,STACKS,PK1017 .A423 1978 v.2,1978,Satthan?ti pak??n = Saddan?ti pakara?a? /,"Aggava?sa, Khem?s?vam Sayadaw.",X030163452,BOOK,1/11/07,1/1/00,STACKS,0,0,0,0,1
4454608,2,ALDERMAN,STACKS,PK1017 .A423 1978 v.3,1978,Satthan?ti pak??n = Saddan?ti pakara?a? /,"Aggava?sa, Khem?s?vam Sayadaw.",X030163453,BOOK,1/11/07,1/1/00,STACKS,0,0,0,0,1
1036133,2,ALDERMAN,STACKS,PK1017 .B84 V.1,1966,"P?livy?kara?a da bh???va da, v?kya racan?va da. ekavi?a igan?mata upak?rav? P?libh???vatara?ay?. Palibhashavataranaya; Pali composition and grammar.","Buddhadatta, A. P. (Ambala?go?a Polvatt?),",X002313187,BOOK,6/29/96,1/1/00,STACKS,0,0,2,1,1
2812934,2,ALDERMAN,STACKS,PK1017 .D63 1996,1996,"B?l?vat?ra : P?livy?kara?a, Hind? anuv?dasahita /","Dhammakitti,",X004213484,BOOK,7/15/98,1/1/00,STACKS,0,0,0,0,1
2278101,2,ALDERMAN,STACKS,PK1017 .K316 1992 v.1,1992,Kacc?yanavy?kara?a? /,Kacc?yana.,X002441402,BOOK,7/1/96,3/1/18,STACKS,0,0,0,0,1
5626768,2,ALDERMAN,STACKS,PK1017 .K36 2010,2010,P?li bh??y?ko?? /,"K??bale, Savit?.",X030883796,BOOK,5/15/12,1/1/00,STACKS,0,0,0,0,1
3885179,2,ALDERMAN,STACKS,PK1017 .K83 2000,2000,Saddabindu /,"Kya cv?,",X004627515,BOOK,9/17/02,1/1/00,STACKS,0,0,0,0,1
6371700,2,ALDERMAN,STACKS,PK1017 .M6 2013,2013,Moggall?na Pali vy?kara?a /,"Moggall?na,",X031664638,BOOK,8/6/14,1/1/00,STACKS,0,0,0,0,1
4215177,2,ALDERMAN,STACKS,PK1017 .P35 2001,2001,P?li bh??? vy?kara?aya /,"Pallattara ?r? Sumanaj?ti,",X004817711,BOOK,12/9/04,1/1/00,STACKS,0,0,0,0,1
4215177,2,ALDERMAN,STACKS,PK1017 .P35 2001,2001,P?li bh??? vy?kara?aya /,"Pallattara ?r? Sumanaj?ti,",X030215394,BOOK,5/14/07,1/1/00,STACKS,0,0,0,0,1
4621534,2,ALDERMAN,STACKS,PK1017 .S23 2005,2005,Saddhatthabhedacint?p?li /,"Saddhammasir?,",X030247979,BOOK,8/31/07,1/1/00,STACKS,0,0,0,0,1
2253360,2,ALDERMAN,STACKS,PK1017 .V5 1991 v.1,1991,Kacc?yana-ny?so /,"Vimabuddhi,",X002312070,BOOK,7/1/96,1/1/00,STACKS,0,0,0,0,1
1822802,2,ALDERMAN,STACKS,PK1018 .H5 S45 1987,1987,P?li bh?sh? aura s?hitya /,"Shastri, Indra Chandra,",X001936237,BOOK,6/30/96,1/1/00,STACKS,0,0,0,0,1
7219049,2,ALDERMAN,STACKS,PK1018 .J3 N34 1954,1954,Dokush? P?rigo bunp? /,"Nagai, Makoto,",X031822904,BOOK,8/16/17,1/1/00,STACKS,0,0,0,0,1
5422582,2,ALDERMAN,STACKS,PK1018 .J3 N34 1955,1955,P?rigo bunp? /,"Mizuno, K?gen,",X030285605,BOOK,10/13/11,1/1/00,STACKS,0,0,0,0,1
7277716,2,ALDERMAN,STACKS,PK1018 .J3 S26 1955,1955,P?rigo bunp? /,"Sanada, Ariyoshi.",X031823225,BOOK,11/3/17,11/8/17,STACKS,0,0,0,0,1
5157248,2,ALDERMAN,STACKS,PK1018 .J3 T33 1933,1933,P?rigo bunp? /,"Tachibana, S. (Shund?)",X030590816,BOOK,5/11/10,1/1/00,STACKS,0,0,0,0,1
3885741,2,ALDERMAN,STACKS,PK1018 .S5 S5,1966,P?li vy?kara?a vivara?aya.,"Sirinewasa, Mailewe,",X004576409,BOOK,9/18/02,1/1/00,STACKS,0,0,0,0,1
7511622,2,ALDERMAN,STACKS,PK1018 .S5 S8,1965,N?mam?la.,"Subhuti, Waskaduwe.",X032180249,BOOK,4/26/18,1/1/00,STACKS,0,0,0,0,1
6163097,2,ALDERMAN,STACKS,PK102 .C38 M43 2012,2012,Medieval Indian legacy : linguistics and literary /,"Caudhur?, Indran?tha,",X031581931,BOOK,12/10/13,1/1/00,STACKS,0,0,0,0,1
2267911,2,ALDERMAN,STACKS,PK102 .E87 1990,1992,"Literature, language, and the media in India : proceedings of the 11th European Conference on South Asian Studies, Amsterdam, 1990, Panel 13 /",European Conference on Modern South Asian Studies Panel 13.,X002334838,BOOK,7/1/96,5/2/05,STACKS,0,0,1,2,1
820002,2,ALDERMAN,STACKS,PK102 .Z5 A377 1982,1982,Recent studies in Sanskrit and Indology : Prof. Jagannath Agrawal felicitation volume /,,X001292641,BOOK,6/29/96,4/29/17,STACKS,1,1,0,2,1
4753748,2,ALDERMAN,STACKS,PK102 .Z5 B367 2007,2007,Studia Indologica : Professor Satya Ranjan Banerjee felicitation volume /,,X030405113,BOOK,8/19/08,1/1/00,STACKS,0,0,0,0,1
1027864,2,ALDERMAN,STACKS,PK102 .Z5 B72,1962,"Indological studies in honor of W. Norman Brown,",American Oriental Society.,X000489475,BOOK,6/29/96,1/1/00,STACKS,0,0,2,2,1
