Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
3958741,2,ALDERMAN,STACKS,BH102 .B34 2003,2003,The graven image : representation in Babylonia and Assyria /,"Bahrani, Zainab,",X004706906,BOOK,8/12/03,5/26/10,STACKS,0,0,0,4,1
4457371,2,ALDERMAN,STACKS,BH106 .C36 2006,2006,Nefer : the aesthetic ideal in classical Egypt /,"Cannon-Brown, Willie.",X030115506,BOOK,1/23/07,2/2/10,STACKS,0,0,0,1,1
5842617,2,ALDERMAN,STACKS,BH108 .A37 2012,2012,Aesthetic value in classical antiquity /,,X030853364,BOOK,12/3/12,4/10/18,CHECKEDOUT,5,8,3,13,1
2353750,2,ALDERMAN,STACKS,BH108 .D32 1993,1993,Temi platonici ed educazione estetica /,"D'Acunto, Pietro.",X002574965,BOOK,7/1/96,9/22/08,STACKS,0,0,0,1,1
1156312,2,ALDERMAN,STACKS,BH108 .D38 1968,1968,Iskusstvo kak sot?siologicheski? fenomen.,"Davydov, I?Uri? Nikolaevich.",X001407433,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
7305251,2,ALDERMAN,STACKS,BH108 .G74 2017,2017,Aesthetic experiences and classical antiquity : the significance of form in narratives and pictures /,"Grethlein, Jonas,",X031818313,BOOK,11/27/17,8/10/18,STACKS,2,0,1,2,1
6515452,2,ALDERMAN,STACKS,BH108 .K66 2014,2014,Beauty : the fortunes of an ancient Greek idea /,"Konstan, David.",X031708929,BOOK,3/11/15,5/2/18,CHECKEDOUT,2,5,0,7,1
6831240,2,ALDERMAN,STACKS,BH109 .G87 2016,2016,Dissonance : auditory aesthetics in ancient Greece /,"Gurd, Sean Alexander,",X031790756,BOOK,8/17/16,6/11/18,CHECKEDOUT,2,7,0,9,1
3680878,2,ALDERMAN,STACKS,BH131 .B43 2000,2000,Le Beau et le laid au Moyen Age.,,X006101482,BOOK,1/12/01,10/10/09,STACKS,0,0,4,11,1
478400,2,ALDERMAN,STACKS,BH131 .B72 1975 v.1,1975,…tudes d'esthÈtique mÈdiÈvale.,"Bruyne, Edgar de,",X000210708,BOOK,6/29/96,10/11/09,STACKS,0,0,0,13,1
478400,2,ALDERMAN,STACKS,BH131 .B72 1975 v.2,1975,…tudes d'esthÈtique mÈdiÈvale.,"Bruyne, Edgar de,",X000210707,BOOK,6/29/96,7/18/02,CHECKEDOUT,0,0,0,13,1
478400,2,ALDERMAN,STACKS,BH131 .B72 1975 v.3,1975,…tudes d'esthÈtique mÈdiÈvale.,"Bruyne, Edgar de,",X000210715,BOOK,6/29/96,7/18/02,CHECKEDOUT,0,0,0,13,1
1156314,2,ALDERMAN,STACKS,BH131 .B7213 1969,1969,The esthetics of the Middle Ages.,"Bruyne, Edgar de,",X000213940,BOOK,6/29/96,12/13/16,STACKS,1,0,2,29,1
326307,2,ALDERMAN,STACKS,BH131 .B722,1947,L'esthÈtique du Moyen ¬ge.,"Bruyne, Edgar de,",326307-1002,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
326307,2,ALDERMAN,STACKS,BH131 .B722,1947,L'esthÈtique du Moyen ¬ge.,"Bruyne, Edgar de,",X000498396,BOOK,6/28/96,1/1/00,STACKS,0,0,0,2,1
6133933,2,ALDERMAN,STACKS,BH131 .C365 2013,2013,The experience of beauty in the Middle Ages /,"Carruthers, Mary J. (Mary Jean),",X031583503,BOOK,9/17/13,10/14/15,CHECKEDOUT,6,13,0,19,1
1316973,2,ALDERMAN,STACKS,BH131 .E27 1987,1987,Arte e bellezza nell'estetica medievale /,"Eco, Umberto.",X001502673,BOOK,6/30/96,9/22/08,STACKS,0,0,0,2,1
5405050,2,ALDERMAN,STACKS,BH131 .J3713 2011,2011,Beauty and being : Thomistic perspectives /,"Jaroszy?ski, Piotr.",X031197043,BOOK,8/22/11,5/16/18,CHECKEDOUT,1,1,1,2,1
53160,2,ALDERMAN,STACKS,BH131 .K48 1982,1982,Khudozhestvenny? i?azyk srednevekov?i?a /,,X000868790,BOOK,6/28/96,1/31/05,STACKS,0,0,0,2,1
1763777,2,ALDERMAN,STACKS,BH131 .M67 1990,1990,History as a visual art in the twelfth-century renaissance /,"Morrison, Karl F. (Karl Frederick),",X001831802,BOOK,6/30/96,7/23/09,STACKS,0,0,0,36,1
