Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
5390583,2,ALDERMAN,STACKS,BM100 .K73 2011,2011,The greening of American orthodox Judaism : Yavneh in the nineteen sixties /,"Kraut, Benny.",X030949505,BOOK,7/15/11,1/1/00,STACKS,0,0,0,0,1
359360,2,ALDERMAN,STACKS,BM103 .A313,1977,Jewish education in Israel and in the United States /,"Adar, Zvi.",X000038025,BOOK,6/28/96,10/10/08,STACKS,0,0,0,4,1
2638021,2,ALDERMAN,STACKS,BM103 .C65 1996,1996,The child in Jewish history /,"Cooper, John,",X004071954,BOOK,1/2/97,11/24/06,STACKS,0,0,3,4,1
4004743,2,ALDERMAN,STACKS,BM103 .G65 2004,2004,Making the bible modern : children's bibles and Jewish education in twentieth-century America /,"Gold, Penny Schine.",X004742658,BOOK,2/3/04,1/13/14,STACKS,1,0,1,10,1
802865,2,ALDERMAN,STACKS,BM103 .G7 1915,1915,Methods of teaching the Jewish religion in junior and senior grades.,"Greenstone, Julius H. (Julius Hillel),",X001175383,BOOK,6/29/96,6/19/06,STACKS,0,0,0,4,1
2713547,2,ALDERMAN,STACKS,BM103 .H48 1968,1968,"Yesodot ha-?inukh,  b si?ot pedagogiyot.  c [Targum: Avi?ezri Volf ve-Shalom Pushinski]","Hirsch, Samson Raphael,",X004148838,BOOK,8/29/97,10/10/08,STACKS,0,0,0,0,1
1624760,2,ALDERMAN,STACKS,BM103 .J394 1989,1989,Jewish education worldwide : cross-cultural perspectives /,,X001665953,BOOK,6/30/96,4/15/02,STACKS,0,0,1,26,1
6262418,2,ALDERMAN,STACKS,BM103 .J396 2013,2013,Jewish literacy and education /,,X031629035,BOOK,7/22/14,1/1/00,STACKS,0,0,0,0,1
1973985,2,ALDERMAN,STACKS,BM103 .R63 1987,1987,Commandments and concerns : Jewish religious education in secular society /,"Rosenak, Michael.",X002108553,BOOK,6/30/96,6/29/01,STACKS,0,0,1,9,1
3799379,2 14,ALDERMAN,STACKS,BM103 .R635 2001,2001,"Tree of life, tree of knowledge : conversations with the Torah /","Rosenak, Michael.",X004555967,BOOK,12/14/01,12/3/02,STACKS,0,0,0,2,1
20854,2,ALDERMAN,STACKS,BM103 .S78 1984,1984,Studies in Jewish education and Judaica in honor of Louis Newman = [Li-lemod ule-lamed] /,,X000690534,BOOK,6/28/96,3/14/06,STACKS,0,0,2,8,1
288186,2,ALDERMAN,STACKS,BM105 .D73,1978,Judaism : the way of sanctification /,"Dresner, Samuel H.",X000403990,BOOK,6/28/96,1/1/00,STACKS,0,0,2,1,1
1775526,2,ALDERMAN,STACKS,BM105 .G74 1905,1905,The religion of Israel : a book for use in religious schools and the home.,"Greenstone, Julius H. (Julius Hillel),",X004078881,BOOK,6/30/96,4/21/98,STACKS,0,0,0,2,1
1162116,2,ALDERMAN,STACKS,BM105 .P37 1944,1944,"The Jewish kindergarten, a manual for teachers,","Pessin, Deborah.",X001175359,BOOK,6/29/96,10/10/08,STACKS,0,0,1,2,1
1162117,2,ALDERMAN,STACKS,BM107 .A85,1965,"Bible heroes, a book for young Jews,","Avnon, Isaak.",X000503905,BOOK,6/29/96,10/10/08,STACKS,0,0,0,14,1
1613812,2,ALDERMAN,STACKS,BM109 .C6 S36 1989,1989,Ethnic survival in America : an ethnography of a Jewish afternoon school /,"Schoem, David Louis.",X001665773,BOOK,6/30/96,3/30/14,STACKS,1,0,1,8,1
4429063,2,ALDERMAN,STACKS,BM135 .P53 2006,2006,"A place of our own : the rise of Reform Jewish camping : essays honoring the fiftieth anniversary of Olin-Sang-Ruby Union Institute, Union for Reform Judaism, in Oconomowoc, Wisconsin /",,X030108114,BOOK,10/31/06,11/22/10,STACKS,0,0,1,3,1
6299039,2,ALDERMAN,STACKS,BM150 .F56 2014,2014,"Art, history, and the historiography of Judaism in Roman antiquity /","Fine, Steven.",X031640053,BOOK,6/23/14,10/27/16,STACKS,2,0,0,2,1
4018890,2,ALDERMAN,STACKS,BM150 .S34 2003,2003,Understanding Second Temple and rabbinic Judaism /,"Schiffman, Lawrence H.",X004772695,BOOK,3/26/04,4/30/18,STACKS,2,1,0,23,1
463629,2 3,ALDERMAN,STACKS,BM155 .E58 1959,1959,Judaism; a historical presentation.,"Epstein, Isidore,",X000157808,BOOK,6/29/96,11/27/18,CHECKEDOUT,0,124,2,170,1
45589,2,ALDERMAN,STACKS,BM155 .G42513 1985,1985,Judaism and its history : in two parts /,"Geiger, Abraham,",X001049525,BOOK,6/28/96,5/1/14,STACKS,1,0,0,5,1
408148,2 14,ALDERMAN,STACKS,BM155 .K3743 1960,1960,"The religion of Israel, from its beginnings to the Babylonian exile.","Kaufmann, Ye?ezkel,",X000132330,BOOK,6/28/96,1/12/11,STACKS,0,0,1,11,1
408148,2 14,ALDERMAN,STACKS,BM155 .K3743 1960,1960,"The religion of Israel, from its beginnings to the Babylonian exile.","Kaufmann, Ye?ezkel,",X000132331,BOOK,6/28/96,10/30/07,STACKS,0,0,0,13,1
1162122,2,ALDERMAN,STACKS,BM155 .O3 1930,1930,"Hebrew religion, its origin and development,","Oesterley, W. O. E. (William Oscar Emil),",X001752016,BOOK,6/29/96,10/10/08,STACKS,0,0,0,4,1
4784009,2,ALDERMAN,STACKS,BM155 .P4 1923,1923,The religion of the Hebrews /,"Peters, John P. (John Punnett),",X030499874,BOOK,10/17/08,10/6/17,STACKS,0,0,0,0,1
4391112,2,ALDERMAN,STACKS,BM155 .P4 1932,1932,The religion of the Hebrews /,"Peters, John P. (John Punnett),",X030125761,BOOK,8/24/06,1/1/00,STACKS,0,0,0,0,1
1617156,2,ALDERMAN,STACKS,BM155.2 .A84 1985,1985,Ta?q?q? dar d?n-i Yah?d /,"?shtiy?n?, Jal?l al-D?n.",X001664656,BOOK,6/30/96,1/1/00,STACKS,0,0,0,0,1
174187,2 3 14,ALDERMAN,STACKS,BM155.2 .C35 Order,1984,The Cambridge history of Judaism /,,174187-6001,BOOK,2/25/98,1/1/00,STACKS,0,0,0,0,1
174187,2 3 14,CLEMONS,BY-REQUEST,BM155.2 .C35 Order AAT8510-002,1984,The Cambridge history of Judaism /,,174187-5001,BOOK,2/19/98,1/1/00,BY-REQUEST,0,0,0,0,1
174187,2 3 14,ALDERMAN,STACKS,BM155.2 .C35 v.1,1984,The Cambridge history of Judaism /,,X000817986,BOOK,6/28/96,9/9/10,STACKS,0,0,4,21,1
