Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
4683421,2,ALDERMAN,STACKS,BS1 .W55 2007,2007,The Kabbalistic scholars of the Antwerp Polyglot Bible /,"Wilkinson, Robert,",X030257442,BOOK,1/29/08,10/12/16,STACKS,1,0,0,1,1
1172639,2,ALDERMAN,STACKS,BS1 1863 v.1,1863,"Polyglotten--Bibel zum praktischen Handgebrauch. Die Heilige Schrift Alten und Neuen Testaments in ¸bersichtlicher Nebeneinanderstellung des Urtextes, der Septuaginta, Vulgata und Luther-Uebersetzung, so wie der wichtigsten Varianten der vornehmsten deutschen Uebersetzungen,",,X000938134,BOOK,6/29/96,11/24/08,STACKS,0,0,1,1,1
1172639,2,ALDERMAN,STACKS,BS1 1863 v.2 pt.1,1863,"Polyglotten--Bibel zum praktischen Handgebrauch. Die Heilige Schrift Alten und Neuen Testaments in ¸bersichtlicher Nebeneinanderstellung des Urtextes, der Septuaginta, Vulgata und Luther-Uebersetzung, so wie der wichtigsten Varianten der vornehmsten deutschen Uebersetzungen,",,X004726490,BOOK,11/21/03,6/21/15,STACKS,0,0,0,0,1
1172639,2,ALDERMAN,STACKS,BS1 1863 v.2 pt.2,1863,"Polyglotten--Bibel zum praktischen Handgebrauch. Die Heilige Schrift Alten und Neuen Testaments in ¸bersichtlicher Nebeneinanderstellung des Urtextes, der Septuaginta, Vulgata und Luther-Uebersetzung, so wie der wichtigsten Varianten der vornehmsten deutschen Uebersetzungen,",,X030509717,BOOK,11/19/08,1/6/09,STACKS,0,0,0,0,1
1172639,2,ALDERMAN,STACKS,BS1 1863 v.3,1863,"Polyglotten--Bibel zum praktischen Handgebrauch. Die Heilige Schrift Alten und Neuen Testaments in ¸bersichtlicher Nebeneinanderstellung des Urtextes, der Septuaginta, Vulgata und Luther-Uebersetzung, so wie der wichtigsten Varianten der vornehmsten deutschen Uebersetzungen,",,X030509568,BOOK,11/18/08,11/18/08,STACKS,0,0,0,0,1
1172639,2,ALDERMAN,STACKS,BS1 1863 v.4,1863,"Polyglotten--Bibel zum praktischen Handgebrauch. Die Heilige Schrift Alten und Neuen Testaments in ¸bersichtlicher Nebeneinanderstellung des Urtextes, der Septuaginta, Vulgata und Luther-Uebersetzung, so wie der wichtigsten Varianten der vornehmsten deutschen Uebersetzungen,",,X002449394,BOOK,6/29/96,5/27/99,STACKS,0,0,1,5,1
661495,2,ALDERMAN,STACKS,BS1 1869 t.1,1869,"Biblia sacra polyglotta : textus archetypos versionesque praecipuas ab ecclesia antiquitus receptas : necnon versiones recentiores Anglicanam, Germanicam, Italicam, Gallicam et Hispanicam complectentia : accedunt prolegomena in textuum archetyporum, versionumque antiquarum crisin literalem",,X032037045,BOOK,6/29/96,4/24/18,STACKS,1,0,0,3,1
661495,2,ALDERMAN,STACKS,BS1 1869 t.2,1869,"Biblia sacra polyglotta : textus archetypos versionesque praecipuas ab ecclesia antiquitus receptas : necnon versiones recentiores Anglicanam, Germanicam, Italicam, Gallicam et Hispanicam complectentia : accedunt prolegomena in textuum archetyporum, versionumque antiquarum crisin literalem",,X000897440,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,1
1172640,2,ALDERMAN,STACKS,BS1 1906 v.1,1901,The hexaglot Bible : comprising the Holy Scriptures of the Old and New Testaments in the original tongues;,,X002176393,BOOK,6/29/96,8/12/15,STACKS,0,0,2,5,1
1172640,2,ALDERMAN,STACKS,BS1 1906 v.2,1901,The hexaglot Bible : comprising the Holy Scriptures of the Old and New Testaments in the original tongues;,,X004274913,BOOK,4/19/99,6/21/15,STACKS,0,0,0,0,1
1172640,2,ALDERMAN,STACKS,BS1 1906 v.3,1901,The hexaglot Bible : comprising the Holy Scriptures of the Old and New Testaments in the original tongues;,,X031736997,BOOK,6/24/15,1/1/00,STACKS,0,0,0,0,1
1172640,2,ALDERMAN,STACKS,BS1 1906 v.4,1901,The hexaglot Bible : comprising the Holy Scriptures of the Old and New Testaments in the original tongues;,,X004286006,BOOK,11/12/98,6/21/15,STACKS,0,0,0,0,1
1172640,2,ALDERMAN,STACKS,BS1 1906 v.5,1901,The hexaglot Bible : comprising the Holy Scriptures of the Old and New Testaments in the original tongues;,,1172640-1001,BOOK,6/29/96,3/16/18,STACKS,0,0,2,8,1
1172640,2,ALDERMAN,STACKS,BS1 1906 v.6,1901,The hexaglot Bible : comprising the Holy Scriptures of the Old and New Testaments in the original tongues;,,X032037044,BOOK,6/29/96,6/21/15,STACKS,0,0,1,2,1
3885823,2,ALDERMAN,STACKS,BS100.3 .B53 2002,2002,"Biblia Sahidica : Ieremias, Lamentationes (Threni), Epistula Ieremiae et Baruch /",,X004627814,BOOK,9/19/02,9/11/07,STACKS,0,0,1,1,1
3976795,2,ALDERMAN,STACKS,BS100.5 .M53 2003,2003,"Papyrus Michigan 3520 und 6868(a) : Ecclesiastes, Erster Johannesbrief und Zweiter Petrusbrief im fayumischen Dialekt /",,X004735336,BOOK,10/23/03,1/1/00,STACKS,0,0,0,0,1
644516,2,ALDERMAN,STACKS,BS105 .G29 1980 v.1,1980,Ulfilas : Veteris et Novi Testamenti versionis Gothica fragmenta quae supersunt /,,X000785708,BOOK,6/29/96,9/20/10,STACKS,0,0,0,6,1
644516,2,ALDERMAN,STACKS,BS105 .G29 1980 v.2,1980,Ulfilas : Veteris et Novi Testamenti versionis Gothica fragmenta quae supersunt /,,X000785709,BOOK,6/29/96,9/20/10,STACKS,0,0,0,6,1
1229171,2,ALDERMAN,STACKS,BS105.5 .A7 K513 1984,1984,"Codex Argenteus, the Silver Bible at Uppsala /","Kleberg, Tˆnnes,",X001465756,BOOK,6/30/96,11/17/08,STACKS,0,0,1,0,1
6604952,2,ALDERMAN,STACKS,BS106 .F35 2015,2015,"The gothic version of the Gospels and Pauline Epistles : cultural background, transmission and character /","Falluomini, Carla,",X031786730,BOOK,7/22/15,1/1/00,STACKS,0,0,0,0,1
5077752,3,CLEMONS,BY-REQUEST,BS1091 .B37 2009,2009,A literary Bible /,,X004087435,BOOK,1/11/10,4/27/11,BY-REQUEST,0,0,0,4,1
765634,2,ALDERMAN,STACKS,BS1091 .B8 v.1,1889,"The Bible-work, the Old Testament; the revised text, arranged in sections; with comments selected from the choicest, most illuminating and helpful thoughts of the christian centuries, taken from four hundred scholarly writers.",,X030510079,BOOK,11/24/08,11/24/08,STACKS,0,0,0,0,1
765634,2,ALDERMAN,STACKS,BS1091 .B8 v.2,1889,"The Bible-work, the Old Testament; the revised text, arranged in sections; with comments selected from the choicest, most illuminating and helpful thoughts of the christian centuries, taken from four hundred scholarly writers.",,X030510080,BOOK,11/24/08,11/24/08,STACKS,0,0,0,0,1
765634,2,ALDERMAN,STACKS,BS1091 .B8 v.3,1889,"The Bible-work, the Old Testament; the revised text, arranged in sections; with comments selected from the choicest, most illuminating and helpful thoughts of the christian centuries, taken from four hundred scholarly writers.",,X000498808,BOOK,6/29/96,11/20/08,STACKS,0,0,0,0,1
3839244,2,ALDERMAN,STACKS,BS1091 .C57 2002,2002,Pathways through the Bible : classic selections from the Tanakh /,,X004589319,BOOK,5/28/02,1/1/00,STACKS,0,0,0,0,1
