Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
2262276,2,ALDERMAN,STACKS,DB1 .A31 Bd.118,1951,Die l‰ndliche Gerichtsverfassung Steiermarks vorwiegend im Mittelalter.,"Baltl, Hermann.",X031899895,BOOK,7/1/96,1/1/00,STACKS,0,0,0,0,1
2435435,2,ALDERMAN,STACKS,DB1 .A31 Bd.119,1952,Ein bisher unbekanntes Projekt zur Gr¸ndung einer ˆsterreichischen Akademie der Wissenschaften.,"Meister, Richard,",X031899892,BOOK,7/1/96,1/1/00,STACKS,0,0,0,0,1
2435442,2,ALDERMAN,STACKS,DB1 .A31 Bd.120,1954,Festgabe an das Institut f¸r ˆsterreichische Geschichtsforschung zur Feier seines hundert j‰hrigen Bestandes.,,X030806791,BOOK,7/1/96,2/1/11,STACKS,0,0,0,0,1
2262277,2,ALDERMAN,STACKS,DB1 .A31 Bd.121 Heft 1-3,1955,Habsburger im 17. Jahrhundert ; die Beziehungen der Hˆfe von Wien und Madrid w‰hrend des Dreissigj‰hrigen Krieges.,"Mecenseffy, Grete.",X004456973,BOOK,7/1/96,10/27/17,STACKS,0,0,0,2,1
2262280,2,ALDERMAN,STACKS,DB1 .A31 Bd.122 Heft 1-2,1959,÷sterreichisches Gesundheitswesen im Zeitalter des aufkl‰rten Absolutismus.,"Lesky, Erna.",X031769265,BOOK,7/1/96,1/1/00,STACKS,0,0,0,0,1
2262282,2,ALDERMAN,STACKS,DB1 .A31 Bd.123,1963,"Karolingische Markgrafen im S¸dosten ; fr‰nkische Reichsaristokratie und bayerischer Stammesadel im ˆsterreichischen Raum,","Mitterauer, Michael.",X000754790,BOOK,7/1/96,2/20/09,STACKS,0,0,0,6,1
2262283,2,ALDERMAN,STACKS,DB1 .A31 Bd.124,1964,Princeps in ecclesia; Untersuchungen zur Kirchenpolitik Herzog Albrechts v. von ÷sterreich.,"Koller, Gerda.",X031899896,BOOK,7/1/96,1/1/00,STACKS,0,0,0,0,1
2262284,2,ALDERMAN,STACKS,DB1 .A31 Bd.125,1966,Bausteine zur Geschichte ÷sterreichs.,,X031899891,BOOK,7/1/96,1/1/00,STACKS,0,0,0,0,1
2262285,2,ALDERMAN,STACKS,DB1 .A31 Bd.126,1967,÷sterreich und der Hl. Stuhl vom Ende des spanischen Erbfolgekrieges bis zum Tode Papst Klemens XI &lt;1714-1721&gt;,"Huber, Norbert,",X031899893,BOOK,7/1/96,1/1/00,STACKS,0,0,0,0,1
2262286,2,ALDERMAN,STACKS,DB1 .A31 Bd.127,1968,Hausstudium und Universit‰tsstudium der Wiener Dominikaner bis 1500.,"Frank, Isnard Wilhelm.",X031899897,BOOK,7/1/96,1/1/00,STACKS,0,0,0,0,1
2262287,2,ALDERMAN,STACKS,DB1 .A31 Bd.128 Heft 1-3,1969,"÷sterreichs Kampf gegen die liberalen, radikalen u. kommunistischen Schriften, 1835-1848.","Marx, Julius,",X031769266,BOOK,7/1/96,1/1/00,STACKS,0,0,0,0,1
