Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
4607001,2,ALDERMAN,STACKS,DH101 .H88 2007,2007,Historical dictionary of the Netherlands /,"Koopmans, Joop W.",X030260751,BOOK,7/10/07,12/8/07,STACKS,0,0,0,3,1
6786190,2,ALDERMAN,STACKS,DH101 .H88 2016,2016,Historical dictionary of the Netherlands /,"Koopmans, Joop W.,",X031758274,BOOK,7/11/16,1/1/00,STACKS,0,0,0,0,1
599965,2,ALDERMAN,STACKS,DH101 .S5,1973,"The Netherlands, 57 B.C.-1971 a chronology and factbook,","Smit, Pamela.",X000061485,BOOK,6/29/96,1/7/08,STACKS,0,0,0,2,1
127102,2,ALDERMAN,STACKS,DH101 .V64,1981,Nijhoffs geschiedenislexicon Nederland en BelgiÎ /,"Volmuller, H. W. J.",X000322626,BOOK,6/28/96,1/1/00,STACKS,0,0,2,0,1
279449,2,ALDERMAN,STACKS,DH107 .A58 V.1,1970,Algemene geschiedenis der Nederlanden /,,X000216089,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
279449,2,ALDERMAN,STACKS,DH107 .A58 V.10,1970,Algemene geschiedenis der Nederlanden /,,X000216090,BOOK,6/28/96,5/9/01,STACKS,0,0,0,1,1
279449,2,ALDERMAN,STACKS,DH107 .A58 V.11,1970,Algemene geschiedenis der Nederlanden /,,X000670562,BOOK,6/28/96,12/20/06,STACKS,0,0,0,2,1
279449,2,ALDERMAN,STACKS,DH107 .A58 V.12,1970,Algemene geschiedenis der Nederlanden /,,X000170499,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
279449,2,ALDERMAN,STACKS,DH107 .A58 V.13,1970,Algemene geschiedenis der Nederlanden /,,X000176393,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
279449,2,ALDERMAN,STACKS,DH107 .A58 V.14,1970,Algemene geschiedenis der Nederlanden /,,X000176614,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
279449,2,ALDERMAN,STACKS,DH107 .A58 V.15,1970,Algemene geschiedenis der Nederlanden /,,X000481181,BOOK,6/28/96,1/1/00,STACKS,0,0,1,1,1
279449,2,ALDERMAN,STACKS,DH107 .A58 V.2,1970,Algemene geschiedenis der Nederlanden /,,X000481224,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
279449,2,ALDERMAN,STACKS,DH107 .A58 V.3,1970,Algemene geschiedenis der Nederlanden /,,X000483187,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
279449,2,ALDERMAN,STACKS,DH107 .A58 V.4,1970,Algemene geschiedenis der Nederlanden /,,X000176392,BOOK,6/28/96,1/18/13,STACKS,0,0,0,0,1
279449,2,ALDERMAN,STACKS,DH107 .A58 V.5,1970,Algemene geschiedenis der Nederlanden /,,X000176405,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
279449,2,ALDERMAN,STACKS,DH107 .A58 V.6,1970,Algemene geschiedenis der Nederlanden /,,X000176388,BOOK,6/28/96,10/12/10,STACKS,0,0,0,0,1
279449,2,ALDERMAN,STACKS,DH107 .A58 V.7,1970,Algemene geschiedenis der Nederlanden /,,X000176394,BOOK,6/28/96,10/12/10,STACKS,0,0,0,1,1
279449,2,ALDERMAN,STACKS,DH107 .A58 V.8,1970,Algemene geschiedenis der Nederlanden /,,X000176404,BOOK,6/28/96,5/9/01,STACKS,0,0,0,1,1
279449,2,ALDERMAN,STACKS,DH107 .A58 V.9,1970,Algemene geschiedenis der Nederlanden /,,X000176390,BOOK,6/28/96,5/9/01,STACKS,0,0,0,1,1
949619,2,ALDERMAN,STACKS,DH107 .A6 V.1,1949,Algemene geschiedenis der Nederlanden;,,X031870275,BOOK,11/7/17,1/1/00,STACKS,0,0,0,0,1
949619,2,ALDERMAN,STACKS,DH107 .A6 V.10,1949,Algemene geschiedenis der Nederlanden;,,X031870277,BOOK,11/7/17,1/1/00,STACKS,0,0,0,0,1
