Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
1787281,2,ALDERMAN,STACKS,DJK1 .U2 1980,1980,Diverze z Èteru : pravda o ?tvav˝ch vysÌla?k·ch svoboda a svobodn· Evropa /,U kulatÈho stolu,X001842733,BOOK,6/30/96,1/1/00,STACKS,0,0,0,0,1
4673348,2,ALDERMAN,STACKS,DJK1.5 .C46 2007,2007,Central European history and the European Union : the meaning of Europe /,,X030276489,BOOK,12/13/07,2/16/09,STACKS,0,0,0,0,1
1265614,2,ALDERMAN,STACKS,DJK1.5 .R36,1979,"Rapports, co-rapports, communications tchÈcoslovaques pour le IVe congrËs de l'Association internationale d'Ètudes du Sud-est europÈen /",,X001337913,BOOK,6/30/96,1/1/00,STACKS,0,0,0,0,1
1998659,2,ALDERMAN,STACKS,DJK1.5 .S624 1992,1992,"Slavi?ane i ikh sosedi : osmanskai?a imperii?a i narody t?sentral?no?, vostochno? i i?ugo-vostochno? Evropy i Kavkaza v XIV-XVIII vv. : tezisy XI konferent?sii /",,X031914550,BOOK,6/30/96,1/1/00,STACKS,0,0,0,1,1
4014004,2,ALDERMAN,STACKS,DJK10.5 .G43 2003,2003,Ged‰chtnisorte in Osteuropa : Vergangenheiten auf dem Pr¸fstand /,,X004789242,BOOK,3/11/04,11/15/12,STACKS,0,0,0,0,1
3697644,2,ALDERMAN,STACKS,DJK11 .E876 1999,1999,"Europa nie prowincjonalna : przemiany na ziemiach wschodnich dawnej Rzeczypospolitej (Bia?oru?, Litwa, ?otwa, Ukraina, wschodnie pogranicze III Rzeczypospolitej Polskiej) w latach 1772-1999 / praca zbiorowa pod redakcj? Krzysztofa Jasiewicza = Non-provincial Europe : changes on the Eastern Territories of the former Polish Re",,X004530110,BOOK,3/8/01,1/1/00,STACKS,0,0,0,0,1
3578974,2,ALDERMAN,STACKS,DJK11 .G74 2000,2000,Grenzen in Ostmitteleuropa im 19. und 20. Jahrhundert : aktuelle Forschungsprobleme /,,X004532403,BOOK,11/6/00,1/1/00,STACKS,0,0,0,0,1
1327641,2,ALDERMAN,STACKS,DJK12 .T87 1989,1989,"Eastern Europe : an historical geography, 1815-1945 /","Turnock, David.",X001508897,BOOK,6/30/96,11/21/05,STACKS,0,0,0,4,1
11590,2,ALDERMAN,STACKS,DJK13 .L36 1983,1983,"Landesbeschreibungen Mitteleuropas vom 15. bis 17. Jahrhundert : Vortr‰ge der 2. internationalen Tagung des ""Slawenkomitees"" im Herder-Institut Marburg a.d. Lahn, 10.-13. November 1980 /",,X000976564,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
2354148,2,ALDERMAN,STACKS,DJK13 .W65 1994,1994,Inventing Eastern Europe : the map of civilization on the mind of the Enlightenment /,"Wolff, Larry.",X002533539,BOOK,7/1/96,11/16/18,CHECKEDOUT,2,0,6,52,1
