Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
7344018,2,ALDERMAN,STACKS,DU1 .I44 1945 v.2 no.1,1945,The Australian balance of payments /,"Giblin, L. F. (Lyndhurst Falkiner),",X031955551,BOOK,1/16/18,1/1/00,STACKS,0,0,0,0,1
7344017,2,ALDERMAN,STACKS,DU1 .I44 1945 v.5 no.3,1945,A program of social and cultural activity in Indo-China /,De La R. (De La Roche),X031955550,BOOK,1/16/18,1/1/00,STACKS,0,0,0,0,1
272885,2,ALDERMAN,STACKS,DU1 .I525 1947 no.1,1947,"United States economic policy towards the Philippine Republic. Based on a larger IPR research report on United States relations with the Philippine Republic to be pub. later. Submitted by the American IPR as a document for the Tenth Conference of the Institute of Pacific Relations to be held at Stratford-upon-Avon, England, Sept","Jenkins, Shirley.",X001124512,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
272885,2,ALDERMAN,STACKS,DU1 .I525 1947 no.1,1947,"United States economic policy towards the Philippine Republic. Based on a larger IPR research report on United States relations with the Philippine Republic to be pub. later. Submitted by the American IPR as a document for the Tenth Conference of the Institute of Pacific Relations to be held at Stratford-upon-Avon, England, Sept","Jenkins, Shirley.",X030533117,BOOK,3/16/09,3/16/09,STACKS,0,0,0,0,1
4865699,2,ALDERMAN,STACKS,DU1 .I525 1947 no.2,1947,Two problems related to economic development in the Orient : Based on a larger research study for the IPR on economic development in the Orient /,"Staley, Eugene,",X030574082,BOOK,4/20/09,5/4/09,STACKS,0,0,0,0,1
972953,2,ALDERMAN,STACKS,DU1 .I525 1947 no.3,1947,American business with East Asia;,"Stein, Guenther.",X030533116,BOOK,6/29/96,3/16/09,STACKS,0,0,0,0,1
972954,2,ALDERMAN,STACKS,DU1 .I525 1947 no.4,1947,"The results of the Allied occupation of Japan, an interim report.","Martin, Edwin M.",X000501308,BOOK,6/29/96,3/16/09,STACKS,0,0,0,3,1
972955,2,ALDERMAN,STACKS,DU1 .I525 1947 no.5,1947,Issues in Micronesia;,"Dean, Arthur Lyman,",X002706984,BOOK,6/29/96,3/16/09,STACKS,0,0,1,1,1
972956,2,ALDERMAN,STACKS,DU1 .I525 1950 no.2,1950,American policy in Southeast Asia.,"Finkelstein, Lawrence S.",X000382682,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
972957,2,ALDERMAN,STACKS,DU1 .I525 1950 no.3,1950,Commentaries on American Far Eastern policy.,"Lippmann, Walter,",X000382669,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
972959,2,ALDERMAN,STACKS,DU1 .I54 1936 no.17,1936,"The red influence in China,","?tsuka, Reiz?,",X030533110,BOOK,6/29/96,3/16/09,STACKS,0,0,0,0,1
972958,2,ALDERMAN,STACKS,DU1 .I54 1936 no.5,1936,"Small-scale industries of Japan: the woollen industry,","Ueda, Teijir?,",X030533115,BOOK,6/29/96,3/16/09,STACKS,0,0,0,0,1
87537,2,ALDERMAN,STACKS,DU1 .I54 1936 no.6,1936,"Small-scale industries of Japan: the rayon textile industry,","Ueda, Teijir?,",X001124513,BOOK,6/28/96,1/12/18,STACKS,0,0,0,0,1
87537,2,ALDERMAN,STACKS,DU1 .I54 1936 no.6,1936,"Small-scale industries of Japan: the rayon textile industry,","Ueda, Teijir?,",X004456175,BOOK,10/29/01,7/14/14,STACKS,2,1,0,3,1
4865701,2,ALDERMAN,STACKS,DU1 .I54 1950 no.1,1950,Japan's economy--present and future /,"Tsuru, Shigeto,",X030574083,BOOK,4/20/09,1/29/13,STACKS,1,0,0,1,1
972960,2,ALDERMAN,STACKS,DU1 .I54 1950 no.2,1950,Japan's role in Asiatic trade.,"Katayama, Kenji.",X030533114,BOOK,6/29/96,3/16/09,STACKS,0,0,1,0,1
972961,2,ALDERMAN,STACKS,DU1 .I54 1950 no.3,1950,Nationalism in post-war Japan.,"Maruyama, Masao,",X030533113,BOOK,6/29/96,3/16/09,STACKS,0,0,0,0,1
972962,2,ALDERMAN,STACKS,DU1 .I54 1954 no.4,1954,The present and future of Japan's population.,"Okazaki, Ayanori,",X001818413,BOOK,6/29/96,3/16/09,STACKS,0,0,1,6,1
633266,2,ALDERMAN,STACKS,DU1 .I54 1958 no.1,1958,Development of the trade between Japan and Communist China--its present problems and its future.,"Miyashita, Tadao,",X001124514,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
633266,2,ALDERMAN,STACKS,DU1 .I54 1958 no.1,1958,Development of the trade between Japan and Communist China--its present problems and its future.,"Miyashita, Tadao,",X032403903,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
972963,2,ALDERMAN,STACKS,DU1 .I54 1958 no.2,1958,"Japan's foreign policy: conservative and socialist views,","Ashida, Hitoshi,",X030533112,BOOK,6/29/96,3/16/09,STACKS,0,0,0,0,1
621179,2,ALDERMAN,STACKS,DU1 .I54 1958 no.3,1958,"Some problems of Japan's foreign relations; excerpts from the Foreign policy Blue book,",Japan. Gaimush?.,X001124490,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
