Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
7330389,2,ALDERMAN,STACKS,K100 .H34 2018,2018,Die Historische Rechtsschule /,"Haferkamp, Hans-Peter,",X032057756,BOOK,1/9/18,1/24/18,STACKS,1,0,0,1,1
1846876,2,ALDERMAN,STACKS,K1004.3 .Y55 1990,1990,Ying Han guo ji mao yi he tong shu yu ci dian /,,X001979662,BOOK,6/30/96,8/17/07,STACKS,0,0,0,0,1
4773160,2,ALDERMAN,STACKS,K1004.6 .Y57 2005,2005,Ying Han fa l¸ yong yu da ci dian /,,X030557549,BOOK,9/16/08,4/28/11,STACKS,0,0,0,2,1
3678225,2 17,ALDERMAN,STACKS,K1005 .J87 2000,2000,The jurisprudential foundations of corporate and commercial law /,,X004473794,BOOK,2/27/01,8/30/07,STACKS,0,0,0,9,1
2770851,2 17,ALDERMAN,STACKS,K103 .S63 E38 1997,1997,Educating for justice : social values and legal education /,,X004120276,BOOK,2/24/98,5/14/16,STACKS,0,19,0,38,1
1301542,2,ALDERMAN,STACKS,K1030.4 .D83 1987,1987,Wereldrecht en wereldconflictenrecht voor de internationale koopovereenkomst /,"Dubbink, C. W.",X001489835,BOOK,6/30/96,4/6/10,STACKS,0,0,0,0,1
1215866,2,ALDERMAN,STACKS,K1030.4 .H3,1975,Dir?sah f? q?n?n al-tij?rah al-dawl?yah (ma?a al-ihtim?m bi-al-buy?? al-dawl?yah),"?ab?b, Tharwat.",X032179501,BOOK,6/30/96,1/1/00,STACKS,0,0,0,0,1
35865,3,CLEMONS,BY-REQUEST,K1030.4 .M38 1984,1984,Marketing by agreement : a cross-cultural approach to business negotiations /,"McCall, J. B.",X000969206,BOOK,6/28/96,7/24/08,BY-REQUEST,0,0,0,4,1
1364821,3,CLEMONS,BY-REQUEST,K1030.4 .M38 1989,1989,Marketing by agreement : a cross-cultural approach to business negotiations /,"McCall, J. B.",X001666349,BOOK,6/30/96,7/24/08,BY-REQUEST,0,0,0,5,1
1266327,2 17,ALDERMAN,STACKS,K106 .R9 M5,1947,Medieval Russian laws /,,X001180797,BOOK,6/30/96,6/2/10,STACKS,0,0,2,6,1
4318398,3 17,CLEMONS,BY-REQUEST,K1066 .A9154 2006,2006,Global governance of financial systems : the international regulation of systemic risk /,"Alexander, Kern,",X030358283,BOOK,2/11/08,2/25/08,BY-REQUEST,0,0,7,1,1
2813033,2,ALDERMAN,STACKS,K1066 .F565 1998,1998,"Financial regulation : why, how, and where now? /",,X006045284,BOOK,7/15/98,10/13/17,STACKS,1,8,0,12,1
2229511,2,ALDERMAN,STACKS,K1066 .G75 1993,1993,The growth of the bank as institution and the development of money-business law /,,X002329088,BOOK,7/1/96,8/17/07,STACKS,0,0,0,3,1
788895,2,ALDERMAN,STACKS,K1070 .Y8 1986,1986,The banking and credit system in Yugoslavia : and the innovations introduced by the Law on the Principles of Banking and Credit System adopted in December 1985 /,"Ognjanovi?, Vuk.",X001255603,BOOK,6/29/96,8/17/07,STACKS,0,0,0,1,1
114955,2,ALDERMAN,STACKS,K1088 .T76,1981,The regulation of foreign banks : policy formation in countries outside the United States /,"Tschoegl, Adrian E.",X000604889,BOOK,6/28/96,8/17/07,STACKS,0,0,0,0,1
2322324,2 17,ALDERMAN,STACKS,K110 .I46 T65 1994,1994,The International Commission of Jurists : global advocates for human rights /,"Tolley, Howard.",X002498380,BOOK,7/1/96,7/1/13,STACKS,1,2,0,8,1
2404503,2,ALDERMAN,STACKS,K1112 .A48 1991,1991,"A?k?m ?uk?k al-istithm?r f? sharik?t taw??f ""talaqq?"" al-amw?l ?ibqan lil-Q?n?n raqm 146 li-sanat 1988 : dir?sah muq?rinah bi- al-shar??ah al-Isl?m?yah /","Zarq?, Mu?ammad A?mad,",X002606162,BOOK,7/1/96,8/17/07,STACKS,0,0,0,0,1
6833295,2,ALDERMAN,STACKS,K1114 .T35 2014,2014,Le contrat de conservatian des titres financiers et loi applicable aux titres intermÈdiÈs /,"Taleb, Fatiha,",X031777557,BOOK,8/29/16,1/1/00,STACKS,0,0,0,0,1
711432,2,ALDERMAN,STACKS,K115 .D43 1984,1984,Aspetti della cultura giuridica austriaca nel Settecento /,"Di Simone, Maria Rosa.",X001223286,BOOK,6/29/96,4/6/10,STACKS,0,0,0,0,1
2395211,2,ALDERMAN,STACKS,K115 .H46 1994,1994,California lawyers view the future : a report to the Commission on the Future of the Legal Profession and the State Bar /,"Hensler, Deborah R.,",X002537320,BOOK,7/1/96,12/6/97,STACKS,0,0,0,3,1
