Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
382518,2,ALDERMAN,STACKS,PD101 .A5,1975,A concise grammar of the older Runic inscriptions /,"Antonsen, Elmer H.",X000714038,BOOK,6/28/96,4/26/97,STACKS,0,0,0,2,1
225586,2,ALDERMAN,STACKS,PD101 .D45,1907,"Synkretismus, ein Beitrag zur germanischen Kasuslehre /","Delbr¸ck, Berthold,",X000915980,BOOK,6/28/96,11/16/07,STACKS,0,0,0,2,1
2831754,2,ALDERMAN,STACKS,PD101 .I57 1995 v.1,1995,Insights in Germanic linguistics /,,X002653244,BOOK,9/16/98,11/6/09,STACKS,0,0,0,0,1
2831754,2,ALDERMAN,STACKS,PD101 .I57 1995 v.2,1995,Insights in Germanic linguistics /,,X004188526,BOOK,9/16/98,1/1/00,STACKS,0,0,0,0,1
1296366,2,ALDERMAN,STACKS,PD101 .J33 1985,1985,Jacob und Wilhelm Grimm als Sprachwissenschaftler : Geschichtlichkeit und Aktualit‰t ihres Wirkens.,,X001433137,BOOK,6/30/96,8/15/02,STACKS,0,0,1,12,1
704449,2,ALDERMAN,STACKS,PD101 .K65 1986 Halbbd.1,1986,Kontrastive Grammatik Deutsch-Serbokroatisch /,,X001186177,BOOK,6/29/96,2/8/18,STACKS,0,0,0,2,1
704449,2,ALDERMAN,STACKS,PD101 .K65 1986 Halbbd.2,1986,Kontrastive Grammatik Deutsch-Serbokroatisch /,,X001186178,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,1
445730,2,ALDERMAN,STACKS,PD101 .K7 1963 V.1,1963,Germanische Sprachwissenschaft.,"Krahe, Hans,",X001153638,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
445730,2,ALDERMAN,STACKS,PD101 .K7 1963 v.2,1963,Germanische Sprachwissenschaft.,"Krahe, Hans,",X031981349,BOOK,2/12/18,1/1/00,STACKS,0,0,0,0,1
445730,2,ALDERMAN,STACKS,PD101 .K7 1963 V.3,1963,Germanische Sprachwissenschaft.,"Krahe, Hans,",X004061888,BOOK,1/5/00,11/6/09,STACKS,0,0,0,0,1
535035,2 3,ALDERMAN,STACKS,PD101 .M413 1970,1970,General characteristics of the Germanic languages.,"Meillet, A. (Antoine),",X000113504,BOOK,6/29/96,5/11/10,STACKS,0,0,1,3,1
535035,2 3,ALDERMAN,STACKS,PD101 .M413 1970,1970,General characteristics of the Germanic languages.,"Meillet, A. (Antoine),",X000321786,BOOK,6/29/96,4/21/18,CHECKEDOUT,1,1,0,11,1
564661,2,ALDERMAN,STACKS,PD101 .P7 1939,1939,"A comparative Germanic grammar, by E. Prokosch.","Prokosch, Eduard,",X000397943,BOOK,6/29/96,4/21/18,STACKS,2,1,0,7,1
564661,2,ALDERMAN,STACKS,PD101 .P7 1939,1939,"A comparative Germanic grammar, by E. Prokosch.","Prokosch, Eduard,",X000600458,BOOK,6/29/96,10/16/17,STACKS,1,0,0,2,1
506672,2,ALDERMAN,STACKS,PD101 .S75 1892,1892,Zur germanischen Sprachgeschichte /,"Streitberg, Wilhelm,",X001153639,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,1
198792,2,ALDERMAN,STACKS,PD1047 .R6 v.1,1979,Nordseegermanische Studien /,"Rooth, Erik,",X031981330,BOOK,2/9/18,1/1/00,STACKS,0,0,0,0,1
198792,2,ALDERMAN,STACKS,PD1047 .R6 V.2,1979,Nordseegermanische Studien /,"Rooth, Erik,",X000400356,BOOK,6/28/96,12/15/09,STACKS,0,0,0,0,1
198792,2,ALDERMAN,STACKS,PD1047 .R6 V.3,1979,Nordseegermanische Studien /,"Rooth, Erik,",X000985625,BOOK,6/28/96,11/6/09,STACKS,0,0,0,0,1
