Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
4899286,2,ALDERMAN,STACKS,P1 .S9 v.10 1979,1979,Selections from the third Groningen Round Table /,Groningen Round Table,X030570092,BOOK,8/7/09,1/1/00,STACKS,0,0,0,0,1
4897378,2,ALDERMAN,STACKS,P1 .S9 v.11 1979,1979,Presupposition /,,X000893296,BOOK,8/3/09,1/1/00,STACKS,0,0,0,0,1
4897379,2,ALDERMAN,STACKS,P1 .S9 v.12 1979,1979,Discourse and syntax /,,X000842919,BOOK,8/3/09,12/7/11,STACKS,0,0,1,2,1
4897380,2,ALDERMAN,STACKS,P1 .S9 v.13 1980,1980,Current approaches to syntax /,,X000833614,BOOK,8/3/09,1/1/00,STACKS,0,0,0,0,1
4890715,2,ALDERMAN,STACKS,P1 .S9 v.14 1981,1981,Tense and aspect /,,X001478109,BOOK,7/10/09,7/17/09,STACKS,0,0,0,0,1
4890713,2,ALDERMAN,STACKS,P1 .S9 v.15 1982,1982,Studies in transitivity /,,X000833639,BOOK,7/10/09,1/1/00,STACKS,0,0,1,0,1
4890712,2,ALDERMAN,STACKS,P1 .S9 v.16 1984,1984,The Syntax of native American languages /,,X000905998,BOOK,7/10/09,1/1/00,STACKS,0,0,1,0,1
4890711,2,ALDERMAN,STACKS,P1 .S9 v.17 1984,1984,Composite predicates in English /,"Cattell, N. R.",X000968288,BOOK,7/10/09,1/1/00,STACKS,0,0,1,0,1
4886608,2,ALDERMAN,STACKS,P1 .S9 v.18 1985,1985,Diachronic syntax : the Kartvelian case /,"Harris, Alice C.",X002031085,BOOK,7/1/09,1/1/00,STACKS,0,0,0,0,1
770558,2,ALDERMAN,STACKS,P1 .S9 v.19 1986,0,The syntax of pronominal clitics /,,X030589218,BOOK,7/1/09,1/1/00,STACKS,0,0,0,0,1
4886609,2,ALDERMAN,STACKS,P1 .S9 v.20 1987,1987,Discontinuous constituency /,,X002555292,BOOK,7/1/09,1/1/00,STACKS,0,0,0,0,1
4884151,2,ALDERMAN,STACKS,P1 .S9 v.21 1988,1988,Thematic relations /,,X001478339,BOOK,6/15/09,1/1/00,STACKS,0,0,0,0,1
4884152,2,ALDERMAN,STACKS,P1 .S9 v.22 1989,1989,Structure and case marking in Japanese /,"Miyagawa, Shigeru.",X001593801,BOOK,6/15/09,1/1/00,STACKS,0,0,1,0,1
4884153,2,ALDERMAN,STACKS,P1 .S9 v.23 1990,1990,The Syntax of the modern Celtic languages /,,X030588596,BOOK,6/15/09,1/1/00,STACKS,0,0,0,0,1
4884154,2,ALDERMAN,STACKS,P1 .S9 v.24 1990,1990,Modern Icelandic syntax /,,X001793161,BOOK,6/15/09,4/26/18,STACKS,2,2,0,8,1
4878908,2,ALDERMAN,STACKS,P1 .S9 v.25 1991,1991,Perspectives on phrase structure : heads and licensing /,,X002012006,BOOK,5/27/09,1/1/00,STACKS,0,0,0,0,1
4878909,2,ALDERMAN,STACKS,P1 .S9 v.26 1992,1992,Syntax and the lexicon /,,X002077331,BOOK,5/27/09,1/1/00,STACKS,0,0,0,0,1
4878910,2,ALDERMAN,STACKS,P1 .S9 v.27 1994,1994,The Syntactic structure of Hungarian /,,X002539997,BOOK,5/27/09,1/1/00,STACKS,0,0,0,0,1
4878142,2,ALDERMAN,STACKS,P1 .S9 v.28 1995,1995,Small clauses /,,X002609670,BOOK,5/20/09,1/1/00,STACKS,0,0,0,0,1
4878141,2,ALDERMAN,STACKS,P1 .S9 v.29 1998,1997,The limits of syntax /,,X004118401,BOOK,5/20/09,1/1/00,STACKS,0,0,0,0,1
4878140,2,ALDERMAN,STACKS,P1 .S9 v.30 1998,1998,Complex predicates in nonderivational syntax /,,X004134899,BOOK,5/20/09,9/10/13,STACKS,1,0,2,2,1
4875611,2,ALDERMAN,STACKS,P1 .S9 v.31 1998,1998,Sentence processing : a crosslinguistic perspective /,,X004134812,BOOK,5/8/09,1/1/00,STACKS,0,0,0,0,1
4875614,2,ALDERMAN,STACKS,P1 .S9 v.32 2000,2000,The nature and function of syntactic categories /,,X004356158,BOOK,5/8/09,1/1/00,STACKS,0,0,0,0,1
4875630,2,ALDERMAN,STACKS,P1 .S9 v.33 2001,2001,Long-distance reflexives /,,X004521447,BOOK,5/8/09,1/1/00,STACKS,0,0,0,0,1
4875631,2,ALDERMAN,STACKS,P1 .S9 v.34 2001,2001,Lexical functional grammar /,"Dalrymple, Mary.",X004568067,BOOK,5/8/09,1/1/00,STACKS,0,0,0,0,1
4875660,2,ALDERMAN,STACKS,P1 .S9 v.35 2005,2005,The dynamics of language : an introduction /,"Cann, Ronnie.",X004944375,BOOK,5/8/09,1/1/00,STACKS,0,0,0,0,1
4875661,2,ALDERMAN,STACKS,P1 .S9 v.36 2008,2008,Microvariation in syntactic doubling /,,X030575259,BOOK,5/8/09,1/1/00,STACKS,0,0,0,0,1
5540895,2,ALDERMAN,STACKS,P1 .S9 v.37 2011,2011,Experiments at the Interfaces /,"Runner, Jeffrey T.,",X031057381,BOOK,1/24/12,1/1/00,STACKS,0,0,0,0,1
5696107,2,ALDERMAN,STACKS,P1 .S9 v.38 2012,2012,The end of argument structure? /,,X030890887,BOOK,5/31/12,1/1/00,STACKS,0,0,0,0,1
6189387,2,ALDERMAN,STACKS,P1 .S9 v.39 2014,2014,Crosslinguistic studies on noun phrase structure and reference /,,X031623820,BOOK,1/27/14,1/1/00,STACKS,0,0,0,0,1
6604549,2,ALDERMAN,STACKS,P1 .S9 v.40 2015,2015,The syntax and semantics of pseudo-incorporation /,,X031737376,BOOK,7/20/15,1/1/00,STACKS,0,0,0,0,1
4899288,2,ALDERMAN,STACKS,P1 .S9 v.5 1976,1976,Japanese generative grammar /,,X000532300,BOOK,8/7/09,1/1/00,STACKS,0,0,1,0,1
4899289,2,ALDERMAN,STACKS,P1 .S9 v.6 1976,1976,The Grammar of causative constructions /,,X000299090,BOOK,8/7/09,1/1/00,STACKS,0,0,0,0,1
4899290,2,ALDERMAN,STACKS,P1 .S9 v.7 1976,1976,Notes from the linguistic underground /,,X000619227,BOOK,8/7/09,1/1/00,STACKS,0,0,0,0,1
4899284,2,ALDERMAN,STACKS,P1 .S9 v.8 1977,1977,Grammatical relations /,,X000178677,BOOK,8/7/09,1/17/13,STACKS,1,0,0,2,1
4899285,2,ALDERMAN,STACKS,P1 .S9 v.9 1978,1978,Pragmatics /,,X000859458,BOOK,8/7/09,1/1/00,STACKS,0,0,0,0,1
516052,2 14,ALDERMAN,STACKS,P10 .B7 v.7,1975,Perspective : a new freedom /,,516052-2001,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
7364645,2,ALDERMAN,STACKS,P1001 .M353 2017,2017,New religious texts from Lydia /,"Malay, Hasan,",X031849290,BOOK,2/20/18,3/30/18,STACKS,1,0,0,1,1
276820,2,ALDERMAN,STACKS,P1001 .R6,1978,Vergleichende Untersuchungen der altanatolischen Sprachen /,"Rosenkranz, Bernhard.",X032016880,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
254416,2,ALDERMAN,STACKS,P1001 .S58,1977,Slavi?anskoe i balkanskoe i?azykoznanie : Antichnai?a balkanistika i sravnit. grammatika : [Sbornik state?] /,,X032028254,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
659991,2,ALDERMAN,STACKS,P1004 .S4 1965,1965,Issledovanii?a po deshifrovke kari?skikh nadpise?.,"Shevoroshkin, V. V. (Vitali? Viktorovich)",X032028253,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
476540,2,ALDERMAN,STACKS,P1006.5 .S3 Bd.1 T.1,1974,Die ?attisch-hethitischen Bilinguen.,"Schuster, Hans-Siegfried.",X032026179,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
1777053,2,ALDERMAN,STACKS,P1009 .G8,1964,"Lydisches Wˆrterbuch, mit grammatischer Skizze und Inschriftensammlung.","Gusmani, Roberto.",X032016879,BOOK,6/30/96,1/1/00,STACKS,0,0,1,0,1
484894,2,ALDERMAN,STACKS,P1009 .G83,1975,"Neue epichorische Schriftzeugnisse aus Sardis, 1958-1971 /","Gusmani, Roberto.",X032026187,BOOK,6/29/96,1/1/00,STACKS,0,0,1,0,1
2519040,2,ALDERMAN,STACKS,P101 .A87 1996,1996,La philosophie du langage /,"Auroux, Sylvain.",X004041196,BOOK,7/1/96,11/4/96,STACKS,0,0,0,1,1
698658,2,ALDERMAN,STACKS,P101 .A9 1986,1986,"Laut, Stimme und Sprache : Studien zu drei Grundbegriffen der antiken Sprachtheorie /","Ax, Wolfram.",X001225625,BOOK,6/29/96,4/17/09,STACKS,0,0,0,3,1
583769,2,ALDERMAN,STACKS,P101 .B3 1788a,1968,"The theory of language, 1788.","Beattie, James,",X001149758,BOOK,6/29/96,5/20/97,STACKS,0,0,0,2,1
757507,2,ALDERMAN,STACKS,P101 .B3 1974,1974,The theory of language.,"Beattie, James,",X001158218,BOOK,6/29/96,10/7/09,STACKS,0,0,1,1,1
105216,2,ALDERMAN,STACKS,P101 .B4 1984,1984,"La rÈunion des langues : ou l'art de les apprendre toutes, par une seule /","Besnier, Pierre,",X031980640,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
5520872,2,ALDERMAN,STACKS,P101 .B52 2011,2011,De ratione communi omnium linguarum et literarum commentarius /,"Bibliander, Theodorus,",X031071319,BOOK,1/3/12,5/11/14,STACKS,1,1,0,2,1
51355,2,ALDERMAN,STACKS,P101 .B843 S54 1983,1983,Additions aux Recherches curieuses sur la diversitÈ des langues et religions d'Edward Brerewood /,"Simon, Richard,",X031980639,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
991805,2,ALDERMAN,STACKS,P101 .B87 1795a,1969,"Hermes unmasked, 1795.","Browne, Thomas Gunter.",X001133406,BOOK,6/29/96,11/1/00,STACKS,0,0,0,14,1
1657248,2,ALDERMAN,STACKS,P101 .C37 1989,1989,Praecursor logicus complectens grammaticam audacem : reimpresiÛn de la ediciÛn Frankfurt 1654 /,"Caramuel Lobkowitz, Juan,",X001690081,BOOK,6/30/96,1/1/00,STACKS,0,0,0,0,1
368097,2,ALDERMAN,STACKS,P101 .C73 1973,1973,Discours physique de la parole (1668) /,"Cordemoy, GÈraud de,",X001866655,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,1
991806,2,ALDERMAN,STACKS,P101 .C7313 1972,1972,A philosophical discourse concerning speech (1668) and A discourse written to a learned friar (1670),"Cordemoy, GÈraud de,",X031980638,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
704762,2,ALDERMAN,STACKS,P101 .D46 1985,1985,Storia delle lingue e polemiche linguistiche : dai saggi berlinesi 1783-1804 /,"Denina, Carlo,",X000993588,BOOK,6/29/96,8/15/03,STACKS,0,0,0,2,1
139020,2,ALDERMAN,STACKS,P101 .D525,1980,Le teorie linguistiche e l'estetica di Diderot /,"Mecchia, Renata.",X000541012,BOOK,6/28/96,10/7/09,STACKS,0,0,0,1,1
303093,2,ALDERMAN,STACKS,P101 .F67,1977,La linguistica romantica /,"Formigari, Lia,",X000006288,BOOK,6/28/96,10/7/09,STACKS,0,0,0,0,1
2268080,2,ALDERMAN,STACKS,P101 .F674 1993,1993,"Signs, science, and politics : philosophies of language in Europe, 1700-1830 /","Formigari, Lia,",X002437866,BOOK,7/1/96,11/10/97,STACKS,0,0,1,3,1
4878277,2,ALDERMAN,STACKS,P101 .G47 2009,2009,Mithridate = Mithridates (1555) /,"Gessner, Conrad,",X030407454,BOOK,5/22/09,1/1/00,STACKS,0,0,0,0,1
1637098,2,ALDERMAN,STACKS,P101 .H4 1975,1975,Sprachphilosophische Schriften /,"Herder, Johann Gottfried,",X001711904,BOOK,6/30/96,11/27/02,STACKS,0,0,0,2,1
1260600,2,ALDERMAN,STACKS,P101 .H452 1986 v.1,1986,El ling¸ista espaÒol Lorenzo Herv·s /,"Herv·s, Lorenzo,",X031980644,BOOK,6/30/96,1/1/00,STACKS,0,0,0,0,1
991807,2,ALDERMAN,STACKS,P101 .J6 1768a,1972,"Hieroglyfic, 1768.","Jones, Rowland,",X031980643,BOOK,6/29/96,5/20/03,STACKS,0,0,0,34,1
991808,2,ALDERMAN,STACKS,P101 .J64 1764a,1972,"The origin of language and nations, 1764.","James, Rowland,",X001133454,BOOK,6/29/96,1/21/09,STACKS,0,0,2,1,1
2331228,2,ALDERMAN,STACKS,P101 .L3 1994,1994,Language /,,X002533508,BOOK,7/1/96,6/28/16,STACKS,2,2,1,20,1
6096579,2,ALDERMAN,STACKS,P101 .L36 2011,2011,Le langage.,,X031614730,BOOK,7/9/13,9/9/13,STACKS,1,0,0,1,1
606829,2,ALDERMAN,STACKS,P101 .M4 1973,1973,"A dissertation on the influence of opinions on language, and of language on opinions.","Michaelis, Johann David,",X001064103,BOOK,6/29/96,1/17/04,CHECKEDOUT,0,0,0,22,1
526896,2,ALDERMAN,STACKS,P101 .M52 1967 v.1,1967,Of the origin and progress of language,"Monboddo, James Burnett,",X001870043,BOOK,6/29/96,5/26/01,STACKS,0,0,0,4,1
526896,2,ALDERMAN,STACKS,P101 .M52 1967 v.2,1967,Of the origin and progress of language,"Monboddo, James Burnett,",X001870045,BOOK,6/29/96,5/23/02,STACKS,0,0,0,4,1
526896,2,ALDERMAN,STACKS,P101 .M52 1967 v.3,1967,Of the origin and progress of language,"Monboddo, James Burnett,",X001870049,BOOK,6/29/96,8/26/96,STACKS,0,0,0,3,1
526896,2,ALDERMAN,STACKS,P101 .M52 1967 v.4,1967,Of the origin and progress of language,"Monboddo, James Burnett,",X001870051,BOOK,6/29/96,5/23/02,STACKS,0,0,0,2,1
526896,2,ALDERMAN,STACKS,P101 .M52 1967 v.5,1967,Of the origin and progress of language,"Monboddo, James Burnett,",X001870053,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,1
583407,2,ALDERMAN,STACKS,P101 .P25 1767a,1968,"Remains of Japhet, 1767.","Parsons, James,",X001133447,BOOK,6/29/96,1/21/09,STACKS,0,0,0,15,1
7354254,2,ALDERMAN,STACKS,P101 .R4,1979,Sprache und metaphysik : zur kritik der sprachlichen vernunft bei herder und humboldt,"Reckermann, Alfons",X031980883,BOOK,2/7/18,1/1/00,STACKS,0,0,0,0,1
2247082,2,ALDERMAN,STACKS,P101 .R513 1994,1994,"Linguistics, anthropology and philosophy in the French enlightenment : language theory and ideology /","Ricken, Ulrich.",X002423780,BOOK,7/1/96,5/4/17,STACKS,1,3,0,9,1
27912,2,ALDERMAN,STACKS,P101 .S25 1982,1982,"Sviluppi della problematica del linguaggio nel XVIII secolo : Condillac, Rousseau, Smith /","Salvucci, Roberto,",X031980735,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
1777570,2,ALDERMAN,STACKS,P101 .S553 1987,1987,Convenzione linguistica e contratto sociale : note alle Considerazioni sulla formazione originaria delle lingue di Adam Smith /,"Carotenuto, R. (Rosaria)",X002114760,BOOK,6/30/96,10/7/09,STACKS,0,0,0,5,1
2370108,2,ALDERMAN,STACKS,P101 .T4 1971,1971,Sprachphilosophische Versuche. Mit einer Einleitung von Erich Heintel hrsg. von Heinrich Pfannkuch.,"Tetens, Johann Nicolas,",X002573544,BOOK,7/1/96,1/1/00,STACKS,0,0,0,1,1
188436,2,ALDERMAN,STACKS,P101 .T49 1979,1979,"Glossologie : oder, Philosophie der Sprache /","Thomas, Jakob Ludwig,",X031980741,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
991811,2,ALDERMAN,STACKS,P101 .T65 1798a V.1,1968,"Epea pteroenta; or, The diversions of Purley, 1798;","Tooke, John Horne,",X000214165,BOOK,6/29/96,12/14/07,STACKS,0,0,0,3,1
991811,2,ALDERMAN,STACKS,P101 .T65 1798a V.2,1968,"Epea pteroenta; or, The diversions of Purley, 1798;","Tooke, John Horne,",X000214164,BOOK,6/29/96,1/21/09,STACKS,0,0,0,4,1
367604,2 10 14,ALDERMAN,STACKS,P101 .T65 1806 v.2,1806,"Epea pteroenta = or, The diversions of Purley /","Tooke, John Horne,",X031980751,BOOK,2/6/18,1/1/00,STACKS,0,0,0,0,1
