"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",535258,"X006136801","AZ101 .F6913 1970","ALDERMAN","The order of things: an archaeology of the human sciences.","Foucault, Michel,",1970,"6/29/96","10/9/18",39,293,33,2,"2 3 14",FALSE,1,"1",0
"2",215662,"X006025392","AZ101 .F6813 1972b","CLEMONS","The archaeology of knowledge /","Foucault, Michel,",1972,"6/28/96","9/7/18",11,146,7,1,"3",FALSE,2,"1",0
"3",1216997,"X000026799","AZ101 .F6813 1972","ALDERMAN","The archaeology of knowledge;","Foucault, Michel,",1972,"6/30/96","6/20/18",17,131,14,1,"2",FALSE,4,"1",0
"4",584829,"X004152565","AS36 .B7 v.23","ALDERMAN","Rhode Island politics and the American Revolution, 1760-1776.","Lovejoy, David S. (David Sherman),",1958,"11/13/97","3/19/18",1,104,0,1,"2 3",TRUE,5,"1",0
"5",392225,"X006078156","AZ361 .S56 1964","ALDERMAN","The two cultures: and a second look.","Snow, C. P. (Charles Percy),",1964,"8/13/98","2/11/11",5,203,9,4,"2 3",FALSE,6,"1",0
"6",2535298,"X002752672","AZ101 .F6813 1972b","ALDERMAN","The archaeology of knowledge ; and, The discourse on language /","Foucault, Michel,",1972,"7/1/96","10/8/18",10,84,7,1,"2",FALSE,7,"1",0
"7",2341936,"X002493020","AS142 .V31 Bd.615","ALDERMAN","Enlightenment by a single means : Tibetan controversies on the ""self-sufficient white remedy"" (dkar po chig thub) /","Jackson, David Paul.",1994,"7/1/96","5/5/14",2,80,1,1,"2",TRUE,8,"1",0
"8",285679,"X000076624","AZ505 .O73","ALDERMAN","The Organization of knowledge in modern America, 1860-1920 /","",1979,"6/28/96","5/7/18",9,65,56,1,"2 14 17",FALSE,9,"1",0
"9",156153,"X001858610","AZ191 .G8","ALDERMAN","Effective evaluation /","Guba, Egon G.",1981,"6/28/96","5/25/14",4,67,4,1,"2",FALSE,10,"1",0
"10",1953797,"X002113690","AS142 .V32 Bd.222","ALDERMAN","Studies in the Buddhist epistemological tradition : proceedings of the Second International Dharmak?rti Conference, Vienna, June 11-16, 1989 /","International Dharmak?rti Conference",1991,"6/30/96","1/27/18",2,51,0,1,"2",TRUE,12,"1",0
"11",2795670,"X004419087","AS36 .P52 1997 v.2","ALDERMAN","Patriot-improvers : biographical sketches of members of the American Philosophical Society /","Bell, Whitfield J.,",1997,"2/7/00","7/23/07",0,75,0,3,"2",TRUE,13,"1",0
"12",284595,"X000152206","AM5 .A38","ALDERMAN","Museums in motion : an introduction to the history and functions of museums /","Alexander, Edward P. (Edward Porter),",1979,"6/28/96","4/20/08",3,60,0,1,"2 4 14",FALSE,14,"1",0
"13",2419634,"X002602264","AM101 .P496 B75 1995","ALDERMAN","Public culture in the early republic : Peale's Museum and its audience /","Brigham, David R.",1995,"7/1/96","11/30/17",7,47,5,1,"2 4",FALSE,15,"1",0
"14",3279292,"X000277313","AS911 .A2 W6 1958","ALDERMAN","Foundations, their power and influence /","Wormser, RenÈ A. (RenÈ Albert),",1958,"6/30/96","5/16/18",0,48,1,1,"2 17",FALSE,16,"1",0
"15",2722846,"X006053735","AS142 .V32 Bd.256 v.1","ALDERMAN","Tibetan studies /","International Association for Tibetan Studies. Seminar",1997,"10/2/97","10/3/12",38,82,0,2,"2",TRUE,17,"1",0
"16",4776017,"X030558280","AZ791 .G863 2008","ALDERMAN","Guo xue si shi jiang /","",2008,"9/25/08","11/18/18",0,31,97,1,"2",FALSE,18,"1",0
"17",1216962,"X006132019","AS911 .F6 M3 1956","ALDERMAN","The Ford Foundation; the men and the millions.","Macdonald, Dwight.",1956,"6/30/96","10/13/18",2,45,0,1,"2",FALSE,19,"1",0
"18",2518655,"X002741079","AM7 .T48 1996","ALDERMAN","Theorizing museums : representing identity and diversity in a changing world /","",1996,"7/1/96","10/12/18",1,40,7,1,"2",FALSE,20,"1",0
"19",2811108,"X004354744","AM7 .H44 1998","ALDERMAN","Learning in the museum /","Hein, George E.,",1998,"2/18/00","4/28/17",7,72,5,2,"2",FALSE,21,"1",0
"20",436488,"X000171155","AZ603 .M4","ALDERMAN","Medieval learning and literature : essays presented to Richard William Hunt /","",1976,"6/29/96","4/6/14",15,45,1,2,"2",FALSE,22,"1",0
"21",4640652,"X030255403","AZ183 .U5 K76 2007","ALDERMAN","Education's end : why our colleges and universities have given up on the meaning of life /","Kronman, Anthony T.",2007,"10/16/07","11/12/18",2,28,5,1,"2",FALSE,23,"1",0
"22",362667,"X002403697","AS262 .H4 t.74 nr.1","ALDERMAN","A study of the word 'sentimental' and of other linguistic characteristics of eighteenth century sentimentalism in England.","Er‰mets‰, Erik.",1951,"6/28/96","3/23/18",1,43,4,1,"2",TRUE,24,"1",0
"23",75582,"X001033667","AZ221 .A35 1986","ALDERMAN","A guidebook to learning : for a lifelong pursuit of wisdom /","Adler, Mortimer Jerome,",1986,"6/28/96","5/5/13",1,43,0,1,"2 3 14",FALSE,25,"1",0
