"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",1279096,"X001339207","BC177 .P74 1984","ALDERMAN","Principles of philosophical reasoning /","",1984,"6/30/96","8/9/16",3,172,54,1,"2",FALSE,1,"1",0
"2",1818159,"X001925120","BC135 .P64 1991","ALDERMAN","Philosophical applications of free logic /","",1991,"6/30/96","8/9/16",0,137,54,1,"2",FALSE,2,"1",0
"3",165781,"X000325003","BC9 .D48","ALDERMAN","Dictionary of logic as applied in the study of language : concepts, methods, theories /","",1981,"6/28/96","11/2/18",1,137,76,1,"2",FALSE,3,"1",0
"4",600364,"X000207995","BC135 .C58 1973","ALDERMAN","Symbolic logic","Copi, Irving M.",1973,"6/29/96","11/2/18",3,155,76,2,"2 3",FALSE,4,"1",0
"5",3503559,"X004401955","BC108 .Z35 2000","ALDERMAN","Introduction to the theory of logic /","Zalabardo, JosÈ L.",2000,"2/8/00","12/10/18",0,103,85,1,"2",FALSE,5,"1",0
"6",4016123,"X004746979","BC199 .M6 M44 2003","ALDERMAN","Modality /","Melia, Joseph.",2003,"3/16/04","12/10/18",0,84,85,1,"2",FALSE,6,"1",0
"7",3834874,"X004586092","BC199 .C55 B89 2002","ALDERMAN","The logic of concept expansion /","Buzaglo, Meir,",2002,"5/7/02","2/23/14",0,98,25,1,"2",FALSE,7,"1",0
"8",2864570,"X004220901","BC199 .M6 F58 1998","ALDERMAN","First-order modal logic /","Fitting, Melvin,",1998,"1/15/99","1/23/14",0,103,24,1,"2",TRUE,8,"1",0
"9",571812,"X000121527","BC177 .T6 1958","ALDERMAN","The uses of argument.","Toulmin, Stephen,",1958,"6/29/96","4/27/13",17,167,6,2,"2 3",FALSE,9,"1",0
"10",2227926,"X002314027","BC199 .P2 M37 1992","CLEMONS","There are two errors in the the title of this book : a sourcebook of philosophical puzzles, problems, and paradoxes /","Martin, Robert M.",1992,"7/1/96","6/20/08",1,113,0,1,"3",FALSE,10,"1",0
"11",1151828,"X000600247","BC51 .P88 1971","ALDERMAN","Philosophy of logic.","Putnam, Hilary.",1971,"6/29/96","4/14/16",3,107,0,1,"2",FALSE,11,"1",0
"12",2630347,"X004038939","BC135 .L53 1996","ALDERMAN","The limits of logic : higher-order logic and the Lˆwenheim-Skolem theorem /","",1996,"11/18/96","12/10/18",1,79,85,1,"2",FALSE,12,"1",0
"13",4230237,"X004896483","BC141 .M44 2005","ALDERMAN","Probability : a philosophical introduction /","Mellor, D. H.",2005,"9/1/05","7/2/17",0,51,15,1,"2",FALSE,13,"1",0
"14",7602225,"X031840317","BC177 .F36 2018","ALDERMAN","The limitations of the open mind /","Fantl, Jeremy,",2018,"6/20/18","10/14/18",0,2,1,1,"2",FALSE,14,"1",0
"15",7661580,"X031824361","BC177 .S559 2018","ALDERMAN","Think again : how to reason and argue /","Sinnott-Armstrong, Walter,",2018,"8/15/18","8/17/18",0,1,0,1,"2",FALSE,15,"1",0
"16",7649226,"X031824109","BC177 .S935 2018","ALDERMAN","Time biases : a theory of rational planning and personal persistence /","Sullivan, Meghan,",2018,"7/25/18","8/23/18",0,1,0,1,"2",FALSE,16,"1",0
"17",7346934,"X031813585","BC185 .A38 2018","ALDERMAN","The aftermath of syllogism : Aristotelian logical argument from Avicenna to Hegel /","",2018,"1/24/18","10/29/18",0,1,1,1,"2",FALSE,17,"1",0
"18",3726082,"X004527799","BC177 .T596 2001","ALDERMAN","Return to reason /","Toulmin, Stephen,",2001,"6/12/01","1/14/16",2,64,1,1,"2",FALSE,18,"1",0
