"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",1754634,"X001843889","BF371 .C325 1990","ALDERMAN","The book of memory : a study of memory in medieval culture /","Carruthers, Mary J. (Mary Jean),",1990,"6/30/96","5/14/18",30,289,50,2,"2 3 14",FALSE,1,"1",0
"2",1825374,"X001925905","BF1565 .W4913 1991","ALDERMAN","Witches, devils, and doctors in the Renaissance : Johann Weyer, De praestigiis daemonum /","Weyer, Johann,",1991,"6/30/96","12/7/17",28,163,1,1,"2 3",FALSE,2,"1",0
"3",415798,"X000168649","BF381 .Y3 1966","CLEMONS","The art of memory /","Yates, Frances A. (Frances Amelia),",1966,"6/28/96","6/21/18",31,405,34,3,"2 3",FALSE,3,"1",0
"4",609231,"X000126329","BF701 .G23 1973","CLEMONS","Inquiries into human faculty and its development.","Galton, Francis,",1973,"6/29/96","6/30/17",15,163,5,1,"3",FALSE,4,"1",0
"5",527230,"X000454334","BF455 .H3 1969","ALDERMAN","Thinking as a science.","Hazlitt, Henry,",1969,"6/29/96","12/1/18",1,152,196,1,"2",FALSE,5,"1",0
"6",450939,"X000142709","BF727 .H3 G6 1974","CLEMONS","Stigma : notes on the management of spoiled identity /","Goffman, Erving.",1974,"6/29/96","11/28/18",8,149,14,1,"3",TRUE,6,"1",0
"7",4390029,"X030280661","BF201 .W56 2007","CLEMONS","Cognition : the thinking animal /","Willingham, Daniel T.",2007,"8/6/07","11/30/15",3,104,1,1,"3 5",FALSE,7,"1",0
"8",1164303,"X000210228","BF1078 .F72 1954","ALDERMAN","The interpretation of dreams /","Freud, Sigmund,",1954,"6/29/96","11/26/18",13,145,24,1,"2",FALSE,8,"1",0
"9",1662216,"X002784119","BF637 .S8 C37 1982","ALDERMAN","How to win friends and influence people /","Carnegie, Dale,",1981,"10/16/96","11/6/18",11,133,4,1,"2",TRUE,9,"1",0
"10",688031,"X001186518","BF371 .C33 1987","ALDERMAN","Remembering : a phenomenological study /","Casey, Edward S.,",1987,"6/29/96","4/17/18",22,127,5,1,"2",FALSE,10,"1",0
"11",2535202,"X002757015","BF173 .F682 1989","ALDERMAN","Civilization and its discontents /","Freud, Sigmund,",1989,"7/1/96","12/15/18",21,168,68,2,"2",FALSE,12,"1",0
"12",2625111,"X004049088","BF723 .B5 S9 1996","CLEMONS","Born to rebel : birth order, family dynamics, and creative lives /","Sulloway, Frank J.",1996,"1/16/97","11/18/15",2,123,6,1,"3",FALSE,13,"1",0
"13",2105143,"X002227949","BF442 .G55 1993","ALDERMAN","How we know what isn't so : the fallibility of human reason in everyday life /","Gilovich, Thomas.",1993,"6/30/96","4/6/18",5,115,4,1,"2 14",FALSE,14,"1",0
