"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",660660,"X000668597","BH301 .M54 A57 1983","ALDERMAN","The Anti-aesthetic : essays on postmodern culture /","",1983,"6/29/96","9/18/18",12,221,8,2,"2 3 4",FALSE,1,"1",0
"2",3779843,"X004525368","BH39 .C2913 2001","ALDERMAN","The forty-nine steps /","Calasso, Roberto.",2001,"10/2/01","7/17/17",0,128,0,1,"2 14",FALSE,2,"1",0
"3",1642790,"X001809250","BH151 .E2 1990","CLEMONS","The ideology of the aesthetic /","Eagleton, Terry,",1990,"6/30/96","4/16/18",39,339,25,3,"2 3",FALSE,3,"1",0
"4",1959187,"X002088484","BH39 .P475 1991","ALDERMAN","Philosophy and the arts /","",1991,"6/30/96","1/23/14",1,170,24,2,"2",FALSE,4,"1",0
"5",1238397,"X001216332","BH301 .M54 C34 1987","ALDERMAN","Five faces of modernity : modernism, avant-garde, decadence, kitsch, postmodernism /","C?linescu, Matei.",1987,"6/30/96","3/20/18",7,132,23,1,"2 3 4",TRUE,5,"1",0
"6",3045,"X006143168","BH301 .M54 M44 1985","ALDERMAN","Prophets of extremity : Nietzsche, Heidegger, Foucault, Derrida /","Megill, Allan.",1985,"6/28/96","12/14/18",28,261,39,2,"2 3",FALSE,6,"1",0
"7",3735577,"X004548364","BH39 .S5258 2001","ALDERMAN","Approach to aesthetics : collected papers on philosophical aesthetics /","Sibley, Frank,",2001,"7/19/01","8/9/16",0,109,54,1,"2",FALSE,7,"1",0
"8",3993518,"X004702027","BH39 .A685 2003","ALDERMAN","Art and essence /","",2003,"12/9/03","12/10/18",0,85,85,1,"2",FALSE,9,"1",0
"9",2797321,"X004218510","BH39 .A288 1998","ALDERMAN","Aesthetics and ethics : essays at the intersection /","",1998,"5/26/98","1/12/18",0,90,54,1,"2 4",FALSE,10,"1",0
"10",3770777,"X004524541","BH39 .Z39 2001","ALDERMAN","The metaphysics of beauty /","Zangwill, Nick.",2001,"8/21/01","12/29/17",0,79,4,1,"2",FALSE,11,"1",0
"11",408268,"X006025473","BH301 .S8 G6 1976","CLEMONS","Languages of art : an approach to a theory of symbols /","Goodman, Nelson.",1976,"6/28/96","9/3/18",5,104,6,1,"3",TRUE,13,"1",0
"12",2829667,"X004188771","BH39 .A297 1998","CLEMONS","Aesthetics : the big questions /","",1998,"9/22/98","6/5/17",4,83,25,1,"3 4",FALSE,14,"1",0
"13",3880710,"X004635288","BH81 .H35 2002","ALDERMAN","The aesthetics of mimesis : ancient texts and modern problems /","Halliwell, Stephen.",2002,"8/20/02","5/23/18",0,63,1,1,"2",FALSE,16,"1",0
"14",2954500,"X004279765","BH39 .S322 1999","ALDERMAN","On beauty and being just /","Scarry, Elaine.",1999,"10/11/99","11/13/18",21,116,20,2,"2",FALSE,17,"1",0
"15",4600041,"X004832688","BH39 .G677 2007","ALDERMAN","Art rules : Pierre Bourdieu and the visual arts /","Grenfell, Michael,",2007,"6/20/07","10/18/18",0,44,1,1,"2",FALSE,18,"1",0
"16",2625040,"X004017857","BH301 .S7 S82 1996","ALDERMAN","The sublime : a reader in British eighteenth-century aesthetic theory /","",1996,"11/4/96","5/5/18",1,80,15,1,"2 4",FALSE,19,"1",0
"17",7820509,"X032582043","BH301 .P64 E93 2019","ALDERMAN","Public art and the fragility of democracy : an essay in political aesthetics /","Evans, Fred J.,",2019,"11/28/18","12/14/18",0,1,0,1,"2",FALSE,20,"1",0
"18",4807655,"X030473562","BH39 .B835 2008","ALDERMAN","Aesthetic essays /","Budd, Malcolm,",2008,"12/19/08","12/10/18",0,35,85,1,"2",FALSE,21,"1",0
"19",6722862,"X031794652","BH39 .J34 2016","ALDERMAN","Network aesthetics /","Jagoda, Patrick,",2016,"4/27/16","12/13/18",0,9,12,1,"2",FALSE,22,"1",0
"20",7676130,"X031813734","BH301 .P64 F46 2018","ALDERMAN","The powers of sensibility : aesthetic politics through Adorno, Foucault, and RanciËre /","Feola, Michael,",2018,"8/29/18","12/5/18",0,1,2,1,"2",TRUE,23,"1",0
"21",3893411,"X004637291","BH301 .M3 B56 2002","ALDERMAN","Ape to Apollo : aesthetics and the idea of race in the 18th century /","Bindman, David,",2002,"11/28/02","6/21/18",5,56,7,1,"2",FALSE,24,"1",0
"22",7674148,"X032210311","BH201 .A3913 2017","ALDERMAN","Taste /","Agamben, Giorgio,",2017,"8/27/18","9/19/18",0,2,0,1,"2",FALSE,25,"1",0
"23",7745671,"X031814255","BH81 .H64 2019","ALDERMAN","The aesthetic animal /","H¯gh-Olesen, Henrik",2019,"10/3/18","10/3/18",0,0,0,1,"2",FALSE,26,"1",0
"24",7413132,"X032057911","BH221 .J3 T3513 2018","ALDERMAN","The Japanese sense of beauty /","Takashina, Sh?ji,",2018,"3/23/18","9/26/18",0,2,0,1,"2",TRUE,27,"1",0
"25",7774590,"X032582696","BH39 .L662 2018","ALDERMAN","Being for beauty : aesthetic agency and value /","Lopes, Dominic,",2018,"10/24/18","11/19/18",0,0,0,1,"2",FALSE,28,"1",0
"26",7488157,"X031814091","BH301 .E8 A364 2018","ALDERMAN","Aesthetic experience and somaesthetics /","",2018,"4/20/18","10/2/18",0,1,0,1,"2",FALSE,29,"1",0
"27",7676125,"X031813749","BH301 .I53 O24 2018","ALDERMAN","The intellectual imagination : knowledge and aesthetics in North Atlantic and African philosophy /","Ochieng, Omedi,",2018,"8/29/18","9/2/18",0,0,0,1,"2",FALSE,30,"1",0
"28",6909606,"X031792630","BH39 .C734 2017","ALDERMAN","Blackpentecostal breath : the aesthetics of possibility /","Crawley, Ashon T.,",2017,"11/16/16","9/17/18",2,5,2,1,"2",FALSE,31,"1",0
"29",7557867,"X031839828","BH39 .J63 2018","ALDERMAN","The aesthetics of meaning and thought : the bodily roots of philosophy, science, morality, and art /","Johnson, Mark,",2018,"5/30/18","8/6/18",0,0,0,1,"2",FALSE,32,"1",0
"30",7305251,"X031818313","BH108 .G74 2017","ALDERMAN","Aesthetic experiences and classical antiquity : the significance of form in narratives and pictures /","Grethlein, Jonas,",2017,"11/27/17","8/10/18",1,2,0,1,"2",FALSE,33,"1",0
"31",7602173,"X031840266","BH301 .A94 C65 2018","ALDERMAN","Surveying the avant-garde : questions on modernism, art, and the Americas in transatlantic magazines /","Cole, Lori,",2018,"6/20/18","7/2/18",0,0,0,1,"2",TRUE,34,"1",0
"32",7602215,"X031840319","BH39 .L66 2018","ALDERMAN","Aesthetics on the edge : where philosophy meets the human sciences /","Lopes, Dominic,",2018,"6/20/18","6/28/18",0,0,0,1,"2",FALSE,35,"1",0
"33",7564382,"X031840003","BH39 .D4433 2018","ALDERMAN","Art of the ordinary : the everyday domain of art, film, philosophy, and poetry /","Deming, Richard,",2018,"6/6/18","6/14/18",0,0,0,1,"2",FALSE,36,"1",0
"34",7268397,"X031813610","BH39 .H291813 2018","ALDERMAN","Saving beauty /","Han, Byung-Chul,",2018,"10/25/17","8/31/18",0,1,0,1,"2",FALSE,37,"1",0
"35",7554309,"X031839746","BH301 .E58 E26 2018","ALDERMAN","Ecocritical aesthetics : language, beauty, and the environment /","",2018,"5/23/18","6/3/18",0,0,0,1,"2",FALSE,38,"1",0
"36",7264163,"X031817703","BH301 .C7 M383 2017","ALDERMAN","Only a joke can save us : a theory of comedy /","McGowan, Todd,",2017,"10/18/17","12/7/18",0,1,5,1,"2",FALSE,39,"1",0
"37",7365133,"X031841056","BH301 .L3 J84513 2018","ALDERMAN","Living off landscape : or the unthought-of in reason /","Jullien, FranÁois,",2018,"2/21/18","4/9/18",0,1,1,1,"2",FALSE,40,"1",0
"38",1328287,"X001455247","BH39 .E2913 1989","ALDERMAN","The open work /","Eco, Umberto.",1989,"6/30/96","11/25/18",11,114,59,2,"2 3",FALSE,41,"1",0
"39",3576377,"X004481923","BH39 .L657 2000","ALDERMAN","Aesthetic order : a philosophy of order, beauty and art /","Lorand, Ruth.",2000,"10/27/00","4/20/17",2,63,4,1,"2",FALSE,42,"1",0
"40",7486553,"X031838944","BH301 .C84 M355 2017","ALDERMAN","Making things and drawing boundaries : experiments in the digital humanities /","",2017,"4/18/18","9/12/18",0,0,0,1,"2",FALSE,43,"1",0
"41",7268572,"X031817875","BH301 .A94 D45 2017","ALDERMAN","Delirious consumption : aesthetics and consumer capitalism in Mexico and Brazil /","Delgado Moya, Sergio,",2017,"10/25/17","9/9/18",1,1,0,1,"2",TRUE,44,"1",0
"42",4287706,"X004858008","BH81 .G89 2005","ALDERMAN","Values of beauty : historical essays in aesthetics /","Guyer, Paul,",2005,"7/27/05","3/22/16",2,49,3,1,"2 4",FALSE,45,"1",0
"43",6892198,"X031791384","BH221 .R93 B78 2016","ALDERMAN","Russian realisms : literature and painting, 1840-1890 /","Brunson, Molly,",2016,"10/5/16","10/3/18",0,4,2,1,"2",FALSE,46,"1",0
"44",7386799,"X031841483","BH301 .S7 S537 2018","ALDERMAN","The political sublime /","Shapiro, Michael J.,",2018,"3/14/18","3/15/18",0,0,0,1,"2",FALSE,47,"1",0
"45",7373769,"X031825187","BH301 .S66 D3613 2018","ALDERMAN","Sprezzatura : concealing the effort of art from Aristotle to Duchamp /","D'Angelo, Paolo,",2018,"3/7/18","3/12/18",0,0,0,1,"2",TRUE,48,"1",0
"46",7315960,"X031810424","BH151 .G76 2017","ALDERMAN","The emergence of modern aesthetic theory : religion and morality in Enlightenment Germany and Scotland /","Grote, Simon,",2017,"12/13/17","4/10/18",0,1,2,1,"2",FALSE,49,"1",0
"47",6947689,"X031825307","BH301 .C36 S66 2017","ALDERMAN","Sontag and the camp aesthetic : advancing new perspectives /","",2017,"2/10/17","9/9/18",0,2,6,1,"2",FALSE,50,"1",0
"48",6912319,"X031796401","BH221 .J3 R44 2017","ALDERMAN","Bachelor Japanists : Japanese aesthetics and Western masculinities /","Reed, Christopher,",2017,"11/28/16","11/13/18",0,2,0,1,"2",TRUE,51,"1",0
"49",4785174,"X030465938","BH39 .N48 2008","ALDERMAN","New waves in aesthetics /","",2008,"10/21/08","12/10/18",1,30,85,1,"2",FALSE,52,"1",0
"50",7022505,"X031761994","BH301 .S7 P67 2016","ALDERMAN","The sublime in antiquity /","Porter, James I.,",2016,"4/27/17","8/28/18",0,2,0,1,"2",FALSE,53,"1",0
"51",6896571,"X031762666","BH193 .W4713 2016","ALDERMAN","The visibility of the image : history and perspectives of formal aesthetics /","Wiesing, Lambert,",2016,"10/14/16","5/18/18",0,4,2,1,"2",FALSE,54,"1",0
"52",7049528,"X031761644","BH183 .S2513 2016","ALDERMAN","On the aesthetic education of man ; and, Letters to Prince Frederick Christian von Augustenburg /","Schiller, Friedrich,",2016,"4/19/17","8/14/18",0,2,11,1,"2",FALSE,55,"1",0
"53",7350726,"X031824975","BH221 .G3 A44 2017","ALDERMAN","Kinaesthetic knowing : aesthetics, epistemology, modern design /","Alexander, Zeynep «elik,",2017,"1/31/18","3/5/18",0,0,0,1,"2",FALSE,56,"1",0
"54",7305300,"X031818368","BH151 .S74 2017","ALDERMAN","Beautiful, bright, and blinding : phenomenological aesthetics and the life of art /","Steeves, H. Peter",2017,"11/27/17","12/12/17",0,1,0,1,"2",FALSE,57,"1",0
"55",6714802,"X031730968","BH301 .I7 K66 2016","ALDERMAN","Cool characters : irony and American fiction /","Konstantinou, Lee,",2016,"4/13/16","5/7/18",1,5,2,1,"2",FALSE,58,"1",0
"56",6996666,"X031760577","BH39 .B47 2017","ALDERMAN","The art of philosophy : visual thinking in Europe from the late Renaissance to the early Enlightenment /","Berger, Susanna,",2017,"3/8/17","5/23/18",0,1,0,1,"2",FALSE,59,"1",0
"57",5842112,"X030846202","BH201 .N485 2012","ALDERMAN","Our aesthetic categories : zany, cute, interesting /","Ngai, Sianne.",2012,"11/28/12","5/25/18",0,16,10,1,"2",FALSE,60,"1",0
"58",7228268,"X031841373","BH39 .L8585 2017","ALDERMAN","Cultural revolution : aethetic practice after autonomy /","L¸tticken, Sven,",2017,"9/1/17","3/15/18",2,0,0,1,"2",FALSE,61,"1",0
"59",772778,"X001218524","BH39 .S355 1987","ALDERMAN","Reading in detail : aesthetics and the feminine /","Schor, Naomi.",1987,"6/29/96","9/3/18",14,78,6,1,"2",FALSE,62,"1",0
"60",7225097,"X031809523","BH39 .Z33 2017","ALDERMAN","Why only art can save us : aesthetics and the absence of emergency /","Zabala, Santiago,",2017,"8/25/17","10/7/17",0,1,0,1,"2",FALSE,63,"1",0
"61",7278326,"X031818077","BH301 .O75 H3613 2017","ALDERMAN","Shanzhai : deconstruction in Chinese /","Han, Byung-Chul,",2017,"11/8/17","11/12/17",0,0,0,1,"2",FALSE,64,"1",0
"62",7224212,"X031819107","BH39 .S239 2017","ALDERMAN","Aesthetics of the familiar : everyday life and world-making /","Saito, Yuriko,",2017,"8/22/17","8/31/17",0,1,0,1,"2",FALSE,65,"1",0
"63",6932291,"X031762100","BH301 .M54 M43 2016","ALDERMAN","Mediterranean modernism : intercultural exchange and aesthetic development /","",2016,"12/16/16","11/16/17",0,3,0,1,"2",FALSE,66,"1",0
"64",7105598,"X031811527","BH221 .A65 P8413 2017","ALDERMAN","Aesthetics in Arabic thought : from pre-Islamic Arabia through al-Andalus /","Puerta VÌlchez, JosÈ Miguel,",2017,"7/12/17","8/22/17",0,1,0,1,"2",FALSE,67,"1",0
"65",6831240,"X031790756","BH109 .G87 2016","ALDERMAN","Dissonance : auditory aesthetics in ancient Greece /","Gurd, Sean Alexander,",2016,"8/17/16","6/11/18",0,2,7,1,"2",FALSE,68,"1",0
"66",6932749,"X031841020","BH301 .S7 G63 2017","ALDERMAN","Visual phenomenology : encountering the sublime through images /","Goble, Erika,",2017,"12/21/16","3/2/18",0,1,0,1,"2",TRUE,69,"1",0
"67",7072283,"X031762307","BH301 .P78 M67 2017","ALDERMAN","The outward mind : materialist aesthetics in Victorian science and literature /","Morgan, Benjamin,",2017,"5/24/17","9/18/17",0,1,1,1,"2",FALSE,70,"1",0
