"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",598051,"X000026944","BJ1461 .B47 1966","ALDERMAN","Free will and determinism.","Berofsky, Bernard",1966,"6/29/96","3/5/08",83,800,0,2,"2 3",FALSE,1,"1",0
"2",1318109,"X001500282","BJ1012 .E85 1988","ALDERMAN","Essays on moral realism /","",1988,"6/30/96","5/9/18",6,206,6,1,"2",FALSE,3,"1",0
"3",174896,"X000222653","BJ1012 .M325 1981","CLEMONS","After virtue : a study in moral theory /","MacIntyre, Alasdair C.",1984,"6/28/96","4/17/18",29,219,11,2,"2 3 17",FALSE,4,"1",0
"4",546539,"X000694884","BJ71 .R55 1971","ALDERMAN","A short history of morals.","Robertson, J. M. (John Mackinnon),",1971,"6/29/96","12/13/18",0,161,131,1,"2",FALSE,5,"1",0
"5",2298369,"X002444340","BJ1451 .P47 1993","ALDERMAN","Perspectives on moral responsibility /","",1993,"7/1/96","4/13/15",12,161,2,1,"2",FALSE,6,"1",0
"6",307592,"X000665834","BJ1005 .S6 1976","CLEMONS","The theory of moral sentiments /","Smith, Adam,",1976,"6/28/96","10/9/18",9,149,5,1,"3",FALSE,7,"1",0
"7",559305,"X000026945","BJ1253 .B615 1965","CLEMONS","Ethics.","Bonhoeffer, Dietrich,",1965,"6/29/96","12/16/18",5,149,50,1,"3",FALSE,8,"1",0
"8",1222954,"X001359404","BJ1409 .S35 1985","ALDERMAN","The body in pain : the making and unmaking of the world /","Scarry, Elaine.",1985,"6/30/96","11/30/18",42,471,73,5,"2 3 14 17 19",FALSE,9,"1",0
"9",1773627,"X001845543","BJ46 .N87 1990","ALDERMAN","Love's knowledge : essays on philosophy and literature /","Nussbaum, Martha Craven,",1990,"6/30/96","9/17/18",40,252,31,2,"2",FALSE,11,"1",0
"10",3679528,"X004500657","BJ1400 .E95 2001","ALDERMAN","Evil after postmodernism : histories, narratives and ethics /","Geddes, Jennifer.",2001,"1/9/01","10/16/17",0,109,10,1,"2",FALSE,12,"1",0
"11",692861,"X001187328","BJ1212 .M44 1986","ALDERMAN","The moral world of the first Christians /","Meeks, Wayne A.",1986,"6/29/96","8/3/17",3,125,28,1,"2",FALSE,13,"1",0
"12",589197,"X006143684","BJ1012 .F7 1973","ALDERMAN","Ethics","Frankena, William K.",1973,"6/29/96","2/5/18",10,202,20,2,"2 3",FALSE,14,"1",0
"13",1157241,"X000027048","BJ1012 .H3 1963","ALDERMAN","Freedom and reason.","Hare, R. M. (Richard Mervyn)",1963,"6/29/96","9/7/16",8,128,0,1,"2",FALSE,16,"1",0
"14",299899,"X000000634","BJ1012 .F57 1978","ALDERMAN","Virtues and vices and other essays in moral philosophy /","Foot, Philippa.",1978,"6/28/96","9/17/18",11,118,2,1,"2",FALSE,17,"1",0
"15",69908,"X001013646","BJ1291 .H673 1985","ALDERMAN","Reason and tradition in Islamic ethics /","Hourani, George Fadlo.",1985,"6/28/96","2/26/14",8,127,4,1,"2",FALSE,18,"1",0
"16",171820,"X000429892","BJ1012 .W533","ALDERMAN","Moral luck : philosophical papers, 1973-1980 /","Williams, Bernard,",1981,"6/28/96","12/1/18",19,187,33,2,"2 17",FALSE,19,"1",0
"17",3769683,"X004524467","BJ1012 .M86 2001","CLEMONS","The sovereignty of good /","Murdoch, Iris.",2001,"8/14/01","10/29/18",4,90,6,1,"3",FALSE,20,"1",0
"18",1778334,"X001847112","BJ161 .P72 1991","ALDERMAN","Virtue and knowledge : an introduction to ancient Greek ethics /","Prior, William J.",1991,"6/30/96","8/3/17",7,130,38,2,"2 3",FALSE,21,"1",0
"19",1156502,"X000335486","BJ21 .S4 1952","ALDERMAN","Readings in ethical theory;","Sellars, Wilfrid",1952,"6/29/96","5/17/18",2,120,12,2,"2",FALSE,22,"1",0
"20",1869077,"X002757447","BJ1012 .M325 1984","CLEMONS","After virtue : a study in moral theory /","MacIntyre, Alasdair C.",1984,"6/30/96","7/30/14",30,273,21,3,"2 3",FALSE,23,"1",0
"21",4349382,"X004901685","BJ1031 .A63 2006","ALDERMAN","Cosmopolitanism : ethics in a world of strangers /","Appiah, Anthony.",2006,"2/22/06","5/13/18",12,106,18,2,"2 3",FALSE,24,"1",0
"22",4352421,"X004835981","BJ11 .B73 2006","ALDERMAN","Transpositions : on nomadic ethics /","Braidotti, Rosi.",2006,"3/3/06","9/6/18",0,68,14,1,"2",FALSE,25,"1",0
"23",4049837,"X004771402","BJ192 .D55 2004","ALDERMAN","Salt and olives : morality and custom in ancient Greece /","Dillon, John M.",2004,"8/11/04","12/11/17",0,74,24,1,"2",FALSE,26,"1",0
"24",3977640,"X004708957","BJ71 .H56 2003","ALDERMAN","A history of Western ethics /","",2003,"10/28/03","5/17/18",0,75,17,1,"2",FALSE,27,"1",0
"25",75973,"X002736985","BJ1470.5 .B73 1986","CLEMONS","The frenzy of renown : fame & its history /","Braudy, Leo.",1986,"6/28/96","12/1/16",13,185,2,2,"3 17",FALSE,28,"1",0
"26",4145141,"X004805432","BJ171 .H35 H65 2004","ALDERMAN","Happiness and Greek ethical thought /","Holowchak, Mark,",2004,"12/9/04","8/3/17",0,73,28,1,"2",FALSE,30,"1",0
"27",301501,"X006025274","BJ1012 .F57 1978b","CLEMONS","Virtues and vices and other essays in moral philosophy /","Foot, Philippa.",1978,"6/28/96","11/29/15",7,107,0,1,"3",FALSE,31,"1",0
"28",1156001,"X004762317","BJ71 .B8","ALDERMAN","The moral order of the world in ancient and modern thought,","Bruce, Alexander Balmain,",1899,"3/18/04","10/27/09",0,118,0,1,"2",FALSE,32,"1",0
"29",1733162,"X001811130","BJ37 .M23 1990","ALDERMAN","Three rival versions of moral enquiry : encyclopedia, genealogy, and tradition : being Gifford lectures delivered in the University of Edinburgh in 1988 /","MacIntyre, Alasdair C.",1990,"6/30/96","7/18/18",14,96,6,1,"2",FALSE,33,"1",0
"30",538031,"X000859190","BJ1012 .M86","ALDERMAN","The sovereignty of good.","Murdoch, Iris.",1970,"6/29/96","10/22/18",7,98,18,1,"2",FALSE,34,"1",0
"31",2155401,"X004189892","BJ171 .H35 A56 1993","ALDERMAN","The morality of happiness /","Annas, Julia.",1993,"6/15/98","8/3/17",7,153,30,2,"2",FALSE,35,"1",0
"32",278251,"X000037397","BJ1188 .L57 1978","ALDERMAN","Comparative religious ethics /","Little, David.",1978,"6/28/96","7/3/17",17,128,3,2,"2 3",FALSE,36,"1",0
"33",1776324,"X002036772","BJ1217 .P67 1990","CLEMONS","The recovery of virtue : the relevance of Aquinas for Christian ethics /","Porter, Jean,",1990,"6/30/96","11/21/10",11,155,5,2,"2 3",FALSE,37,"1",0
"34",4340081,"X004906756","BJ1481 .H14 2006","ALDERMAN","The happiness hypothesis : finding modern truth in ancient wisdom /","Haidt, Jonathan.",2006,"1/16/06","12/13/18",4,103,42,2,"2 3 5 17 19",FALSE,38,"1",0
"35",3936440,"X004634812","BJ225 .T2 Q3413 2003","CLEMONS","On evil /","Thomas,",2003,"4/22/03","12/1/18",2,106,118,2,"2 3",FALSE,39,"1",0
"36",2690354,"X004094592","BJ1853 .P6 1997","ALDERMAN","Emily Post's Etiquette.","Post, Peggy,",1997,"5/23/97","12/11/17",4,88,6,1,"2",FALSE,40,"1",0
"37",2101737,"X002186280","BJ1533 .H8 N84 1993","ALDERMAN","Masculinity and male codes of honor in modern France /","Nye, Robert A.",1993,"6/30/96","3/6/16",5,98,0,2,"2 3",FALSE,42,"1",0
"38",341186,"X000818756","BJ1461 .O25 1972","CLEMONS","Free will /","O'Connor, D. J. (Daniel John),",1972,"6/28/96","6/23/08",21,121,0,1,"3",FALSE,44,"1",0
"39",3456579,"X004349586","BJ1528 .O45 1998","ALDERMAN","Virtue in diverse traditions : an introduction /","Olivera, George,",1998,"12/21/99","10/12/18",0,74,24,1,"2",FALSE,45,"1",0
"40",1765129,"X000445142","BJ1853 .K5 1909","ALDERMAN","The book of good manners : ""etiquette for all occasions"" /","Kingsland, Burton,",1909,"6/30/96","2/26/18",3,104,52,1,"2",FALSE,46,"1",0
"41",3770787,"X004524563","BJ1251 .H326 2001","ALDERMAN","The Hauerwas reader /","Hauerwas, Stanley,",2001,"8/21/01","7/19/18",12,67,8,1,"2",FALSE,47,"1",0
"42",2809323,"X004210465","BJ1249 .N39 1998","ALDERMAN","Natural law and moral inquiry : ethics, metaphysics, and politics in the work of Germain Grisez /","",1998,"7/1/98","12/1/18",0,75,94,1,"2 17",FALSE,48,"1",0
"43",665496,"X000687780","BJ1251 .H327 1983","ALDERMAN","The peaceable kingdom : a primer in Christian ethics /","Hauerwas, Stanley,",1983,"6/29/96","5/15/16",14,91,6,1,"2",FALSE,49,"1",0
"44",586958,"X000042871","BJ1533 .S55 T74","ALDERMAN","Sincerity and authenticity.","Trilling, Lionel,",1972,"6/29/96","10/22/18",7,94,35,2,"2 3",TRUE,50,"1",0
"45",1158199,"X000027031","BJ1291 .H67","ALDERMAN","Islamic rationalism: the ethics of ?Abd al-Jabb?r,","Hourani, George Fadlo.",1971,"6/29/96","5/6/14",5,99,5,1,"2",FALSE,51,"1",0
"46",500457,"X000027020","BJ1470 .B4","ALDERMAN","The Puritan origins of the American self /","Bercovitch, Sacvan.",1975,"6/29/96","9/8/17",12,126,1,2,"2 3",FALSE,52,"1",0
"47",3821576,"X004622125","BJ1402 .B3313 2001","ALDERMAN","Ethics : an essay on the understanding of evil /","Badiou, Alain.",2001,"7/18/02","9/27/18",4,100,41,2,"2",FALSE,53,"1",0
"48",1159065,"X000415590","BJ1461 .H58 1973","ALDERMAN","Essays on freedom of action;","Honderich, Ted.",1973,"6/29/96","2/27/18",10,86,0,1,"2",FALSE,54,"1",0
"49",2639678,"X004072015","BJ1481 .A68 1996","ALDERMAN","Aristotle, Kant, and the Stoics : rethinking happiness and duty /","",1996,"1/8/97","5/12/18",8,123,3,2,"2",FALSE,55,"1",0
"50",201382,"X000350351","BJ1533 .S55 T74 1980","ALDERMAN","Sincerity and authenticity /","Trilling, Lionel,",1980,"6/28/96","4/10/18",8,84,7,1,"2",TRUE,56,"1",0
"51",2483075,"X002704457","BJ192 .N87 1986","ALDERMAN","The fragility of goodness : luck and ethics in Greek tragedy and philosophy /","Nussbaum, Martha Craven,",1986,"7/1/96","5/21/18",9,133,12,2,"2",FALSE,57,"1",0
"52",267990,"X000079301","BJ57 .M67","ALDERMAN","Morals, science, and sociality /","",1978,"6/28/96","5/17/18",0,82,11,1,"2 14",FALSE,58,"1",0
