"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",1742822,"X001827328","BQ9288 .B38 1990","ALDERMAN","The faith to doubt : glimpses of Budhist uncertainty /","Batchelor, Stephen.",1990,"6/30/96","8/11/13",4,216,5,2,"2",FALSE,1,"1",0
"2",1297876,"X001400108","BQ4132 .R62 1982","ALDERMAN","The Road to inner freedom : a survey of the Buddha's teachings /","",1982,"6/30/96","6/10/14",0,198,0,1,"2",FALSE,2,"1",0
"3",450470,"X000110018","BQ4132 .R3313 1974","CLEMONS","What the Buddha taught /","Walpola R?hula.",1974,"6/29/96","10/3/18",37,182,10,1,"3",FALSE,3,"1",0
"4",2473132,"X002680585","BQ1012 .B83 1995","ALDERMAN","Buddhism in practice /","",1995,"7/1/96","7/20/17",29,190,4,2,"2 3",FALSE,4,"1",0
"5",1675790,"X001962998","BQ4022 .H37 1990","CLEMONS","An introduction to Buddhism : teachings, history, and practices /","Harvey, Peter (Brian Peter)",1990,"6/30/96","12/11/18",47,268,62,3,"2 3",FALSE,5,"1",0
"6",2318084,"X031667984","BQ7662.4 .O72513 1994","ALDERMAN","The words of my perfect teacher /","O-rgyan-?jigs-med-chos-kyi-dbang-po,",1994,"7/1/96","12/14/17",10,165,20,1,"2",FALSE,6,"1",0
"7",315047,"X001137396","BQ5630 .V5 L43","ALDERMAN","The manual of insight = Vipassan? d?pan? /","—??a,",1975,"6/29/96","10/11/17",5,151,2,1,"2",TRUE,7,"1",0
"8",128649,"X000689358","BQ4150 .J32 1983","ALDERMAN","Buddhism & the contemporary world : change and self-correction /","Jacobson, Nolan Pliny.",1983,"6/28/96","4/13/06",4,148,0,2,"2",FALSE,8,"1",0
"9",2109908,"X002250052","BQ7604 .T8313 1988 v.3 pt.2","ALDERMAN","English version of Indo-Tibetica /","Tucci, Giuseppe,",1988,"6/30/96","8/20/17",15,331,36,7,"2",TRUE,9,"1",0
"10",2844111,"X006004067","BQ4012 .G47 1998","ALDERMAN","The foundations of Buddhism /","Gethin, Rupert.",1998,"10/20/98","4/7/18",3,112,11,1,"2",FALSE,10,"1",0
"11",1932724,"X002039414","BQ4570 .S48 B83 1992","ALDERMAN","Buddhism, sexuality, and gender /","",1992,"6/30/96","11/20/18",8,115,13,1,"2",FALSE,11,"1",0
"12",211817,"X000141185","BQ4570 .W6 P38","ALDERMAN","Women in Buddhism : images of the feminine in Mah?y?na tradition /","Paul, Diana Y.",1979,"6/28/96","8/22/18",15,126,14,2,"2",FALSE,12,"1",0
"13",1755102,"X001831382","BQ7457 .N36 1989b","ALDERMAN","Dependent-arising and emptiness : a Tibetan Buddhist interpretation of Madhyamika philosophy emphasizing the compatibility of emptiness and conventional phenomena /","Napper, Elizabeth.",1989,"6/30/96","12/19/13",11,120,5,1,"2",FALSE,13,"1",0
"14",2080247,"X002255049","BQ5612 .G643 1987","ALDERMAN","Seeking the heart of wisdom : the path of insight meditation /","Goldstein, Joseph,",1987,"6/30/96","11/30/16",9,164,2,2,"2 3",FALSE,14,"1",0
"15",1246013,"X001362949","BQ9266 .Z463 1988","ALDERMAN","Zen, tradition and transition /","",1988,"6/30/96","1/28/18",16,157,27,3,"2 3",FALSE,15,"1",0
"16",2534763,"X002779853","BQ7662.4 .G93 1996","CLEMONS","The generation stage in Buddhist Tantra /","Gyatrul,",1996,"7/1/96","9/5/12",3,120,0,1,"3",FALSE,16,"1",0
"17",2443794,"X002783044","BQ7662 .A23 T48 1996","ALDERMAN","Masters of meditation and miracles : the Longchen Nyingthig lineage of Tibetan Buddhism /","Thondup,",1996,"7/1/96","10/10/17",5,110,3,1,"2",TRUE,17,"1",0
"18",117768,"X000400183","BQ4570 .P76 J353713","ALDERMAN","Mind in Tibetan Buddhism : oral commentary on Ge-shay Jam-bel-sam-pel's Presentation of awareness and knowledge, composite of all the important points, opener of the eye of new intelligence /","Lati Rinbochay.",1980,"6/28/96","12/11/18",0,108,68,1,"2",FALSE,18,"1",0
"19",2458519,"X002644724","BQ162 .E85 C87 1995","ALDERMAN","Curators of the Buddha : the study of Buddhism under colonialism /","",1995,"7/1/96","5/3/17",13,115,16,2,"2 4",TRUE,19,"1",0
"20",1610795,"X001648283","BQ4450 .Y56 1981","ALDERMAN","Rulai zang zhi yan jiu /","Yinshun.",1981,"6/30/96","12/11/18",0,109,74,2,"2",FALSE,20,"1",0
"21",706401,"X002110521","BQ7662 .T5 1986b","ALDERMAN","Hidden teachings of Tibets : an explanation of the Terma tradition of the Nyingma School of Buddhism /","Thondup,",1986,"6/29/96","2/9/15",10,161,1,3,"2",FALSE,21,"1",0
"22",2109814,"X002412288","BQ7805 .G84 1992","ALDERMAN","Meditation differently, phenomenological-psychological aspects of Tibetan Buddhist (Mah?mudr? and Snying-thig) practices from original Tibetan sources /","Guenther, Herbert V.",1992,"6/30/96","12/11/18",1,105,69,2,"2",FALSE,22,"1",0
"23",1743497,"X001648302","BQ339 .Y56 1988","ALDERMAN","Yindu fo jiao si xiang shi /","Yinshun.",1988,"6/30/96","12/11/18",3,104,68,2,"2",FALSE,23,"1",0
"24",79407,"X000847218","BQ8923.5 .T53 H66 1984","ALDERMAN","The Tantric distinction : an introduction to Tibetan Buddhism /","Hopkins, Jeffrey.",1984,"6/28/96","11/20/15",12,106,0,1,"2",FALSE,24,"1",0
