"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",1234371,"X001109884","DE59 .O94 1986","ALDERMAN","The Oxford history of the classical world /","",1986,"6/30/96","10/6/09",38,380,0,1,"2 3",FALSE,1,"1",0
"2",1775200,"X001845127","DE86 .G738 1990","ALDERMAN","Alexander to Actium : the historical evolution of the Hellenistic age /","Green, Peter,",1990,"6/30/96","5/3/17",8,82,3,1,"2",FALSE,2,"1",0
"3",2632641,"X004044956","DE71 .F74 1996","ALDERMAN","Egypt, Greece, and Rome : civilizations of the ancient Mediterranean /","Freeman, Charles,",1996,"11/26/96","11/27/18",2,94,127,2,"2 3",FALSE,3,"1",0
"4",137976,"X000403626","DE86 .G73 1982","ALDERMAN","From Alexander to Cleopatra : the Hellenistic world /","Grant, Michael,",1982,"6/28/96","11/27/18",3,74,124,1,"2",FALSE,4,"1",0
"5",530879,"X006095496","DE71 .S6","ALDERMAN","Blacks in antiquity; Ethiopians in the Greco-Roman experience","Snowden, Frank M.,",1970,"6/29/96","6/19/17",8,77,25,1,"2",FALSE,5,"1",0
"6",2864625,"X006029070","DE7 .P7213 1998","ALDERMAN","Greek lives : a selection of nine Greek lives /","Plutarch.",1998,"12/21/98","12/5/18",9,56,3,1,"2",FALSE,6,"1",0
"7",673295,"X000667123","DE15.5 .U6 R44 1984","ALDERMAN","Classica Americana : the Greek and Roman heritage in the United States /","Reinhold, Meyer,",1984,"6/29/96","5/11/18",7,77,59,2,"2",TRUE,7,"1",0
"8",416568,"X000023515","DE80 .B7713 V.1","ALDERMAN","The Mediterranean and the Mediterranean world in the age of Philip II;","Braudel, Fernand.",1972,"6/29/96","11/25/18",17,105,34,2,"2",TRUE,8,"1",0
"9",7737822,"X032221061","DE96 .H47 2018","ALDERMAN","The captive sea : slavery, communication, and commerce in early modern Spain and the Mediterranean /","Hershenzon, Daniel,",2018,"9/24/18","12/9/18",0,2,1,1,"2",FALSE,9,"1",0
"10",7354631,"X031821892","DE84 .B753 2018","ALDERMAN","Brill's companion to military defeat in ancient Mediterranean society /","",2018,"2/8/18","11/27/18",0,3,0,1,"2",FALSE,10,"1",0
"11",7752870,"X032211917","DE60 .N85 2018","ALDERMAN","La Nuit : imaginaire et rÈalitÈs nocturnes dans le monde grÈco-romain /","",2018,"10/11/18","10/19/18",0,1,0,1,"2",FALSE,11,"1",0
"12",7310953,"X031821795","DE84 .B75 2016","ALDERMAN","Brill's Companion to insurgency and terrorism in the Ancient Mediterranean /","",2016,"12/5/17","10/10/18",0,2,0,1,"2",FALSE,12,"1",0
"13",7364636,"X031849292","DE73.2 .S4 S44 2017","ALDERMAN","""Sea Peoples"" up-to-date : new research on transformations in the Eastern Mediterranean in the 13th-11th centuries BCE : proceedings of the ESF-Workshop held at the Austrian Academy of Sciences, Vienna, 3-4 November 2014 /","",2017,"2/20/18","5/17/18",0,2,0,1,"2",FALSE,13,"1",0
"14",7217384,"X031846358","DE94 .C37 2015","ALDERMAN","Infidel kings and unholy warriors : faith, power, and violence in the age of crusade and jihad /","Catlos, Brian A.",2015,"8/3/17","10/1/18",0,2,0,1,"2",FALSE,14,"1",0
"15",7329365,"X031841980","DE2.5 .H47 2017","ALDERMAN","L'hÈritage grec des colonies romaines d'Orient : interactions culturelles dans les provinces hellÈnophones de l'empire romain : actes du colloque de Strasbourg, 8-9 novembre 2013 /","",2017,"1/8/18","2/5/18",0,1,0,1,"2",FALSE,15,"1",0
"16",6889483,"X031784270","DE84 .C57 2016","ALDERMAN","Circum mare : themes in ancient warfare /","",2016,"9/28/16","11/27/18",0,2,3,1,"2",FALSE,16,"1",0
"17",7313971,"X032057582","DE86 .H37 2017","ALDERMAN","Hellenism and the local communities of the Eastern Mediterranean : 400 BCE-250 CE /","",2017,"12/8/17","12/20/17",0,1,0,1,"2",FALSE,17,"1",0
"18",7262817,"X031810254","DE59 .D58 2017 v.1","ALDERMAN","The diversity of classical archaeology /","",2017,"11/30/17","12/16/17",0,1,0,1,"2",TRUE,18,"1",0
"19",6725319,"X031731309","DE85.5 .F8 F74 2016","ALDERMAN","French Mediterraneans : transnational and imperial histories /","",2016,"5/4/16","11/16/17",2,4,0,1,"2",TRUE,19,"1",0
"20",6904565,"X031797954","DE5 .D532 2016","ALDERMAN","Dictionnaire de la MÈditerranÈe /","",2016,"11/8/16","3/19/18",0,2,0,1,"2",FALSE,20,"1",0
