"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",206040,"X000141292","DF214 .M98","ALDERMAN","Early Greece /","Murray, Oswyn.",1980,"6/28/96","9/6/10",27,289,0,2,"2 3",FALSE,1,"1",0
"2",233082,"X000003615","DF214 .B97 1978","CLEMONS","A history of Greece to the death of Alexander the Great /","Bury, J. B. (John Bagnell),",1978,"6/28/96","4/9/09",19,117,0,1,"3",FALSE,3,"1",0
"3",578258,"X000024357","DF229.2 .D46 1972","ALDERMAN","The origins of the Peloponnesian War","De Ste. Croix, G. E. M. (Geoffrey Ernest Maurice)",1972,"6/29/96","6/12/18",11,134,7,2,"2 3",FALSE,4,"1",0
"4",1918003,"X002074816","DF229 .T6 H65 1991 v.1","ALDERMAN","A commentary on Thucydides /","Hornblower, Simon.",1991,"6/30/96","6/4/18",11,148,23,3,"2",TRUE,5,"1",0
"5",2623168,"X004044456","DF229 .T55 C7 1996","ALDERMAN","The landmark Thucydides : a comprehensive guide to the Peloponnesian War /","Thucydides.",1996,"10/31/96","11/19/18",5,84,7,1,"2 3",TRUE,6,"1",0
"6",708049,"X001205592","DF78 .B398 1987b v.1","ALDERMAN","Black athena : the Afroasiatic roots of classical civilization /","Bernal, Martin.",1987,"6/29/96","5/7/18",20,117,7,2,"2",TRUE,7,"1",0
"7",115341,"X000483768","DF125 .V3613 1982","ALDERMAN","The mystery of the oracles : world-famous archaeologists reveal the best-kept secrets of antiquity /","Vandenberg, Philipp,",1982,"6/28/96","10/30/17",3,86,0,1,"2",FALSE,8,"1",0
"8",3951421,"X004703793","DF845.52 .C76 2003","ALDERMAN","Crossing the Aegean : an appraisal of the 1923 compulsory population exchange between Greece and Turkey /","",2003,"7/8/03","9/23/11",3,82,0,1,"2",FALSE,9,"1",0
"9",2260012,"X002559488","DF100 .S96 1994","ALDERMAN","Sympotica : a symposium on the symposion /","",1994,"7/1/96","5/12/18",11,78,8,1,"2",FALSE,10,"1",0
"10",774285,"X001275927","DF101 .M67 1987","ALDERMAN","Burial and ancient society : the rise of the Greek city-state /","Morris, Ian,",1987,"6/29/96","5/9/15",2,85,7,1,"2",FALSE,11,"1",0
"11",1864305,"X002035651","DF214 .G79 1991","CLEMONS","The Founders of the western world : a history of Greece and Rome /","Grant, Michael,",1991,"6/30/96","4/10/11",0,109,123,2,"2 3",FALSE,12,"1",0
"12",2803683,"X004190431","DF229 .T6 C88 1998","ALDERMAN","Thucydides and the ancient simplicity : the limits of political realism /","Crane, Gregory,",1998,"8/11/98","7/18/18",1,67,0,1,"2",TRUE,13,"1",0
"13",794379,"X001276573","DF521 .V78 1981 v.2","ALDERMAN","Studies on Byzantium, Seljuks, and Ottomans : reprinted studies /","Vryonis, Speros,",1981,"6/29/96","11/2/17",1,76,1,1,"2",TRUE,14,"1",0
"14",617162,"X004465858","DF229 .T5 W29 1972","CLEMONS","History of the Peloponnesian War.","Thucydides.",1972,"1/18/01","10/30/18",3,67,6,1,"3",FALSE,15,"1",0
"15",2909294,"X004268866","DF277 .A79 1998","ALDERMAN","Athenian radical democracy, 461-404 BC /","",1998,"5/4/99","1/14/14",1,73,23,1,"2",FALSE,16,"1",0
"16",273044,"X000337592","DF78 .D4613","ALDERMAN","Cunning intelligence in Greek culture and society /","Detienne, Marcel.",1978,"6/28/96","5/2/18",7,72,4,1,"2",FALSE,17,"1",0
"17",4183790,"X004863722","DF261 .D35 B685 2005","ALDERMAN","Classical Athens and the Delphic oracle : divination and democracy /","Bowden, Hugh.",2005,"11/23/04","2/14/17",1,52,5,1,"2",FALSE,18,"1",0
"18",954339,"X000178188","DF261 .D35 P3 1956 v.1","ALDERMAN","The Delphic oracle,","Parke, H. W. (Herbert William),",1956,"6/29/96","2/14/17",4,113,23,2,"2",TRUE,19,"1",0
"19",74383,"X001034486","DF78 .V5313 1986","ALDERMAN","The black hunter : forms of thought and forms of society in the Greek world /","Vidal-Naquet, Pierre,",1986,"6/28/96","11/9/18",7,65,3,1,"2",FALSE,20,"1",0
"20",1335955,"X001520740","DF229.35 .T59 1988b","CLEMONS","Thucydides, history II /","Thucydides.",1988,"6/30/96","9/9/15",3,69,0,1,"3",FALSE,21,"1",0
"21",4893902,"X031846377","DF77 .A595 2008","CLEMONS","Ancient Greece : a political, social, and cultural history /","",2008,"8/7/17","12/11/18",0,18,0,1,"3",FALSE,22,"1",0
"22",121691,"X000355998","DF82 .L56 1982","ALDERMAN","Violence, civil strife, and revolution in the classical city, 750-330 B.C. /","Lintott, A. W. (Andrew William)",1982,"6/28/96","5/12/18",0,64,7,1,"2",FALSE,23,"1",0
"23",138832,"X000504756","DF123 .S55 1983","ALDERMAN","Festivals of Attica : an archaeological commentary /","Simon, Erika,",1983,"6/28/96","11/25/16",6,67,3,1,"2 4",FALSE,24,"1",0
"24",2519499,"X002759272","DF77 .M82 1993","ALDERMAN","Early Greece /","Murray, Oswyn.",1993,"7/1/96","5/13/11",1,76,0,1,"2 4 14",FALSE,25,"1",0
"25",2788812,"X004146818","DF229 .T5 L38 1998","ALDERMAN","The Peloponnesian War /","Thucydides.",1998,"4/22/98","11/2/16",5,58,7,1,"2",TRUE,26,"1",0
"26",117411,"X000356322","DF91 .D4","ALDERMAN","The class struggle in the ancient Greek world : from the archaic age to the Arab conquests /","De Ste. Croix, G. E. M. (Geoffrey Ernest Maurice)",1981,"6/28/96","4/25/18",6,61,45,1,"2",FALSE,27,"1",0
"27",2829788,"X004206553","DF229 .T55 B56 1998","CLEMONS","The Peloponnesian War : a new translation, backgrounds, interpretations /","Thucydides.",1998,"9/10/98","2/7/12",12,113,10,2,"2 3",FALSE,28,"1",0
"28",2235378,"X002328085","DF222 .C85 1993","ALDERMAN","Cultural poetics in Archaic Greece : cult, performance, politics /","",1993,"7/1/96","10/23/17",10,58,3,1,"2",FALSE,29,"1",0
"29",1731701,"X001784009","DF82 .G74 1990","ALDERMAN","The Greek city : from Homer to Alexander /","",1990,"6/30/96","1/31/18",2,58,10,1,"2",FALSE,30,"1",0
"30",2879823,"X004192169","DF77 .A595 1999","CLEMONS","Ancient Greece : a political, social, and cultural history /","",1999,"2/12/99","11/14/18",2,96,12,2,"2 3",FALSE,31,"1",0
"31",1897285,"X002047443","DF78 .S67 1991","ALDERMAN","""Reading"" Greek culture : texts and images, rituals and myths /","Sourvinou-Inwood, Christiane.",1991,"6/30/96","9/13/18",9,55,3,1,"2",FALSE,32,"1",0
"32",2849703,"X004235422","DF229.2 .P65 1997","ALDERMAN","Polis and polemos : essays on politics, war, and history in Ancient Greece, in honor of Donald Kagan /","",1997,"11/3/98","8/30/17",7,50,0,1,"2",FALSE,33,"1",0
"33",780987,"X001263057","DF229 .T6 H67 1987","ALDERMAN","Thucydides /","Hornblower, Simon.",1987,"6/29/96","5/12/18",3,55,6,1,"2",FALSE,34,"1",0
