"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",135239,"X000601942","DG77 .C597 1982b","ALDERMAN","Atlas of the Roman world /","Cornell, Tim.",1982,"6/28/96","3/26/13",36,504,2,2,"2 3",FALSE,1,"1",0
"2",697629,"X006132224","DG223 .E75 1986b","ALDERMAN","Etruscan life and afterlife : a handbook of Etruscan studies /","",1986,"6/29/96","11/28/18",29,245,20,1,"2",FALSE,2,"1",0
"3",806156,"X001282787","DG209 .B55 1977","CLEMONS","A history of Rome to A.D. 565 /","Sinnigen, William G. (William Gurnee),",1977,"6/29/96","2/19/18",44,316,12,2,"3",FALSE,3,"1",0
"4",3995073,"X004702551","DG867.3 .M68 2003","ALDERMAN","Sea power in the medieval Mediterranean : the Catalan-Aragonese fleet in the war of the Sicilian Vespers /","Mott, Lawrence V.,",2003,"12/16/03","12/11/18",0,132,124,1,"2",FALSE,4,"1",0
"5",1352879,"X001601786","DG260 .C5 P57 1988b","ALDERMAN","The life of Cicero /","Plutarch.",1988,"6/30/96","9/30/18",1,129,0,1,"2",FALSE,6,"1",0
"6",13223,"X000824596","DG276 .W388 1984","ALDERMAN","The Roman Empire /","Wells, C. M. (Colin Michael)",1984,"6/28/96","4/18/18",18,146,7,2,"2 3",FALSE,7,"1",0
"7",2281768,"X002442782","DG737.26 .S74 1993","ALDERMAN","La rÈvolte des Ciompi : les hommes, les lieux, le travail /","Stella, Alessandro.",1993,"7/1/96","7/11/12",0,129,5,1,"2",FALSE,8,"1",0
"8",1805672,"X001901262","DG533 .H392 1989","ALDERMAN","Italy in the age of the Renaissance, 1380-1530 /","Hay, Denys.",1989,"6/30/96","4/8/09",15,194,0,2,"2 3",FALSE,9,"1",0
"9",155278,"X004135198","DG618.64 .N3","ALDERMAN","Storia del regno di Carlo Alberto dal 1831 al 1848 : dallo Stato assoluto allo Stato costituzionale /","Nada, Narciso.",1980,"12/7/97","12/8/10",0,130,0,1,"2",FALSE,10,"1",0
"10",2889056,"X006077943","DG737.26 .A88 1998","ALDERMAN","La Mercanzia a Firenze nella prima met‡ del Trecento : il potere dei grandi mercanti /","Astorri, Antonella.",1998,"3/9/99","4/11/12",0,118,5,1,"2",FALSE,11,"1",0
"11",317185,"X000065717","DG530 .W34 1978","ALDERMAN","The Italian city-republics /","Waley, Daniel Philip.",1978,"6/28/96","1/2/13",5,124,0,1,"2",FALSE,12,"1",0
"12",293540,"X000090916","DG235 .C7 1978","ALDERMAN","The Roman Republic /","Crawford, Michael H. (Michael Hewson),",1978,"6/28/96","11/9/18",15,142,0,2,"2 3",FALSE,13,"1",0
"13",538324,"X000273241","DG77 .B73 1980","ALDERMAN","The world of late antiquity : AD 150-750 /","Brown, Peter,",1980,"6/29/96","11/20/18",13,138,22,2,"2 3 4",FALSE,14,"1",0
"14",3767998,"X004561630","DG737.5 .P374 2001","ALDERMAN","Ricordi storici, 1464-1467 /","Parenti, Marco,",2001,"8/9/01","6/25/13",0,103,18,1,"2",FALSE,15,"1",0
"15",1975749,"X002120254","DG867.2 .M38 1992","ALDERMAN","The Norman kingdom of Sicily /","Matthew, Donald,",1992,"6/30/96","12/11/18",6,89,29,1,"2",FALSE,17,"1",0
"16",948305,"X000457102","DG260 .A1 P53 1965","ALDERMAN","Makers of Rome; nine lives: Coriolanus, Fabius Maximus, Marcellus, Cato the Elder, Tiberius Gracchus, Gaius Gracchus, Sertorius, Brutus, Mark Antony.","Plutarch.",1965,"6/29/96","11/3/16",12,98,17,2,"2 3",FALSE,18,"1",0
"17",2492450,"X002695480","DG533 .L27 1995","ALDERMAN","Language and images of Renaissance Italy /","",1995,"7/1/96","9/17/15",8,91,0,1,"2",FALSE,19,"1",0
"18",167447,"X001839813","DG473 .P3 1966 v.5","ALDERMAN","Storia del diritto italiano dalla caduta dell 'Impero romano alla codeficazione.","Pertile, Antonio,",1966,"6/28/96","6/25/13",0,99,18,9,"2",TRUE,20,"1",0
"19",2265977,"X002532327","DG70 .P7 W33 1994","ALDERMAN","Houses and society in Pompeii and Herculaneum /","Wallace-Hadrill, Andrew.",1994,"7/1/96","11/26/18",14,82,7,1,"2 4",FALSE,21,"1",0
"20",186675,"X032050337","DG322 .H64 1982","ALDERMAN","Theodosian empresses : women and imperial dominion in late antiquity /","Holum, Kenneth G.",1982,"6/28/96","10/14/05",4,104,0,1,"2",FALSE,22,"1",0
"21",16582,"X000872720","DG737.5 .F58 1981 V.1","ALDERMAN","Le ""consulte"" e ""pratiche"" della Repubblica fiorentina nel Quattrocento.","Florence (Republic)",1981,"6/28/96","6/25/13",0,92,18,1,"2",TRUE,23,"1",0
"22",428300,"X000534666","DG631 .S6 v.70","ALDERMAN","La schiavit˘ in Liguria : (ricerche e documenti) /","Tria, Luigi.",1947,"6/29/96","10/3/18",1,88,18,1,"2",TRUE,24,"1",0
"23",2534762,"X002778334","DG279 .G17 1996","ALDERMAN","Augustan culture : an interpretive introduction /","Galinsky, Karl,",1996,"7/1/96","5/10/18",6,111,13,2,"2 3",FALSE,25,"1",0
"24",3333,"X000932829","DG812.1 .S75 1985","ALDERMAN","The Renaissance in Rome /","Stinger, Charles L.,",1985,"6/28/96","8/21/18",6,79,13,1,"2",FALSE,26,"1",0
"25",113391,"X006136309","DG445 .C66","ALDERMAN","A Concise encyclopaedia of the Italian Renaissance /","",1981,"6/28/96","3/4/15",10,118,0,2,"2 3",FALSE,27,"1",0
"26",1358384,"X001584669","DG207 .T3 G68 1977","CLEMONS","The annals of imperial Rome /","Tacitus, Cornelius.",1977,"6/30/96","4/9/18",8,81,0,1,"3",TRUE,28,"1",0
"27",1764497,"X001844607","DG279 .B43 1990","ALDERMAN","Between republic and empire : interpretations of Augustus and his principate /","",1990,"6/30/96","5/9/18",24,87,13,2,"2",FALSE,29,"1",0
"28",4317448,"X004956229","DG735.6 .D66 2004","ALDERMAN","Donne tra Medioevo ed Et· Moderna in Italia : ricerche /","",2004,"9/28/05","6/25/13",0,63,18,1,"2",FALSE,30,"1",0
"29",2893675,"X004276301","DG78 .C37 1998","ALDERMAN","Everyday life in ancient Rome /","Casson, Lionel,",1998,"3/22/99","5/23/17",2,70,9,1,"2",FALSE,31,"1",0
