"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",4026811,"X004790450","DH801 .F462 A13 2002","ALDERMAN","1302, le dÈsastre de Courtrai : mythe et rÈalitÈ de la bataille des Èperons d'or /","",2002,"4/29/04","5/2/12",0,137,11,1,"2",FALSE,1,"1",0
"2",2461053,"X006136605","DH179 .I773 1995","ALDERMAN","The Dutch republic : its rise, greatness, and fall, 1477-1806 /","Israel, Jonathan I. (Jonathan Irvine),",1995,"7/1/96","5/11/17",10,51,1,1,"2",FALSE,2,"1",0
"3",2057878,"X002214903","DH801 .F462 N53 1992","ALDERMAN","Medieval Flanders /","Nicholas, David,",1992,"6/30/96","12/11/18",2,44,19,1,"2",FALSE,3,"1",0
"4",339065,"X006113848","DH186.5 .P283","ALDERMAN","The Dutch revolt /","Parker, Geoffrey,",1977,"6/28/96","12/1/17",4,50,14,2,"2 3",FALSE,4,"1",0
"5",2922281,"X004295236","DH179 .I87 1998","ALDERMAN","The Dutch Republic : its rise, greatness and fall, 1477-1806 /","Israel, Jonathan I. (Jonathan Irvine),",1998,"6/21/99","4/11/18",3,26,36,1,"2",FALSE,5,"1",0
"6",4340554,"X004903858","DH131 .A73 2006","ALDERMAN","A history of the Low Countries /","Arblaster, Paul.",2006,"1/20/06","5/12/18",1,19,9,1,"2",FALSE,6,"1",0
"7",949923,"X002419032","DH521 .P57 1922 v.2","ALDERMAN","Histoire de Belgique.","Pirenne, Henri,",1900,"8/20/96","2/8/11",0,144,0,7,"2",TRUE,7,"1",0
"8",573957,"X000232609","DH186.5 .P28","ALDERMAN","The Army of Flanders and the Spanish road, 1567-1659; the logistics of Spanish victory and defeat in the Low Countries' Wars.","Parker, Geoffrey,",1972,"6/29/96","5/9/13",4,40,3,2,"2 3",FALSE,10,"1",0
"9",7281567,"X031810184","DH71 .C47 2017","ALDERMAN","The fullness of time : temporalities of the fifteenth-century Low Countries /","Champion, Matthew S.,",2017,"11/10/17","11/28/17",1,0,0,1,"2",FALSE,11,"1",0
"10",6260916,"X031630412","DH689 .V36 A3 2014","ALDERMAN","Through the day, through the night : a Flemish Belgian boyhood and World War II /","Vansina, Jan",2014,"5/17/14","10/28/18",0,1,2,1,"2",FALSE,12,"1",0
"11",6530100,"X031705392","DH175 .A76 2015","ALDERMAN","Honor, vengeance, and social trouble : pardon letters in the Burgundian Low Countries /","Arnade, Peter J.,",2015,"3/25/15","9/22/16",0,1,0,1,"2",FALSE,13,"1",0
"12",6248053,"X031626784","DH186.5 .H37 2014","ALDERMAN","The Dutch wars of independence : warfare and commerce in the Netherlands 1570-1680 /","Hart, Marjolein C. 't",2014,"5/8/14","4/20/15",0,3,1,1,"2",FALSE,14,"1",0
"13",5725321,"X031214727","DH569 .C7 V26 2012","ALDERMAN","Belgium and the Congo, 1885-1980 /","Vanthemsche, Guy",2012,"8/10/12","11/10/18",0,1,0,1,"2",TRUE,15,"1",0
"14",4721178,"X030259104","DH186.5 .T73 2008","ALDERMAN","The founding of the Dutch Republic : war, finance, and politics in Holland, 1572-1588 /","Tracy, James D.",2008,"5/21/08","4/19/14",0,9,1,1,"2",FALSE,16,"1",0
"15",3823706,"X004628643","DH645 .W5713 2000","ALDERMAN","Political history of Belgium from 1830 onwards /","Witte, Els.",2000,"3/26/02","8/28/13",3,16,0,1,"2",FALSE,17,"1",0
"16",2259394,"X031225043","DH811 .A6 A57 1993","ALDERMAN","Antwerp, story of a metropolis, 16th-17th century /","",1993,"10/16/12","5/31/17",2,4,4,1,"2",FALSE,18,"1",0
"17",1342495,"X001104822","DH430 .M87 1988","ALDERMAN","The regional dynamics of language differentiation in Belgium : a study in cultural-political geography /","Murphy, Alexander B.,",1988,"6/30/96","4/23/15",1,20,0,1,"2",FALSE,19,"1",0
"18",6148911,"X031603614","DH186.5 .D86 2013","ALDERMAN","Britain and the Dutch revolt, 1560-1700 /","Dunthorne, Hugh.",2013,"10/26/13","4/20/15",0,1,0,1,"2",FALSE,20,"1",0
"19",554691,"X000057165","DH689 .S6 A3132 1971","ALDERMAN","The continuing battle; memoirs of a European, 1936-1966","Spaak, Paul-Henri,",1971,"6/29/96","12/17/18",1,18,317,1,"2",FALSE,21,"1",0
"20",47289,"X000822150","DH687 .K49 1984","ALDERMAN","Outrageous fortune : the tragedy of Leopold III of the Belgians, 1901-1941 /","Keyes, Roger,",1984,"6/28/96","10/22/12",1,22,0,1,"2",FALSE,22,"1",0
"21",116563,"X000349934","DH186.5 .I85 1982","ALDERMAN","The Dutch Republic and the Hispanic world, 1606-1661 /","Israel, Jonathan I. (Jonathan Irvine),",1982,"6/28/96","2/13/09",3,26,0,1,"2",FALSE,23,"1",0
"22",5949222,"X031613072","DH186.5 .S74 2012","ALDERMAN","Habsburg communication in the Dutch revolt /","Stensland, Monica,",2012,"3/6/13","4/20/15",0,1,0,1,"2",FALSE,24,"1",0
"23",6147959,"X031576648","DH189 .S74 2013","ALDERMAN","Margaret of Parma : a life /","Steen, Charlie R.",2013,"10/22/13","3/10/15",0,0,0,1,"2",FALSE,25,"1",0
"24",2931486,"X004323079","DH175 .B57 1999","ALDERMAN","The promised lands : the Low Countries under Burgundian rule, 1369-1530 /","Blockmans, Wim,",1999,"7/27/99","1/8/16",1,13,2,1,"2",FALSE,26,"1",0
"25",254926,"X000374516","DH186.5 .P285 1979","ALDERMAN","Spain and the Netherlands, 1559-1659 : ten studies /","Parker, Geoffrey,",1979,"6/28/96","10/14/10",2,24,0,1,"2",FALSE,27,"1",0
"26",5764829,"X030845521","DH602 .I8 I7313 2011","ALDERMAN","Isabel Clara Eugenia : female sovereignty in the courts of Madrid and Brussels /","",2011,"9/6/12","2/2/15",0,1,0,1,"2",FALSE,28,"1",0
"27",751765,"X031949548","DH403 .A23 v.5 pt.1","ALDERMAN","De oorkonden der graven van Vlaanderen (1191-aanvang 1206)","Flanders. Counts.",1964,"12/15/17","12/18/17",0,0,0,2,"2",TRUE,29,"1",0
"28",4796035,"X030472635","DH187.5 .A76 2008","ALDERMAN","Beggars, iconoclasts, and civic patriots : the political culture of the Dutch Revolt /","Arnade, Peter J.",2008,"11/26/08","8/19/15",1,3,2,1,"2",FALSE,30,"1",0
"29",4248391,"X004835061","DH188 .W7 J37 2005","ALDERMAN","The awful end of Prince William the silent : the first assassination of a head of state with a handgun /","Jardine, Lisa.",2005,"5/26/05","5/10/11",0,10,0,1,"2",FALSE,31,"1",0
"30",4467668,"X030280244","DH645 .H69 2005","ALDERMAN","How can one not be interested in Belgian history : war, language and consensus in Belgium since 1830 /","",2005,"2/15/07","6/26/17",1,2,2,1,"2",FALSE,32,"1",0
"31",220154,"X000707009","DH491 .I78","ALDERMAN","The Flemings and Walloons of Belgium /","Irving, R. E. M. (Ronald Eckford Mill)",1980,"6/28/96","5/7/09",3,23,0,1,"2 17",FALSE,33,"1",0
"32",344028,"X000084650","DH801 .F43 C3 1974","ALDERMAN","The fair face of Flanders /","Carson, Patricia.",1974,"6/28/96","12/14/15",0,17,0,1,"2",TRUE,34,"1",0
"33",773320,"X001275306","DH71 .I57 1984","ALDERMAN","Papers from the Second Interdisciplinary Conference on Netherlandic Studies held at Georgetown University, 7-9 June 1984 /","Interdisciplinary Conference on Netherlandic Studies",1987,"6/29/96","11/3/17",1,13,0,1,"2",FALSE,35,"1",0
"34",2028441,"X002187242","DH186.5 .G37 1992","ALDERMAN","The political thought of the Dutch revolt, 1555-1590 /","Gelderen, Martin van.",1992,"6/30/96","2/8/16",1,14,27,1,"2",FALSE,36,"1",0
"35",537527,"X000472738","DH418 .L9 1971","ALDERMAN","Belgium,","Lyon, Margot,",1971,"6/29/96","4/23/15",1,18,0,1,"2",FALSE,37,"1",0
"36",4606034,"X030261350","DH801 .F443 D35 2007","ALDERMAN","Flanders : a cultural history /","De Vries, AndrÈ,",2007,"7/4/07","5/14/15",0,3,2,1,"2",TRUE,38,"1",0
"37",512060,"X000779304","DH471 .W37 1975 v.1 pt.1","ALDERMAN","The Flemish nobility before 1300 /","Warlop, E.",1975,"6/29/96","7/10/12",1,56,0,3,"2",TRUE,39,"1",0
"38",3529051,"X006108246","DH186.5 .K67 2000","ALDERMAN","Political thought in the Dutch Republic : three studies /","Kossmann, E. H. (Ernst Heinrich),",2000,"4/26/00","2/8/16",4,9,25,1,"2",FALSE,40,"1",0
"39",4814500,"X030568836","DH180 .H345 2009","ALDERMAN","For the common good? : state power and urban revolts in the reign of Mary of Burgundy (1477-1482) /","Haemers, Jelle.",2009,"1/22/09","1/28/16",0,0,0,1,"2",FALSE,41,"1",0
"40",4228904,"X004864707","DH146 .R69 2004","ALDERMAN","Ethnic identity and imperial power : the Batavians in the early Roman Empire /","Roymans, Nico.",2004,"5/5/05","5/12/18",1,1,3,1,"2",FALSE,42,"1",0
"41",2293018,"X002480914","DH71 .F765 1993","ALDERMAN","From revolt to riches : culture and history of the Low Countries, 1500-1700 : international and interdisciplinary perspectives /","",1993,"7/1/96","3/27/12",4,16,0,1,"2",FALSE,44,"1",0
"42",2753420,"X004140338","DH186 .E94 1997","ALDERMAN","Exercise of arms : warfare in the Netherlands, 1568-1648 /","",1997,"12/22/97","4/22/13",0,13,0,1,"2",FALSE,45,"1",0
"43",1952146,"X002121445","DH491 .F48 1992","ALDERMAN","The Flemish movement : a documentary history 1780-1990 /","",1992,"6/30/96","5/7/09",4,19,0,1,"2",FALSE,46,"1",0
"44",3837201,"X004589991","DH801 .F462 F44 2002","ALDERMAN","The golden spurs of Kortrijk : how the knights of France fell to the foot soldiers of Flanders in 1302 /","Fegley, Randall,",2002,"5/30/02","6/27/09",0,12,0,1,"2",TRUE,48,"1",0
"45",4448818,"X030145206","DH682 .S3314 2004","ALDERMAN","La Belgique et la PremiËre Guerre mondiale /","Schaepdrijver, Sophie de.",2004,"12/14/06","4/30/15",0,1,0,1,"2",FALSE,49,"1",0
"46",1613533,"X031869720","DH186 .L56 1989","ALDERMAN","The Dutch revolt, 1559-1648 /","Limm, Peter.",1989,"6/30/96","1/22/15",2,12,11,1,"2 3",FALSE,50,"1",0
"47",5312762,"X030925607","DH186.5 .R65 2010","ALDERMAN","Disputation by decree : the public disputations between Reformed ministers and Dirck Volckertszoon Coornhert as instruments of religious policy during the Dutch Revolt (1577-1583) /","Roobol, Marianne.",2010,"3/23/11","8/25/11",0,0,0,1,"2",FALSE,51,"1",0
"48",7328782,"X031870322","DH16 .W36 1930","ALDERMAN","Handbook to Holland, with general and railway maps of Holland ; plans of Middelburg, Dordrecht, Delft, Rotterdam, the Hague, Leiden, Haarlem, Amsterdam, Utrecht, Nijmegen, Kampen, Leeuwarden, Arnhem, the Isle of Walcheren, the Isle of Marken, etc. /","Ward, Lock & Co.",1930,"11/7/17","11/9/17",0,0,0,1,"2",FALSE,52,"1",0
"49",2645900,"X006041632","DH71 .N488 1996","ALDERMAN","Tournois, joutes, pas d'armes dans les villes de Flandre ‡ la fin du Moyen Age (1300-1486) /","Neste, Evelyne van den.",1996,"1/28/97","2/26/15",0,10,0,1,"2",FALSE,53,"1",0
"50",3916707,"X004680225","DH801 .F465 B934 2002","ALDERMAN","Quand les femmes gouvernent : droit et politique au XIVe siËcle : Yolande de Flandre /","Bubenicek, Michelle.",2002,"2/11/03","10/10/18",1,0,0,1,"2",FALSE,54,"1",0
"51",4010504,"X004825878","DH689 .S73 A3 2003","ALDERMAN","MÈmoires sur la RÈgence et la question royale : ""tout cela a passÈ comme une ombre"" /","Staercke, AndrÈ de,",2003,"2/24/04","11/2/15",0,2,0,1,"2",FALSE,55,"1",0
"52",28003,"X000870089","DH908 .N48 1984","ALDERMAN","The Grand Duchy of Luxembourg : the evolution of nationhood, 963 A.D. to 1983 /","Newcomer, James.",1984,"6/28/96","2/29/12",2,15,0,1,"2",FALSE,56,"1",0
"53",520902,"X031942098","DH403 .A2 v.46 t.1","ALDERMAN","DÈnombrements des feux des duchÈ de Luxembourg et comtÈ de Chiny ...","Grob, Jacques,",1921,"12/12/17","12/14/17",0,0,0,2,"2",TRUE,57,"1",0
"54",2088837,"X002253924","DH185 .D88 1993","ALDERMAN","The Dutch revolt /","",1993,"6/30/96","12/1/17",2,7,11,1,"2",FALSE,58,"1",0
"55",7322807,"X031900262","DH682 .M37 1918","ALDERMAN","The secret press in Belgium /","Massart, Jean,",1918,"11/3/17","11/6/17",0,0,0,1,"2",FALSE,59,"1",0
"56",1760253,"X001813602","DH652 .F57 1988","ALDERMAN","Diplomacy and revolution : the London conference of 1830 and the Belgian revolt /","Fishman, J. S.",1988,"6/30/96","2/13/15",1,10,0,1,"2",FALSE,60,"1",0
"57",453943,"X000288794","DH801 .F45 G28 1949","ALDERMAN","La Flandre sous les premiers comtes,","Ganshof, F. L. (FranÁois Louis),",1943,"6/29/96","9/22/17",2,14,0,1,"2",TRUE,61,"1",0
"58",2870358,"X004290287","DH36 .S77 1998","ALDERMAN","Touring the low contries : accounts of British travellers, 1660-1720 /","Strien, C. D. van.",1998,"1/18/99","6/23/09",4,12,0,1,"2",FALSE,62,"1",0
"59",528636,"X000748827","DH418 .M25 1970","ALDERMAN","Belgium.","Mallinson, Vernon.",1970,"6/29/96","4/23/15",1,12,0,1,"2",FALSE,63,"1",0
"60",4183754,"X004846391","DH801 .B77 B677 2001","ALDERMAN","Enlightened innovation and the ancient constitution : the intellectual justifications of revolution in Brabant (1787-1790) /","Bossche, Geert van den.",2001,"11/23/04","5/7/15",0,0,0,1,"2",FALSE,64,"1",0
