"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",2626973,"X006083051","DJK51 .L85 1996","ALDERMAN","Europe from the Balkans to the Urals : the disintegration of Yugoslavia and the Soviet Union /","Lukic, RenÈo.",1996,"11/8/96","4/25/12",3,270,0,1,"2",FALSE,1,"1",0
"2",5238255,"X030721267","DJK49 .S69 2010","ALDERMAN","Bloodlands : Europe between Hitler and Stalin /","Snyder, Timothy.",2010,"10/25/10","11/12/18",4,66,17,2,"2 3",FALSE,2,"1",0
"3",7217512,"X031824806","DJK50 .F434 2017","ALDERMAN","Curtain of lies : the battle over truth in Stalinist Eastern Europe /","Feinberg, Melissa,",2017,"8/4/17","5/12/18",0,1,2,1,"2",FALSE,3,"1",0
"4",6889775,"X031825016","DJK26 .B94 2016","ALDERMAN","The roots of ethnic cleansing in Europe /","Bulutgil, H. Zeynep,",2016,"9/30/16","2/12/18",1,1,0,1,"2",FALSE,5,"1",0
"5",1739576,"X001824988","DJK50 .G35 1990","CLEMONS","The magic lantern : the revolution of '89 witnessed in Warsaw, Budapest, Berlin, and Prague /","Garton Ash, Timothy.",1990,"6/30/96","10/30/17",9,99,0,1,"2 3",FALSE,6,"1",0
"6",6662501,"X032401625","DJK51 .T478 2015","ALDERMAN","Thinking through transition : liberal democracy, authoritarian pasts, and intellectual history in East Central Europe after 1989 /","",2015,"1/1/16","11/14/18",0,0,0,1,"2",FALSE,7,"1",0
"7",6147943,"X031603902","DJK50 .M46 2013","ALDERMAN","Memory and theory in Eastern Europe /","",2013,"10/22/13","3/25/18",1,2,1,1,"2",FALSE,8,"1",0
"8",5963823,"X030608630","DJK26 .S53 2013","ALDERMAN","Shatterzone of empires : coexistence and violence in the German, Habsburg, Russian, and Ottoman borderlands /","",2013,"5/9/13","5/8/18",0,3,5,1,"2",FALSE,9,"1",0
"9",5772648,"X030842052","DJK50 .M383 2010","ALDERMAN","Masterpieces of history : the peaceful end of the Cold War in Europe, 1989 /","",2010,"9/14/12","5/5/18",5,9,4,1,"2",FALSE,10,"1",0
"10",5237592,"X031642055","DJK48.5 .P78 2010","ALDERMAN","The lands between : conflict in the East European borderlands, 1870-1992 /","Prusin, Alexander Victor.",2010,"2/27/15","5/14/18",0,1,6,1,"2",FALSE,11,"1",0
"11",6175176,"X031606979","DJK50 .I46 2013","ALDERMAN","Imposing, maintaining, and tearing open the Iron Curtain : the Cold War and East-Central Europe, 1945-1989 /","",2013,"12/30/13","5/2/17",0,2,2,1,"2",FALSE,12,"1",0
"12",5824805,"X031231416","DJK45 .S65 A67 2012","ALDERMAN","Iron curtain : the crushing of Eastern Europe, 1944-1956 /","Applebaum, Anne,",2012,"11/14/12","2/20/18",1,13,10,2,"2",FALSE,13,"1",0
"13",5843029,"X030845214","DJK66 .S54 2012","ALDERMAN","America's Black Sea fleet : the U.S. Navy amidst war and revolution, 1919-1923 /","Shenk, Robert,",2012,"12/5/12","9/20/17",0,1,0,1,"2",FALSE,15,"1",0
"14",5824200,"X030844897","DJK51 .E525 2012","ALDERMAN","The end and the beginning : the revolutions of 1989 and the resurgence of history /","",2012,"10/27/12","5/19/17",0,2,43,1,"2",FALSE,16,"1",0
"15",6220894,"X031626758","DJK45 .U5 L66 2014","ALDERMAN","The CIA and the Soviet bloc : political warfare, the origins of the CIA and countering Communism in Europe /","Long, Stephen,",2014,"2/28/14","7/24/14",0,1,0,1,"2",TRUE,17,"1",0
"16",5933117,"X031609050","DJK38 .P65 2012","ALDERMAN","Politics, history and collective memory in East Central Europe /","",2012,"1/29/13","5/3/17",0,0,0,1,"2",FALSE,18,"1",0
"17",2685225,"X004095844","DJK51 .B78 1996","CLEMONS","Nationalism reframed : nationhood and the national question in the New Europe /","Brubaker, Rogers,",1996,"5/8/97","11/6/15",8,126,3,2,"2 3",FALSE,19,"1",0
"18",6171210,"X031581093","DJK45 .R8 C98 2013","ALDERMAN","Sza?ce kultur : szkice z dziejÛw narodÛw Europy Wschodniej /","Cywi?ski, Bohdan,",2013,"12/17/13","1/28/14",0,1,0,1,"2",TRUE,20,"1",0
"19",5725332,"X031214821","DJK28 .G4 D45 2012","ALDERMAN","The lost German East : forced migration and the politics of memory, 1945-1970 /","Demshuk, Andrew,",2012,"8/10/12","12/18/14",0,4,0,1,"2",TRUE,21,"1",0
"20",2714975,"X004126666","DJK51 .B65 1997","ALDERMAN","Nationalism in Eastern Europe : causes and consequences of the national revivals and conflicts in late-twentieth-century Eastern Europe /","Bollerup, S¯ren Rinder,",1997,"10/15/97","5/21/18",1,96,42,2,"2 3",FALSE,22,"1",0
"21",6149050,"X031603637","DJK51 .P677 2013","ALDERMAN","Postcommunism from within : social justice, mobilization, and hegemony /","",2013,"10/29/13","12/17/13",0,0,0,1,"2",FALSE,23,"1",0
"22",4693579,"X030250237","DJK51 .C437 2008","ALDERMAN","Central and East European politics : from communism to democracy /","",2008,"3/4/08","5/29/18",0,14,3,1,"2",FALSE,24,"1",0
"23",5270707,"X030732726","DJK45 .W47 I45 2010","ALDERMAN","Imagining the West in Eastern Europe and the Soviet Union /","",2010,"1/12/11","3/25/18",1,2,1,1,"2",FALSE,25,"1",0
"24",5053936,"X030517452","DJK50 .P59 2009","CLEMONS","There is no freedom without bread! : 1989 and the civil war that brought down communism /","Pleshakov, Konstantin.",2009,"11/2/09","11/19/18",0,5,3,1,"3",FALSE,26,"1",0
"25",5006683,"X030571442","DJK50 .M49 2009","CLEMONS","The year that changed the world /","Meyer, Michael,",2009,"9/8/09","5/5/18",0,4,3,1,"3",FALSE,27,"1",0
"26",1758955,"X001812967","DJK50 .T55 1990b","ALDERMAN","The Times guide to Eastern Europe : the changing face of the Warsaw Pact :acomprehensive handbook /","",1990,"6/30/96","7/31/18",1,69,0,1,"2",FALSE,28,"1",0
"27",5695426,"X031216025","DJK48 .B55 2012","ALDERMAN","Romantic nationalism in Eastern Europe : Russian, Polish, and Ukrainian political imaginations /","Bilen?ky?, Serhi?,",2012,"5/26/12","3/22/13",0,1,0,1,"2",FALSE,29,"1",0
"28",3918354,"X004657175","DJK45 .S65 O89 2003","ALDERMAN","The rise and fall of the Brezhnev Doctrine in Soviet foreign policy /","Ouimet, Matthew J.",2003,"2/20/03","4/16/17",3,31,2,1,"2",FALSE,30,"1",0
"29",5499220,"X030947592","DJK50 .S75 2012","ALDERMAN","The walls came tumbling down : collapse and rebirth in Eastern Europe /","Stokes, Gale,",2012,"11/12/11","10/28/12",0,1,0,1,"2",FALSE,31,"1",0
"30",4373710,"X004911846","DJK48.5 .G46 2006","ALDERMAN","Gender and war in twentieth-century Eastern Europe /","",2006,"6/21/06","10/20/14",1,21,0,1,"2",FALSE,32,"1",0
"31",4730595,"X030260331","DJK50 .S675 2008","ALDERMAN","The sovietization of Eastern Europe : new perspectives on the postwar period /","",2008,"6/11/08","7/30/18",1,3,2,1,"2",FALSE,33,"1",0
"32",5064994,"X030501370","DJK27 .B365 2001","CLEMONS","The early Slavs : culture and society in early medieval Eastern Europe /","Barford, P. M. (Paul M.)",2001,"11/18/09","10/25/16",0,11,4,1,"3",FALSE,34,"1",0
"33",3761351,"X004526206","DJK51 .K38 2001","ALDERMAN","Modern hatreds : the symbolic politics of ethnic war /","Kaufman, Stuart J.",2001,"7/31/01","4/29/17",6,36,0,1,"2",FALSE,35,"1",0
"34",3777145,"X004551217","DJK51 .K85 2001","ALDERMAN","1989 : revolutionary ideas and ideals /","Kumar, Krishan,",2001,"9/18/01","5/19/17",4,34,5,1,"2",FALSE,36,"1",0
"35",4396504,"X004834130","DJK27 .P56 2006","ALDERMAN","The origins of the Slavic nations : premodern identities in Russia, Ukraine, and Belarus /","Plokhy, Serhii,",2006,"9/14/06","5/12/18",2,6,12,1,"2",FALSE,38,"1",0
"36",2838394,"X004200488","DJK42 .P75 1998","ALDERMAN","National identity and foreign policy : nationalism and leadership in Poland, Russia and Ukraine /","Prizel, Ilya.",1998,"10/6/98","6/18/17",1,54,11,2,"2",FALSE,39,"1",0
"37",4438478,"X004834303","DJK51 .K464 2006","ALDERMAN","The burdens of freedom : Eastern Europe since 1989 /","Kenney, Padraic,",2006,"11/1/06","11/8/17",2,6,5,1,"2",FALSE,40,"1",0
"38",4693526,"X030249250","DJK28 .G4 G468 2008","ALDERMAN","The Germans and the East /","",2008,"2/28/08","9/23/14",0,6,0,1,"2",TRUE,41,"1",0
"39",2354148,"X002533539","DJK13 .W65 1994","ALDERMAN","Inventing Eastern Europe : the map of civilization on the mind of the Enlightenment /","Wolff, Larry.",1994,"7/1/96","11/16/18",6,52,0,1,"2",FALSE,42,"1",0
"40",5073908,"X030277468","DJK50 .W37 2009","ALDERMAN","Warlands : population resettlement and state reconstruction in the Soviet-East European Borderlands, 1945-50 /","",2009,"12/10/09","5/3/11",0,5,0,1,"2",FALSE,43,"1",0
"41",1305613,"X001491768","DJK45 .S65 C66 1989","ALDERMAN","Continuity and change in Soviet-East European relations : implications for the West /","",1989,"6/30/96","3/18/14",1,67,1,1,"2",TRUE,44,"1",0
"42",4331383,"X030819416","DJK26 .E84 2005","ALDERMAN","Ethnic politics after communism /","",2005,"2/17/11","3/22/13",1,7,7,2,"2",FALSE,45,"1",0
"43",119797,"X031766401","DJK27 .D7 1981","ALDERMAN","Slaven an Havel und Spree : Studien zur Geschichte des hevellisch-wilzischen F¸rstentums (6. bis 10. Jahrhundert) /","Dralle, Lothar.",1981,"2/25/17","4/25/18",0,1,2,1,"2",FALSE,46,"1",0
"44",5253500,"X030744783","DJK50 .M40 2010","ALDERMAN","Stalinist terror in Eastern Europe : elite purges and mass repression /","McDermott, Kevin,",2010,"11/17/10","11/22/10",0,0,0,1,"2",FALSE,47,"1",0
"45",3923373,"X004658242","DJK48.5 .S66 2003","ALDERMAN","The reconstruction of nations : Poland, Ukraine, Lithuania, Belarus, 1569-1999 /","Snyder, Timothy.",2003,"3/27/03","7/17/17",3,18,3,1,"2",FALSE,48,"1",0
"46",3810041,"X004593602","DJK50 .R43 2001","ALDERMAN","Redrawing nations : ethnic cleansing in East-Central Europe, 1944-1948 /","",2001,"1/31/02","4/24/17",3,24,0,1,"2",FALSE,49,"1",0
"47",4793886,"X030508794","DJK24 .J49 v.19","ALDERMAN","Jews, Ukrainians and Russians : essays on intercultural relations /","",2008,"11/19/08","1/27/14",0,0,0,1,"2",TRUE,50,"1",0
"48",4794016,"X030508792","DJK24 .J49 v.21","ALDERMAN","Jews, Poles and Russians : Jewish-Polish and Jewish-Russian contacts /","",2008,"11/19/08","1/27/14",0,0,0,1,"2",TRUE,50,"1",0
"49",4376393,"X004895743","DJK28 .G4 D413 2006","ALDERMAN","A terrible revenge : the ethnic cleansing of the East European Germans /","De Zayas, Alfred M.",2006,"6/28/06","5/17/16",1,5,4,1,"2",TRUE,51,"1",0
"50",5122268,"X030625523","DJK32 .B33 2010","ALDERMAN","Historians and nationalism : East-Central Europe in the nineteenth century /","Ba·r, Monika.",2010,"3/18/10","5/25/10",0,1,0,1,"2",FALSE,52,"1",0
"51",3892752,"X004636897","DJK26 .P48 2002","ALDERMAN","Understanding ethnic violence : fear, hatred, and resentment in twentieth century Eastern Europe /","Petersen, Roger Dale,",2002,"10/29/02","8/16/18",0,16,3,1,"2",FALSE,53,"1",0
