"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",1363706,"X001594603","DU21 .M54 P8713 1982a","ALDERMAN","Nikolai Miklouho-Maclay, traveller, scientist and humanist /","Putilov, B. N. (Boris Nikolaevich)",1989,"6/30/96","3/19/13",0,129,14,1,"2",FALSE,1,"1",0
"2",13859,"X004796018","DU28.3 .S24 1985","ALDERMAN","Islands of history /","Sahlins, Marshall,",1985,"6/28/96","8/13/18",18,162,28,2,"2",FALSE,2,"1",0
"3",1792392,"X006132015","DU740.42 .D36 1990","ALDERMAN","From Muyuw to the Trobriands : transformations along the northern side of the Kula Ring /","Damon, Frederick H.",1990,"6/30/96","4/11/18",5,96,22,1,"2 3 14",FALSE,3,"1",0
"4",261348,"X006165752","DU740.42 .W33","ALDERMAN","Lethal speech : Daribi myth as symbolic obviation /","Wagner, Roy,",1978,"6/28/96","8/30/18",3,89,4,1,"2",FALSE,4,"1",0
"5",122243,"X006025502","DU740.42 .K84 1983","CLEMONS","The Kula : new perspectives on Massim exchange /","",1983,"6/28/96","8/5/09",20,223,47,3,"2 3",FALSE,5,"1",0
"6",3544134,"X004439018","DU105.2 .B83 2000","ALDERMAN","In a sunburned country /","Bryson, Bill.",2000,"8/22/00","4/2/18",1,55,6,1,"2 3 17",FALSE,7,"1",0
"7",1804673,"X002046359","DU740.42 .C455 1990","ALDERMAN","Children of Afek : tradition and change among the Mountain-Ok of central New Guinea /","",1990,"6/30/96","3/12/14",0,70,27,1,"2",FALSE,8,"1",0
"8",783622,"X006114413","DU105.2 .C43 1987b","ALDERMAN","The songlines /","Chatwin, Bruce,",1987,"6/29/96","5/10/16",4,67,13,1,"2",FALSE,9,"1",0
"9",578329,"X000213746","DU122 .W3 M4 1965","ALDERMAN","Desert people; a study of the Walbiri Aborigines of Central Australia,","Meggitt, Mervyn J.,",1965,"6/29/96","12/5/14",9,117,0,2,"2 3",FALSE,11,"1",0
"10",4729229,"X030258824","DU105.2 .B83 2001","CLEMONS","In a sunburned country /","Bryson, Bill.",2001,"6/5/08","1/30/18",0,33,5,1,"3",FALSE,12,"1",0
"11",1621568,"X001665433","DU740.42 .D43 1989","ALDERMAN","Death rituals and life in the societies of the kula ring /","",1989,"6/30/96","4/11/18",6,57,2,1,"2 3",FALSE,13,"1",0
"12",2820586,"X004190493","DU740.42 .W49 1998","ALDERMAN","Historical vines : Enga networks of exchange, ritual, and warfare in Papua New Guinea /","Wiessner, Polly,",1998,"8/11/98","5/14/12",0,59,2,1,"2",FALSE,14,"1",0
"13",4383789,"X030370740","DU740.42 .B375 2006","ALDERMAN","The meaning of whitemen : race and modernity in the Orokaiva cultural world /","Bashkow, Ira.",2006,"3/18/08","4/6/18",6,55,26,2,"2",FALSE,15,"1",0
"14",4695718,"X030250405","DU123.4 .P38 2008","ALDERMAN","The lost legions : culture contact in colonial Australia /","Paterson, Alistair,",2008,"3/13/08","12/5/18",0,26,107,1,"2",FALSE,16,"1",0
"15",782944,"X001261569","DU105.2 .C43 1987","CLEMONS","The songlines /","Chatwin, Bruce,",1987,"6/29/96","12/14/16",4,54,31,1,"3",FALSE,19,"1",0
"16",7820505,"X032582042","DU744.35 .P33 L59 2018","ALDERMAN","Living in the Stone Age : reflections on the origins of a colonial fantasy /","Rutherford, Danilyn,",2018,"11/28/18","11/29/18",0,0,0,1,"2",TRUE,20,"1",0
"17",7675583,"X031822242","DU423 .P63 M87 2016","ALDERMAN","Tupuna awa : people and politics of the Waikato River /","Muru-Lanning, Marama,",2016,"8/28/18","9/11/18",0,1,0,1,"2",FALSE,21,"1",0
"18",7483549,"X031824283","DU624.65 .T48 2018","ALDERMAN","Defiant indigeneity : the politics of Hawaiian performance /","Teves, Stephanie N.,",2018,"4/13/18","8/16/18",1,1,1,1,"2",FALSE,22,"1",0
"19",6892454,"X031795760","DU740.42 .W643 2016","ALDERMAN","Dispossession and the environment : rhetoric and inequality in Papua New Guinea /","West, Paige,",2016,"10/6/16","8/28/18",2,4,1,1,"2",FALSE,23,"1",0
"20",2443003,"X002627095","DU626 .O283 S35 1995","ALDERMAN","How ""natives"" think : about Captain Cook, for example /","Sahlins, Marshall,",1995,"7/1/96","9/19/18",5,48,3,1,"2",FALSE,24,"1",0
"21",4689122,"X030254119","DU110 .A8975 2008","ALDERMAN","Australia's empire /","",2008,"2/14/08","4/2/17",1,24,9,1,"2",FALSE,25,"1",0
"22",7355399,"X031842496","DU28.3 .J34 2016","ALDERMAN","500 aÒos de la cuenca del PacÌfico : hacia una historia global /","JaÈn Su·rez, Omar,",2016,"2/9/18","3/29/18",0,1,0,1,"2",FALSE,26,"1",0
"23",6817977,"X031758495","DU65 .B86 2014","ALDERMAN","Iberian visions of the Pacific Ocean, 1507-1899 /","Buschmann, Rainer F.",2014,"7/21/16","7/20/18",1,4,1,1,"2",FALSE,27,"1",0
"24",7072964,"X031815702","DU30 .G73 2017","ALDERMAN","By more than providence : grand strategy and American power in the Asia Pacific since 1783 /","Green, Michael J.,",2017,"5/31/17","10/4/18",0,1,16,1,"2",FALSE,28,"1",0
"25",6996005,"X031741497","DU28.3 .B6913 2016","ALDERMAN","The Boxer Codex : transcription and translation of an illustrated late sixteenth-century Spanish manuscript concerning the geography, ethnography and history of the Pacific, South-East Asia and East Asia /","",2016,"3/3/17","5/14/18",0,2,1,1,"2",FALSE,29,"1",0
"26",3561215,"X004439430","DU740.42 .L566 2000","ALDERMAN","Encompassing others : the magic of modernity in Melanesia /","LiPuma, Edward,",2000,"8/29/00","2/4/10",2,50,0,1,"2",FALSE,30,"1",0
"27",687298,"X001211984","DU740.42 .M86 1986","ALDERMAN","The fame of Gawa : a symbolic study of value transformation in a Massim (Papua New Guinea) society /","Munn, Nancy D.,",1986,"6/29/96","7/22/15",8,53,2,1,"2",FALSE,31,"1",0
"28",7246201,"X031818374","DU624.7 .T66 K35 2017","ALDERMAN","Marking indigeneity : the Tongan art of sociospatial relations /","Ka?ili, T?vita O.,",2017,"9/29/17","12/13/17",1,1,2,1,"2",FALSE,32,"1",0
"29",6708638,"X031762788","DU124 .P64 E36 2016","ALDERMAN","Settler colonialism and (re)conciliation : frontier violence, affective performances, and imaginative refoundings /","Edmonds, Penelope,",2016,"3/18/16","12/4/18",0,2,7,1,"2",FALSE,33,"1",0
"30",1997185,"X002142279","DU626 .O28 1992","ALDERMAN","The apotheosis of James Cook : European mythmaking in the Pacific /","Obeyesekere, Gananath.",1992,"6/30/96","9/19/18",4,46,7,1,"2",FALSE,34,"1",0
"31",7021054,"X031810234","DU122 .M87 V65 2017","ALDERMAN","A Muslim diaspora in Australia : Bosnian migration and questions of identity /","Voloder, Lejla,",2017,"4/5/17","12/12/17",0,1,0,1,"2",TRUE,35,"1",0
"32",66548,"X000994485","DU740.42 .K53 1985","ALDERMAN","Good company and violence : sorcery and social action in a lowland New Guinea society /","Knauft, Bruce M.",1985,"6/28/96","9/26/12",1,56,0,1,"2",FALSE,36,"1",0
"33",6941267,"X031788536","DU28.3 .P33 2014","ALDERMAN","Pacific histories : ocean, land, people /","",2014,"1/17/17","4/30/17",0,2,1,1,"2",FALSE,37,"1",0
"34",2017334,"X002159837","DU740.42 .B75 1992","ALDERMAN","Just talk : gossip, meetings, and power in a Papua New Guinea village /","Brison, Karen.",1992,"6/30/96","5/4/17",7,47,2,1,"2",FALSE,38,"1",0
"35",6731498,"X031795630","DU625 .R65 2016","ALDERMAN","Staking claim : settler colonialism and racialization in Hawai'i /","Rohrer, Judy,",2016,"5/20/16","5/11/18",0,1,5,1,"2",FALSE,39,"1",0
"36",6573812,"X031732878","DU124 .E74 M67 2015","ALDERMAN","The White possessive : property, power, and indigenous sovereignty /","Moreton-Robinson, Aileen,",2015,"7/23/15","12/2/17",1,3,6,1,"2",FALSE,40,"1",0
"37",6947241,"X031595453","DU29 .F74 2015","ALDERMAN","The Pacific /","Freeman, Donald B.,",2015,"2/9/17","2/16/17",0,1,0,1,"2",FALSE,41,"1",0
"38",4381853,"X030036949","DU740.42 .W354 2006","ALDERMAN","Wayward women : sexuality and agency in a New Guinea society /","Wardlow, Holly.",2006,"7/20/06","7/15/17",5,23,3,1,"2",FALSE,42,"1",0
"39",2504358,"X002685242","DU740.42 .P37 1995","ALDERMAN","Papuan borderlands : Huli, Duna, and Ipili perspectives on the Papua New Guinea highlands /","",1995,"7/1/96","12/3/18",4,43,24,1,"2",FALSE,43,"1",0
"40",6653376,"X031761423","DU624.5 .K34 2016","ALDERMAN","Kanaka ??iwi methodologies : mo?olelo and metaphor /","",2016,"12/9/15","5/11/18",0,1,1,1,"2",FALSE,44,"1",0
"41",1248292,"X001364784","DU740.42 .M56 1988","ALDERMAN","Intimations of infinity : the mythopoeia of the Iqwaye counting system and number /","Mimica, Jadran.",1988,"6/30/96","9/27/18",7,44,4,1,"2",FALSE,45,"1",0
"42",6765686,"X031758330","DU740.42 .W37 2016","ALDERMAN","The gently bowing person : an ideal among the Yupno in Papua New Guinea /","Wassmann, J¸rg.",2016,"6/21/16","7/26/16",1,2,0,1,"2",FALSE,46,"1",0
"43",1830704,"X001857125","DU96.5 .T38 1990","ALDERMAN","The atlas of Australian history /","Taylor, Peter,",1990,"6/30/96","1/31/17",1,46,0,1,"2",FALSE,47,"1",0
"44",407564,"X000042826","DU742 .S3","ALDERMAN","Historische Probleme in Nordost-Neuguinea; Huon Halbinsel.","Schmitz, Carl August.",1960,"6/28/96","12/3/18",0,49,132,1,"2",FALSE,48,"1",0
"45",6897620,"X031763052","DU424.5 .M87 M87 2016","ALDERMAN","Muslim integration : pluralism and multiculturalism in New Zealand and Australia /","",2016,"10/21/16","2/14/17",2,0,0,1,"2",FALSE,49,"1",0
"46",6423741,"X031651443","DU624.65 .N358 2014","ALDERMAN","A nation rising : Hawaiian movements for life, land, and sovereignty /","",2014,"11/7/14","5/11/18",0,2,2,1,"2",FALSE,50,"1",0
