"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",6995934,"X031839012","DX145 .M39 2017","ALDERMAN","Romaphobia : the last acceptable form of racism /","McGarry, Aidan,",2017,"3/3/17","4/23/18",1,0,0,1,"2",FALSE,1,"1",0
"2",4025115,"X004772155","DX251 .C48 2004","ALDERMAN","The Spanish Gypsy : the history of a European obsession /","Charnon-Deutsch, Lou.",2004,"5/13/04","4/12/15",3,26,0,1,"2",FALSE,2,"1",0
"3",2478156,"X002693620","DX115 .F66 1995","ALDERMAN","Bury me standing : the Gypsies and their journey /","Fonseca, Isabel.",1995,"7/1/96","11/27/18",2,52,4,2,"2 3",FALSE,3,"1",0
"4",6424848,"X031715712","DX251 .M37 2014","ALDERMAN","Los gitanos y las gitanas de EspaÒa a mediados del siglo XVIII","MartÌnez MartÌnez, Manuel,",2014,"10/31/14","11/20/14",0,1,0,1,"2",FALSE,4,"1",0
"5",6135323,"X031618751","DX241 .O54 2013","ALDERMAN","New Soviet gypsies : nationality, performance, and selfhood in the early Soviet Union /","O'Keeffe, Brigid,",2013,"9/27/13","2/1/16",0,1,1,1,"2",FALSE,5,"1",0
"6",2939785,"X006006549","DX251 .B57 1999","ALDERMAN","Gypsies in Madrid : sex, gender and the performance of identity /","Gay y Blasco, Paloma.",1999,"8/25/99","4/12/15",2,32,0,1,"2",FALSE,6,"1",0
"7",3976934,"X004742457","DX211 .M43 2004","ALDERMAN","Gypsy identities, 1500-2000 : from Egipcyans and moon-men to the ethnic Romany /","Mayall, David.",2004,"1/22/04","9/12/17",2,17,0,1,"2",FALSE,7,"1",0
"8",4457564,"X004834926","DX251 .P96 2007","ALDERMAN","The gypsies of early modern Spain, 1425-1783 /","Pym, Richard.",2007,"1/23/07","11/17/14",1,12,1,1,"2",FALSE,8,"1",0
"9",1792504,"X001879161","DX251 .C25 1990","ALDERMAN","EspaÒa racista? : voces payas sobre los gitanos /","Calvo Buezas, Tom·s,",1990,"6/30/96","4/12/15",3,34,0,1,"2",FALSE,9,"1",0
"10",3791648,"X004555248","DX145 .B37 2002","ALDERMAN","The East European gypsies : regime change, marginality, and ethnopolitics /","Barany, Zoltan D.",2002,"11/12/01","3/22/13",7,22,6,1,"2",FALSE,10,"1",0
"11",2103536,"X002254717","DX145 .G95 1991","ALDERMAN","The Gypsies of Eastern Europe /","",1991,"6/30/96","11/18/13",4,34,0,1,"2",FALSE,11,"1",0
"12",2677320,"X006036292","DX115 .R67 1997","ALDERMAN","Romani culture and gypsy identity /","",1997,"4/2/97","3/9/15",6,27,0,1,"2",FALSE,12,"1",0
"13",2109236,"X002266535","DX251 .C43 1992","ALDERMAN","Marginalidad de la poblaciÛn gitana espaÒola /","Cebri·n Abell·n, Aurelio.",1992,"6/30/96","1/25/17",2,26,1,1,"2",FALSE,13,"1",0
"14",1914364,"X002591833","DX115 .F72 1992","ALDERMAN","The gypsies /","Fraser, Angus M.",1992,"6/30/96","11/29/10",6,47,0,2,"2 3",FALSE,14,"1",0
"15",685783,"X001107411","DX115 .L6313 1986b","ALDERMAN","Gypsies : an illustrated history /","LiÈgeois, Jean-Pierre.",1986,"6/29/96","11/29/11",5,35,0,1,"2",FALSE,15,"1",0
"16",260931,"X000058677","DX251 .S27","ALDERMAN","Los gitanos espaÒoles /","S·nchez, MarÌa Helena.",1977,"6/28/96","11/17/14",1,33,0,1,"2",FALSE,16,"1",0
"17",4597052,"X030103063","DX241 .C76 2007","ALDERMAN","A history of the gypsies of Eastern Europe and Russia /","Crowe, David.",2007,"6/6/07","11/7/11",0,5,0,1,"2",FALSE,17,"1",0
"18",1341045,"X001518946","DX157 .T66 1989","ALDERMAN","Gypsy folktales /","Tong, Diane,",1989,"6/30/96","9/28/12",2,30,0,1,"2",FALSE,18,"1",0
"19",2677326,"X006036309","DX211 .G96 1997","ALDERMAN","Gypsy politics and Traveller identity /","",1997,"4/2/97","2/21/18",4,18,1,1,"2",FALSE,19,"1",0
"20",1325291,"X006025625","DX118 .T66 1988","CLEMONS","Gypsies of the world /","Toma?evi?, Neboj?a.",1988,"6/30/96","3/26/14",10,43,4,2,"2 3",FALSE,20,"1",0
"21",4057938,"X004771721","DX115 .R64 2004","ALDERMAN","The role of the Romanies : images and counter-images of ""Gypsies""/Romanies in European cultures /","",2004,"9/10/04","4/6/12",0,10,0,1,"2",FALSE,21,"1",0
"22",7210853,"X031777907","DX247 .A26 A24 2014","ALDERMAN","al-J?l?y?t f? ?Adan 1839-1967 M : dir?sah tar?kh?yah /","?Abd All?h, Han?? ?Abd al-Kar?m Fa?l,",2014,"7/25/17","1/1/00",0,0,0,1,"2",FALSE,22,"1",0
"23",460447,"X000527746","DX251 .R35","ALDERMAN","Vida gitana.","RamÌrez Heredia, Juan de Dios,",1973,"6/29/96","11/17/14",0,30,0,1,"2",FALSE,23,"1",0
"24",774210,"X006132053","DX251 .M35 1987","ALDERMAN","Proud outcasts : the Gypsies of Spain /","McLane, Merrill F.",1987,"6/29/96","4/12/15",3,24,1,1,"2",FALSE,24,"1",0
