"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",4727058,"X030459824","HB171.5 .C788 2008","CLEMONS","Economics /","Colander, David C.",2008,"8/18/08","8/30/16",1,724,7,2,"2 3",FALSE,1,"1",0
"2",4619485,"X031668533","HB139 .S765 2007","ALDERMAN","Introduction to econometrics /","Stock, James H.",2007,"8/24/07","6/18/18",13,467,23,2,"2",FALSE,3,"1",0
"3",3863047,"X004624129","HB171.5 .M475 2002","CLEMONS","Economics : a contemporary introduction /","McEachern, William A.",2002,"7/15/02","5/28/11",0,254,0,1,"3",FALSE,4,"1",0
"4",6124548,"X031579764","HB172 .C558 2013","CLEMONS","Microeconomics /","Colander, David C.",2013,"8/27/13","12/17/18",0,210,16,1,"3",FALSE,5,"1",0
"5",4753555,"X030476516","HB171.5 .C7885 2008","CLEMONS","Study guide for use with economics /","Colander, David C.",2008,"8/18/08","11/27/18",0,184,20,1,"3",FALSE,6,"1",0
"6",4371025,"X004913356","HB172 .B49 2005","ALDERMAN","Microeconomics /","Besanko, David,",2005,"6/6/06","11/27/18",9,189,24,1,"2",FALSE,7,"1",0
"7",4619471,"X030274042","HB139 .D3678 2004","ALDERMAN","Econometric theory and methods /","Davidson, Russell.",2004,"8/23/07","4/30/13",4,265,32,4,"2 3",FALSE,8,"1",0
"8",1306348,"X001493165","HB172 .B864 1989","CLEMONS","Microeconomic theory and applications /","Browning, Edgar K.",1989,"6/30/96","9/7/05",20,226,0,1,"3",FALSE,9,"1",0
"9",419596,"X000132682","HB501 .L332 1939","ALDERMAN","Imperialism, the highest stage of capitalism; a popular outline","Lenin, Vladimir Il?ich,",1939,"6/29/96","4/20/14",33,330,22,3,"2 3",FALSE,11,"1",0
"10",1235542,"X001363600","HB97.5 .M37 1987b","ALDERMAN","Marx refuted : the verdict of history /","",1987,"6/30/96","8/31/14",1,175,52,1,"2",FALSE,12,"1",0
"11",3548712,"X004415527","HB195 .G72 2000","ALDERMAN","Greed & grievance : economic agendas in civil wars /","",2000,"7/11/00","3/7/16",5,147,0,1,"2",FALSE,13,"1",0
"12",806702,"X000314907","HB501 .M3561 1906","ALDERMAN","Capital : a critical analysis of capitalist production /","Marx, Karl,",1906,"6/29/96","8/31/12",23,180,0,1,"2",FALSE,14,"1",0
"13",157056,"X000425154","HB171 .H638","ALDERMAN","Essays in trespassing : economics to politics and beyond /","Hirschman, Albert O.",1981,"6/28/96","8/30/18",10,133,5,1,"2",FALSE,15,"1",0
"14",436311,"X004465187","HB501 .M36 1977 v.1","CLEMONS","Capital : a critique of political economy /","Marx, Karl,",1977,"10/6/00","10/23/18",7,137,52,4,"2 3",TRUE,16,"1",0
"15",543915,"X000115485","HB771 .L9 1968","ALDERMAN","The structure of earnings,","Lydall, Harold.",1968,"6/29/96","3/7/13",0,142,9,1,"2",FALSE,17,"1",0
"16",4619466,"X030282000","HB139 .J65 1997","ALDERMAN","Econometric methods /","Johnston, J. (John),",1997,"8/23/07","11/4/16",0,102,2,1,"2",FALSE,18,"1",0
