"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",538591,"X000241089","HN683 .C57","ALDERMAN","India: the social anthropology of a civilization","Cohn, Bernard S.,",1971,"6/29/96","5/13/18",76,589,7,3,"2 3",FALSE,1,"1",0
"2",356269,"X000319084","HN90 .M6 W37 1979","ALDERMAN","Today's moral problems /","Wasserstrom, Richard A.",1979,"6/28/96","11/25/01",15,244,0,1,"2 14",FALSE,2,"1",0
"3",1348175,"X000270828","HN980 .M43","ALDERMAN","Peasants, politics, and revolution; pressures toward political and social change in the third world,","Migdal, Joel S.",1974,"6/30/96","7/15/09",5,223,0,2,"2 3",FALSE,3,"1",0
"4",2228630,"X002329505","HN981 .C6 B47 1992","ALDERMAN","Social structure and rural development in the Third World /","Berger, Guy,",1992,"7/1/96","7/23/08",0,211,0,1,"2",FALSE,4,"1",0
"5",1656973,"X001707028","HN385 .B43 1990","ALDERMAN","Industrialization and the working class : the English experience, 1750-1900 /","Belchem, John.",1990,"6/30/96","5/13/12",1,198,4,2,"2",FALSE,5,"1",0
"6",23793,"X000870094","HN400 .M6 L68 1984","ALDERMAN","Social and political morality /","Lovett, William,",1984,"6/28/96","11/22/11",1,193,0,1,"2",TRUE,6,"1",0
"7",761433,"X000688966","HN374 .S731 1983 v.1","ALDERMAN","State, economy, and society in Western Europe 1815-1975 : a data handbook in two volumes /","",1983,"6/29/96","11/2/17",6,182,0,2,"2",TRUE,7,"1",0
"8",597778,"X001573140","HN18 .D414","CLEMONS","Sociotechnical systems: factors in analysis, design, and management","De Greene, Kenyon B.",1973,"6/29/96","3/9/12",0,185,3,1,"3",FALSE,9,"1",0
"9",2506642,"X002685346","HN400 .R3 B45 1996","ALDERMAN","Popular radicalism in nineteenth-century Britain /","Belchem, John.",1996,"7/1/96","2/19/09",0,171,0,1,"2",FALSE,11,"1",0
"10",563660,"X000424580","HN110.5 .A8 W65","ALDERMAN","The human condition in Latin America","Wolf, Eric R.,",1972,"6/29/96","7/10/12",46,170,3,1,"2 14",FALSE,12,"1",0
"11",81482,"X001064349","HN8 .M28 1986 v.1","ALDERMAN","The sources of social power /","Mann, Michael,",1986,"6/28/96","3/3/17",27,277,15,3,"2",TRUE,13,"1",0
"12",294739,"X000002582","HN733 .S8","ALDERMAN","Studies in Chinese society /","",1978,"6/28/96","11/25/13",19,234,0,2,"2 3",FALSE,14,"1",0
"13",262039,"X000151072","HN90 .S6 C64","ALDERMAN","Social standing in America : new dimensions of class /","Coleman, Richard Patrick.",1978,"6/28/96","6/18/18",0,137,8,1,"2 14",TRUE,15,"1",0
"14",2228947,"X002329724","HN400 .R3 F56 1993","ALDERMAN","After Chartism : class and nation in English radical politics, 1848-1874 /","Finn, Margot C.",1993,"7/1/96","5/14/18",0,130,0,1,"2",TRUE,16,"1",0
"15",306411,"X000070335","HN13 .S45 1977b","CLEMONS","The fall of public man /","Sennett, Richard,",1977,"6/28/96","10/11/15",15,141,8,1,"3",FALSE,17,"1",0
"16",3531500,"X004405921","HN65 .P878 2000","ALDERMAN","Bowling alone : the collapse and revival of American community /","Putnam, Robert D.",2000,"5/8/00","5/9/18",54,373,65,4,"2 3 17",FALSE,18,"1",0
"17",1339511,"X001519990","HN16 .M38 1989","ALDERMAN","Nomads of the present : social movements and individual needs in contemporary society /","Melucci, Alberto,",1989,"6/30/96","5/21/18",14,119,22,1,"2",FALSE,19,"1",0
"18",400065,"X000043138","HN426 .W4 1976","ALDERMAN","Peasants into Frenchmen : the modernization of rural France, 1870-1914 /","Weber, Eugen,",1976,"6/28/96","8/29/17",32,207,8,3,"2 3",FALSE,20,"1",0
"19",1324970,"X001455374","HN13 .N48 1989","ALDERMAN","The New cultural history : essays by Aletta Biersack ... [et al.] /","",1989,"6/30/96","4/1/18",17,118,7,1,"2",FALSE,21,"1",0
"20",73363,"X001078924","HN656.5 .A8 F3 1986b","ALDERMAN","Peasants, dervishes and traders in the Ottoman Empire /","Faroqhi, Suraiya,",1986,"6/28/96","11/6/18",3,117,102,1,"2",TRUE,22,"1",0
"21",1297213,"X001459231","HN50 .G74 1988","ALDERMAN","Pursuits of happiness : the social development of early modern British colonies and the formation of American culture /","Greene, Jack P.",1988,"6/30/96","8/24/15",25,173,15,2,"2",FALSE,23,"1",0
"22",660773,"X006094956","HN400 .S6 J66 1983","ALDERMAN","Languages of class : studies in English working class history, 1832-1982 /","Stedman Jones, Gareth",1983,"6/29/96","5/9/16",18,166,15,2,"2",FALSE,25,"1",0
"23",6381698,"X031738497","HN90 .M3 G7 2015","CLEMONS","Mass media and American politics /","Graber, Doris A. (Doris Appel),",2015,"1/19/16","11/6/18",0,59,3,1,"3",TRUE,26,"1",0
"24",17322,"X000870186","HN8 .C4313 1984","ALDERMAN","The practice of everyday life /","Certeau, Michel de.",1984,"6/28/96","5/14/18",24,171,22,2,"2",FALSE,27,"1",0
"25",2519256,"X002719638","HN13 .C644 1996","ALDERMAN","Comparative perspectives on social movements : political opportunities, mobilizing structures, and cultural framings /","",1996,"7/1/96","4/16/18",12,122,10,2,"2",FALSE,29,"1",0
"26",555173,"X000307454","HN15 .M775 1966","ALDERMAN","Social origins of dictatorship and democracy; lord and peasant in the making of the modern world,","Moore, Barrington,",1966,"6/29/96","5/14/13",12,253,12,3,"2 3",FALSE,30,"1",0
"27",4040848,"X004773124","HN90 .M6 C58 2004","ALDERMAN","Civility and its discontents : essays on civic virtue, toleration, and cultural fragmentation /","",2004,"6/29/04","4/14/17",0,87,50,1,"2",TRUE,31,"1",0
"28",259228,"X000086967","HN80 .B7 S76","ALDERMAN","The forging of an aristocracy : Harvard & the Boston upper class, 1800-1870 /","Story, Ronald.",1980,"6/28/96","11/1/17",14,112,0,1,"2",FALSE,32,"1",0
"29",2866250,"X004235431","HN8 .C4313 1988","ALDERMAN","The practice of everyday life /","Certeau, Michel de.",1988,"12/30/98","5/13/18",10,101,16,1,"2",FALSE,33,"1",0
"30",254476,"X031942296","HN398 .L4 E44","ALDERMAN","Victorian Leicester /","Elliott, Malcolm.",1979,"6/28/96","10/3/00",0,143,0,1,"2",FALSE,34,"1",0
"31",2023026,"X002159873","HN16 .F765 1992","ALDERMAN","Frontiers in social movement theory /","",1992,"6/30/96","12/4/18",14,99,6,1,"2",FALSE,35,"1",0
"32",4219320,"X004804419","HN13 .D5 2005","ALDERMAN","Collapse : how societies choose to fail or succeed /","Diamond, Jared M.",2005,"1/26/05","5/16/17",8,79,3,1,"2 5 17",FALSE,36,"1",0
"33",1251356,"X001360926","HN65 .P635 1988","ALDERMAN","The Politics of social policy in the United States /","",1988,"6/30/96","4/30/12",18,174,14,2,"2",FALSE,38,"1",0
"34",263614,"X000064589","HN65 .L33 1979","ALDERMAN","The culture of narcissism : American life in an age of diminishing expectations /","Lasch, Christopher.",1978,"6/28/96","10/8/18",12,196,22,2,"2 3",FALSE,39,"1",0
"35",548943,"X000209243","HN57 .G6 1964","ALDERMAN","Assimilation in American life: the role of race, religion, and national origins.","Gordon, Milton M.,",1964,"6/29/96","9/12/18",25,108,2,1,"2",FALSE,40,"1",0
"36",2531471,"X004005193","HN79 .V82 L687 1996","CLEMONS","Life in black and white : family and community in the slave South /","Stevenson, Brenda E.",1996,"7/1/96","1/6/16",7,171,8,2,"2 3",TRUE,41,"1",0
"37",316041,"X000239859","HN13 .S45 1977","ALDERMAN","The fall of public man /","Sennett, Richard,",1977,"6/28/96","9/14/18",10,100,3,1,"2",FALSE,42,"1",0
"38",4076763,"X004802832","HN13 .W35 2004","ALDERMAN","World-systems analysis : an introduction /","Wallerstein, Immanuel Maurice,",2004,"10/19/04","12/13/17",12,72,7,1,"2",FALSE,43,"1",0
"39",2723141,"X006049083","HN583.5 .H6618 1996","CLEMONS","Los nuevos espaÒoles /","Hooper, John.",1996,"10/3/97","11/16/18",5,83,2,1,"3",FALSE,44,"1",0
"40",2647640,"X004092240","HN90 .M3 G7 1997","ALDERMAN","Mass media and American politics /","Graber, Doris A. (Doris Appel),",1997,"2/4/97","11/13/17",10,85,6,1,"2",TRUE,46,"1",0
"41",1936903,"X002048697","HN90 .P8 P34 1992","ALDERMAN","The Rational public : fifty years of trends in Americans' policy preferences /","Page, Benjamin I.",1992,"6/30/96","5/9/15",11,129,5,2,"2",FALSE,47,"1",0
"42",2790435,"X004177036","HN90 .R3 R636 1998","ALDERMAN","Achieving our country : leftist thought in twentieth-century America /","Rorty, Richard.",1998,"4/29/98","7/30/18",9,80,23,1,"2 3 10",TRUE,48,"1",0
"43",1851956,"X004008589","HN90 .S6 A72 1991b","ALDERMAN","The archaeology of inequality /","",1991,"6/30/96","11/28/18",7,84,9,1,"2",FALSE,49,"1",0
