"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",2698515,"X004140209","HS403 .P53 1997","CLEMONS","Who's afraid of Freemasons? : the phenomenon of Freemasonry /","Pi?atigorski?, A. M. (Aleksandr Moiseevich)",1997,"12/22/97","11/11/12",2,177,19,2,"2 3",FALSE,1,"1",0
"2",1310473,"X001779381","HS597 .A5 S74 1988","CLEMONS","The origins of Freemasonry : Scotland's century 1590-1710 /","Stevenson, David,",1988,"6/30/96","5/2/08",3,148,0,2,"2 3",FALSE,2,"1",0
"3",1839139,"X001978853","HS2330 .K63 B44 1991","CLEMONS","Women of the Klan : racism and gender in the 1920s /","Blee, Kathleen M.",1991,"6/30/96","5/11/17",5,80,2,1,"3",FALSE,3,"1",0
"4",2100541,"X002266591","HS2330 .K63 C5 1987","ALDERMAN","Hooded Americanism : the history of the Ku Klux Klan /","Chalmers, David Mark.",1987,"6/30/96","10/14/14",6,83,0,1,"2",TRUE,4,"1",0
"5",2622926,"X004020524","HS523 .B85 1996","ALDERMAN","Revolutionary brotherhood : Freemasonry and the transformation of the American social order, 1730-1840 /","Bullock, Steven C.",1996,"10/28/96","5/11/18",6,66,8,1,"2",FALSE,5,"1",0
"6",1627017,"X001687215","HS403 .R64 1989","ALDERMAN","Born in blood : the lost secrets of freemasonry /","Robinson, John J.",1989,"6/30/96","10/1/18",5,66,10,1,"2",FALSE,6,"1",0
"7",7374173,"X031821984","HS2325 .B45 2018","ALDERMAN","Bring the war home : the white power movement and paramilitary America /","Belew, Kathleen,",2018,"3/8/18","7/22/18",0,3,1,1,"2",FALSE,7,"1",0
"8",7374069,"X032114752","HS2325 .M35 2018","ALDERMAN","The rise of the Alt-Right /","Main, Thomas J.,",2018,"3/7/18","11/4/18",1,2,0,1,"2",FALSE,8,"1",0
"9",7510740,"X031839171","HS2865 .L7 T43 2018","ALDERMAN","Club government : how the early Victorian world was ruled from London clubs /","ThÈvoz, Seth Alexander",2018,"4/25/18","11/30/18",0,1,20,1,"2",TRUE,9,"1",0
"10",7313617,"X031816414","HS2330 .K63 G63 2017","ALDERMAN","The second coming of the KKK : the Ku Klux Klan of the 1920s and the American political tradition /","Gordon, Linda,",2017,"12/12/17","10/17/18",0,2,1,1,"2",TRUE,10,"1",0
"11",7262875,"X031816222","HS206 .N494 R53 2017","ALDERMAN","Skulls and keys : the hidden history of Yale's secret societies /","Richards, David Alan,",2017,"10/17/17","10/19/17",0,1,0,1,"2",TRUE,11,"1",0
"12",2301339,"X002453727","HS2330 .K63 M225 1994","ALDERMAN","Behind the mask of chivalry : the making of the second Ku Klux Klan /","MacLean, Nancy.",1994,"7/1/96","4/17/18",11,110,13,2,"2 3",FALSE,12,"1",0
"13",5859152,"X031229706","HS2330 .K63 C75 2013","ALDERMAN","Klansville, U.S.A. : the rise and fall of the civil rights-era Ku Klux Klan /","Cunningham, David,",2013,"12/18/12","8/13/18",1,11,10,1,"2",TRUE,13,"1",0
"14",6892715,"X031760870","HS2330 .K63 S26 2016","ALDERMAN","Religion and the Ku Klux Klan : Biblical appropriation in their literature and songs /","Sanchez, Juan O.,",2016,"10/7/16","7/6/18",0,1,6,1,"2",FALSE,14,"1",0
"15",6651305,"X031735310","HS61 .A18 2015","ALDERMAN","The making of Tocqueville's America : law and association in the early United States /","Butterfield, Kevin,",2015,"12/9/15","4/13/18",1,3,4,1,"2",FALSE,15,"1",0
"16",6942500,"X031798441","HS447 .I8 M345 2014","ALDERMAN","The brotherhood of Freemason sisters : gender, secrecy, and fraternity in Italian Masonic lodges /","Mahmud, Lilith,",2014,"1/23/17","3/8/18",0,1,2,1,"2",FALSE,16,"1",0
"17",6661790,"X031823772","HS2330 .K63 R54 2015","ALDERMAN","Not a Catholic nation : the Ku Klux Klan confronts New England in the 1920s /","Richard, Mark Paul,",2015,"12/18/15","7/12/18",0,1,0,1,"2",TRUE,17,"1",0
"18",6722330,"X031818754","HS3313 .J67 2016","ALDERMAN","Modern manhood and the Boy Scouts of America : citizenship, race, and the environment, 1910-1930 /","Jordan, Benjamin RenÈ,",2016,"4/25/16","7/17/17",1,0,0,1,"2",FALSE,18,"1",0
"19",3504298,"X004073691","HS2863 .C37 2000","ALDERMAN","British clubs and societies c1580-1800 : the origins of an associational world /","Clark, Peter,",2000,"2/10/00","10/2/18",2,41,37,1,"2",FALSE,19,"1",0
"20",1369753,"X001609285","HS2275 .C53 1989","ALDERMAN","Constructing brotherhood : class, gender, and fraternalism /","Clawson, Mary Ann,",1989,"6/30/96","10/26/18",5,54,11,1,"2",FALSE,20,"1",0
"21",6652514,"X031762581","HS61 .A13 2015","ALDERMAN","As above, so below : art of the American fraternal society, 1850-1930 /","Adele, Lynne,",2015,"12/9/15","1/19/17",1,1,0,1,"2",FALSE,21,"1",0
"22",4885333,"X030565661","HS2330 .K63 M38 2009","ALDERMAN","The rise of the Ku Klux Klan : right-wing movements and national politics /","McVeigh, Rory.",2009,"6/26/09","12/8/18",5,14,4,1,"2",FALSE,22,"1",0
"23",6710999,"X031782968","HS929 .F8 P72 2013","ALDERMAN","L'ordre maÁonnique : le Droit humain /","Prat, AndrÈe,",2013,"4/1/16","8/3/16",0,1,1,1,"2",FALSE,24,"1",0
"24",5510375,"X031199859","HS2330 .K63 B337 2011","CLEMONS","Gospel according to the Klan : the KKK's appeal to Protestant America, 1915-1930 /","Baker, Kelly (Kelly J.)",2011,"12/8/11","6/12/18",0,8,2,1,"3",FALSE,25,"1",0
"25",5508337,"X031194720","HS2330 .K63 P46 2011","CLEMONS","One hundred percent American : the rebirth and decline of the Ku Klux Klan in the 1920s /","Pegram, Thomas R.,",2011,"12/2/11","11/5/18",0,7,1,1,"3",FALSE,26,"1",0
"26",1373806,"X001606249","HS204 .C37 1989","ALDERMAN","Secret ritual and manhood in Victorian America /","Carnes, Mark C. (Mark Christopher),",1989,"6/30/96","4/25/16",5,56,8,1,"2",FALSE,27,"1",0
"27",81108,"X001066410","HS3312 .R67 1986","ALDERMAN","The character factory : Baden-Powell and the origins of the Boy Scout movement /","Rosenthal, Michael,",1986,"6/28/96","6/5/14",5,61,0,1,"2",FALSE,28,"1",0
"28",1357990,"X001596879","HS403 .B34 1989b","ALDERMAN","The temple and the lodge /","Baigent, Michael.",1989,"6/30/96","9/17/18",4,51,12,1,"2",FALSE,29,"1",0
"29",3888067,"X004631892","HS205 .O73 R62 2002","ALDERMAN","Secrets of the tomb : Skull and Bones, the Ivy League, and the hidden paths of power /","Robbins, Alexandra,",2002,"10/1/02","4/25/16",4,32,20,1,"2",TRUE,30,"1",0
"30",2378020,"X002557916","HS517 .S36 1994","ALDERMAN","Material culture of the American Freemasons /","Scottish Rite Masonic Museum of Our National Heritage.",1994,"7/1/96","3/23/16",7,49,0,1,"2 4",FALSE,31,"1",0
"31",5540373,"X030948325","HS2865 .L6 M55 2011","ALDERMAN","London clubland : a cultural history of gender and class in late Victorian Britain /","Milne-Smith, Amy,",2011,"1/21/12","5/6/18",0,1,1,1,"2",FALSE,32,"1",0
"32",5279322,"X030610397","HS2330 .K63 B37 2010","CLEMONS","They called themselves the K.K.K. : the birth of an American terrorist group /","Bartoletti, Susan Campbell.",2010,"1/26/11","11/13/17",0,4,1,1,"3",FALSE,33,"1",0
"33",548006,"X000144048","HS2330 .C483 M33","ALDERMAN","The Citizens' Council; organized resistance to the second Reconstruction, 1954-64","McMillen, Neil R.,",1971,"6/29/96","11/21/18",6,87,19,2,"2 3",FALSE,34,"1",0
"34",5961354,"X031602883","HS3313 .B69 2009","ALDERMAN","Boy Scout handbook.","Boy Scouts of America.",2009,"3/26/13","4/19/16",0,2,0,1,"2",FALSE,35,"1",0
"35",4802433,"X030473806","HS883 .W33 2008","ALDERMAN","A noble fight : African American freemasonry and the struggle for democracy in America /","Walker, Corey D. B.",2008,"12/11/08","10/9/17",0,9,7,1,"2",FALSE,36,"1",0
