"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",326920,"X000186063","HV8666 .F6813 1977","CLEMONS","Discipline and punish : the birth of the prison /","Foucault, Michel,",1977,"6/28/96","12/11/18",29,276,32,1,"2 3",FALSE,1,"1",0
"2",685567,"X000992518","HV6248 .H428 P54 1985","CLEMONS","Wiseguy : life in a Mafia family /","Pileggi, Nicholas.",1985,"6/29/96","4/10/15",7,256,0,2,"2 3",FALSE,2,"1",0
"3",1805779,"X001904535","HV5825 .D68 1990","ALDERMAN","Red cocaine : the drugging of America /","Douglass, Joseph D.",1990,"6/30/96","5/1/10",23,230,0,2,"2 3",FALSE,3,"1",0
"4",1980,"X000908482","HV8196 .L6 S65 1985","ALDERMAN","Policing Victorian London : political policing, public order, and the London Metropolitan Police /","Smith, Phillip Thurmond.",1985,"6/28/96","4/15/18",4,184,11,1,"2",FALSE,4,"1",0
"5",2576890,"X004189859","HV8666 .F6813 1995","ALDERMAN","Discipline and punish : the birth of the prison /","Foucault, Michel,",1995,"6/15/98","8/27/18",23,209,11,2,"2 3 17",FALSE,5,"1",0
"6",533617,"X000384245","HV6944 .C53 1970","ALDERMAN","The anti-society; an account of the Victorian underworld.","Chesney, Kellow.",1970,"6/29/96","11/28/18",2,176,120,2,"2 3 17",FALSE,6,"1",0
"7",548031,"X031949649","HV249 .E89 E35","ALDERMAN","The Anti-Poor Law movement, 1834-44","Edsall, Nicholas C.",1971,"6/29/96","8/29/05",4,190,0,2,"2 3 17",FALSE,7,"1",0
"8",2471254,"X002679796","HV4546 .A3 C55 1995","ALDERMAN","Poverty amidst prosperity : the urban poor in England, 1834-1914 /","Chinn, Carl.",1995,"7/1/96","4/21/07",0,172,0,1,"2",TRUE,8,"1",0
"9",2151329,"X002251862","HV6465 .G4 B78 1993","ALDERMAN","Lynching in the New South : Georgia and Virginia, 1880-1930 /","Brundage, W. Fitzhugh (William Fitzhugh),",1993,"7/1/96","1/9/17",15,187,4,2,"2 3 10 17",FALSE,9,"1",0
"10",2071657,"X002190917","HV91 .S56 1992","ALDERMAN","Protecting soldiers and mothers : the political origins of social policy in the United States /","Skocpol, Theda.",1992,"6/30/96","11/8/18",14,239,19,3,"2 3 17",FALSE,10,"1",0
"11",344672,"X000056457","HV6762 .U5 N37","ALDERMAN","Among the missing : an anecdotal history of missing persons from 1800 to the present /","Nash, Jay Robert.",1978,"6/28/96","10/16/18",2,140,72,1,"2",FALSE,11,"1",0
"12",783472,"X001283344","HV4045 .W55 1987","CLEMONS","The truly disadvantaged : the inner city, the underclass, and public policy /","Wilson, William J.,",1987,"6/29/96","1/21/16",52,263,6,2,"2 3 10",FALSE,12,"1",0
"13",1832388,"X001926930","HV5840 .C45 S36 1991","ALDERMAN","Cocaine politics : drugs, armies, and the CIA in Central America /","Scott, Peter Dale.",1991,"6/30/96","10/20/18",15,197,4,2,"2 3",FALSE,13,"1",0
"14",1142511,"X000529058","HV6945 .Z6 K55 1824 v.1","ALDERMAN","The Newgate calendar; comprising interesting memoirs of the most notorious characters who have been convicted of outrages on the laws of England since the commencement of the eighteenth century: with occasional anecdotes and observations, speeches, confessions, and the last exclamations of suffers.","Knapp, Andrew",1824,"6/29/96","8/28/15",0,171,55,3,"2 14",TRUE,14,"1",0
"15",2389417,"X002595867","HV5825 .D77693 1994","ALDERMAN","Drug trafficking in the Americas /","",1994,"7/1/96","4/20/17",11,124,0,1,"2",FALSE,15,"1",0
"16",5376816,"X030823819","HV6322.7 .J64 2011","ALDERMAN","Genocide : a comprehensive introduction /","Jones, Adam,",2011,"5/4/14","11/9/18",1,80,14,1,"2",FALSE,16,"1",0
"17",556547,"X000109501","HV6533 .K3 C3","CLEMONS","In cold blood; a true account of a multiple murder and its consequences.","Capote, Truman,",1966,"6/29/96","11/5/18",15,270,45,3,"2 3",TRUE,18,"1",0
"18",2494041,"X002690618","HV5810 .B68 1995","CLEMONS","In search of respect : selling crack in El Barrio /","Bourgois, Philippe I.,",1995,"7/1/96","2/26/18",11,196,33,2,"2 3",FALSE,19,"1",0
"19",1241871,"X001298688","HV8196 .A2 P36 1988","ALDERMAN","Police and protest in England and Ireland, 1780-1850 /","Palmer, Stanley H.",1988,"6/30/96","4/25/09",1,125,0,1,"2",FALSE,20,"1",0
"20",1869756,"X002102588","HV6433 .C6 M437 1991","ALDERMAN","Children of Cain : violence and the violent in Latin America /","Rosenberg, Tina.",1991,"6/30/96","8/8/13",15,115,3,1,"2 14",FALSE,21,"1",0
"21",3911050,"X004657978","HV6248 .M8 L37 2003","ALDERMAN","The Devil in the white city : murder, magic, and madness at the fair that changed America /","Larson, Erik,",2003,"1/16/03","8/8/18",18,150,26,2,"2 3",TRUE,22,"1",0
"22",3819037,"X004587924","HV6322.7 .P69 2002","ALDERMAN","""A problem from hell"" : America and the age of genocide /","Power, Samantha.",2002,"4/17/02","10/22/18",11,84,15,1,"2 3 17",FALSE,23,"1",0
"23",3821799,"X004608112","HV6432 .C44 2001","ALDERMAN","9-11 /","Chomsky, Noam.",2001,"3/14/02","8/14/17",8,85,8,1,"2",FALSE,25,"1",0
"24",2447460,"X002619140","HV6995 .R65 B538 1995","ALDERMAN","Kriminalit‰t in Rom 1560-1585 /","Blastenbrei, Peter.",1995,"7/1/96","6/26/13",0,105,18,1,"2",FALSE,26,"1",0
"25",92993,"X001016028","HV9104 .G545 1986","ALDERMAN","A cycle of outrage : America's reaction to the juvenile delinquent in the 1950s /","Gilbert, James Burkhart.",1986,"6/28/96","4/20/12",7,108,0,1,"2 3 14",FALSE,27,"1",0
"26",1655984,"X001740937","HV875.55 .P79 1990","ALDERMAN","The Psychology of adoption /","",1990,"6/30/96","5/11/14",5,102,1,1,"2 19",FALSE,28,"1",0
"27",1141926,"X000192500","HV4088 .L8 B55 1970b","ALDERMAN","The Bitter cry of outcast London;","",1970,"6/29/96","4/2/12",3,109,3,1,"2",FALSE,29,"1",0
"28",3989103,"X004734656","HV6431 .B37313 2003","ALDERMAN","Spirit of terrorism and other essays /","Baudrillard, Jean,",2003,"11/13/03","7/7/14",3,83,22,1,"2",FALSE,30,"1",0
"29",1648445,"X001689388","HV4708 .S56 1990","ALDERMAN","Animal liberation /","Singer, Peter.",1990,"6/30/96","9/11/18",3,92,12,1,"2 3",FALSE,31,"1",0
"30",2849681,"X004236301","HV6963 .G66 1998","ALDERMAN","Le ch‚timent du crime au Moyen Age : XIIe-XVIe siËcles /","Gonthier, Nicole.",1998,"11/3/98","6/26/13",0,94,18,1,"2",FALSE,32,"1",0
"31",4821408,"X030471402","HV5825 .B435 2009","ALDERMAN","Drugs : America's holy war /","Benavie, Arthur.",2009,"2/17/09","7/4/17",1,63,4,1,"2 17",FALSE,33,"1",0
"32",482663,"X000308030","HV8666 .F68","ALDERMAN","Surveiller et punir : naissance de la prison /","Foucault, Michel,",1975,"6/29/96","5/14/18",10,93,5,1,"2",FALSE,34,"1",0
"33",2639393,"X004068588","HV6457 .W44 1997","ALDERMAN","Southern horrors and other writings : the anti-lynching campaign of Ida B. Wells, 1892-1900 /","Wells-Barnett, Ida B.,",1997,"1/7/97","2/18/18",5,146,15,2,"2 3",FALSE,35,"1",0
"34",1891630,"X002050122","HV4045 .U73 1991","CLEMONS","The Urban underclass /","",1991,"6/30/96","8/18/06",13,188,1,2,"3",FALSE,37,"1",0
"35",4325497,"X004943228","HV5831 .M6 F74 2004","ALDERMAN","A Million little pieces /","Frey, James,",2004,"11/2/05","3/18/16",4,72,17,1,"2",TRUE,38,"1",0
"36",84531,"X001033394","HV5822 .L9 L44 1985","ALDERMAN","Acid dreams : the CIA, LSD, and the sixties rebellion /","Lee, Martin A.",1985,"6/28/96","5/12/17",16,92,1,1,"2",TRUE,39,"1",0
"37",4013578,"X004746698","HV6025 .L25 2004","ALDERMAN","Essential criminology /","Lanier, Mark.",2004,"3/9/04","8/27/17",5,72,99,1,"2",FALSE,40,"1",0
"38",2151352,"X002252889","HV4044 .U56 1993","ALDERMAN","The ""Underclass"" debate : views from history /","",1993,"7/1/96","7/1/15",12,151,1,2,"2 10",FALSE,41,"1",0
"39",570279,"X000176896","HV91 .H3 1969","ALDERMAN","The other America; poverty in the United States.","Harrington, Michael,",1969,"6/29/96","4/2/18",7,126,1,2,"2 3 14",FALSE,42,"1",0
"40",4230442,"X030891815","HV5132 .W35 2005","ALDERMAN","The Glass castle : a memoir /","Walls, Jeannette.",2005,"9/12/06","9/12/18",10,62,24,1,"2 3 10 17",FALSE,43,"1",0
"41",365581,"X000031559","HV4711 .A56","ALDERMAN","Animal rights and human obligations /","",1976,"6/28/96","11/25/13",23,96,4,1,"2",FALSE,44,"1",0
"42",743384,"X000333994","HV6558 .B76","ALDERMAN","Against our will : men, women, and rape /","Brownmiller, Susan.",1975,"6/29/96","10/10/18",11,154,13,2,"2 3 14 17",FALSE,45,"1",0
"43",2950470,"X004341830","HV9471 .P33 1999","ALDERMAN","Lockdown America : police and prisons in the age of crisis /","Parenti, Christian.",1999,"9/30/99","4/18/14",6,84,1,1,"2 3",FALSE,46,"1",0
"44",2480486,"X002240280","HV6710 .G315 1995","ALDERMAN","Gambling /","",1995,"7/1/96","11/22/14",3,90,35,1,"2",FALSE,47,"1",0
"45",1238182,"X001314697","HV4045 .M33 1987","CLEMONS","Ain't no makin' it : leveled aspirations in a low-income neighborhood /","MacLeod, Jay.",1987,"6/30/96","4/26/12",15,172,10,2,"2 3",FALSE,48,"1",0
"46",3935028,"X004634101","HV6322.7 .W45 2003","ALDERMAN","A century of genocide : utopias of race and nation /","Weitz, Eric D.",2003,"4/15/03","5/21/18",8,67,5,1,"2",FALSE,49,"1",0
"47",1144890,"X000391500","HV6457 .N3 1969","ALDERMAN","Thirty years of lynching in the United States, 1889-1918.","National Association for the Advancement of Colored People.",1969,"6/29/96","4/25/18",7,86,1,1,"2",FALSE,51,"1",0
"48",291055,"X000034581","HV5291 .R67","ALDERMAN","The alcoholic republic, an American tradition /","Rorabaugh, W. J.",1979,"6/28/96","10/26/18",9,119,5,2,"2 3",FALSE,52,"1",0
"49",1792926,"X001856051","HV95 .W66 1990","ALDERMAN","Women, the state, and welfare /","",1990,"6/30/96","11/8/18",10,128,16,3,"2",FALSE,53,"1",0
"50",1849806,"X001979278","HV8148 .B22 S54 1991","CLEMONS","Homicide : a year on the killing streets /","Simon, David,",1991,"6/30/96","1/27/15",8,126,24,2,"2 3",FALSE,54,"1",0
"51",3998448,"X004702903","HV6252 .T73 2003","ALDERMAN","Transnational organized crime : myth, power, and profit /","",2003,"1/5/04","4/26/12",1,72,1,1,"2",FALSE,55,"1",0
"52",2113569,"X002232459","HV5840 .B6 C6 1993","ALDERMAN","Coca and cocaine : an Andean perspective /","",1993,"6/30/96","11/26/17",3,78,8,1,"2",TRUE,56,"1",0
"53",6653362,"X031794850","HV553 .M264 2015","ALDERMAN","The need to help : the domestic arts of international humanitarianism /","Malkki, Liisa H. (Liisa Helena),",2015,"12/9/15","4/6/18",2,34,10,1,"2",FALSE,57,"1",0
"54",4356810,"X004910509","HV4028 .D39 2006","ALDERMAN","Planet of slums /","Davis, Mike,",2006,"3/23/06","7/5/16",6,58,28,1,"2 4",FALSE,58,"1",0
"55",2898449,"X004289194","HV91 .P57 1999","ALDERMAN","Philanthropy and the nonprofit sector in a changing America /","",1999,"4/19/99","6/22/15",1,75,57,1,"2",FALSE,59,"1",0
"56",6501767,"X031724720","HV5825 .H234 2015","ALDERMAN","Chasing the scream : the first and last days of the war on drugs /","Hari, Johann.",2015,"2/5/15","10/12/18",2,34,3,1,"2",FALSE,60,"1",0
"57",1225878,"X001358431","HV6529 .N67 1988","CLEMONS","Serial killers : the growing menace /","Norris, Joel.",1988,"6/30/96","9/2/15",3,82,0,1,"3",FALSE,61,"1",0
"58",3527932,"X004418476","HV5825 .D7884 2000","ALDERMAN","Drugs and drug policy in America : a documentary history /","",2000,"5/18/00","4/26/18",8,67,9,1,"2 17",FALSE,62,"1",0
"59",3882913,"X004664671","HV91 .C4546 2003","ALDERMAN","Charity, philanthropy, and civility in American history /","",2003,"9/3/02","9/13/18",6,61,0,1,"2",FALSE,63,"1",0
"60",4228665,"X004810458","HV6949 .E5 E47 2005","ALDERMAN","Crime and society in England, 1750-1900 /","Emsley, Clive.",2005,"3/1/05","12/13/18",0,55,32,1,"2",FALSE,65,"1",0
"61",2575795,"X004007562","HV4045 .W55 1990","ALDERMAN","The truly disadvantaged : the inner city, the underclass, and public policy /","Wilson, William J.,",1990,"7/1/96","4/11/17",10,212,17,3,"2 3 17",FALSE,66,"1",0
"62",3577626,"X004476945","HV4045 .P39 1998","ALDERMAN","A framework for understanding poverty /","Payne, Ruby K.",1998,"10/31/00","3/2/18",3,66,4,1,"2",FALSE,67,"1",0
"63",1851091,"X001977753","HV5822 .H4 M33 1991","ALDERMAN","The politics of heroin : CIA complicity in the global drug trade /","McCoy, Alfred W.",1991,"6/30/96","2/26/18",5,76,12,1,"2",FALSE,68,"1",0
"64",2458655,"X002644846","HV6439 .U5 K58 1995","ALDERMAN","The American street gang : its nature, prevalence, and control /","Klein, Malcolm W.",1995,"7/1/96","5/26/15",3,97,4,2,"2 3 17",FALSE,69,"1",0
"65",3802268,"X006128322","HV41.2 .N48 no.29 2000 fall","ALDERMAN","Understanding the needs of donors : the supply side of charitable giving /","",2001,"1/4/02","7/30/12",0,73,6,1,"2",TRUE,70,"1",0
"66",3894106,"X004651734","HV41.2 .N48 no.32 2001 summer","ALDERMAN","Understanding donor dynamics : the organizational side of charitable giving /","",2002,"11/4/02","7/30/12",0,71,6,1,"2",TRUE,71,"1",0
"67",4011842,"X004789370","HV6322.7 .V35 2004","ALDERMAN","Final solutions : mass killing and genocide in the twentieth century /","Valentino, Benjamin A.,",2004,"5/6/04","2/1/18",18,108,34,2,"2",FALSE,73,"1",0
"68",4249676,"X004862998","HV6432 .N34 2005","ALDERMAN","Blind spot : the secret history of American counterterrorism /","Naftali, Timothy J.",2005,"6/7/05","1/16/18",10,74,10,2,"2 3",FALSE,74,"1",0
"69",4017291,"X004767039","HV6432 .C53 2004","ALDERMAN","Against all enemies : inside America's war on terror /","Clarke, Richard.",2004,"3/22/04","10/30/18",5,80,48,2,"2 3",FALSE,76,"1",0
"70",5499392,"X030823987","HV91 .Z86 2012","ALDERMAN","Philanthropy in America : a history /","Zunz, Olivier.",2012,"11/14/11","11/1/18",9,38,6,1,"2",FALSE,77,"1",0
"71",216974,"X000904453","HV8138 .B5","ALDERMAN","The manners and customs of the police /","Black, Donald J.",1980,"6/28/96","9/30/11",3,88,0,1,"2 10 17",FALSE,78,"1",0
"72",2153568,"X002282693","HV6457 .H34 1993","ALDERMAN","Revolt against chivalry : Jessie Daniel Ames and the women's campaign against lynching /","Hall, Jacquelyn Dowd.",1993,"7/1/96","10/22/18",5,115,17,2,"2",FALSE,79,"1",0
"73",1141469,"X001607207","HV41 .C87","ALDERMAN","Fund raising in the United States, its role in America's philanthropy,","Cutlip, Scott M.",1965,"6/29/96","6/21/18",1,114,0,2,"2",FALSE,80,"1",0
"74",284343,"X006172220","HV6457 .H34","ALDERMAN","Revolt against chivalry : Jessie Daniel Ames and the women's campaign against lynching /","Hall, Jacquelyn Dowd.",1979,"6/28/96","9/11/15",17,116,4,2,"2 3",FALSE,81,"1",0
"75",4457873,"X030244182","HV6322.7 .J64 2006","CLEMONS","Genocide : a comprehensive introduction /","Jones, Adam,",2006,"5/29/08","11/30/18",10,73,25,2,"3",FALSE,82,"1",0
"76",299141,"X000037868","HV8694 .B5","ALDERMAN","For capital punishment : crime and the morality of the death penalty /","Berns, Walter,",1979,"6/28/96","1/12/15",16,163,0,2,"2 3 14",FALSE,83,"1",0
"77",662246,"X000627146","HV8699 .U5 V36 1983","ALDERMAN","The death penalty : a debate /","Van den Haag, Ernest.",1983,"6/29/96","6/25/14",14,129,0,2,"2 3 17",TRUE,84,"1",0
"78",2239179,"X002404645","HV700 .G7 P43 1993","ALDERMAN","Family, dependence, and the origins of the welfare state : Britain and France, 1914-1945 /","Pedersen, Susan,",1993,"7/1/96","4/28/13",3,81,2,1,"2",FALSE,85,"1",0
"79",4386589,"X030089222","HV6432.7 .W75 2006","CLEMONS","The looming tower : Al-Qaeda and the road to 9/11 /","Wright, Lawrence,",2006,"8/8/06","9/4/15",7,100,16,2,"2 3 17 21",FALSE,86,"1",0
"80",1805037,"X001904240","HV741 .M82 1991","ALDERMAN","Creating a female dominion in American reform, 1890-1935 /","Muncy, Robyn.",1991,"6/30/96","10/25/17",7,72,2,1,"2",FALSE,87,"1",0
"81",2971469,"X004324254","HV9950 .W33 2000","ALDERMAN","The color of justice : race, ethnicity, and crime in America /","Walker, Samuel,",2000,"1/7/00","10/22/18",16,61,6,1,"2 17",FALSE,89,"1",0
"82",4235067,"X004864067","HV9468 .H75 A3 2005","ALDERMAN","Life after life : a story of rage and redemption /","Hopkins, Evans D.,",2005,"5/2/05","12/11/18",0,59,82,2,"2 3 10",FALSE,91,"1",0
"83",647995,"X030200423","HV5825 .W56 1969","ALDERMAN","The Electric kool-aid acid test /","Wolfe, Tom.",1969,"5/11/07","11/6/18",1,52,67,1,"2",FALSE,92,"1",0
"84",3566687,"X006172134","HV95 .W38 2000","ALDERMAN","Ending welfare as we know it /","Weaver, R. Kent,",2000,"9/19/00","5/24/13",5,69,2,1,"2",FALSE,93,"1",0
"85",2186591,"X002315188","HV6592 .S48 1993","ALDERMAN","Sexual aggression : issues in etiology, assessment, and treatment /","",1993,"7/1/96","5/4/16",4,73,8,1,"2",FALSE,94,"1",0
"86",1249652,"X001356009","HV91 .B67 1988","ALDERMAN","American philanthropy /","Bremner, Robert H. (Robert Hamlett),",1988,"6/30/96","10/13/18",4,104,0,2,"2",FALSE,95,"1",0
"87",2432026,"X002625986","HV6464 .T65 1995","ALDERMAN","A festival of violence : an analysis of Southern lynchings, 1882-1930 /","Tolnay, Stewart Emory.",1995,"7/1/96","11/21/16",10,122,3,2,"2",FALSE,96,"1",0
"88",662073,"X000688359","HV4086 .A3 H55 1984","CLEMONS","The idea of poverty : England in the early Industrial Age /","Himmelfarb, Gertrude.",1984,"6/29/96","5/9/16",8,130,12,2,"2 3 17",FALSE,97,"1",0
"89",4813031,"X030516586","HV6157 .S56 2004","ALDERMAN","Families, delinquency, and crime : linking society's most basic institution to antisocial behavior /","Simons, Ronald L.",2004,"1/15/09","6/12/17",11,43,81,1,"2",FALSE,98,"1",0
"90",2779741,"X004215404","HV6529 .S45 1998","ALDERMAN","Serial killers : death and life in America's wound culture /","Seltzer, Mark,",1998,"3/24/98","5/16/16",5,67,11,1,"2",FALSE,99,"1",0
"91",4717377,"X030476623","HV6432 .F44 2008","ALDERMAN","War and decision : inside the Pentagon at the dawn of the War on terrorism /","Feith, Douglas J.",2008,"10/20/08","11/25/18",11,75,73,2,"2 21",FALSE,100,"1",0
"92",538908,"X000114306","HV91 .R73","ALDERMAN","The discovery of the asylum; social order and disorder in the new republic","Rothman, David J.",1971,"6/29/96","2/7/17",9,125,21,2,"2 3 14 17 19",FALSE,101,"1",0
"93",4292060,"X004863463","HV6431 .P355 2005","ALDERMAN","Dying to win : the strategic logic of suicide terrorism /","Pape, Robert Anthony,",2005,"7/12/05","12/6/18",18,89,11,2,"2 3 21",FALSE,102,"1",0
"94",2711456,"X004113550","HV2380 .L27 1996","CLEMONS","A journey into the deaf-world /","Lane, Harlan,",1996,"8/18/97","6/13/18",0,64,28,1,"3",FALSE,103,"1",0
"95",4046377,"X004767235","HV6432.7 .N38 2004","ALDERMAN","The 9/11 Commission report : final report of the National Commission on Terrorist Attacks upon the United States.","National Commission on Terrorist Attacks upon the United States.",2004,"7/23/04","8/6/16",10,127,15,4,"2 3 17",FALSE,104,"1",0
"96",4226441,"X004811536","HV6626.2 .H56 2005","ALDERMAN","Family violence in the United States : defining, understanding, and combating abuse /","Hines, Denise A.",2005,"2/15/05","4/20/17",1,49,0,1,"2",FALSE,105,"1",0
"97",2381056,"X002574659","HV6604 .C72 G363 1994","ALDERMAN","Our guerrillas, our sidewalks : a journey into the violence of Colombia /","Braun, Herbert,",1994,"7/1/96","5/7/17",3,68,12,1,"2 3",TRUE,106,"1",0
"98",4377155,"X004904437","HV6431 .H626 2006","ALDERMAN","Inside terrorism /","Hoffman, Bruce,",2006,"7/4/06","6/1/18",5,43,20,1,"2",FALSE,107,"1",0
