"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",1229657,"X006114214","HX39.5 .A16 1975 v.1","ALDERMAN","Karl Marx, Frederick Engels: collected works.","Marx, Karl,",1975,"6/30/96","4/2/18",70,759,146,53,"2",TRUE,1,"1",0
"2",782155,"X006095382","HX523 .M3766 1988","ALDERMAN","Marxism and the interpretation of culture /","",1988,"6/29/96","11/3/18",28,153,5,1,"2",FALSE,2,"1",0
"3",557029,"X000109512","HX39.5 .A224 1972","ALDERMAN","The Marx-Engels reader.","Marx, Karl,",1972,"6/29/96","4/10/18",19,273,39,2,"2 3",FALSE,3,"1",0
"4",1332920,"X001506986","HX289.7 .G73 A25 1989","ALDERMAN","An Antonio Gramsci reader : selected writings, 1916-1935 /","Gramsci, Antonio,",1988,"6/30/96","6/11/18",7,140,5,1,"2",FALSE,4,"1",0
"5",567089,"X000239504","HX392 .N27 1972b","ALDERMAN","Socialism in India.","Nanda, B. R. (Bal Ram),",1972,"6/29/96","7/1/08",24,151,0,1,"2",FALSE,5,"1",0
"6",271210,"X006095246","HX531 .W47","ALDERMAN","Marxism and literature /","Williams, Raymond.",1977,"6/28/96","9/11/18",32,233,30,2,"2 3 14",FALSE,6,"1",0
"7",223549,"X000209401","HX288 .G7 A23 1971","ALDERMAN","Selections from the prison notebooks of Antonio Gramsci.","Gramsci, Antonio,",1972,"6/28/96","12/12/18",17,126,3,1,"2 3",FALSE,7,"1",0
"8",332134,"X030036878","HX39.5 .M374 1978","CLEMONS","The Marx-Engels reader /","",1978,"7/13/06","11/13/18",17,181,50,3,"2 3",FALSE,9,"1",0
"9",545477,"X000115691","HX86 .S33 1950","ALDERMAN","Capitalism, socialism, and democracy.","Schumpeter, Joseph A.,",1950,"6/29/96","10/31/16",27,364,115,4,"2 3 17",FALSE,10,"1",0
"10",2911306,"X004296251","HX276 .M3 1999","ALDERMAN","The Communist manifesto : with related documents /","Marx, Karl,",1999,"5/10/99","8/31/17",9,107,10,1,"2",FALSE,11,"1",0
"11",2412474,"X002627072","HX40 .F86 1995","ALDERMAN","Le passÈ d'une illusion : essai sur l'idÈe communiste au XXe siËcle /","Furet, FranÁois,",1995,"7/1/96","12/8/10",0,118,0,1,"2",FALSE,13,"1",0
"12",1334111,"X004644084","HX833 .R6 1989","ALDERMAN","Anarcho-syndicalism /","Rocker, Rudolf,",1989,"7/17/02","10/18/17",2,95,1,1,"2",FALSE,14,"1",0
"13",697631,"X006172020","HX806 .K86 1986","ALDERMAN","Utopia and anti-utopia in modern times /","Kumar, Krishan,",1986,"6/29/96","9/5/18",18,93,6,1,"2",FALSE,16,"1",0
"14",539100,"X000114340","HX260 .H8 L783","ALDERMAN","History and class consciousness; studies in Marxist dialectics","Luk·cs, Gyˆrgy,",1971,"6/29/96","2/2/18",13,171,38,3,"2 3 17",TRUE,17,"1",0
"15",1740996,"X001822344","HX39.5 .A223 1975","CLEMONS","Early writings /","Marx, Karl,",1975,"6/30/96","3/20/17",22,94,0,1,"3",FALSE,18,"1",0
"16",485554,"X000335698","HX653 .H39","ALDERMAN","Seven American utopias : the architecture of communitarian socialism, 1790-1975 /","Hayden, Dolores.",1976,"6/29/96","5/2/18",10,87,12,1,"2 4",FALSE,19,"1",0
"17",432029,"X000216668","HX811 1516 .E964b","ALDERMAN","Utopia.","More, Thomas,",1964,"6/29/96","1/27/16",5,89,22,1,"2",FALSE,22,"1",0
"18",1147628,"X000360966","HX521 .L34","ALDERMAN","Marxism and art; writings in aesthetics and criticism.","Lang, Berel",1972,"6/29/96","10/26/18",8,81,5,1,"2",FALSE,23,"1",0
"19",2367091,"X002560555","HX39.5 .D4613 1994","ALDERMAN","Specters of Marx : the state of the debt, the work of mourning, and the New international /","Derrida, Jacques.",1994,"7/1/96","10/2/18",10,178,47,3,"2 3",FALSE,24,"1",0
