"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",41063,"X006143293","H97 .B733 1985","ALDERMAN","Bringing the state back in /","",1985,"6/28/96","5/16/18",50,422,11,2,"2",FALSE,1,"1",0
"2",345078,"X000015940","H61 .D82 1978","ALDERMAN","Theory building /","Dubin, Robert.",1978,"6/28/96","11/21/18",1,174,44,1,"2 19",FALSE,2,"1",0
"3",2223535,"X032001340","H61 .B4776 1993","ALDERMAN","Approaches to social enquiry /","Blaikie, Norman W. H.,",1993,"7/1/96","3/9/12",0,172,3,1,"2",FALSE,3,"1",0
"4",2278689,"X031987455","H62 .R455 1994","ALDERMAN","Research practice /","",1994,"7/1/96","3/9/12",0,171,3,1,"2",FALSE,4,"1",0
"5",986114,"X000209557","H53 .U5 P87","ALDERMAN","The crisis of democratic theory; scientific naturalism & the problem of value","Purcell, Edward A.",1973,"6/29/96","7/3/18",12,146,8,1,"2",FALSE,5,"1",0
"6",2284939,"X002435937","H97 .P38 1993","ALDERMAN","Basic methods of policy analysis and planning /","Patton, Carl V.",1993,"7/1/96","4/14/17",19,191,18,2,"2 3",FALSE,6,"1",0
"7",585096,"X000425125","H62 .J37","CLEMONS","The dialectical imagination; a history of the Frankfurt School and the Institute of Social Research, 1923-1950.","Jay, Martin,",1973,"6/29/96","12/14/18",7,118,12,1,"2 3",FALSE,7,"1",0
"8",1780931,"X001859123","H53 .U5 R67 1991","ALDERMAN","The origins of American social science /","Ross, Dorothy.",1991,"6/30/96","10/6/17",16,228,6,2,"2 3 17",TRUE,8,"1",0
"9",684798,"X001206526","H91 .B4 1986","ALDERMAN","Writing for social scientists : how to start and finish your thesis, book, or article /","Becker, Howard Saul,",1986,"6/29/96","10/12/18",8,112,18,1,"2 5",FALSE,10,"1",0
"10",246385,"X002757035","H33 .W37 1958","CLEMONS","From Max Weber : essays in sociology /","Weber, Max,",1958,"6/28/96","11/29/18",2,129,61,2,"3 17",FALSE,11,"1",0
"11",2433070,"X002650973","H62 .Y56 1994","ALDERMAN","Case study research : design and methods /","Yin, Robert K.",1994,"7/1/96","12/10/18",10,146,68,2,"2 13",FALSE,13,"1",0
"12",2669,"X001934595","H62 .Y56 1984","ALDERMAN","Case study research : design and methods /","Yin, Robert K.",1984,"6/28/96","5/9/15",9,152,3,2,"2",FALSE,14,"1",0
"13",1769822,"X002048718","H61.4 .S22 1991","ALDERMAN","Prediction, projection, and forecasting : applications of the analytic hierarchy process in economics, finance, politics, games, and sports /","Saaty, Thomas L.",1991,"6/30/96","8/7/07",0,113,0,1,"2",FALSE,15,"1",0
"14",36874,"X000786633","H62 .H37633 1984","ALDERMAN","Introduction to causal analysis : exploring survey data by crosstabulation /","Hellevik, Ottar.",1984,"6/28/96","1/28/07",0,114,0,1,"2",FALSE,16,"1",0
"15",2316003,"X002737352","H61 .K5437 1994","ALDERMAN","Designing social inquiry : scientific inference in qualitative research /","King, Gary,",1994,"7/1/96","3/6/17",36,296,12,4,"2",FALSE,17,"1",0
"16",2015408,"X002157493","H62 .Y56 1989","CLEMONS","Case study research : design and methods /","Yin, Robert K.",1989,"6/30/96","12/3/18",5,88,1,1,"3 13 14 19",FALSE,18,"1",0
"17",2498144,"X004323288","H62 .M437 1994","CLEMONS","Qualitative data analysis : an expanded sourcebook /","Miles, Matthew B.",1994,"5/18/99","5/22/18",5,83,11,1,"2 3",FALSE,19,"1",0
"18",2332731,"X004091988","H62 .H2455 1994","ALDERMAN","Handbook of qualitative research /","",1994,"1/19/97","5/16/16",37,273,37,4,"2",FALSE,20,"1",0
"19",602906,"X000207426","H33 .W37 1946","ALDERMAN","From Max Weber: Essays in sociology.","Weber, Max,",1946,"6/29/96","7/25/17",8,95,14,1,"2",FALSE,21,"1",0
"20",261497,"X000173429","H61 .S355 1978","CLEMONS","Micromotives and macrobehavior /","Schelling, Thomas C.,",1978,"6/28/96","8/9/16",8,158,8,2,"2 3 13 14",FALSE,22,"1",0
"21",382462,"X000705964","H61 .D65","ALDERMAN","Modeling social processes /","Doreian, Patrick.",1976,"6/28/96","12/19/16",0,86,0,1,"2",FALSE,24,"1",0
"22",1760033,"X000240571","H33 .W37 1949","ALDERMAN","From Max Weber: Essays in sociology /","Weber, Max,",1949,"6/30/96","11/19/18",10,87,18,1,"2",FALSE,25,"1",0
"23",2335374,"X000419047","H31 .J62 v.24 1902","ALDERMAN","A history of slavery in Virginia /","Ballagh, James Curtis,",1902,"6/29/96","2/22/18",4,111,2,2,"2",TRUE,26,"1",0
"24",437988,"X006136507","H11 .A793 H37","ALDERMAN","The emergence of professional social science : the American Social Science Association and the nineteenth-century crisis of authority /","Haskell, Thomas L.,",1977,"6/29/96","5/8/15",18,158,12,2,"2",FALSE,27,"1",0
"25",2245566,"X002332310","H61.25 .M94 1991","CLEMONS","Game theory : analysis of conflict /","Myerson, Roger B.",1991,"7/1/96","5/1/18",2,73,9,1,"3",FALSE,28,"1",0
"26",1861460,"X004283068","H62 .P3218 1990","ALDERMAN","Qualitative evaluation and research methods /","Patton, Michael Quinn.",1990,"6/24/99","11/27/17",6,68,1,1,"2",FALSE,31,"1",0
"27",2391803,"X002600242","H62 .M277 1995","ALDERMAN","Designing qualitative research /","Marshall, Catherine,",1995,"7/1/96","5/13/16",8,134,3,2,"2",FALSE,33,"1",0
"28",3932449,"X004683368","H61 .C524 2003","ALDERMAN","Comparative historical analysis in the social sciences /","",2003,"9/12/03","4/5/18",17,123,24,3,"2",FALSE,34,"1",0
"29",2784004,"X004133547","H61.28 .S45 1998","ALDERMAN","Interviewing as qualitative research : a guide for researchers in education and the social sciences /","Seidman, Irving,",1998,"4/7/98","12/7/15",7,70,17,1,"2",FALSE,35,"1",0
"30",2151618,"X004091986","H61 .Y56 1993","ALDERMAN","Applications of case study research /","Yin, Robert K.",1993,"1/19/97","12/10/18",2,128,63,2,"2",FALSE,36,"1",0
"31",4322134,"X004903987","H83 .W3313 2001","ALDERMAN","From Max Weber : essays in sociology /","Weber, Max,",2001,"1/13/06","5/14/18",13,50,14,1,"2",FALSE,37,"1",0
"32",1943275,"X002073507","H62 .H2456 1992","ALDERMAN","The Handbook of qualitative research in education /","",1992,"6/30/96","5/21/18",7,67,1,1,"2",FALSE,38,"1",0
"33",3935631,"X004663570","H62 .S47755 2002","ALDERMAN","Applied longitudinal data analysis : modeling change and event occurrence /","Singer, Judith D.",2003,"5/15/03","10/3/18",7,52,8,1,"2",FALSE,39,"1",0
"34",2421004,"X002623817","H61.25 .H4 1995","ALDERMAN","Game theory : a critical introduction /","Heap, Shaun Hargreaves,",1995,"7/1/96","8/6/15",4,70,2,1,"2",FALSE,40,"1",0
"35",3565954,"X004438638","H62 .B439 2000","ALDERMAN","Social research methods : qualitative and quantitative approaches /","Bernard, H. Russell (Harvey Russell),",2000,"10/12/00","9/16/18",5,56,6,1,"2 17",FALSE,42,"1",0
"36",685232,"X001981654","H97 .P38 1986","CLEMONS","Basic methods of policy analysis and planning /","Patton, Carl V.",1986,"6/29/96","5/17/14",14,74,1,1,"3 4",FALSE,43,"1",0
"37",4012790,"X004746743","H61.15 .T39 2004","ALDERMAN","Modern social imaginaries /","Taylor, Charles,",2004,"3/4/04","9/4/18",12,63,39,2,"2",FALSE,44,"1",0
"38",5395755,"X030958525","H62 .A5127 2010","ALDERMAN","Doing feminist research in political and social science /","Ackerly, Brooke A.",2010,"8/9/11","11/17/18",4,34,9,1,"2",FALSE,45,"1",0
"39",1357440,"X001590704","H62 .C5859 1989","ALDERMAN","Integrating research : a guide for literature reviews /","Cooper, Harris M.",1989,"6/30/96","6/1/16",2,67,0,1,"2",FALSE,46,"1",0
"40",2723467,"X004113998","H61 .C73 1998","ALDERMAN","Qualitative inquiry and research design : choosing among five traditions /","Creswell, John W.",1998,"10/6/97","10/17/18",10,58,3,1,"2",FALSE,48,"1",0
"41",624014,"X000309442","H61 .R875","CLEMONS","The philosophy of social explanation.","Ryan, Alan,",1973,"6/29/96","2/27/15",5,89,7,2,"2 3",FALSE,49,"1",0
"42",2620443,"X004048986","H97 .I546 1996","ALDERMAN","Integrating the sixties : the origins, structures, and legitimacy of public policy in a turbulent decade /","",1996,"11/18/96","5/21/18",0,103,5,2,"2 3 10",FALSE,50,"1",0
"43",3895092,"X004633432","H62 .C6963 2003","ALDERMAN","Research design : qualitative, quantitative, and mixed method approaches /","Creswell, John W.",2003,"11/8/02","9/1/17",15,106,63,3,"2",FALSE,51,"1",0
"44",2709118,"X006048225","H62 .R23 1994","ALDERMAN","Constructing social research : the unity and diversity of method /","Ragin, Charles C.",1994,"8/12/97","9/16/18",3,58,9,1,"2",FALSE,52,"1",0
"45",426469,"X000311324","H61 .B472 1976","ALDERMAN","The restructuring of social and political theory /","Bernstein, Richard J.",1976,"6/29/96","5/21/15",5,70,3,1,"2",FALSE,53,"1",0
"46",101507,"X001079571","H61 .B75 1986b","ALDERMAN","Learning how to ask : a sociolinguistic appraisal of the role of the interview in social science research /","Briggs, Charles L.,",1986,"6/28/96","9/13/18",9,61,17,1,"2",FALSE,55,"1",0
"47",1300451,"X000671055","H62 .C5857 1979","ALDERMAN","Quasi-experimentation : design & analysis issues for field settings /","Cook, Thomas D.",1979,"6/28/96","8/9/16",4,66,3,1,"2 5 14",FALSE,56,"1",0
"48",4356262,"X004913234","H62 .H2455 2005","ALDERMAN","The SAGE handbook of qualitative research /","",2005,"3/21/06","7/29/18",39,43,19,2,"2 19",FALSE,57,"1",0
"49",408087,"X000132318","H51 .H8 1976","CLEMONS","Consciousness and society : the reorientation of European social thought, 1890-1930 /","Hughes, H. Stuart (Henry Stuart),",1976,"6/28/96","3/8/08",13,82,0,1,"3",FALSE,58,"1",0
"50",2329884,"X002528572","H53 .U5 M63 1994","ALDERMAN","Modernist impulses in the human sciences, 1870-1930 /","",1994,"7/1/96","1/5/16",7,63,2,1,"2",FALSE,59,"1",0
"51",2684211,"X004095762","H62 .B284 1997","ALDERMAN","Observing interaction : an introduction to sequential analysis /","Bakeman, Roger.",1997,"4/25/97","9/11/18",3,55,3,1,"2",FALSE,61,"1",0
"52",685213,"X001740094","H62 .B284 1986","ALDERMAN","Observing interaction : an introduction to sequential analysis /","Bakeman, Roger.",1986,"6/29/96","11/20/15",2,64,2,1,"2 14",FALSE,62,"1",0
"53",1238850,"X001359697","H61 .I6 1987","ALDERMAN","Interpretive social science : a second look /","",1987,"6/30/96","5/21/15",4,64,0,1,"2",FALSE,65,"1",0
"54",2295830,"X002453466","H61 .R33 1994","ALDERMAN","Readings in the philosophy of social science /","",1994,"7/1/96","12/10/11",8,69,0,1,"2 14",FALSE,66,"1",0
