"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",725133,"X001159214","PC2640 C69","CLEMONS","Collins-Robert French-English, English-French dictionary = Robert-Collins dictionnaire FranÁais-Anglais, Anglais-FranÁais /","",1978,"6/29/96","5/1/14",69,1188,22,2,"2 3",TRUE,1,"1",0
"2",2018969,"X002169547","PC4640 .C35 1987","CLEMONS","Cassell?s Spanish-English, English-Spanish dictionary = Diccionario espaÒol-inglÈs, inglÈs-espaÒol.","",1987,"6/30/96","11/5/17",17,322,7,1,"3 14",FALSE,2,"1",0
"3",1285526,"X001363805","PC4112 .B88 1988","ALDERMAN","A new reference grammar of modern Spanish /","Butt, John,",1988,"6/30/96","5/6/15",26,214,7,1,"2",FALSE,3,"1",0
"4",3575830,"X004469047","PC5067.3 .H88 1996","ALDERMAN","Portuguese : an essential grammar /","Hutchinson, AmÈlia P.,",1996,"10/25/00","4/20/16",3,191,7,1,"2",FALSE,4,"1",0
"5",424378,"X000084922","PC2640 .C54 1974","CLEMONS","The concise Oxford French-English dictionary /","Chevalley, Abel,",1974,"6/29/96","7/25/14",11,176,0,1,"3",FALSE,5,"1",0
"6",1013977,"X006143318","PC4625 .M6 1966 v.1 A-G","ALDERMAN","Diccionario de uso del espaÒol.","Moliner, MarÌa.",1966,"6/29/96","5/3/13",44,334,8,2,"2",TRUE,6,"1",0
"7",2532111,"X002736356","PC4640 .C35 1978b","CLEMONS","Cassell's Spanish-English, English-Spanish dictionary = Diccionario espaÒol-inglÈs, inglÈs-espaÒol.","",1978,"7/1/96","11/14/16",12,143,1,1,"3 19",FALSE,8,"1",0
"8",1840456,"X006083085","PC4075 .P46 1991","ALDERMAN","A history of the Spanish language /","Penny, Ralph J. (Ralph John),",1991,"6/30/96","12/5/18",9,134,11,1,"2",FALSE,9,"1",0
"9",1989863,"X031985777","PC3566 .D83 1992","ALDERMAN","Dictionnaire du franÁais d'AlgÈrie /","Duclos, Jeanne.",1992,"6/30/96","9/17/12",1,144,9,1,"2",FALSE,10,"1",0
"10",2937384,"X004295792","PC2112 .L485 1999","ALDERMAN","Advanced French grammar /","L'Huillier, Monique.",1999,"8/16/99","12/11/18",1,115,20,1,"2",FALSE,11,"1",0
"11",1238501,"X032020847","PC4640 .U5 1987","ALDERMAN","The University of Chicago Spanish dictionary : a new concise Spanish-English and English-Spanish dictionary of words and phrases basic to the written and spoken languages of today, plus a list of 500 Spanish idioms and sayings, with variants and English equivalents /","",1987,"6/30/96","11/2/18",16,117,11,1,"2 3",FALSE,12,"1",0
"12",2789079,"X004189015","PC2129 .E5 S73 1987","ALDERMAN","Reading French in the arts and sciences /","Stack, Edward M.",1987,"4/23/98","6/4/18",18,127,35,2,"2",FALSE,13,"1",0
"13",1014006,"X006172322","PC4640 .U5 1972","ALDERMAN","The University of Chicago Spanish dictionary; a new concise Spanish-English and English-Spanish dictionary of words and phrases basic to the written and spoken languages of today.","",1972,"6/29/96","10/23/18",10,110,38,1,"2",FALSE,14,"1",0
