"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",1256108,"X001314797","PH5031 .S25 1988","ALDERMAN","Basque /","Saltarelli, Mario.",1988,"6/30/96","11/29/18",4,57,13,1,"2",FALSE,1,"1",0
"2",1023266,"X000276904","PH2111 .B34 1965a","ALDERMAN","Learn Hungarian,","B·nhidi, Zolt·n.",1965,"6/29/96","5/7/18",7,65,8,2,"2",FALSE,2,"1",0
"3",1378767,"X001640779","PH324 .E5 F7 1988","ALDERMAN","The Kalevala : epic of the Finnish people /","",1988,"6/30/96","4/24/17",3,43,15,1,"2",TRUE,3,"1",0
"4",4369833,"X004899929","PH3281 .K8866 H3313 2006","ALDERMAN","War & war /","Krasznahorkai, L·szlÛ.",2006,"5/30/06","12/27/15",1,25,5,1,"2",FALSE,4,"1",0
"5",6909766,"X031772978","PH3351 .S592 P513 2016","ALDERMAN","Iza's ballad /","SzabÛ, Magda,",2016,"11/17/16","4/9/18",0,5,1,1,"2",FALSE,5,"1",0
"6",7648316,"X032220707","PH5339 .A8 N4813 2017","ALDERMAN","Nevada days : a novel /","Atxaga, Bernardo,",2017,"7/23/18","9/15/18",0,1,0,1,"2",FALSE,6,"1",0
"7",7344180,"X032068510","PH3281 .K8866 A2 2017","ALDERMAN","The world goes on /","Krasznahorkai, L·szlÛ,",2017,"1/17/18","12/3/18",0,1,1,1,"2 10",FALSE,7,"1",0
"8",7248515,"X031817557","PH3351 .S592 K313 2017","ALDERMAN","Katalin Street /","SzabÛ, Magda,",2017,"10/4/17","2/18/18",0,2,1,1,"2",FALSE,8,"1",0
"9",5238932,"X030743559","PH5035 .E95 2010","ALDERMAN","Outlines of Basque grammar /","Eys, W. J. van (Willem J.),",2010,"10/28/10","4/23/18",0,11,17,1,"2",FALSE,9,"1",0
"10",6913665,"X031773000","PH3213 .B596 N5613 2016","ALDERMAN","The dispossessed : a novel /","BorbÈly, Szil·rd,",2016,"11/30/16","6/13/17",0,3,5,1,"2",FALSE,10,"1",0
"11",7348543,"X031842189","PH666.21 .I77 M4413 2015b","ALDERMAN","The man who spoke Snakish /","Kivir‰hk, Andrus,",2015,"1/29/18","7/2/18",0,1,5,1,"2",FALSE,11,"1",0
"12",5580596,"X031195089","PH3281 .K8866 S2813 2012","ALDERMAN","Satan tango /","Krasznahorkai, L·szlÛ.",2012,"3/21/12","7/22/18",0,8,7,1,"2",FALSE,12,"1",0
"13",6948255,"X031804125","PH5339 .S16 L5418 2016","ALDERMAN","La educaciÛn de Lili /","Saizarbitoria, RamÛn,",2016,"2/14/17","4/14/17",0,2,2,1,"2",TRUE,13,"1",0
