"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",502531,"X000608203","UB500 .M2 1941","ALDERMAN","The soldier and the law,","McComsey, John A. (John Alfred),",9999,"6/29/96","3/29/10",1,13,0,1,"2 17 21",FALSE,1,"1",0
"2",2635972,"X004049513","UA10.5 .S62 1996","ALDERMAN","Uncivil wars : international security and the new internal conflicts /","Snow, Donald M.,",1996,"12/13/96","6/2/14",0,194,0,1,"2",FALSE,2,"1",0
"3",1943799,"X002073431","UA10.5 .I52 1992","ALDERMAN","The Insecurity dilemma : national security of Third World states /","",1992,"6/30/96","4/10/18",4,182,7,1,"2",FALSE,3,"1",0
"4",317014,"X000072183","U21.2 .W345","CLEMONS","Just and unjust wars : a moral argument with historical illustrations /","Walzer, Michael.",1977,"6/28/96","10/23/17",31,341,11,2,"2 3 21",FALSE,4,"1",0
"5",1603111,"X000846919","UA10.5 .M37 1985","ALDERMAN","National security in the Third World /","Mashsh??, ?Abd al-Mun?im.",1985,"6/30/96","3/26/09",2,189,0,1,"2",FALSE,5,"1",0
"6",2113511,"X002737508","U21.2 .W345 1992","ALDERMAN","Just and unjust wars : a moral argument with historical illustrations /","Walzer, Michael.",1992,"6/30/96","5/5/18",25,296,16,2,"2 17",FALSE,7,"1",0
"7",2937458,"X004295707","UD380 .L54 1999","ALDERMAN","Light weapons and civil conflict : controlling the tools of violence /","",1999,"8/16/99","5/12/14",2,148,6,1,"2",FALSE,8,"1",0
"8",2918706,"X004313650","UA10.5 .M325 1999","ALDERMAN","Deadly transfers and the global playground : transnational security threats in a disorderly world /","Mandel, Robert,",1999,"6/7/99","12/7/11",0,152,0,1,"2",FALSE,9,"1",0
"9",2101300,"X002251363","UA10.5 .S393 1993","ALDERMAN","Security of Third World countries /","",1993,"6/30/96","11/8/06",2,160,0,1,"2",FALSE,11,"1",0
"10",610452,"X000126461","U21 .G75 1959","ALDERMAN","The warriors; reflections on men in battle.","Gray, J. Glenn (Jesse Glenn),",1959,"6/29/96","1/12/16",5,200,14,4,"2 3",FALSE,12,"1",0
"11",4396716,"X030107623","U21.2 .W345 2006","ALDERMAN","Just and unjust wars : a moral argument with historical illustrations /","Walzer, Michael.",2006,"9/15/06","5/30/18",8,112,44,2,"2",FALSE,13,"1",0
"12",1382751,"X001639322","U263 .F698 1989b","ALDERMAN","The evolution of nuclear strategy /","Freedman, Lawrence.",1989,"6/30/96","4/23/10",1,134,0,1,"2",FALSE,14,"1",0
"13",97271,"X006095064","UG743 .P77 1986","ALDERMAN","Promise or peril, the Strategic Defense Initiative : thirty-five essays by statesmen, scholars and strategic analysts /","",1986,"6/28/96","4/12/13",12,121,1,1,"2",FALSE,15,"1",0
"14",630416,"X000552610","UB23 .S8","ALDERMAN","Trial by television;","Straight, Michael Whitney.",1954,"6/29/96","4/21/07",2,133,0,2,"2 17",FALSE,16,"1",0
"15",2580694,"X002784345","U101 .S95 1988b","ALDERMAN","The art of war /","Sunzi,",1988,"7/1/96","8/20/18",5,105,10,1,"2",FALSE,17,"1",0
"16",229685,"X000009517","UA770 .D67","ALDERMAN","Soviet strategy for nuclear war /","Douglass, Joseph D.",1979,"6/28/96","5/16/17",5,106,3,1,"2",FALSE,18,"1",0
"17",684792,"X001217030","U162 .M25 1986","CLEMONS","Makers of modern strategy : from Machiavelli to the nuclear age /","",1986,"6/29/96","9/9/15",13,190,108,2,"2 3 21",FALSE,19,"1",0
"18",516363,"X000142724","UA11 .B7 1965","CLEMONS","Strategy in the missile age /","Brodie, Bernard,",1965,"6/29/96","5/16/14",0,108,1,1,"3",FALSE,20,"1",0
"19",4303499,"X004847630","U52 .K37 2005","CLEMONS","Imperial grunts : the American military on the ground /","Kaplan, Robert D.,",2005,"9/14/05","12/13/18",1,90,94,2,"2 3",FALSE,21,"1",0
"20",2964021,"X004340889","UB345 .A783 A7 1999","ALDERMAN","Arming the state : military conscription in the Middle East and Central Asia, 1775-1925 /","",1999,"11/9/99","10/13/14",3,88,0,1,"2",FALSE,22,"1",0
"21",76196,"X001096459","UA11 .R6 1986b","ALDERMAN","Nations in arms : the theory and practice of territorial defence /","Roberts, Adam,",1986,"6/28/96","7/19/11",1,104,0,1,"2",FALSE,23,"1",0
"22",526310,"X000111658","UB357 .R67","ALDERMAN","Preparing for Ulysses; politics and veterans during World War II,","Ross, Davis R. B.",1969,"6/29/96","8/20/13",6,111,6,2,"2 14",FALSE,24,"1",0
"23",2579898,"X002777226","U101 .S932 1996","ALDERMAN","The complete art of war /","Sunzi,",1996,"7/1/96","6/5/18",2,87,5,1,"2 3",FALSE,25,"1",0
"24",3886308,"X004627867","U856 .S34 E544 2002","ALDERMAN","The nordic scimitar : external relations and the creation of elite ideology /","Engedal, ÿrjan.",2002,"9/20/02","12/5/18",0,70,91,1,"2",FALSE,26,"1",0
"25",3584090,"X004807633","U33 .W44 2004","ALDERMAN","Greek warfare : myths and realities /","Wees, Hans van.",2004,"11/18/04","8/8/18",2,65,2,1,"2",FALSE,27,"1",0
"26",398411,"X000132103","U102 .C65 1976","CLEMONS","On war /","Clausewitz, Carl von,",1976,"6/28/96","4/18/18",20,173,19,2,"2 3",FALSE,29,"1",0
"27",111482,"X000549853","UA500 .V5 1940","ALDERMAN","Historical and pictorial review, National Guard of the Commonwealth of Virginia.","Virginia. National Guard.",1940,"6/28/96","12/17/13",1,102,3,1,"2 10",FALSE,30,"1",0
"28",3730178,"X004522714","U21.2 .W368 2001","ALDERMAN","War in the age of technology : myriad faces of modern armed conflict /","",2001,"6/26/01","12/4/17",3,70,0,1,"2",FALSE,32,"1",0
"29",459534,"X000403438","U27 .D34213 1975 V.3","ALDERMAN","History of the art of war within the framework of political history /","Delbr¸ck, Hans,",1975,"6/29/96","3/4/18",5,130,110,4,"2",TRUE,33,"1",0
"30",595526,"X000125014","UA23 .H95 1957","CLEMONS","The soldier and the state; the theory and politics of civil-military relations.","Huntington, Samuel P.",1957,"6/29/96","11/29/18",4,145,114,2,"2 3 21",FALSE,34,"1",0
"31",1221337,"X000307505","UF767 .B7 1946","ALDERMAN","The absolute weapon:","Brodie, Bernard,",1946,"6/30/96","9/3/15",3,93,0,1,"2",FALSE,35,"1",0
