"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",1324116,"X001499988","VK57 .R43 1987","ALDERMAN","Between the devil and the deep blue sea : merchant seamen, pirates, and the Anglo-American maritime world, 1700-1750 /","Rediker, Marcus",1987,"6/30/96","8/20/18",16,71,11,1,"2 17",FALSE,1,"1",0
"2",3794656,"X004595685","VM16 .M675 1996","ALDERMAN","Greek and Roman oared warships /","Morrison, J. S. (John S.),",1996,"11/26/01","5/2/12",0,50,5,1,"2",FALSE,2,"1",0
"3",2854249,"X004260833","VB321 .U54 S65 1998","ALDERMAN","Blind man's bluff : the untold story of American submarine espionage /","Sontag, Sherry,",1998,"11/16/98","11/13/18",3,46,20,1,"2 3",FALSE,3,"1",0
"4",4320997,"X004943135","VE23 .F53 2005","CLEMONS","One bullet away : the making of a marine officer /","Fick, Nathaniel.",2005,"10/14/05","2/9/18",1,33,37,1,"3",FALSE,4,"1",0
"5",759877,"X001216530","VM351 .W66 1982","ALDERMAN","Wooden boat : an appreciation of the craft /","",1982,"6/29/96","4/5/07",4,61,0,1,"2",FALSE,5,"1",0
"6",140304,"X001585742","V874.3 .F74 1983","ALDERMAN","U.S. aircraft carriers : an illustrated design history /","Friedman, Norman,",1983,"6/28/96","3/7/16",5,48,0,1,"2",FALSE,6,"1",0
"7",421374,"X000359101","V800 .R38","ALDERMAN","British battleships of World War Two : the development and technical history of the Royal Navy's battleships and battlecruisers from 1911 to 1946 /","Raven, Alan.",1976,"6/29/96","5/1/15",3,48,56,1,"2",FALSE,7,"1",0
"8",1230968,"X001423333","VK140 .S4 A3 1972","ALDERMAN","Out of Appledore : the autobiography of a coasting shipmaster and shipowner in the last days of wooden sailing ships /","Slade, W. J. (William James),",1972,"6/30/96","10/6/16",0,45,57,1,"2",FALSE,8,"1",0
"9",1195869,"X000844188","VK549 .W3 1958","ALDERMAN","The art of navigation in England in Elizabethan and early Stuart times.","Waters, David W.,",1958,"6/29/96","10/1/18",1,42,7,1,"2",FALSE,9,"1",0
"10",82025,"X000970188","V765 .C662 1985","ALDERMAN","Conway's All the world's fighting ships, 1906-1921 /","",1985,"6/28/96","9/23/09",4,52,0,1,"2",FALSE,10,"1",0
"11",4747879,"X030279432","VM111 .Z67 2008","ALDERMAN","Innovation and empire in Turkey : Sultan Selim III and the modernisation of the Ottoman Navy /","Zorlu, Tuncay.",2008,"7/23/08","4/13/15",1,25,12,1,"2",FALSE,11,"1",0
"12",2755087,"X004145804","V23 .P24 1997","ALDERMAN","Ships of the world : an historical encyclopedia /","Paine, Lincoln P.",1997,"1/7/98","8/5/10",1,47,0,1,"2",FALSE,12,"1",0
"13",87265,"X000820195","VM365 .F76 1984","ALDERMAN","Submarine design and development /","Friedman, Norman,",1984,"6/28/96","5/1/16",5,42,1,1,"2",FALSE,13,"1",0
"14",4633787,"X030334547","VK1110 .C5 A52","ALDERMAN","The coastwise lights of China : an illustrated account of the Chinese maritime customs lights service /","China. Hai guan zong shui wu si shu.",1932,"9/27/07","5/2/12",0,31,5,1,"2",FALSE,14,"1",0
"15",123699,"X004270199","V825.3 .F74 1982","ALDERMAN","The U.S. destroyers : an illustrated design history /","Friedman, Norman,",1982,"2/1/99","3/25/16",4,37,0,1,"2",FALSE,15,"1",0
"16",7796986,"X032582567","VM615 .S54 2018","ALDERMAN","Coal, steam and ships : engineering, enterprise and empire on the nineteenth-century seas /","Smith, Crosbie,",2018,"11/14/18","11/20/18",0,0,0,1,"2",FALSE,16,"1",0
"17",7745648,"X031814250","VK101 .P6 2018","ALDERMAN","The blue frontier : maritime vision and power in the Qing Empire /","Po, Ronald C.,",2018,"10/3/18","11/15/18",0,0,0,1,"2",FALSE,17,"1",0
"18",7562458,"X032069468","VE23 .G47 2018","ALDERMAN","Fight like a girl : the truth behind how female Marines are trained /","Germano, Kate,",2018,"6/4/18","6/6/18",0,1,0,1,"2",FALSE,18,"1",0
"19",7344742,"X032582420","VA633 .G74 2018","ALDERMAN","Great powers, grand strategies : the new game in the South China Sea /","",2018,"1/19/18","12/13/18",0,0,0,1,"2",FALSE,19,"1",0
"20",7115976,"X031813791","V25 .S73 2017","ALDERMAN","Sea power : the history and geopolitics of the world's oceans /","Stavridis, James,",2017,"7/14/17","9/11/18",0,1,0,1,"2",FALSE,20,"1",0
"21",2041563,"X002184344","V63 .R54 R63 1992","ALDERMAN","The Rickover effect : how one man made a difference /","Rockwell, Theodore.",1992,"6/30/96","6/29/18",0,34,0,1,"2",TRUE,21,"1",0
"22",7295449,"X031818236","V737 .K56 2017","ALDERMAN","Jane Austen's transatlantic sister : the life and letters of Fanny Palmer Austen /","Kindred, Sheila Johnson,",2017,"11/15/17","1/8/18",0,0,0,1,"2",FALSE,22,"1",0
"23",7906,"X000787042","VM144 .M313 1984","ALDERMAN","Merchant sailing ships, 1815-1850 : supremacy of sail /","MacGregor, David R. (David Roy)",1984,"6/28/96","11/24/18",3,33,114,1,"2",FALSE,23,"1",0
"24",2688572,"X004306344","VK221 .B65 1997","ALDERMAN","Black jacks : African American seamen in the age of sail /","Bolster, W. Jeffrey.",1997,"6/14/99","5/12/16",6,62,25,2,"2",FALSE,24,"1",0
"25",216636,"X000159166","V820.5 .G7 R36","ALDERMAN","British cruisers of World War Two /","Raven, Alan.",1980,"6/28/96","3/7/03",1,53,0,1,"2",TRUE,25,"1",0
"26",1913107,"X002049220","VA50 .O36 1991","ALDERMAN","Sacred vessels : the cult of the battleship and the rise of the U.S. Navy /","O'Connell, Robert L.",1991,"6/30/96","9/29/15",2,36,1,1,"2",FALSE,26,"1",0
"27",2754000,"X004140526","VA454 .B8825 1997","ALDERMAN","Warrior to dreadnought : warship development, 1860-1905 /","Brown, D. K. (David K.)",1997,"1/2/98","9/19/11",1,38,0,1,"2",FALSE,27,"1",0
"28",6695165,"X031840859","VK23 .G538 2016","ALDERMAN","To swear like a sailor : maritime culture in America, 1750-1850 /","Gilje, Paul A.,",2016,"3/4/16","2/13/18",0,1,0,1,"2",FALSE,28,"1",0
"29",5744961,"X030841986","V87 .O945 2012","ALDERMAN","No easy day : the autobiography of a Navy SEAL : the firsthand account of the mission that killed Osama bin Laden /","Owen, Mark.",2012,"8/31/12","7/12/18",1,13,34,2,"2",FALSE,29,"1",0
"30",1187140,"X001083001","V45 .G84","ALDERMAN","Gunpowder and galleys : changing technology and Mediterranean warfare at sea in the sixteenth century /","Guilmartin, John F., (John Francis),",1974,"6/29/96","8/9/17",4,33,2,1,"2",FALSE,30,"1",0
"31",6722268,"X031761033","VA10 .G55 2016","ALDERMAN","Global responses to maritime violence : cooperation and collective action /","",2016,"4/25/16","5/7/17",0,1,1,1,"2",FALSE,31,"1",0
"32",6893010,"X031759208","VM18 .V68 2011","ALDERMAN","Ship /","Votolato, Gregory.",2011,"10/7/16","10/19/16",0,1,0,1,"2",FALSE,32,"1",0
"33",6438015,"X031715909","VM383 .U5 M39 2014","ALDERMAN","SS United States : Red, White & Blue Ribband, Forever /","Maxtone-Graham, John",2014,"12/3/14","6/13/16",0,4,4,1,"2",FALSE,33,"1",0
"34",6821050,"X031758751","VK865 .P5713 2013","ALDERMAN","The book of Bahriye /","PirÓ Reis,",2013,"8/1/16","8/22/16",0,1,0,1,"2",FALSE,34,"1",0
"35",6268896,"X031634747","VK885 .O24 2013","ALDERMAN","Oceans connect : reflections on water worlds across time and space /","""Oceans Connect: New Directions in Maritime Studies"" (Conference) author.",2013,"6/12/14","10/9/16",0,4,8,1,"2",FALSE,36,"1",0
"36",4034391,"X004773144","VE25 .Z56 C47 2004","ALDERMAN","Battle ready /","Clancy, Tom,",2004,"6/1/04","1/15/07",1,32,0,1,"2 3 21",TRUE,37,"1",0
"37",4214165,"X004809251","VA454 .H55 2004","ALDERMAN","To rule the waves : how the British Navy shaped the modern world /","Herman, Arthur,",2004,"1/3/05","8/4/14",4,21,1,1,"2 3",FALSE,39,"1",0
"38",1289726,"X006095273","V210 .M54 1987","ALDERMAN","Modern submarine warfare /","Miller, David (David M. O.)",1987,"6/30/96","11/30/15",3,33,0,1,"2",FALSE,40,"1",0
"39",1273261,"X030231763","VM140 .F9 T6 1891","ALDERMAN","Robert Fulton: his life and its results,","Thurston, Robert Henry,",1891,"1/20/18","1/26/18",0,17,8,2,"2",TRUE,41,"1",0
"40",4885093,"X030506453","V37 .H355 2009","ALDERMAN","Lords of the sea : the epic story of the Athenian navy and the birth of democracy /","Hale, John R.,",2009,"6/23/09","11/28/17",0,9,1,1,"2",FALSE,42,"1",0
"41",264745,"X000062824","V830 .F6213","ALDERMAN","Fast fighting boats, 1870-1945 : their design, construction, and use /","Fock, Harald.",1978,"6/28/96","2/16/17",6,31,0,1,"2",FALSE,43,"1",0
"42",2067288,"X002213328","VB313 .M35 1991","ALDERMAN","A gentlemanly and honorable profession : the creation of the U.S. naval officer corps, 1794-1815 /","McKee, Christopher,",1991,"6/30/96","11/4/14",2,34,2,2,"2",FALSE,44,"1",0
"43",4748394,"X030279320","V46 .C76 2008","ALDERMAN","Empires of the sea : the final battle for the Mediterranean, 1521-1580 /","Crowley, Roger,",2008,"7/25/08","8/10/17",2,10,2,1,"2",FALSE,45,"1",0
"44",1285460,"X001463022","VB324 .G38 M87 1988b","ALDERMAN","Perverts by official order : the campaign against homosexuals by the United States Navy /","Murphy, Lawrence R.,",1988,"6/30/96","12/9/08",2,40,0,1,"2",FALSE,46,"1",0
"45",5353318,"X030942921","VG87 .W37 2011","CLEMONS","SEAL Team Six : memoirs of an elite Navy seal sniper /","Wasdin, Howard E.",2011,"5/20/11","4/12/18",0,4,4,1,"3 10",FALSE,47,"1",0
"46",388686,"X000724809","V39 .V53","ALDERMAN","Die rˆmische Flotte : classis Romana /","Viereck, Hans D. L.",1975,"6/28/96","10/19/16",1,30,5,1,"2",FALSE,48,"1",0
"47",3795937,"X004552827","VG87 .C68 2001","ALDERMAN","The warrior elite : the forging of Seal Class 228 /","Couch, Dick,",2001,"11/29/01","8/26/18",1,18,36,1,"2 3",FALSE,49,"1",0
"48",1186934,"X001183158","V23 .B75 1942","ALDERMAN","A glossary of sea terms,","Bradford, Gershom,",1942,"6/29/96","7/12/16",3,31,0,1,"2",FALSE,50,"1",0
"49",1998801,"X002215093","VG87 .K45 1992","ALDERMAN","Brave men, dark waters : the untold story of the Navy SEALS /","Kelly, Orr.",1992,"6/30/96","2/20/15",4,52,0,2,"2",FALSE,51,"1",0
"50",6366468,"X031655853","VK16 .T37 2013","ALDERMAN","Maritime networks in the Mycenaean world /","Tartaron, Thomas F.",2013,"7/16/14","3/8/16",0,1,5,1,"2",FALSE,52,"1",0
