Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Number of Items
1270571,2 3 4 14,CLEMONS,BY-REQUEST,DS 735 .C3145 Order AFN1845-002,1978,The Cambridge history of China /,,1270571-25001,BOOK,5/14/98,1/1/00,BY-REQUEST,0,0,0,1
2094537,2,ALDERMAN,STACKS,DS 751.72 .L58 1973 v.1,1973,Liao shi hui bian /,,X032086024,BOOK,6/30/96,1/1/00,STACKS,0,0,0,1
2094537,2,ALDERMAN,STACKS,DS 751.72 .L58 1973 v.10,1973,Liao shi hui bian /,,X032086033,BOOK,4/20/18,1/1/00,STACKS,0,0,0,1
2094537,2,ALDERMAN,STACKS,DS 751.72 .L58 1973 v.11,1973,Liao shi hui bian /,,X032086034,BOOK,4/20/18,1/1/00,STACKS,0,0,0,1
2094537,2,ALDERMAN,STACKS,DS 751.72 .L58 1973 v.2,1973,Liao shi hui bian /,,X032086025,BOOK,4/20/18,1/1/00,STACKS,0,0,0,1
2094537,2,ALDERMAN,STACKS,DS 751.72 .L58 1973 v.3,1973,Liao shi hui bian /,,X032086026,BOOK,4/20/18,1/1/00,STACKS,0,0,0,1
2094537,2,ALDERMAN,STACKS,DS 751.72 .L58 1973 v.4,1973,Liao shi hui bian /,,X032086027,BOOK,4/20/18,1/1/00,STACKS,0,0,0,1
2094537,2,ALDERMAN,STACKS,DS 751.72 .L58 1973 v.5,1973,Liao shi hui bian /,,X032086028,BOOK,4/20/18,1/1/00,STACKS,0,0,0,1
2094537,2,ALDERMAN,STACKS,DS 751.72 .L58 1973 v.6,1973,Liao shi hui bian /,,X032086029,BOOK,4/20/18,1/1/00,STACKS,0,0,0,1
2094537,2,ALDERMAN,STACKS,DS 751.72 .L58 1973 v.7,1973,Liao shi hui bian /,,X032086030,BOOK,4/20/18,1/1/00,STACKS,0,0,0,1
2094537,2,ALDERMAN,STACKS,DS 751.72 .L58 1973 v.8,1973,Liao shi hui bian /,,X032086031,BOOK,4/20/18,1/1/00,STACKS,0,0,0,1
2094537,2,ALDERMAN,STACKS,DS 751.72 .L58 1973 v.9,1973,Liao shi hui bian /,,X032086032,BOOK,4/20/18,1/1/00,STACKS,0,0,0,1
970329,2,ALDERMAN,STACKS,DS 753.5 .L43 1970 v.1,1970,"Guo chao lie qing ji : [165 juan, fu suo yin] /","Lei, Li,",X032086076,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1
970329,2,ALDERMAN,STACKS,DS 753.5 .L43 1970 v.10,1970,"Guo chao lie qing ji : [165 juan, fu suo yin] /","Lei, Li,",X032086085,BOOK,4/26/18,1/1/00,STACKS,0,0,0,1
970329,2,ALDERMAN,STACKS,DS 753.5 .L43 1970 v.11,1970,"Guo chao lie qing ji : [165 juan, fu suo yin] /","Lei, Li,",X032086086,BOOK,4/26/18,1/1/00,STACKS,0,0,0,1
