Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Number of Items
1854906,2,ALDERMAN,STACKS,PL 1068 .C6 H36 1991 v.1,1991,Han yu xin jiao cheng /,,X002672666,BOOK,6/30/96,9/25/07,STACKS,0,0,0,1
1854906,2,ALDERMAN,STACKS,PL 1068 .C6 H36 1991 v.2,1991,Han yu xin jiao cheng /,,X002672709,BOOK,6/30/96,9/25/07,STACKS,0,0,0,1
1854906,2,ALDERMAN,STACKS,PL 1068 .C6 H36 1991 v.3,1991,Han yu xin jiao cheng /,,X002672660,BOOK,6/30/96,9/25/07,STACKS,0,0,0,1
1854906,2,ALDERMAN,STACKS,PL 1068 .C6 H36 1991 v.4,1991,Han yu xin jiao cheng /,,X002672947,BOOK,6/30/96,9/25/07,STACKS,0,0,0,1
1846602,2,ALDERMAN,STACKS,PL 1071 .H36 v.1,1986,Han yu yan jiu /,,X001978824,BOOK,6/30/96,9/25/07,STACKS,0,0,0,1
1846602,2,ALDERMAN,STACKS,PL 1071 .H36 v.2,1986,Han yu yan jiu /,,X001978846,BOOK,6/30/96,9/25/07,STACKS,0,0,0,1
1854889,2,ALDERMAN,STACKS,PL 1071.H284 1991 v.1,1991,Han zi Han yu xue shu yan tao hui lun wen ji /,Han zi Han yu xue shu yan tao hui,X002213029,BOOK,6/30/96,9/26/07,STACKS,0,0,0,1
1854889,2,ALDERMAN,STACKS,PL 1071.H284 1991 v.2,1991,Han zi Han yu xue shu yan tao hui lun wen ji /,Han zi Han yu xue shu yan tao hui,X002213001,BOOK,6/30/96,9/26/07,STACKS,0,0,0,1
2022335,2,ALDERMAN,STACKS,PL 1074.5 .C468 V.2,1900,Zhong wen zi xun jiao huan ma = CCCII /,,X002123061,BOOK,6/30/96,9/26/07,STACKS,0,0,0,1
1763670,2,ALDERMAN,STACKS,PL 1113 .L542 1985 v.3,1985,Shi yüng Han yu ke ben = Practical Chinese reader /,"Liu, Xun.",X001831625,BOOK,6/30/96,6/29/09,STACKS,0,0,0,1
1763670,2,ALDERMAN,STACKS,PL 1113 .L542 1985 v.4,1985,Shi yüng Han yu ke ben = Practical Chinese reader /,"Liu, Xun.",X001831614,BOOK,6/30/96,9/26/07,STACKS,0,0,1,1
