Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Number of Items
493174,3,CLEMONS,BY-REQUEST,PR 4030 1976 v.1,1976,The complete novels of Jane Austen /,"Austen, Jane,",X000043057,BOOK,6/29/96,3/5/10,BY-REQUEST,0,0,2,1
493174,3,CLEMONS,BY-REQUEST,PR 4030 1976 v.2,1976,The complete novels of Jane Austen /,"Austen, Jane,",X000043004,BOOK,6/29/96,3/5/10,BY-REQUEST,0,0,1,1
5525831,2,ALDERMAN,STACKS,PR 4144 .J43 S553 2011,2011,Blake's Jerusalem as visionary theatre : entering the divine body /,"Sklar, Susanne Marie,",X031188282,BOOK,1/12/12,5/9/16,STACKS,1,3,0,1
527699,3,CLEMONS,BY-REQUEST,PR 4146 .G5 1969 v.1,1969,"Life of William Blake, with selections from his poems and other writings.","Gilchrist, Alexander,",X000183874,BOOK,6/29/96,11/7/08,BY-REQUEST,0,0,3,1
527699,3,CLEMONS,BY-REQUEST,PR 4146 .G5 1969 v.2,1969,"Life of William Blake, with selections from his poems and other writings.","Gilchrist, Alexander,",X000177749,BOOK,6/29/96,11/7/08,BY-REQUEST,0,0,3,1
766486,2,ALDERMAN,STACKS,PR 4166 .A44 1987 v.1,1987,An edition of the early writings of Charlotte Brontë /,"Brontë, Charlotte,",X001268700,BOOK,6/29/96,5/26/18,CHECKEDOUT,4,5,3,1
766486,2,ALDERMAN,STACKS,PR 4166 .A44 1987 v.2 pt.1,1987,An edition of the early writings of Charlotte Brontë /,"Brontë, Charlotte,",X002063634,BOOK,6/29/96,5/12/18,STACKS,1,17,2,1
766486,2,ALDERMAN,STACKS,PR 4166 .A44 1987 v.2 pt.2,1987,An edition of the early writings of Charlotte Brontë /,"Brontë, Charlotte,",X002063632,BOOK,6/29/96,1/21/15,STACKS,1,3,2,1
309822,2 3,CLEMONS,BY-REQUEST,PR 4300 1896 .E4 v.3,1896,"The poetry of Robert Burns,","Burns, Robert,",X000943473,BOOK,6/28/96,10/7/15,BY-REQUEST,0,0,1,1
626622,3,CLEMONS,BY-REQUEST,PR 4381 .A3 M35 1973b,1973,Byron's letters and journals : the complete and unexpurgated text of all the letters available in manuscript and the full printed version of all others /,"Byron, George Gordon Byron,",626622-1001,BOOK,6/29/96,1/1/00,BY-REQUEST,0,0,0,1
812713,2 3 14,CLEMONS,BY-REQUEST,PR 4470 .F69 order-001,1969,The Collected works of Samuel Taylor Coleridge.,"Coleridge, Samuel Taylor,",812713-42001,BOOK,11/5/96,1/1/00,BY-REQUEST,0,0,0,1
495561,2 14,ALDERMAN,STACKS,PR 4483 .A25 1957b v.1 pt.1,1957,The Notebooks of Samuel Taylor Coleridge /,"Coleridge, Samuel Taylor,",XX000099910,BOOK,9/3/02,1/1/00,STACKS,0,0,0,1
495561,2 14,ALDERMAN,STACKS,PR 4483 .A25 1957b v.1 pt.1,1957,The Notebooks of Samuel Taylor Coleridge /,"Coleridge, Samuel Taylor,",XX000099912,BOOK,9/3/02,1/1/00,STACKS,0,0,0,1
495561,2 14,ALDERMAN,STACKS,PR 4483 .A25 1957b v.1 pt.2,1957,The Notebooks of Samuel Taylor Coleridge /,"Coleridge, Samuel Taylor,",XX000099906,BOOK,9/3/02,1/1/00,STACKS,0,0,0,1
495561,2 14,ALDERMAN,STACKS,PR 4483 .A25 1957b v.1 pt.2,1957,The Notebooks of Samuel Taylor Coleridge /,"Coleridge, Samuel Taylor,",XX000099911,BOOK,9/3/02,1/1/00,STACKS,0,0,0,1
495561,2 14,ALDERMAN,STACKS,PR 4483 .A25 1957b v.1 pt.2,1957,The Notebooks of Samuel Taylor Coleridge /,"Coleridge, Samuel Taylor,",XX000099913,BOOK,9/3/02,1/1/00,STACKS,0,0,0,1
