Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Number of Items
1379925,2 3,CLEMONS,BY-REQUEST,DA 620 .D31 1963 v.1,1963,A tour through the whole island of Great Britain.,"Defoe, Daniel,",X000174971,BOOK,6/30/96,2/2/12,BY-REQUEST,1,0,1,1
1379925,2 3,ALDERMAN,STACKS,DA 620 .D31 1963 v.2,1963,A tour through the whole island of Great Britain.,"Defoe, Daniel,",X000387337,BOOK,6/30/96,1/25/07,STACKS,0,0,3,1
1379925,2 3,CLEMONS,BY-REQUEST,DA 620 .D31 1963 v.2,1963,A tour through the whole island of Great Britain.,"Defoe, Daniel,",X000174970,BOOK,6/30/96,2/2/12,BY-REQUEST,1,0,0,1
630757,2,ALDERMAN,STACKS,DA 670 .S7 V6 1908 v.1,1908,"The Victoria history of the county of Stafford,",,X002742389,BOOK-NC,6/29/96,1/1/00,STACKS,0,0,0,1
630757,2,ALDERMAN,STACKS,DA 670 .S7 V6 1908 v.10,1908,"The Victoria history of the county of Stafford,",,X030357151,BOOK,2/14/08,1/1/00,STACKS,0,0,0,1
630757,2,ALDERMAN,STACKS,DA 670 .S7 V6 1908 v.14,1908,"The Victoria history of the county of Stafford,",,X001842180,BOOK-NC,6/29/96,1/1/00,STACKS,0,0,3,1
630757,2,ALDERMAN,STACKS,DA 670 .S7 V6 1908 v.17,1908,"The Victoria history of the county of Stafford,",,X002742401,BOOK-NC,6/29/96,1/1/00,STACKS,0,0,0,1
630757,2,ALDERMAN,STACKS,DA 670 .S7 V6 1908 v.2,1908,"The Victoria history of the county of Stafford,",,X002742391,BOOK-NC,6/29/96,1/1/00,STACKS,0,0,0,1
630757,2,ALDERMAN,STACKS,DA 670 .S7 V6 1908 v.20,1908,"The Victoria history of the county of Stafford,",,X000868398,BOOK-NC,6/29/96,1/1/00,STACKS,0,0,4,1
630757,2,ALDERMAN,STACKS,DA 670 .S7 V6 1908 v.3,1908,"The Victoria history of the county of Stafford,",,X002742393,BOOK-NC,6/29/96,1/1/00,STACKS,0,0,5,1
630757,2,ALDERMAN,STACKS,DA 670 .S7 V6 1908 v.4,1908,"The Victoria history of the county of Stafford,",,X002742395,BOOK-NC,6/29/96,1/1/00,STACKS,0,0,1,1
630757,2,ALDERMAN,STACKS,DA 670 .S7 V6 1908 v.5,1908,"The Victoria history of the county of Stafford,",,X002742397,BOOK-NC,6/29/96,1/1/00,STACKS,0,0,2,1
630757,2,ALDERMAN,STACKS,DA 670 .S7 V6 1908 v.6,1908,"The Victoria history of the county of Stafford,",,X000040864,BOOK-NC,6/29/96,1/1/00,STACKS,0,0,0,1
630757,2,ALDERMAN,STACKS,DA 670 .S7 V6 1908 v.7,1908,"The Victoria history of the county of Stafford,",,X002711452,BOOK-NC,6/29/96,1/31/11,STACKS,0,0,0,1
630757,2,ALDERMAN,STACKS,DA 670 .S7 V6 1908 v.8,1908,"The Victoria history of the county of Stafford,",,X002742399,BOOK-NC,6/29/96,1/1/00,STACKS,0,0,0,1
630757,2,ALDERMAN,STACKS,DA 670 .S7 V6 1908 v.9,1908,"The Victoria history of the county of Stafford,",,X004786791,BOOK,5/13/04,1/1/00,STACKS,0,0,0,1
941384,2,ALDERMAN,STACKS,DA1 .A1 D8 1956,1956,English historical scholarship in the sixteenth and seventeenth centuries.,Dugdale Society.,X000374433,BOOK,6/29/96,5/25/12,STACKS,0,0,2,1
4596443,2,ALDERMAN,STACKS,DA1 .B43 2007,2007,Writing local history /,"Beckett, J. V.",X004832573,BOOK,6/5/07,6/11/08,STACKS,0,0,0,1
1302462,2,ALDERMAN,STACKS,DA1 .B48 1987,1987,Church and parish : an introduction for local historians /,"Bettey, J. H.",X001489477,BOOK,6/30/96,6/21/18,CHECKEDOUT,0,82,0,1
1602875,2,ALDERMAN,STACKS,DA1 .B69 1987,1987,Local directories /,"Boyle, William G.",X001617231,BOOK,6/30/96,6/11/08,STACKS,0,0,0,1
4409375,2,ALDERMAN,STACKS,DA1 .B79 2006,2006,'No historie so meete' : gentry culture and the development of local history in Elizabethan and early Stuart England /,"Broadway, Jan.",X004834238,BOOK,10/23/06,6/11/13,STACKS,0,0,0,1
168706,2,ALDERMAN,STACKS,DA1 .B87,1981,A liberal descent : Victorian historians and the English past /,"Burrow, J. W. (John Wyon),",X000354373,BOOK,6/28/96,6/11/08,STACKS,0,0,2,1
536597,3,CLEMONS,BY-REQUEST,DA1 .B875 1970,1970,"The Englishman and his history,","Butterfield, Herbert,",X000113822,BOOK,6/29/96,4/17/13,BY-REQUEST,1,0,1,1
1362029,2,ALDERMAN,STACKS,DA1 .C35 1989b,1989,A companion to local history research /,"Campbell-Kease, John.",X001605030,BOOK,6/30/96,6/11/08,STACKS,0,0,1,1
76474,2,ALDERMAN,STACKS,DA1 .C44 1985,1985,Clio's mirror : historiography in Britain and the Netherlands /,,X001004696,BOOK,6/28/96,3/25/13,CHECKEDOUT,1,0,3,1
4672737,2,ALDERMAN,STACKS,DA1 .C55 2007,2007,"Clio's daughters : British women making history, 1790-1899 /",,X030255792,BOOK,12/11/07,3/12/18,STACKS,0,0,0,1
2893171,2,ALDERMAN,STACKS,DA1 .C85 1999,1999,English pasts : essays in history and culture /,"Collini, Stefan,",X006018290,BOOK,3/22/99,12/5/16,CHECKEDOUT,2,3,3,1
92255,2,ALDERMAN,STACKS,DA1 .E3 1985,1985,Micro-history : local history and computing projects /,"Edgington, Sue.",X000996645,BOOK,6/28/96,6/11/08,STACKS,0,0,0,1
2111546,2,ALDERMAN,STACKS,DA1 .E44 1992,1992,Researching the country house : a guide for local historians /,"Elton, Arthur,",X002231563,BOOK,6/30/96,10/4/10,STACKS,0,0,0,1
941385,2 17,ALDERMAN,STACKS,DA1 .E45 1974,1974,Archives and local history /,"Emmison, F. G. (Frederick George),",X000212666,BOOK,6/29/96,5/14/13,STACKS,1,1,0,1
2960986,2,ALDERMAN,REFERENCE,DA1 .E52 1999,1999,The encyclopedia of Britain.,,X004421727,BOOK,11/9/00,1/1/00,REFERENCE,0,0,5,1
2641868,2,ALDERMAN,STACKS,DA1 .F45 1996,1996,"From Belloc to Churchill : private scholars, public culture, and the crisis of British liberalism, 1900-1939 /","Feske, Victor.",X004071011,BOOK,1/16/97,4/7/09,STACKS,0,0,1,1
941386,2,ALDERMAN,STACKS,DA1 .F8 1966,1966,Changing views on British history;,"Furber, Elizabeth Chapin,",X000091320,BOOK,6/29/96,12/19/13,STACKS,1,0,1,1
941387,2,ALDERMAN,STACKS,DA1 .G18,1951,Historical research in medieval England.,"Galbraith, V. H. (Vivian Hunter),",X000091322,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1
5305,2,ALDERMAN,STACKS,DA1 .G2 1982,1982,Kings and chroniclers : essays in English medieval history /,"Galbraith, V. H. (Vivian Hunter),",X000994563,BOOK,6/28/96,10/5/09,STACKS,0,0,3,1
