"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","MODEL","LiaisonRecommendation"
"1",5406011,"X030811448","BR563 .N4 C648 2011","CLEMONS","The cross and the lynching tree /","Cone, James H.",2011,"8/31/11","5/15/18",1,24,11,1,"3",TRUE,"1",0
"2",4357738,"X004913255","BR115 .C3 W413 2002","ALDERMAN","The Protestant ethic and the spirit of capitalism /","Weber, Max,",2001,"3/28/06","3/29/18",4,20,5,1,"2",FALSE,"1",0
"3",5369104,"X030946967","BR115 .N87 W57 2011","ALDERMAN","Food and faith : a theology of eating /","Wirzba, Norman.",2011,"7/7/11","6/9/18",0,15,29,1,"2",FALSE,"1",0
"4",3786951,"X031604756","BR377.5 .M67 D84 2001","CLEMONS","The voices of Morebath : Reformation and rebellion in an English village /","Duffy, Eamon.",2001,"8/13/13","10/1/14",0,15,0,1,"3 10",TRUE,"1",0
"5",5316956,"X030816322","BR375 .W35 2011","ALDERMAN","The reformation of the landscape : religion, identity, and memory in early modern Britain and Ireland /","Walsham, Alexandra,",2011,"4/1/11","5/16/18",2,14,2,1,"2",FALSE,"1",0
"6",3730626,"X004523380","BR65 .A62 S745 2001","ALDERMAN","After Augustine : the meditative reader and the text /","Stock, Brian.",2001,"7/19/01","5/14/18",3,16,7,1,"2",FALSE,"1",0
"7",5097443,"X030734909","BR517 .H86 2010","ALDERMAN","To change the world : the irony, tragedy, and possibility of Christianity in the late modern world /","Hunter, James Davison,",2010,"8/17/10","1/25/18",4,14,5,1,"2",FALSE,"1",0
"8",5722890,"X031231268","BR162.3 .W55 2012","ALDERMAN","The first thousand years : a global history of Christianity /","Wilken, Robert Louis,",2012,"7/30/12","6/26/17",4,13,6,1,"2",FALSE,"1",0
"9",5369097,"X030946928","BR270 .B96 2011","ALDERMAN","Christian materiality : an essay on religion in late medieval Europe /","Bynum, Caroline Walker.",2011,"7/7/11","5/26/18",8,13,8,1,"2",FALSE,"1",0
"10",5254030,"X030701439","BR555 .C2 D63 2011","ALDERMAN","From Bible belt to sunbelt : plain-folk religion, grassroots politics, and the rise of evangelical conservatism /","Dochuk, Darren.",2011,"11/19/10","6/13/18",2,13,4,1,"2",TRUE,"1",0
"11",6446267,"X031650012","BR162.3 .M33 2015","ALDERMAN","Medieval Christianity : a new history /","Madigan, Kevin,",2015,"1/16/15","2/2/18",2,12,9,1,"2",FALSE,"1",0
"12",2080620,"X002159040","BR742 .D84 1992","ALDERMAN","The stripping of the altars : traditional religion in England, 1400-1580 /","Duffy, Eamon.",1992,"6/30/96","4/10/18",23,27,23,2,"2",FALSE,"1",0
"13",4778776,"X030456950","BR115 .C3 W413 2009","ALDERMAN","The Protestant ethic and the spirit of capitalism with other writings on the rise of the West /","Weber, Max,",2009,"9/30/08","6/12/18",4,13,7,1,"2",FALSE,"1",0
"14",5258039,"X030743880","BR115 .P7 M31677 2010","ALDERMAN","The republic of grace : Augustinian thoughts for dark times /","Mathewes, Charles T.,",2010,"12/15/10","6/21/18",2,12,8,1,"2",FALSE,"1",0
"15",4826478,"X030470179","BR517 .K67 2009","ALDERMAN","Acts of conscience : Christian nonviolence and modern American democracy /","Kosek, Joseph Kip.",2009,"3/3/09","5/13/18",1,12,10,1,"2",FALSE,"1",0
"16",6071976,"X031613483","BR525 .H63 2013","ALDERMAN","After cloven tongues of fire : Protestant liberalism in modern American history /","Hollinger, David A.",2013,"5/30/13","5/22/18",3,11,5,1,"2",FALSE,"1",0
"17",336477,"X000042496","BR125 .L67","CLEMONS","The Screwtape letters,","Lewis, C. S. (Clive Staples),",1942,"6/28/96","4/1/18",4,16,12,1,"3",FALSE,"1",0
"18",5843534,"X030845213","BR65 .A65 A845 2012","ALDERMAN","Augustine's City of God : a critical guide /","",2012,"12/8/12","6/27/18",0,11,22,1,"2",FALSE,"1",0
"19",4383169,"X004836762","BR100 .K5216 F42 2006","ALDERMAN","Fear and trembling /","Kierkegaard, Søren,",2006,"7/26/06","6/25/18",5,12,24,1,"2",TRUE,"1",0
"20",4299345,"X004919153","BR563 .N4 R25 2004","CLEMONS","Slave religion : the ""invisible institution"" in the antebellum South /","Raboteau, Albert J.",2004,"8/22/05","3/29/18",4,12,19,1,"3",TRUE,"1",0
"21",4890007,"X030565926","BR115 .C3 W413 2009","ALDERMAN","The Protestant ethic and the spirit of capitalism : the Talcott Parsons translation interpretations /","Weber, Max,",2009,"7/9/09","6/14/18",0,14,9,2,"2 3",FALSE,"1",0
