"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","KeepOnGrounds"
"1",1270571,"1270571-25001","DS 735 .C3145 Order AFN1845-002","CLEMONS","The Cambridge history of China /","",1978,"5/14/98","1/1/00",79,12,53,18,"2 3 4 14",FALSE,0
"2",2094537,"X032086024","DS 751.72 .L58 1973 v.1","ALDERMAN","Liao shi hui bian /","",1973,"6/30/96","1/1/00",0,0,0,11,"2",TRUE,0
"3",970329,"X032086076","DS 753.5 .L43 1970 v.1","ALDERMAN","Guo chao lie qing ji : [165 juan, fu suo yin] /","Lei, Li,",1970,"6/29/96","1/1/00",0,0,0,25,"2",TRUE,0
"4",2073533,"X030685020","DS 764.23 .L5 A2 1985 v.1","ALDERMAN","Li Hongzhang quan ji /","Li, Hongzhang,",1985,"6/30/96","1/20/11",0,0,0,3,"2",TRUE,0
"5",5563895,"X031056964","DS 795 .J59 1971","ALDERMAN","Jiu du wen wu lüe = History of the city of Peking.","",1971,"3/1/12","1/1/00",1,0,0,1,"2",FALSE,0
"6",2018570,"X002067583","DS 799.693 .T36 1991 v.1","ALDERMAN","Taiwan zong du fu lu jun mu liao li shi cao an : Mingzhi 28 nian zhi Mingzhi 38 nian, xi yuan 1895 nian zhi 1905 nian /","",1991,"6/30/96","1/1/00",0,0,0,2,"2",TRUE,0
"7",1861088,"1861088-1001","DS 799.82 .L44 L43 1989","ALDERMAN","Lei Zhen quan ji /","",1989,"6/30/96","1/1/00",0,0,0,1,"2",FALSE,0
"8",1839995,"X004786383","DS 799.82 .L44 L43 1989 v.1","ALDERMAN","Lei Zhen yu wo : ji nian ji /","",1989,"6/30/96","4/10/09",2,0,0,2,"2",TRUE,0
"9",1839998,"X004786381","DS 799.82 .L44 L43 1989 v.10","ALDERMAN","Wo di xue sheng shi dai : hui yi lu /","Lei, Zhen,",1989,"6/30/96","4/10/09",2,0,0,2,"2",TRUE,0
"10",1839945,"X004786379","DS 799.82 .L44 L43 1989 v.11","ALDERMAN","Lei an hui yi /","Lei, Zhen,",1989,"6/30/96","4/10/09",3,0,0,2,"2",TRUE,0
"11",1828192,"X001859804","DS 799.82 .L44 L43 1989 v.14","ALDERMAN","Lei Zhen yu zheng dang zheng zhi /","Lei, Zhen,",1989,"6/30/96","4/10/09",1,0,0,1,"2",TRUE,0
"12",1827588,"X001859838","DS 799.82 .L44 L43 1989 v.15","ALDERMAN","Lei Zhen yu min zhu xian zheng /","Lei, Zhen,",1989,"6/30/96","4/10/09",1,0,0,1,"2",TRUE,0
"13",1839943,"X001962617","DS 799.82 .L44 L43 1989 v.17","ALDERMAN","Lei Zhen yu? zi you ren quan /","Lei, Zhen,",1989,"6/30/96","4/10/09",1,0,0,1,"2",TRUE,0
"14",1738911,"X001811419","DS 799.82 .L44 L43 1989 v.29","ALDERMAN","Lei Zhen shu xin ji.","Lei, Zhen,",1989,"6/30/96","4/10/09",1,0,0,1,"2",TRUE,0
"15",1674734,"X004786169","DS 799.82 .L44 L43 1989 v.31","ALDERMAN","Lei Zhen ri ji /","Lei, Zhen,",1989,"6/30/96","11/13/17",3,0,0,3,"2",TRUE,0
"16",2022777,"X031886185","DS 799.83 .H78 1980","ALDERMAN","Xu Fang wen cun /","Xu, Fang,",1980,"6/30/96","1/1/00",0,0,0,1,"2",FALSE,0
"17",2522846,"2522846-1001","DS701 .C7271 v.26 no.1","ALDERMAN","The intellectual origins of Guomindang radicalization in the early 1920s /","Lü, Fangshang.",1992,"7/1/96","1/1/00",0,0,0,1,"2",TRUE,0
"18",2522847,"2522847-1001","DS701 .C7271 v.26 no.2-3","ALDERMAN","Wang Shiwei and ""wild lilies"" : rectification and purges in the Chinese Communist Party, 1942-1944 /","Dai, Qing.",1993,"7/1/96","1/1/00",0,0,0,1,"2",TRUE,0
"19",2522843,"2522843-1001","DS701 .C7271 v.27 no.1-2","ALDERMAN","Shanghai social movements, 1919-1949 /","",1993,"7/1/96","1/1/00",0,0,0,1,"2",TRUE,0
"20",5499509,"5499509-2001","DS701 .C7271 v.27 no.3-4","ALDERMAN","Industrial reformers in republican China /","Porter, Robin.",1994,"7/1/96","1/1/00",0,0,0,1,"2",TRUE,0
"21",491641,"X000289352","DS701 .I525 1973","ALDERMAN","China in the seventies /","International China Conference",1975,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,0
"22",645326,"X000531966","DS702 .C48 1982","ALDERMAN","Chinese social and economic history from the Song to 1900 : report of the American delegation to a Sino-American Symposium, Beijing, 26 October-1 November 1980 /","",1982,"6/29/96","11/30/12",1,1,0,1,"2",FALSE,0
"23",382575,"X000702720","DS702 .C6 1974","ALDERMAN","La mission française de Pékin aux XVIIe et XVIIIe siècles : actes du Colloque international de sinologie, Centre de recherches interdisciplinaire de Chantilly, 20-22 septembre 1974.","Colloque international de sinologie",1976,"6/28/96","11/10/07",1,0,0,1,"2",FALSE,0
"24",58368,"X000956598","DS702 .C6 1983","ALDERMAN","Appréciation par l'Europe de la tradition chinoise : à partir du XVIIe siècle : actes du IIIe Colloque international de sinologie /","Colloque international de sinologie",1983,"6/28/96","1/1/00",1,0,0,1,"2",FALSE,0
"25",2649384,"X004101956","DS702 .H35 1995 v.1","ALDERMAN","Han xue yan jiu zhi hui gu yu qian zhan : Xinjiapo guo li da xue Zhong wen xi zhu ban guo ji Han xue hui yi lun wen xuan ji /","International Conference on Chinese Studies: Retrospect and Prospect",1995,"2/11/97","3/4/09",1,0,0,2,"2",TRUE,0
"26",4858828,"X031857632","DS702 .I548 1985","ALDERMAN","Di 16 jie Guo ji li shi ke xue da hui Zhongguo xue zhe lun wen ji /","International Congress of Historical Sciences",1985,"4/7/09","1/1/00",0,0,0,1,"2",FALSE,0
"27",5087406,"X030614768","DS702 .J523 2007 v.1","ALDERMAN","Ji diao yu bian zou : qi zhi er shi shi ji de Zhongguo /","""Ji diao yu bian zou : qi zhi er shi shi ji de Zhongguo"" guo ji yan tao hui",2008,"2/3/10","5/10/14",1,2,0,3,"2",TRUE,0
"28",382444,"X000498216","DS702 .R43","ALDERMAN","Reform in nineteenth-century China /","",1976,"6/28/96","5/3/17",1,1,0,1,"2",FALSE,0
"29",292909,"X000075905","DS702 .S57 1978","ALDERMAN","Chinese communism in the 1970s.","Sino-American Conference on Mainland China",1978,"6/28/96","1/1/00",0,0,0,1,"2",FALSE,0
"30",467329,"X031857631","DS703 .C47 1975","ALDERMAN","Documents of the first session of the fourth National People's Congress of the People's Republic of China.","China. Quan guo ren min dai biao da hui.",1975,"6/29/96","1/1/00",0,0,0,1,"2 21",FALSE,0
"31",4357421,"X030088878","DS703 .C4872 1987","ALDERMAN","Zhongguo gu dai shi can kao zi liao /","",1987,"3/28/06","3/26/09",0,0,0,1,"2",FALSE,0
"32",419470,"X001124386","DS703 .C53","ALDERMAN","Zhong gong zhong yang wen jian hui bian (guan yu wen hua da ge ming), 1966-1967. CCP documents of the great proletarian cultural revolution, 1966-1967.","",1968,"6/29/96","1/1/00",0,1,0,2,"2",FALSE,0
"33",554001,"X000194727","DS703 .D4","ALDERMAN","Sources of Chinese tradition,","De Bary, Wm. Theodore,",1960,"6/29/96","9/16/14",50,8,7,3,"2 3",FALSE,0
"34",4236975,"X004938078","DS703 .D83 2005 v.1","ALDERMAN","Er shi si shi san biao /","Duan, Changji,",2005,"8/25/05","1/26/11",0,0,0,5,"2",TRUE,0
"35",4674447,"X030356413","DS703 .G83 2006 v.1","ALDERMAN","Gu dai bang wen gao shi hui cun /","",2006,"12/18/07","1/1/00",0,0,0,10,"2",TRUE,0
"36",967622,"X001495930","DS703 .L45","ALDERMAN","China in transition, 1517-1911,","Li, Dun Jen,",1969,"6/29/96","5/2/05",8,0,0,1,"2",FALSE,0
"37",5253734,"X030780360","DS703 .Z44 1956","ALDERMAN","Zhongguo shi bu mu lu xue /","Zheng, Hesheng,",1956,"11/18/10","11/13/17",0,0,0,1,"2",FALSE,0
"38",385849,"X001124387","DS703.4 .C4 no.2 1940","ALDERMAN","Japan's anti-foreignism,","Ch?üan, Tsêng-ku,",1940,"6/28/96","1/1/00",0,0,0,1,"2",FALSE,0
"39",967625,"967625-1001","DS703.4 .C4 no.5 1940","ALDERMAN","The Yunnan-Burma highway.","Lowe, C. H. (Chuan-hua),",1940,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,0
"40",654573,"X000405557","DS703.4 .I55 1976 v.1","ALDERMAN","China /","International Congress of Human Sciences in Asia and North Africa",1982,"6/29/96","1/1/00",0,0,0,1,"2",TRUE,0
"41",4752999,"X030374373","DS703.4 .L3","ALDERMAN","Researches in the social sciences on China;","Lane, John E.,",1957,"8/13/08","4/23/18",1,1,0,1,"2",FALSE,0
"42",265956,"265956-2003","DS703.4 .M18 1946","ALDERMAN","China,","MacNair, Harley Farnsworth,",1946,"6/29/96","1/1/00",1,0,0,2,"2 14",FALSE,0
"43",7348152,"X031945318","DS703.4 .S7 v.181 pt.1","ALDERMAN","Ri zhi lu ji shi","[Zhonghua shu ju]",0,"1/26/18","1/1/00",0,0,0,4,"2",TRUE,0
"44",7348166,"X031945322","DS703.4 .S7 v.197","ALDERMAN","Huai nan zi","[Zhonghua shu ju]",0,"1/26/18","1/1/00",0,0,0,1,"2",TRUE,0
"45",967632,"X000983336","DS703.4 .S8 1970","ALDERMAN","Studies in the social history of China and Southeast Asia; essays in memory of Victor Purcell (26 January 1896-2 January 1965)","",1970,"6/29/96","1/1/00",3,0,0,1,"2",FALSE,0
"46",1959349,"X000691332","DS703.5 .C574 1982 v.1","ALDERMAN","Li yun shu wu cong ke /","Chen, Yuan,",1982,"3/30/09","3/30/09",1,0,0,3,"2",TRUE,0
"47",5074147,"X030614007","DS703.5 .K45 1934","ALDERMAN","On Chinese studies /","Jiang, Kanghu,",1934,"12/11/09","1/1/00",0,0,0,1,"2",FALSE,0
"48",2073708,"X004840978","DS703.5 .L3 v.1","ALDERMAN","Lao Gan xue shu lun wen ji :","Lao, Gan.",1976,"4/20/05","3/30/09",0,0,0,2,"2",TRUE,0
"49",243179,"X000184925","DS703.5 .L5","ALDERMAN","The Little critic; essays, satires and sketches on China (first series: 1930-1932)","Lin, Yutang,",1936,"6/28/96","2/23/10",0,0,0,1,"2",FALSE,0
"50",2225308,"X031857639","DS703.5 .W77 v.1","ALDERMAN","Wu Han shi xue lun zhu xuan ji /","Wu, Han,",1984,"7/1/96","1/1/00",0,0,0,4,"2",TRUE,0
"51",582028,"X000228105","DS703.5 .Y3","ALDERMAN","Studies in Chinese institutional history.","Yang, Liansheng,",1961,"6/29/96","11/13/17",0,0,0,1,"2 3",FALSE,0
"52",1852084,"X002041699","DS705 .C35 1991","ALDERMAN","The Cambridge encyclopedia of China /","",1991,"6/30/96","1/1/00",3,0,0,2,"2 3",FALSE,0
"53",1987856,"X000272690","DS705 .C4 1972","ALDERMAN","Jin shi Zhong Xi shi ri dui zhao biao /","Zheng, Hesheng,",1972,"6/30/96","1/26/11",1,0,0,1,"2",FALSE,0
"54",6445226,"X031704602","DS705 .C414 2014","ALDERMAN","China A to Z : everything you need to know to understand Chinese customs and culture /","Chai, May-Lee,",2014,"1/14/15","1/1/00",0,0,0,1,"2",FALSE,0
"55",2111961,"X002452727","DS705 .C418 1992","ALDERMAN","China /","Chan, Charis.",1992,"6/30/96","1/26/11",1,0,0,1,"2",FALSE,0
"56",4341512,"X030011059","DS705 .C484 2003 v.1","ALDERMAN","Ch?goku mondai shiry? jiten.","",2003,"1/23/06","1/26/11",0,0,0,5,"2",TRUE,0
"57",1623903,"X031965965","DS705 .C495 1988","ALDERMAN","Zhongguo qi shi ye dan wei jian ming tong xun lu /","",1988,"6/30/96","1/2/18",0,0,0,1,"2",FALSE,0
"58",1313364,"1313364-1001","DS705 .C5 1968","ALDERMAN","China /","Nagel Publishers.",1968,"6/30/96","1/1/00",0,0,0,1,"2",FALSE,0
"59",2095164,"X002645011","DS705 .C519 1994","ALDERMAN","Zhonghua Renmin Gongheguo di ming lu /","",1994,"6/30/96","1/1/00",0,0,0,1,"2",FALSE,0
"60",2873192,"X004469765","DS705 .C523 1998 v.1","ALDERMAN","Zhonghua ren min gong he guo di ming da ci dian /","",1998,"1/27/99","2/19/08",0,0,0,5,"2",TRUE,0
"61",7224914,"X031822945","DS705 .C52523 1932","ALDERMAN","Ch?goku oyobi Mansh? jinmei chimei benran : (tsuketari) rekinen taish?hy?.","",1932,"8/24/17","11/21/17",0,0,0,1,"2",FALSE,0
"62",2420446,"X002422595","DS705 .C5263 1993","ALDERMAN","Zhonghua Renmin Gongheguo di ming ci dian.","",1993,"7/1/96","8/10/00",0,0,0,1,"2",FALSE,0
"63",1992359,"X004135255","DS705 .C5265 1986","ALDERMAN","Zhonghua Renmin Gongheguo zi liao shou ce : 1949-1985 /","",1986,"6/30/96","1/1/00",0,0,0,1,"2",FALSE,0
"64",2900245,"X004340531","DS705 .C52917 1996","ALDERMAN","Zhongguo cheng shi gai lan /","",1996,"4/12/99","1/1/00",0,0,0,1,"2",FALSE,0
"65",1996048,"X001220962","DS705 .C53 1931","ALDERMAN","Zhongguo gu jin di ming da ci dian /","",1982,"3/11/05","3/30/09",0,0,0,1,"2",FALSE,0
"66",97092,"X002400270","DS705 .C563 1981","ALDERMAN","Zhongguo ming sheng ci dian /","",1981,"6/28/96","11/13/17",0,0,0,1,"2",FALSE,0
"67",1999477,"X001459021","DS705 .C576 1987","ALDERMAN","Zhongguo shi xian shou ce = Zhong guo shi xian shou ce /","",1987,"6/30/96","1/1/00",0,0,0,1,"2",FALSE,0
"68",338472,"X000040198","DS705 .E54 1979","ALDERMAN","Encyclopedia of China today /","",1979,"6/28/96","5/6/14",0,1,0,1,"2",FALSE,0
"69",126391,"X000402864","DS705 .E54 1982","ALDERMAN","Encyclopedia of China today /","",1982,"6/28/96","5/6/14",0,1,0,1,"2",FALSE,0
"70",1299854,"X001359645","DS705 .E546 1987","ALDERMAN","Encyclopedia of new China /","",1987,"6/30/96","5/6/14",0,1,0,1,"2",FALSE,0
"71",6148645,"X031632557","DS705 .G358 2013 v.1","ALDERMAN","Zhongguo xian ji yi shang zheng qu di ming shi kao /","Gao, Junliang,",2013,"10/25/13","1/1/00",0,0,0,2,"2",TRUE,0
"72",1247519,"X001299600","DS705 .H27 1987","ALDERMAN","Magnificent China : a guide to its cultural treasures /","Häring-Kuan, Petra.",1987,"6/30/96","1/1/00",2,0,0,1,"2",FALSE,0
