"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","MODEL","LiaisonRecommendation"
"1",6125874,"X031579775","HM101 .C8928 2007","ALDERMAN","The cultural studies reader /","",2007,"9/4/13","4/11/18",1,51,7,1,"2",FALSE,"1",0
"2",5282330,"X030810743","HM851 .M665 2011","CLEMONS","The net delusion : the dark side of internet freedom /","Morozov, Evgeny.",2011,"2/9/11","4/23/18",2,31,23,1,"2 3",FALSE,"1",0
"3",5274139,"X030733036","HM886 .G46 2010","ALDERMAN","Extremely violent societies : mass violence in the twentieth-century /","Gerlach, Christian,",2010,"1/19/11","2/12/18",3,31,3,1,"2",FALSE,"1",0
"4",4463614,"X030007512","HM1033 .H43 2007","ALDERMAN","Made to stick : why some ideas survive and others die /","Heath, Chip.",2007,"2/1/07","5/9/18",3,32,23,1,"2 13",FALSE,"1",0
"5",5405891,"X031190164","HM1116 .P57 2011","CLEMONS","The better angels of our nature : why violence has declined /","Pinker, Steven,",2011,"10/11/11","1/9/18",5,26,28,1,"3 17",FALSE,"1",0
"6",5289427,"X030823610","HM1033 .C62 2011","ALDERMAN","The collective memory reader /","",2011,"2/23/11","8/21/17",6,23,9,1,"2",FALSE,"1",0
"7",5161897,"X030620198","HM1096 .S736 2010","ALDERMAN","Whistling Vivaldi : and other clues to how stereotypes affect us /","Steele, Claude.",2010,"6/9/10","6/14/18",10,41,62,2,"2",FALSE,"1",0
"8",5278847,"X030817337","HM851 .T86 2011","ALDERMAN","Alone together : why we expect more from technology and less from each other /","Turkle, Sherry.",2011,"3/16/11","4/18/18",6,29,22,2,"2 3 21",FALSE,"1",0
"9",4300141,"X004833745","HM706 .L38 2005","ALDERMAN","Reassembling the social : an introduction to actor-network-theory /","Latour, Bruno.",2005,"8/25/05","6/4/18",4,20,8,1,"2 5",FALSE,"1",0
"10",3860602,"X030202923","HM706 .W37 2002","ALDERMAN","Publics and counterpublics /","Warner, Michael,",2002,"4/10/07","6/25/18",7,19,13,1,"2",FALSE,"1",0
"11",5711114,"X030959364","HM621 .C8534 2010","ALDERMAN","A companion to cultural memory studies /","",2010,"6/28/12","5/3/18",3,17,4,1,"2",FALSE,"1",0
"12",3925243,"X004634586","HM1106 .H63 2003","ALDERMAN","The commercialization of intimate life : notes from home and work /","Hochschild, Arlie Russell,",2003,"4/22/03","1/29/18",6,18,1,1,"2 3",FALSE,"1",0
"13",6446271,"X031656935","HM538 .D55 2014","ALDERMAN","Internet, phone, mail, and mixed-mode surveys : the tailored design method /","Dillman, Don A.,",2014,"1/16/15","5/14/18",4,14,4,1,"2",FALSE,"1",0
"14",2679864,"X004733992","HM101 .A644 1996","ALDERMAN","Modernity at large : cultural dimensions of globalization /","Appadurai, Arjun,",1996,"11/14/03","4/24/18",29,33,25,2,"2",FALSE,"1",0
"15",5289286,"X030804948","HM851 .P73 2010","CLEMONS","The new media environment : an introduction /","Press, Andrea Lee.",2010,"2/22/11","7/9/18",0,15,7,1,"3",FALSE,"1",0
"16",4291427,"X030549193","HM1033 .G53 2002","ALDERMAN","The tipping point : how little things can make a big difference /","Gladwell, Malcolm,",2002,"3/19/09","1/24/18",7,36,57,3,"2 3 14",FALSE,"1",0
"17",2299112,"X030521901","HM291 .D413 1995","ALDERMAN","The society of the spectacle /","Debord, Guy,",1995,"1/27/09","12/10/17",6,20,26,2,"2",FALSE,"1",0
"18",6545412,"X031725292","HM661 .R66 2015","ALDERMAN","So you've been publicly shamed /","Ronson, Jon,",2015,"4/13/15","2/26/18",0,13,6,1,"2",FALSE,"1",0
"19",5224198,"X030241308","HM671 .S675 2010","ALDERMAN","Seeking spatial justice /","Soja, Edward W.",2010,"9/29/10","4/21/18",6,14,10,1,"2 17",FALSE,"1",0
"20",3965698,"X004659684","HM621 .R57 2003","ALDERMAN","Diffusion of innovations /","Rogers, Everett M.",2003,"9/2/03","11/1/17",8,16,7,1,"2 5",FALSE,"1",0
"21",4302316,"X004896551","HM206 .D48 2005","ALDERMAN","Guns, germs, and steel : the fates of human societies /","Diamond, Jared M.",2005,"9/6/05","6/26/18",12,15,30,1,"2 17",FALSE,"1",0
"22",5253164,"X030745130","HM548 .Z42 2011","ALDERMAN","Economic lives : how culture shapes the economy /","Zelizer, Viviana A. Rotman.",2011,"11/16/10","5/21/18",3,13,18,1,"2",FALSE,"1",0
"23",1652728,"X001730721","HM131 .G397 1990","ALDERMAN","The consequences of modernity /","Giddens, Anthony.",1990,"6/30/96","12/7/17",26,24,14,2,"2",FALSE,"1",0
"24",4775552,"X030456813","HM621 .S57 2009","ALDERMAN","Cultural theory : an introduction /","Smith, Philip (Philip Daniel),",2009,"9/23/08","6/26/18",1,13,18,1,"2",FALSE,"1",0
