"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","KeepOnGrounds"
"1",770552,"X001219957","HQ 1121 .L47 1986 v.1","CLEMONS","The creation of patriarchy /","Lerner, Gerda,",1986,"6/29/96","5/4/10",13,3,0,2,"2 3 17",TRUE,0
"2",2110641,"X002242865","HQ 1121 .L47 1986 v.2","CLEMONS","The creation of feminist consciousness : from the Middle Ages to eighteen-seventy /","Lerner, Gerda,",1993,"6/30/96","10/2/13",4,2,0,2,"2 3 17",TRUE,0
"3",1136662,"X000834610","HQ 1229 .S14 V.2","ALDERMAN","al-Mar?ah wa-al-jins.","Sa?d?w?, Naw?l.",1972,"6/29/96","6/17/08",0,0,0,1,"2",TRUE,0
"4",1240330,"X001688235","HQ 1587 .A53 1988 v.1","CLEMONS","A history of their own : women in Europe from prehistory to the present /","Anderson, Bonnie S.",1988,"6/30/96","12/14/12",7,1,0,2,"2 3 14",TRUE,0
"5",2229334,"X006082835","HQ 1742 .W666 1988","CLEMONS","Women in Indian society : a reader /","",1988,"7/1/96","1/6/11",1,0,0,1,"3",FALSE,0
"6",2468733,"X002681286","HQ 1762 .J46 1994 v.2","ALDERMAN","Jend? no Nihon shi /","",1994,"7/1/96","3/10/99",2,0,0,2,"2",TRUE,0
"7",4401655,"X030130708","HQ 1793 .S44 2005","ALDERMAN","Taf??l dawr al-ta?l?m f? da?m al-mush?rakah al-siy?s?yah lil-in?th : dir?sah ta?l?l?yah /","Shih?b, Mayy Ma?m?d.",2005,"9/22/06","6/26/08",0,0,0,1,"2",FALSE,0
"8",711711,"X001156537","HQ 503 .H52 1986 t.2","ALDERMAN","Histoire de la famille /","",1986,"6/29/96","5/6/08",3,0,0,4,"2",FALSE,0
"9",2478368,"X002697946","HQ 755.8 .H357 1995 v.1","ALDERMAN","Handbook of parenting /","",1995,"7/1/96","7/21/10",33,0,0,4,"2",TRUE,0
"10",2371372,"X002573523","HQ 767.5 .U5 S7326 1994","ALDERMAN","The abortionist : a woman against the law /","Solinger, Rickie,",1994,"7/1/96","5/19/08",3,0,0,1,"2",FALSE,0
"11",1143166,"X001620889","HQ10 .A585","ALDERMAN","Niyojita pariv?ra.","Anant, Ashfaque Ahemed,",1964,"6/29/96","4/25/08",1,0,0,1,"2",FALSE,0
"12",1143168,"X031916676","HQ10 .A7","ALDERMAN","Ogo bara, ogo badh?.","Ashraf, Shaheed.",1964,"6/29/96","1/12/18",0,0,0,1,"2",FALSE,0
