"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","KeepOnGrounds"
"1",2633311,"X004434267","PA  6568 .A2 1999 v.1","ALDERMAN","Plauti Comoediae /","Plautus, Titus Maccius.",1999,"12/2/96","3/15/11",0,0,0,2,"2",TRUE,0
"2",2310782,"X031917120","PA 111 .C43 1924 v.1","ALDERMAN","Akad?meika anagn?smata : eis t?n hell?nik?n kai latinik?n grammatik?n.","Chatzidakis, Ge?rgios N.",1924,"7/1/96","2/14/18",0,0,0,4,"2",TRUE,0
"3",2287612,"X002521645","PA 23 .F54 1993 v.1","ALDERMAN","La Filologia medievale e umanistica greca e latina nel secolo XX : atti del congresso internazionale, Roma, Consiglio nazionale delle ricerche, Università La Sapienza, 11-15 dicembre 1989.","",1993,"7/1/96","1/1/00",0,0,0,2,"2",TRUE,0
"4",2329663,"X032078989","PA 25 .H25 Bd.7 T.2 Halfte 1 Aufl.5","ALDERMAN","Geschichte der griechischen Litteratur /","Schmid, Wilhelm,",1908,"3/9/18","1/1/00",0,0,0,3,"2",FALSE,0
"5",2329664,"2329664-1001","PA 25 .H25 Bd.8","ALDERMAN","Geschichte de römischen Litteratur bis zum Gesetzgebungswerk des Kaisers Justinian /","Schanz, Martin,",1890,"7/1/96","1/1/00",0,0,0,1,"2",FALSE,0
"6",2329665,"2329665-1001","PA 25 .H25 Bd.8 Aufl.2","ALDERMAN","Geschichte der römischen Litteratur bis zum Gesetzgebungswerk des Kaisers Justinian.","Schanz, Martin,",1898,"7/1/96","1/1/00",0,0,0,1,"2",FALSE,0
"7",2329666,"2329666-1001","PA 25 .H25 Bd.8 Aufl.3","ALDERMAN","Geschichte der römischen Litteratur bis zum Gesetzgebungswerk des Kaisers Justinian /","Schanz, Martin,",1907,"7/1/96","1/1/00",0,0,0,1,"2",FALSE,0
"8",2329668,"X000195323","PA 25 .H25 Bd.9 Abt.2 T.1","ALDERMAN","Geschichte der lateinischen Literatur des Mittelalters /","Manitius, Max,",1911,"7/1/96","10/16/09",0,0,0,1,"2",FALSE,0
"9",1379004,"X001617230","PA 25 .S83 1987 v.1","ALDERMAN","Studia varia Bruxellensia ad orbem Graeco-Latinum pertinentia : dertig jaar klassieke filologie aan de Vrije Universiteit Brussel /","",1987,"6/30/96","4/11/00",1,1,2,3,"2",TRUE,0
"10",2367944,"X004039154","PA 258 .Z8613 1994 v.2","ALDERMAN","Greek : a course in classical and post-classical Greek grammar from original texts /","Zuntz, Günther,",1994,"10/30/96","7/12/18",3,4,22,2,"2",TRUE,0
"11",1603510,"X001635722","PA 26 .D45 F55 1987 v.1","ALDERMAN","Filologia e forme letterarie : studi offerti a Francesco Della Corte.","",1987,"6/30/96","4/6/17",6,3,2,5,"2",TRUE,0
"12",2144715,"X002405397","PA 26 .M76 S78 1991 v.1","ALDERMAN","Studi di filologia classica in onore di Giusto Monaco.","",1991,"7/1/96","4/19/07",12,0,0,4,"2",TRUE,0
"13",997213,"997213-2001","PA 2893 .F7 N65 order AEJ1473-001","ALDERMAN","Novum glossarium mediae latinitatis.","",1900,"6/5/97","1/1/00",4,0,0,12,"2",FALSE,0
"14",165090,"165090-7001","PA 2893 .S8 W4 order-001","ALDERMAN","Glossarium till medeltidslatinet i Sverige = Glossarium mediae latinitatis Sueciae /","Westerbergh, Ulla.",1968,"10/21/96","1/1/00",0,0,0,8,"2",FALSE,0
"15",233105,"X030498481","PA 2927 .D8 1883 v.1","ALDERMAN","Glossarium mediae et infimae latinitatis","Du Cange, Charles Du Fresne,",1883,"3/9/10","8/31/10",14,0,0,20,"2",TRUE,0
"16",2483823,"X002698055","PA 404 .K34 B6 1995 v.1","ALDERMAN","Kalos Kagathos - Kalokagathia : d'un terme de propagande de sophistes à une notion sociale et philosophique : étude d'histoire athénienne /","Bourriot, Félix.",1995,"7/1/96","1/1/00",0,0,0,2,"2",TRUE,0
"17",1012701,"X030588670","PA 422 .C5 1968 t.1","ALDERMAN","Dictionnaire étymologique de la langue grecque : histoire des mots /","Chantraine, Pierre,",1968,"6/29/96","12/5/09",1,0,0,4,"2",FALSE,0
"18",1780715,"X002063699","PA 423 .S76 1984 v. 1","ALDERMAN","Cognomi greci nel Salento /","Stomeo, Paolo,",1984,"6/30/96","10/16/09",0,0,0,2,"2",TRUE,0
"19",994303,"X030593311","PA 442 .E8 v.1 pt.1 1831","ALDERMAN","Thesaurus graecae linguae, ab Henrico Stephano constructus.","Estienne, Henri,",1831,"3/10/10","1/1/00",13,0,0,9,"2",TRUE,0
"20",517234,"517234-2001","PA 445 .G3 S5 1955 order-001","ALDERMAN","Lexikon des frühgriechischen Epos.","Snell, Bruno,",1955,"4/21/97","1/1/00",10,32,43,11,"2",FALSE,0
"21",1302280,"X001400188","PA 445 .S6 D65 1985 v.1","ALDERMAN","Diccionario micénico : (DMic.) /","",1985,"6/30/96","5/30/13",3,2,4,2,"2",TRUE,0
"22",2151484,"X002311035","PA 4455 .L36 1993 T.1","ALDERMAN","Geschichte des Peloponnesischen Krieges : griechisch-deutsch /","Thucydides.",1993,"7/1/96","1/1/00",0,0,0,2,"2",FALSE,0
"23",7444593,"X032333812","PA 6304 .T6 1805","ALDERMAN","Tuscularum disputationum= Tusculan Disputations","Ciceronis, M. Tullii=",1805,"3/27/18","1/1/00",0,0,0,1,"2",FALSE,0
"24",98933,"X000970954","PA 6308 .T6 D67 1985 V.1","ALDERMAN","Tusculan disputations /","Cicero, Marcus Tullius.",1985,"6/28/96","5/21/10",2,2,2,2,"2",TRUE,0
"25",132340,"X000825700","PA 6320 .N48 1981 LFG.1","ALDERMAN","M. Tullius Cicero, Laelius : Einleitung und Kommentar /","Neuhausen, Karl August.",1981,"6/28/96","4/13/15",3,3,6,5,"2",FALSE,0
"26",2285737,"X001123913","PA 6375 .C6 D4 1969 livre 10","ALDERMAN","De l'agriculture /","Columella, Lucius Junius Moderatus.",1900,"7/1/96","11/18/10",1,0,0,3,"2",TRUE,0
"27",1780618,"X001359385","PA 6381 .D8 A34 1985 t.2","ALDERMAN","?uvres /","Dracontius, Blossius Aemilius,",1985,"6/30/96","12/9/00",1,0,0,3,"2",FALSE,0
"28",631588,"X001683600","PA 6390 .A2 1967 t.3","ALDERMAN","Les Nuits attiques.","Gellius, Aulus.",1967,"6/29/96","10/23/09",5,0,0,4,"2",FALSE,0
"29",1934248,"X000936631","PA 6393 .C2 1743 v.1","ALDERMAN","The Odes, epodes and carmen seculare of Horace. In Latin and English.  With critical notes collected from his best Latin and French commentators.","Horace.",1743,"6/30/96","10/15/13",3,2,0,2,"2",TRUE,0
"30",2342300,"X002550541","PA 6393 .E8 H67 1994 v.1","ALDERMAN","Epistles /","Horace.",1994,"7/1/96","5/14/16",4,2,8,1,"2",TRUE,0
