"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","MODEL","LiaisonRecommendation"
"1",6915450,"X031798219","PL2947 .C59 S3613 2016","ALDERMAN","The three-body problem /","Liu, Cixin,",2016,"12/6/16","7/14/18",1,10,2,1,"2",FALSE,"1",0
"2",5224222,"X030762831","PL2265 .C36 2010 v.2","ALDERMAN","The Cambridge history of Chinese literature /","",2010,"11/10/10","3/16/17",6,13,0,2,"2",TRUE,"1",0
"3",1945570,"X002079062","PL2442 .W36 1992","ALDERMAN","Fictional realism in twentieth-century China : Mao Dun, Lao She, Shen Congwen /","Wang, Dewei.",1992,"6/30/96","4/12/18",5,10,20,1,"2",FALSE,"1",0
"4",6107242,"X031599770","PL2754 .S5 Z595126 2013","ALDERMAN","Lu Xun's revolution : writing in a time of violence /","Davies, Gloria (Gloria L.)",2013,"7/17/13","5/7/18",1,8,4,1,"2",FALSE,"1",0
"5",5822547,"X030853948","PL2886 .O1684 F38 2003","ALDERMAN","Feng ru fei tun /","Mo, Yan,",2003,"10/16/12","3/23/17",0,8,5,1,"2",TRUE,"1",0
"6",5188970,"X030793050","PL2781 .N2 Z575 2009","ALDERMAN","Lin Yutang tan ren sheng /","Lin, Yutang,",2009,"8/4/10","4/23/18",1,8,22,1,"2",FALSE,"1",0
"7",5237907,"X030793225","PL2925 .K55 X53 2008","ALDERMAN","Xiao yi Duohe /","Yan, Geling",2008,"10/21/10","12/21/17",0,8,4,1,"2",FALSE,"1",0
"8",5416895,"X031230663","PL2894 .A475 D36 2011","ALDERMAN","Dao cao ren de wei xiao /","Sanmao.",2011,"9/29/11","2/7/15",0,8,16,1,"2",TRUE,"1",0
"9",2460024,"X002644652","PL2658 .E8 S39 1995","ALDERMAN","The sea of regret : two turn-of-the-century Chinese romantic novels /","",1995,"7/1/96","12/5/17",1,9,12,1,"2",FALSE,"1",0
"10",121290,"X000481826","PL2747 .P5 Z65 1982","ALDERMAN","Ding Ling's fiction : ideology and narrative in modern Chinese literature /","Feuerwerker, Yi-tsi Mei,",1982,"6/28/96","4/11/18",3,9,4,1,"2",FALSE,"1",0
"11",5822539,"X030853956","PL2886 .O1684 W327 2009","ALDERMAN","Wa /","Mo, Yan,",2009,"10/16/12","6/24/18",1,7,9,1,"2",FALSE,"1",0
"12",5563086,"X031230696","PL2879 .C376 Y55 2009","ALDERMAN","Yi ju ding yi wan ju /","Liu, Zhenyun.",2009,"2/28/12","2/5/18",0,7,0,1,"2",FALSE,"1",0
"13",5510270,"X031217903","PL2937 .E39 L54 2007","ALDERMAN","Lie jin = Love and intrigue /","Feiwosicun.",2011,"12/7/11","8/25/16",0,7,4,1,"2",TRUE,"1",0
"14",5081451,"X030615436","PL2928 .H78 H86 2008","ALDERMAN","Huo zhe /","Yu, Hua,",2008,"1/14/10","5/16/18",2,7,8,1,"2",FALSE,"1",0
"15",5513489,"X031217945","PL2892 .I198 S55 2006","ALDERMAN","Shi shang ke zhen you yi jian zhong qing /","Bi, Shumin,",2006,"12/12/11","11/10/16",1,7,14,1,"2",FALSE,"1",0
"16",5311889,"X030951357","PL2894 .A475 Z86 2011","ALDERMAN","Sanmao, 1943-1991 /","Shi, Yonggang.",2011,"3/19/11","1/9/17",1,7,60,1,"2",FALSE,"1",0
"17",3503395,"X004401925","PL2442 .H8 1999","ALDERMAN","A history of modern Chinese fiction /","Hsia, Chih-tsing,",1999,"2/8/00","12/10/17",3,8,2,1,"2",FALSE,"1",0
"18",5416918,"X031230667","PL2894 .A475 X56 2010","ALDERMAN","Xin li de meng tian /","Sanmao.",2010,"9/29/11","3/28/15",0,7,17,1,"2",FALSE,"1",0
"19",4618896,"X030355501","PL2878 .N142374 Z77 2006","ALDERMAN","Zhongguo di yi cai nü Lin Huiyin /","Liu, Yansheng,",2006,"8/21/07","6/24/18",2,7,3,1,"2",FALSE,"1",0
"20",4463113,"X030115816","PL2722 .U2 S77 2006","ALDERMAN","Strange tales from a Chinese studio /","Pu, Songling,",2006,"1/30/07","4/12/17",3,7,8,1,"2",FALSE,"1",0
"21",2283419,"X002421399","PL2442 .G46 1993","ALDERMAN","Gender politics in modern China : writing and feminism /","",1993,"7/1/96","4/11/18",4,8,5,1,"2",FALSE,"1",0
"22",1760589,"X001832210","PL2754 .S5 A25 1990","ALDERMAN","Diary of a madman and other stories /","Lu, Xun,",1990,"6/30/96","11/1/15",3,8,7,1,"2",FALSE,"1",0
"23",5187831,"X030950965","PL2727 .S2 L5348 2010","ALDERMAN","Hong lou meng ba shi hui hou zhen gu shi /","Liu, Xinwu.",2010,"7/28/10","5/7/18",0,6,12,1,"2",TRUE,"1",0
"24",5501779,"X031217783","PL2937 .E39 R83 2010","ALDERMAN","Ru guo zhe yi miao, wo mei yu jian ni = If we were strangers /","Feiwosicun.",2010,"11/30/11","2/28/17",0,6,5,1,"2",TRUE,"1",0
"25",5416894,"X031230662","PL2894 .A475 S243 2011","ALDERMAN","Sahala sui yue /","Sanmao.",2011,"9/29/11","2/10/17",0,6,5,1,"2",FALSE,"1",0
"26",3727706,"X004527537","PL2478 .L8 2000","CLEMONS","The Analects /","Confucius.",2000,"6/19/01","4/5/18",1,7,14,1,"3",FALSE,"1",0
"27",5132358,"X030691028","PL2892.3 .B36 Z46 2009","ALDERMAN","Ju liu he /","Qi, Bangyuan.",2009,"4/27/10","1/25/18",2,6,15,1,"2",FALSE,"1",0
"28",5510211,"X031217879","PL2861 .A595 Y55 2010","ALDERMAN","1988 : wo xiang he zhe ge shi jie tan tan /","Han, Han,",2010,"12/7/11","5/16/16",2,6,8,1,"2",FALSE,"1",0
"29",421946,"X000214080","PL2997 .L82 1945","ALDERMAN","The Analects of Confucius;","Confucius.",1938,"6/29/96","1/25/18",1,8,5,2,"2 3",FALSE,"1",0
"30",5070811,"X030615049","PL2928 .H78 X56 2008","ALDERMAN","Xiong di /","Yu, Hua,",2008,"12/9/09","8/9/17",1,6,13,1,"2",FALSE,"1",0
"31",2934239,"X004283803","PL2280 .L48 1999","ALDERMAN","Writing and authority in early China /","Lewis, Mark Edward,",1999,"8/2/99","6/16/17",1,7,2,1,"2",FALSE,"1",0
"32",4712610,"X030253507","PL2302 .L285 2008","ALDERMAN","The literature of leisure and Chinese modernity /","Laughlin, Charles A.,",2008,"4/22/08","5/3/17",1,6,0,1,"2",FALSE,"1",0
"33",4322022,"X004907915","PL2946 .Y59 T46 2005","ALDERMAN","A Thousand years of good prayers : stories /","Li, Yiyun,",2005,"11/1/05","5/13/18",3,6,7,1,"2 3",TRUE,"1",0
"34",1987909,"X002141016","PL2690 .S3 E53 1991","ALDERMAN","Three kingdoms : a historical novel /","Luo, Guanzhong,",1991,"6/30/96","5/17/18",2,7,9,1,"2",FALSE,"1",0
