"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","MODEL","LiaisonRecommendation"
"1",4213960,"X004843684","PR4621 .K55 2005 v.2","CLEMONS","The new annotated Sherlock Holmes /","Doyle, Arthur Conan,",2005,"12/3/04","4/15/18",16,159,35,6,"2 3",TRUE,"1",0
"2",4687556,"X031613360","PR4803 .H44 2006 v.1","ALDERMAN","The collected works of Gerard Manley Hopkins /","Hopkins, Gerard Manley,",2006,"6/20/13","3/18/17",3,46,13,4,"2",TRUE,"1",0
"3",3699112,"X004473845","PR4034 .P7 2001","ALDERMAN","Pride and prejudice : an authoritative text, backgrounds and sources, criticism /","Austen, Jane,",2001,"3/13/01","5/17/18",15,17,12,1,"2",FALSE,"1",0
"4",4395493,"X030105768","PR5397 .F7 2007","ALDERMAN","Mary Wollstonecraft Shelley's Frankenstein, or, The modern Prometheus.","Shelley, Mary Wollstonecraft,",2007,"9/12/06","6/7/18",7,15,17,1,"2",FALSE,"1",0
"5",4405938,"X030151059","PR4034 .P4 2006","ALDERMAN","Persuasion /","Austen, Jane,",2006,"10/5/06","9/20/17",2,15,5,1,"2",FALSE,"1",0
"6",3531250,"X004418750","PR5397 .F7 2000","ALDERMAN","Frankenstein : complete, authoritative text with biographical, historical, and cultural contexts, critical history, and essays from five contemporary critical perspectives /","Shelley, Mary Wollstonecraft,",2000,"5/18/00","3/13/18",8,16,21,1,"2",FALSE,"1",0
"7",3589894,"X004478571","PR5397 .F7 2000b","ALDERMAN","Frankenstein /","Shelley, Mary Wollstonecraft,",2000,"1/12/01","5/4/18",8,15,18,1,"2",FALSE,"1",0
"8",3528531,"X004410844","PR5902 .P48 2000","ALDERMAN","Yeats's poetry, drama, and prose : authorative texts, criticism /","Yeats, W. B. (William Butler),",2000,"4/25/00","12/10/17",16,18,26,2,"2 3",FALSE,"1",0
"9",4446939,"X030159202","PR4034 .N7 2006","ALDERMAN","Northanger Abbey /","Austen, Jane,",2006,"12/5/06","4/17/18",4,13,12,1,"2",FALSE,"1",0
"10",3690381,"X004473509","PR4167 .J3 2000b","ALDERMAN","Jane Eyre : an authoritative text /","Brontë, Charlotte,",2000,"2/13/01","9/5/17",10,19,10,2,"2 3",FALSE,"1",0
"11",5824751,"X030879870","PR5397 .F7 2012","ALDERMAN","The annotated Frankenstein /","Shelley, Mary Wollstonecraft,",2012,"11/1/12","7/9/18",4,11,3,1,"2",FALSE,"1",0
"12",3579102,"X031831871","PR4571 .A2 M39 2000","ALDERMAN","A tale of two cities /","Dickens, Charles,",2000,"11/16/00","1/19/18",6,13,16,1,"2",FALSE,"1",0
"13",1073804,"X002663669","PR5397 .F7 1932","ALDERMAN","Frankenstein &lt;or, The modern Prometheus&gt;","Shelley, Mary Wollstonecraft,",1932,"6/29/96","5/9/18",8,14,5,1,"2",FALSE,"1",0
"14",2504301,"X002684797","PR5397 .F73 M36 1996","ALDERMAN","Mary Shelley, Frankenstein : the 1818 text, contexts, nineteenth-century responses, modern criticism /","",1996,"7/1/96","5/8/17",8,20,29,2,"2 3",FALSE,"1",0
"15",5189948,"X030720156","PR4622 .S483 2003","CLEMONS","Sherlock Holmes : the complete novels and stories.","Doyle, Arthur Conan,",2003,"8/5/10","5/24/18",4,10,10,1,"3",FALSE,"1",0
"16",4634496,"X030254791","PR4034 .P4 2008","ALDERMAN","Persuasion /","Austen, Jane,",2008,"10/2/07","4/19/18",2,10,11,1,"2",FALSE,"1",0
"17",3807776,"X004588098","PR4034 .M3 2001","ALDERMAN","Mansfield Park /","Austen, Jane,",2001,"2/28/02","9/8/17",3,11,19,1,"2",FALSE,"1",0
"18",4214539,"X004805073","PR4034 .P7 2003","ALDERMAN","Jane Austen's Pride and prejudice /","Austen, Jane,",2003,"12/7/04","5/8/18",3,11,75,2,"2 3",FALSE,"1",0
"19",4886430,"X030565785","PR4710 .M3 2008","ALDERMAN","Mary Barton : authoritative text, contexts, criticism /","Gaskell, Elizabeth Cleghorn,",2008,"7/1/09","6/5/18",1,9,6,1,"2",FALSE,"1",0
"20",4684948,"X030252455","PR4172 .W7 2009","ALDERMAN","Emily Brontë's Wuthering Heights /","Brontë, Emily,",2009,"2/1/08","4/4/18",3,9,26,1,"2",FALSE,"1",0
"21",2239561,"X002479520","PR4662 .A2 C37 1988","ALDERMAN","Middlemarch /","Eliot, George,",1988,"7/1/96","5/14/18",11,11,12,2,"2",TRUE,"1",0
"22",3811357,"X004593871","PR4034 .S4 2002","ALDERMAN","Sense and sensibility : authoritative text, contexts, criticism /","Austen, Jane,",2002,"2/5/02","7/23/17",1,15,14,2,"2 3",FALSE,"1",0
"23",5289251,"X030793979","PR5869 .L9 2008","ALDERMAN","Lyrical ballads : 1798 and 1800 /","Wordsworth, William,",2008,"2/21/11","6/28/18",1,8,3,1,"2",FALSE,"1",0
"24",4295552,"X004858125","PR5774 .I8 2005","ALDERMAN","The island of Doctor Moreau /","Wells, H. G. (Herbert George),",2005,"8/2/05","8/22/17",0,9,11,1,"2",FALSE,"1",0
"25",4218201,"X004809399","PR4034 .N7 2004","CLEMONS","Northanger Abbey : authoritative text, backgrounds, criticism /","Austen, Jane,",2004,"1/4/05","8/21/17",0,9,1,1,"2 3",FALSE,"1",0
"26",2666076,"X006012966","PR4662 .A2 H257 1997","ALDERMAN","Middlemarch /","Eliot, George,",1997,"3/19/97","5/19/18",3,10,18,1,"2",FALSE,"1",0
"27",3828408,"X004587526","PR4172 .W7 2002","ALDERMAN","Wuthering Heights : complete text with introduction, contexts, critical essays /","Brontë, Emily,",2002,"4/9/02","5/14/18",2,10,7,2,"2 3",FALSE,"1",0
"28",5933209,"X030845349","PR4169 .M23 2012","ALDERMAN","The madwoman and the blindman : Jane Eyre, discourse, disability /","",2012,"1/30/13","9/14/17",1,7,11,1,"2",FALSE,"1",0
"29",2256314,"X002330048","PR4622 .S85 1993","ALDERMAN","A study in scarlet /","Doyle, Arthur Conan,",1993,"7/1/96","1/10/18",4,10,3,1,"2",FALSE,"1",0
"30",3515414,"X030841983","PR5397 .F7 1999","CLEMONS","Frankenstein, or, The modern Prometheus /","Shelley, Mary Wollstonecraft,",1999,"8/24/12","1/25/18",0,7,13,1,"2 3",FALSE,"1",0
"31",1965681,"X002118077","PR5818 .I4 1992b","ALDERMAN","The importance of being earnest and related writings /","Wilde, Oscar,",1992,"6/30/96","6/25/17",6,10,15,1,"2",FALSE,"1",0
"32",4341260,"X004994689","PR4034 .M3 2005","ALDERMAN","Mansfield Park /","Austen, Jane,",2005,"1/20/06","2/18/18",1,8,0,1,"2",FALSE,"1",0
"33",4223569,"X004804678","PR4034 .N7 2005","ALDERMAN","Jane Austen's Northanger Abbey /","Austen, Jane,",2005,"2/8/05","6/25/18",5,11,17,2,"2 3",FALSE,"1",0
