Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Number of Items,Item Legacy Total Charges
6369164,2,ALDERMAN,STACKS,DP1 .T4 no.542 1976,1976,Pablo Casals /,"Alavedra, Joan,",X031648746,BOOK,7/24/14,1/1/00,STACKS,0,0,0,1,0
6244490,2,ALDERMAN,STACKS,DP100 .A99 2013,2013,al-qarn al-kh?mis al-Hijr?/11 M / ?A?r al-?aw??if f? al-Andalus min khil?l ras??il d?w?n?yah :,"?Azz?w?, A?mad.",X031635249,BOOK,4/18/14,1/1/00,STACKS,0,0,0,1,0
6549517,2,ALDERMAN,STACKS,DP100 .D45 2013,2013,II estudios sobre las fuentes de la conquista islámica : homenaje al profesor Yves Modéran / Del Nilo al Guadalquivir :,,X031729880,BOOK,4/24/15,4/25/17,STACKS,3,2,0,1,5
216688,2,ALDERMAN,STACKS,DP100 .H6,1965,Spanisch-Islamische Urkunden aus der Zeit der Na?riden und Moriscos.,"Hoenerbach, Wilhelm",X000749720,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,1
149100,2,ALDERMAN,STACKS,DP100 .L55,1973,"Teodomiro de Oriola, su vida y su obra","Llobregat Conesa, Enrique.",X000596909,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,0
346252,2,ALDERMAN,STACKS,DP100 .S3 1946 v.1,1946,"La España musulmana, según los autores islamitas y cristianos medievales.","Sánchez-Albornoz, Claudio,",X000372719,BOOK,6/28/96,3/24/09,STACKS,0,0,3,1,3
346252,2,ALDERMAN,STACKS,DP100 .S3 1946 v.2,1946,"La España musulmana, según los autores islamitas y cristianos medievales.","Sánchez-Albornoz, Claudio,",X030553179,BOOK,5/14/09,4/25/17,STACKS,1,1,0,1,2
949669,2,ALDERMAN,STACKS,DP100 .S3 1973 v.1,1973,"La España musulmana,","Sánchez-Albornoz, Claudio,",X000371410,BOOK,6/29/96,11/2/03,STACKS,0,0,1,1,10
949669,2,ALDERMAN,STACKS,DP100 .S3 1973 v.2,1973,"La España musulmana,","Sánchez-Albornoz, Claudio,",X000891461,BOOK,6/29/96,9/28/03,STACKS,0,0,2,1,6
4599024,2,ALDERMAN,STACKS,DP100 .V28 2006,2006,Sobre el pergamino y láminas de Granada /,"Valencia, Pedro de,",X030243628,BOOK,6/15/07,2/18/11,STACKS,0,0,0,1,1
678036,2,ALDERMAN,STACKS,DP101 .I2318 1984,1984,"Historia del Andalus, Espana Musulmana /","Ibn al-Kardab?s, Ab? Marw?n ?Abd al-Malik,",X001203075,BOOK,6/29/96,4/25/17,STACKS,1,1,0,1,6
4854563,2,ALDERMAN,STACKS,DP101 .I2513 2009,2009,"Early Islamic Spain : the History of Ibn al-Q???ya : a study of the unique Arabic manuscript in the Bibliothèque Nationale de France, Paris, with a translation, notes, and comments /","Ibn al-Q???yah, Mu?ammad ibn ?Umar,",X030278181,BOOK,3/20/09,5/1/18,STACKS,7,5,1,1,12
33151,2,ALDERMAN,STACKS,DP101 .I26 1982,1982,T?r?kh iftit?? al-Andalus /,"Ibn al-Q???yah, Mu?ammad ibn ?Umar,",X030685076,BOOK,6/28/96,4/25/17,STACKS,1,1,0,1,2
463373,2,ALDERMAN,STACKS,DP101 .M213 1964 v.1,1964,"The history of the Mohammedan dynasties in Spain; extracted from the Nafhu-t-tíb min ghosni-l-Andalusi-r-rattíb wa táríkh Lisánu-d-Dín Ibni-l-Khattíb,","Maqqar?, A?mad ibn Mu?ammad,",X000158702,BOOK,6/29/96,11/16/17,STACKS,2,4,1,1,12
463373,2,ALDERMAN,STACKS,DP101 .M213 1964 v.2,1964,"The history of the Mohammedan dynasties in Spain; extracted from the Nafhu-t-tíb min ghosni-l-Andalusi-r-rattíb wa táríkh Lisánu-d-Dín Ibni-l-Khattíb,","Maqqar?, A?mad ibn Mu?ammad,",X000159011,BOOK,6/29/96,11/16/17,STACKS,2,6,1,1,16
7483092,2,ALDERMAN,STACKS,DP101 .M39 2016,2016,"Wil?yat al-Andalus f? ?ahd Y?suf ibn ?Abd al-Ra?m?n al-Fihr?, 129-138 H/747-756 H /","Maz?yidah, ?Umar Za?l",X032214530,BOOK,4/12/18,1/1/00,STACKS,0,0,0,1,0
5568776,2,ALDERMAN,STACKS,DP101 .R35 2011,2011,al-?ur?b al-?al?b?yah f? al-Andalus /,"Rama??n, ?Abd al-Mu?sin ??h?.",X031228328,BOOK,3/7/12,1/1/00,STACKS,0,0,0,1,0
2108506,2,ALDERMAN,STACKS,DP101 .S26 1989,1989,usrah min al-Muwalad?n bi-Mars?yah f? al-?a?r al-Isl?m? / Ban? Kha???b ibn ?Abd al-Jabb?r al-Tadm?r? :,"S?lim, Sa?ar al-Sayyid ?Abd al-?Az?z.",X002411275,BOOK,6/30/96,1/1/00,STACKS,0,0,0,1,0
3959081,2,ALDERMAN,STACKS,DP101 .T48 2002,2002,Moriscos and Catholicism in early modern Spain / Good and faithful Christians :,"Tueller, James B.",X004659730,BOOK,8/28/03,4/30/17,STACKS,1,0,1,1,12
7223991,2,ALDERMAN,STACKS,DP101 .T55 1995 Index,1995,Naf? al-??b min ghu?n al-Andalus al-ra??b wa-dhikr waz?rih? Lis?n al-D?n ibn al-Kha??b /,"Tilmis?n?, A?mad bin Mu?ammad al-Maqqr?,",X031789206,BOOK,9/28/17,10/1/18,CHECKEDOUT,1,2,0,1,3
7223991,2,ALDERMAN,STACKS,DP101 .T55 1995 v.1,1995,Naf? al-??b min ghu?n al-Andalus al-ra??b wa-dhikr waz?rih? Lis?n al-D?n ibn al-Kha??b /,"Tilmis?n?, A?mad bin Mu?ammad al-Maqqr?,",X031789196,BOOK,8/18/17,10/1/18,CHECKEDOUT,1,2,0,1,3
7223991,2,ALDERMAN,STACKS,DP101 .T55 1995 v.11,1995,Naf? al-??b min ghu?n al-Andalus al-ra??b wa-dhikr waz?rih? Lis?n al-D?n ibn al-Kha??b /,"Tilmis?n?, A?mad bin Mu?ammad al-Maqqr?,",X031789205,BOOK,9/28/17,10/1/18,CHECKEDOUT,1,2,0,1,3
7223991,2,ALDERMAN,STACKS,DP101 .T55 1995 v.2,1995,Naf? al-??b min ghu?n al-Andalus al-ra??b wa-dhikr waz?rih? Lis?n al-D?n ibn al-Kha??b /,"Tilmis?n?, A?mad bin Mu?ammad al-Maqqr?,",X031789197,BOOK,9/28/17,10/1/18,CHECKEDOUT,1,2,0,1,3
7223991,2,ALDERMAN,STACKS,DP101 .T55 1995 v.3,1995,Naf? al-??b min ghu?n al-Andalus al-ra??b wa-dhikr waz?rih? Lis?n al-D?n ibn al-Kha??b /,"Tilmis?n?, A?mad bin Mu?ammad al-Maqqr?,",X031789198,BOOK,9/28/17,10/1/18,CHECKEDOUT,1,2,0,1,3
7223991,2,ALDERMAN,STACKS,DP101 .T55 1995 v.4,1995,Naf? al-??b min ghu?n al-Andalus al-ra??b wa-dhikr waz?rih? Lis?n al-D?n ibn al-Kha??b /,"Tilmis?n?, A?mad bin Mu?ammad al-Maqqr?,",X031789199,BOOK,9/28/17,10/1/18,CHECKEDOUT,1,2,0,1,3
7223991,2,ALDERMAN,STACKS,DP101 .T55 1995 v.5,1995,Naf? al-??b min ghu?n al-Andalus al-ra??b wa-dhikr waz?rih? Lis?n al-D?n ibn al-Kha??b /,"Tilmis?n?, A?mad bin Mu?ammad al-Maqqr?,",X031789200,BOOK,9/28/17,10/1/18,CHECKEDOUT,1,2,0,1,3
7223991,2,ALDERMAN,STACKS,DP101 .T55 1995 v.6,1995,Naf? al-??b min ghu?n al-Andalus al-ra??b wa-dhikr waz?rih? Lis?n al-D?n ibn al-Kha??b /,"Tilmis?n?, A?mad bin Mu?ammad al-Maqqr?,",X031789201,BOOK,9/28/17,10/1/18,CHECKEDOUT,1,2,0,1,3
7223991,2,ALDERMAN,STACKS,DP101 .T55 1995 v.7,1995,Naf? al-??b min ghu?n al-Andalus al-ra??b wa-dhikr waz?rih? Lis?n al-D?n ibn al-Kha??b /,"Tilmis?n?, A?mad bin Mu?ammad al-Maqqr?,",X031789202,BOOK,9/28/17,10/1/18,CHECKEDOUT,1,2,0,1,3
7223991,2,ALDERMAN,STACKS,DP101 .T55 1995 v.8,1995,Naf? al-??b min ghu?n al-Andalus al-ra??b wa-dhikr waz?rih? Lis?n al-D?n ibn al-Kha??b /,"Tilmis?n?, A?mad bin Mu?ammad al-Maqqr?,",X031789203,BOOK,9/28/17,10/1/18,CHECKEDOUT,1,2,0,1,3
7223991,2,ALDERMAN,STACKS,DP101 .T55 1995 v.9,1995,Naf? al-??b min ghu?n al-Andalus al-ra??b wa-dhikr waz?rih? Lis?n al-D?n ibn al-Kha??b /,"Tilmis?n?, A?mad bin Mu?ammad al-Maqqr?,",X031789204,BOOK,9/28/17,10/1/18,CHECKEDOUT,1,2,0,1,3
2489199,2,ALDERMAN,STACKS,DP102 .A453 1993,1993,Bu??th f? t?r?kh wa-?a??rat al-Andalus f? al-?A?r al- Isl?m? /,"Ab? Mu??afá, Kam?l.",X002615071,BOOK,7/1/96,1/1/00,STACKS,0,0,0,1,0
593971,2,ALDERMAN,STACKS,DP102 .A52,1972,"The Moorish Spain,","Ahmad, S. S.",X000471741,BOOK,6/29/96,10/19/16,STACKS,1,0,5,1,23
2433278,2,ALDERMAN,STACKS,DP102 .A54 1991,1991,Akhb?r al-?a?r f? inqi??? dawlat Ban? Na?r /,,X002591138,BOOK,7/1/96,1/1/00,STACKS,0,0,0,1,0
1252875,2,ALDERMAN,STACKS,DP102 .B39 1986,1986,"al-Dawlah al-?Arab?yah f? Isb?n?y? : min al-fat? ?att? suq?? al-khil?fah, 92-422 H., 711-1031 M. /","Bay??n, Ibr?h?m.",X001263357,BOOK,6/30/96,3/24/09,STACKS,0,0,0,1,0
6724261,2,ALDERMAN,STACKS,DP102 .B5618 2015,2015,Estudios sobre la historia de Al-Ándalus y sus fuentes /,"Bin ?Abb?d, Im?ammad,",X031757751,BOOK,5/2/16,4/25/17,STACKS,1,1,0,1,2
7517219,2,ALDERMAN,STACKS,DP102 .C38 2018,2018,a new history of Islamic Spain / Kingdoms of faith :,"Catlos, Brian A.",X032058240,BOOK,5/3/18,10/1/18,CHECKEDOUT,2,2,1,1,4
7092711,2,ALDERMAN,STACKS,DP102 .C77 2017,2017,"religious, ethnic, and gender identity in Muslim Spain / The most noble of people :","Coope, Jessica A.,",X031805707,BOOK,6/28/17,7/5/17,STACKS,0,0,0,1,0
596326,2,ALDERMAN,STACKS,DP102 .C78 1881 v.1,1881,"With a sketch of the civilization which they achieved, and imparted to Europe. History of the conquest of Spain by the Arab-Moors.","Coppée, Henry,",X000862584,BOOK,6/29/96,3/24/09,STACKS,0,0,0,1,0
596326,2,ALDERMAN,STACKS,DP102 .C78 1881 v.2,1881,"With a sketch of the civilization which they achieved, and imparted to Europe. History of the conquest of Spain by the Arab-Moors.","Coppée, Henry,",X000473148,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,0
225276,2,ALDERMAN,STACKS,DP102 .D63,1894,Études sur le moyen âge espagnol.,"Dollfus, Lucien.",X000162504,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,1
949675,2,ALDERMAN,STACKS,DP102 .D67 1932,1932,Histoire des Musulmans d'Espagne jusqu'à la conquête de l'Andalousie,"Dozy, Reinhart Pieter Anne,",949675-1001,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,0
110108,2,ALDERMAN,STACKS,DP102 .D7 1913,1913,"Spanish Islam, a history of the Moslems in Spain /","Dozy, Reinhart Pieter Anne,",X000537704,BOOK,6/28/96,1/12/09,STACKS,0,0,2,1,3
352480,2,ALDERMAN,STACKS,DP102 .D7 1976,1976,Spanish Islam : a history of the Moslems in Spain /,"Dozy, Reinhart Pieter Anne,",X000033729,BOOK,6/28/96,10/31/17,STACKS,1,0,9,1,21
669515,2,ALDERMAN,STACKS,DP102 .D78 1982 v.1,1982,Historia de los musulmanes de España /,"Dozy, Reinhart Pieter Anne,",X000686855,BOOK,6/29/96,11/30/16,STACKS,1,0,1,1,9
669515,2,ALDERMAN,STACKS,DP102 .D78 1982 v.2,1982,Historia de los musulmanes de España /,"Dozy, Reinhart Pieter Anne,",X000686843,BOOK,6/29/96,9/7/02,STACKS,0,0,2,1,3
669515,2,ALDERMAN,STACKS,DP102 .D78 1982 v.3,1982,Historia de los musulmanes de España /,"Dozy, Reinhart Pieter Anne,",X000686854,BOOK,6/29/96,9/7/02,STACKS,0,0,1,1,3
669515,2,ALDERMAN,STACKS,DP102 .D78 1982 v.4,1982,Historia de los musulmanes de España /,"Dozy, Reinhart Pieter Anne,",X000686842,BOOK,6/29/96,4/9/08,STACKS,0,0,2,1,5
2432106,2,ALDERMAN,STACKS,DP102 .F35 1991,1991,"D. Rushd? Fakk?r, al-mufakkir al-Isl?m? al-??lami, ?u?w al-Majlis al-A?lá lil-Thaq?fah f? Mi?r, f? ?iw?r ?awla al-???ir bi-al-m??? ?abra al-Andalus /","Fakk?r, Rushd?.",X002621944,BOOK,7/1/96,1/1/00,STACKS,0,0,0,1,0
4814884,2,ALDERMAN,STACKS,DP102 .F783 2009,2009,Exotic nation : Maurophilia and the construction of early modern Spain /,"Fuchs, Barbara,",X030469635,BOOK,1/23/09,11/9/13,STACKS,2,0,1,1,10
4814884,2,ALDERMAN,STACKS,DP102 .F783 2009,2009,Exotic nation : Maurophilia and the construction of early modern Spain /,"Fuchs, Barbara,",X031214817,BOOK,9/7/12,4/25/17,STACKS,5,8,0,1,13
28168,2,ALDERMAN,STACKS,DP102 .G396 1976,1976,"Andalucía contra Berbería : reedición de traducciones de Ben Hayy?n, ?aqund? y Ben al-Jat?b /","García Gómez, Emilio,",X000894799,BOOK,6/28/96,1/30/08,STACKS,0,0,1,1,2
