Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Number of Items,Item Legacy Total Charges
121470,2,ALDERMAN,STACKS,DP501 .A16,1977,O 40.o aniversário da Academia Portuguesa da História renascida da Academia Real da História Portuguesa fundada em 1720.,,X000876847,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,0
1794965,2,ALDERMAN,STACKS,DP501 .A32 1988,1987,cinquentenário da restauração da Academia. Anais :,Academia Portuguesa da História.,X001879668,BOOK,6/30/96,4/1/97,STACKS,0,0,1,1,1
1840236,2,ALDERMAN,STACKS,DP501 .A333 A25 1976,1976,"Actividades culturais, 1938-1975.",,X002036358,BOOK,6/30/96,1/1/00,STACKS,0,0,0,1,1
127489,2,ALDERMAN,STACKS,DP501 .A48,1979,da colaboraçao com António José de Almeida à ruptura / Raul Proença e a Alma Nacional :,"Santos, Fernando Piteira.",X000429859,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,0
204089,2,ALDERMAN,STACKS,DP501 .H653 P44,1978,integralistas e seareiros juntos na revista Homens livres / O Pelicano e a Seara :,,X031882528,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,0
82934,2,ALDERMAN,STACKS,DP503 .A34 1980 v.1,1980,a saeculo octavo post Christum usque ad quintumdecimum / Portugaliae monumenta historica.,,X000444477,BOOK,10/12/10,1/1/00,STACKS,0,0,0,1,0
82934,2,ALDERMAN,STACKS,DP503 .A34 1980 v.1,1980,a saeculo octavo post Christum usque ad quintumdecimum / Portugaliae monumenta historica.,,X000968437,BOOK,6/28/96,8/1/15,CHECKEDOUT,1,4,1,1,7
82934,2,ALDERMAN,STACKS,DP503 .A34 1980 v.2 pt.1,1980,a saeculo octavo post Christum usque ad quintumdecimum / Portugaliae monumenta historica.,,X000968388,BOOK,6/28/96,8/1/15,CHECKEDOUT,1,4,0,1,6
229927,2,ALDERMAN,STACKS,DP503 .C63 1976 v.1,1976,"Arquivo de história e bibliografia, 1923-1926 /",Universidade de Coimbra. Imprensa.,X000081251,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,0
229927,2,ALDERMAN,STACKS,DP503 .C63 1976 v.2,1976,"Arquivo de história e bibliografia, 1923-1926 /",Universidade de Coimbra. Imprensa.,X000081252,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,0
2506794,2,ALDERMAN,STACKS,DP504 .A73 1995 v.1,1995,"estudos de homenagem a Joaquim Veríssimo Serrão. Amar, sentir e viver a história :",,X006026700,BOOK,6/17/97,12/10/98,STACKS,0,0,1,1,2
2506794,2,ALDERMAN,STACKS,DP504 .A73 1995 v.2,1995,"estudos de homenagem a Joaquim Veríssimo Serrão. Amar, sentir e viver a história :",,X006057291,BOOK,6/17/97,11/12/07,STACKS,0,0,0,1,3
466783,2,ALDERMAN,STACKS,DP504 .C6 v.11 1956,1956,Excursion à Alcobaça et Batalha.,"Beckford, William,",X000422099,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,0
397232,2,ALDERMAN,STACKS,DP504 .C6 v.6 1945,1945,"Mélanges, d'études luso-marocaines dédiés à la mémoire de David Lopes et Pierre de Cenival.",,X001102697,BOOK,6/28/96,2/24/11,STACKS,0,0,0,1,1
955367,2,ALDERMAN,STACKS,DP504 .C6 v.7 1947,1947,Études historiques sur la Galice et le Portugal du VIe au XIIe siècle.,"David, Pierre.",X031869829,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,0
2456555,2,ALDERMAN,STACKS,DP504 .C6 v.9 1954,1954,Le virelai et le villancico; le problème des origines arabes.,"Le Gentil, Pierre.",X001620586,BOOK,7/1/96,11/6/17,STACKS,0,0,0,1,0
574972,2,ALDERMAN,STACKS,DP504 .L5 1953,1953,"Portugal and Brazil, an introduction. Made by friends of Edgar Prestage and Aubrey Fitz Gerald Bell in piam memoriam.","Livermore, H. V.,",X000790667,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,3
43675,2,ALDERMAN,STACKS,DP505 .A37 1984 v.1,1984,Estudos de cultura portuguesa /,"Albuquerque, Martim de.",X001005762,BOOK,6/28/96,3/10/01,STACKS,0,0,0,1,1
1777876,2,ALDERMAN,STACKS,DP505 .C25 1986,1986,A causa das coisas /,"Cardoso, Miguel Esteves.",X002115026,BOOK,6/30/96,1/1/00,STACKS,0,0,0,1,1
200169,2,ALDERMAN,STACKS,DP505 .H47,1979,antologia / Um homem e uma ideologia na construção de Portugal :,"Herculano, Alexandre,",X031863758,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,0
425844,2,ALDERMAN,STACKS,DP505 .R4625,1975,Études portugaises /,"Révah, I. S.",X000046035,BOOK,6/29/96,1/1/00,STACKS,0,0,1,1,0
137903,2,ALDERMAN,STACKS,DP514 .F7 1981,1981,(continente e ilhas adjacentes) / Novo dicionário corográfico de Portugal :,"Frazão, Antonio Cesar do Amaral,",X000222989,BOOK,6/28/96,2/24/11,STACKS,0,0,0,1,0
