Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Number of Items,Item Legacy Total Charges
2740009,2,ALDERMAN,STACKS,PA v.10,0,Classical pamphlets,,X002313185,BOOK,6/30/96,10/13/09,STACKS,0,0,0,1,2
2740735,2,ALDERMAN,STACKS,PA v.33,0,Classical pamphlets,,X002449528,BOOK,6/30/96,10/13/09,STACKS,0,0,0,1,1
3864715,2,ALDERMAN,STACKS,PA1 .A1 L4 v.17,1999,"Il testo di Eschilo e le sue interpretazioni : atti del Seminario di studi, Cagliari, 21-23 maggio 1998 /",,3864715-1001,BOOK,7/22/02,1/1/00,STACKS,0,0,0,1,0
3735983,2,ALDERMAN,STACKS,PA1 .A48 1999,1999,"Gasparino Barzizza e la rinascita degli studi classici : fra continuità e rinnovamento : atti del Seminario di studi, Napoli, Palazzo Sforza, 11 aprile 1997 /",,X004612797,BOOK,7/20/01,6/5/13,CHECKEDOUT,1,0,1,1,2
3935295,2,ALDERMAN,STACKS,PA1 .A48 2000,2000,"La letteratura pseudepigrafa nella cultura greca e romana : atti di un incontro di studi, Napoli, 15-17 gennaio 1998 /",,X004719101,BOOK,4/16/03,4/30/13,STACKS,1,0,1,1,1
543486,2,ALDERMAN,STACKS,PA1 .C352 v.1,1953,"Preliminary studies for the interpretation of Saint Augustine's concept of Providence,","Götte, Johannes.",X000326980,BOOK,6/29/96,10/13/09,STACKS,0,0,0,1,0
542991,2,ALDERMAN,STACKS,PA1 .C352 v.2,1954,"The Augustinian concept of Authority,","Hohensee, H.",X000326958,BOOK,6/29/96,10/13/09,STACKS,0,0,0,1,2
87895,2,ALDERMAN,STACKS,PA1009 .C64 no.45,1983,The Hagiopolites : a Byzantine treatise on musical theory /,,X000993706,BOOK,6/28/96,1/1/00,STACKS,0,0,1,1,2
779488,2,ALDERMAN,STACKS,PA1009 .C64 no.46,1983,Compendium logicae Porretanum : ex codice Oxoniensi Collegii Corporis Christi 250 = A manual of Porretan doctrine by a pupil of Gilbert's /,,X001278647,BOOK,6/29/96,10/16/09,STACKS,0,0,1,1,2
150779,2,ALDERMAN,STACKS,PA1023 .C6 1948 t.1,1950,"Actes, Paris 27 juillet-2 août 1948.",International Congress of Byzantine Studies,X032025429,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,0
150779,2,ALDERMAN,STACKS,PA1023 .C6 1948 t.2,1950,"Actes, Paris 27 juillet-2 août 1948.",International Congress of Byzantine Studies,X032025425,BOOK,2/5/18,1/1/00,STACKS,0,0,0,1,0
1756089,2,ALDERMAN,STACKS,PA1025 .M47 1980 t. 2,1980,Mesai?nika kai Nea Hell?nika.,,X001971684,BOOK,6/30/96,10/16/09,STACKS,0,0,1,1,0
318184,2,ALDERMAN,STACKS,PA1027 .W4,1977,Medieval and humanist Greek : collected essays /,"Weiss, Roberto.",X000306059,BOOK,6/28/96,5/25/10,STACKS,0,0,1,1,2
1738775,2,ALDERMAN,STACKS,PA1039 .A2 K68 1984,1984,melet? philologik? / To epistolarion Ge?rgiou Lakap?nou-Andronikou Zaridou (1299-1315 ca.) kai ho iatros-aktouarios I?ann?s Zacharias (1275 ca.-1328?) :,"Kourous?s, Stauros I?.",X001864994,BOOK,6/30/96,10/16/09,STACKS,0,0,0,1,0
93415,2,ALDERMAN,STACKS,PA1050 .B35 1982,1982,La sostanziale balcanizzazione del territorio romeico e della lingua neogreca /,"Banfi, Emanuele.",X001019129,BOOK,6/28/96,10/16/09,STACKS,0,0,0,1,1
570515,2,ALDERMAN,STACKS,PA1050 .B5,1972,Kazantzakis and the linguistic revolution in Greek literature.,"Bien, Peter.",X000908248,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,1
993903,2,ALDERMAN,STACKS,PA1050 .B7,1969,Medieval and modern Greek.,"Browning, Robert,",X004203736,BOOK,6/29/96,4/11/17,STACKS,1,9,1,1,14
993904,2,ALDERMAN,STACKS,PA1050 .G3 1870,1970,"The Modern Greek language in its relation to ancient Greek,","Geldart, Edmund Martin,",X001085713,BOOK,6/29/96,5/4/99,STACKS,0,0,0,1,3
1655095,2,ALDERMAN,STACKS,PA1050 .K746 1988 t.A,1988,grammateia kai gl?ssa / Mesai?nika melet?mata :,"Kriaras, Emmanou?l.",X001739993,BOOK,6/30/96,1/1/00,STACKS,0,0,0,1,0
1655095,2,ALDERMAN,STACKS,PA1050 .K746 1988 t.B,1988,grammateia kai gl?ssa / Mesai?nika melet?mata :,"Kriaras, Emmanou?l.",X001740006,BOOK,6/30/96,10/16/09,STACKS,0,0,0,1,0
4895525,2,ALDERMAN,STACKS,PA1050 .M33 2009,2009,"Language and national identity in Greece, 1766-1976 /","Mackridge, Peter.",X030566392,BOOK,7/22/09,10/19/09,STACKS,0,0,0,1,4
2088536,2,ALDERMAN,STACKS,PA1050 .V56 1991,1991,Il greco : preistoria e storia di una lingua indoeuropea /,"Vincenzi, Giuseppe Carlo.",X002214017,BOOK,6/30/96,10/9/06,STACKS,0,0,0,1,2
1600834,2,ALDERMAN,STACKS,PA1051 .P4,1863,Kurze theoretisch praktische grammatik der neugriechischen sprache /,"Pencker, A. Theodor.",X031667735,BOOK,6/30/96,5/11/16,STACKS,0,0,1,1,0
2730847,2,ALDERMAN,STACKS,PA1057 .H63 1997,1997,Greek : a comprehensive grammar of the modern language /,"Holton, David.",X006044813,BOOK,10/31/97,8/24/17,STACKS,4,10,1,1,31
993905,2,ALDERMAN,STACKS,PA1057 .H65,1964,"Reference grammar of literary Dhimotiki,","(Fred Walter), Householder, Fred W.",X032025431,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,0
2376030,2,ALDERMAN,STACKS,PA1057 .I58 1993,1994,"papers from the First International Conference on Greek Linguistics, Reading, September 1993 / Themes in Greek linguistics :",International Conference on Greek Linguistics,X002562457,BOOK,7/1/96,3/15/15,STACKS,1,1,0,1,4
705831,2,ALDERMAN,STACKS,PA1057 .J67 1987,1987,Modern Greek /,"Joseph, Brian D.",X001158982,BOOK,6/29/96,1/28/13,STACKS,1,0,1,1,12
52767,2,ALDERMAN,STACKS,PA1057 .M27 1985,1985,a descriptive analysis of standard modern Greek / The modern Greek language :,"Mackridge, Peter",X000903794,BOOK,6/28/96,4/20/16,STACKS,1,7,4,1,52
432176,2,ALDERMAN,STACKS,PA1058 .A6 1932,1932,Greek self-taught (modern) by the natural method with phonetic pronunciation (Thimm's system) /,"Anastassiou, Nicolaos.",X001054333,BOOK,6/29/96,10/16/09,STACKS,0,0,1,1,6
21909,2,ALDERMAN,STACKS,PA1058 .C43 1907,1907,La question de la langue écrite néogrecque.,"Chatzidakis, Ge?rgios N.",X001150098,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,1
993906,2,ALDERMAN,STACKS,PA1058 .D5 1941,1938,"a simplified method of instruction in modern Greek for school and self study, Greek made easy;","(George Constantopoulos), Divry, George C.",X000530400,BOOK,6/29/96,5/12/18,CHECKEDOUT,1,8,0,1,10
646535,2,ALDERMAN,STACKS,PA1058 .D5 1946,1946,Greek made easy : a simplified method of instruction in modern Greek for schools and self study /,"(George Constantopoulos), Divry, George C.",X000988810,BOOK,6/29/96,4/11/17,STACKS,1,14,1,1,54
993907,2,ALDERMAN,STACKS,PA1058 .F3 1944,1944,"A practical introduction to spoken modern Greek,","Fay, Jay Wharton.",X000530139,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,0
4001285,2,ALDERMAN,STACKS,PA1058 .H54 2004,2004,an essential grammar of the modern language / Greek :,"Holton, David.",X004734931,BOOK,1/21/04,6/18/18,CHECKEDOUT,3,6,1,1,19
6225230,2,ALDERMAN,STACKS,PA1058 .L5 1917,1917,E grammatike tou demotikou scholeiou e grammatikai kai orthographikai askeseis.,"Livadas, Spyridonos Z.",X031633916,BOOK,3/12/14,1/1/00,STACKS,0,0,0,1,0
129302,2,ALDERMAN,STACKS,PA1058 .P372 1921,1921,A handbook of the modern Greek spoken language with exercises /,"Petraris, K. (Karl)",129302-1001,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,0
457934,2,ALDERMAN,STACKS,PA1058 .P7 1950,1950,A grammar of modern Greek on a phonetic basis.,"Pring, J. T. (Julian Talbot)",X000389806,BOOK,6/29/96,4/11/02,STACKS,0,0,1,1,13
635451,2,ALDERMAN,STACKS,PA1058 .R3,1896,"A practical method in the modern Greek language,","Rangabé, Eugene Rizo,",X001053857,BOOK,6/29/96,5/15/14,STACKS,0,4,0,1,12
993910,2,ALDERMAN,STACKS,PA1058 .S7,1896,"a short road to ancient Greek, Modern Greek mastery,","Stedman, Thomas Lathrop,",993910-1001,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,0
