Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Number of Items,Item Legacy Total Charges
183640,2,ALDERMAN,STACKS,Z670 .A2 S3 1981,1981,Das Bibliothekswesen im 18. Jahrhundert /,"(Johann Georg), Schelhorn, J. G.",X000862008,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,1
3887697,2,ALDERMAN,STACKS,Z670 .A3 K67 2002,2002,a practical guide and manual / Korean librarianship outside of Korea :,,X004626044,BOOK,9/30/02,8/5/08,STACKS,0,0,0,1,0
1187989,2,ALDERMAN,STACKS,Z670 .A38,1960,Manual of library organization,"Alam, Shamsul.",X001618172,BOOK,6/29/96,1/1/00,STACKS,0,0,2,1,0
1187993,2 14,ALDERMAN,STACKS,Z670 .B74 1929,1929,"The American public library,","Bostwick, Arthur E. (Arthur Elmore),",X002417643,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,1
229683,2,ALDERMAN,STACKS,Z670 .B958 1978,1978,a manual & textbook / Library practice :,"Burkett, Jack,",X000375617,BOOK,6/28/96,3/15/04,STACKS,0,0,1,1,3
1187997,2,ALDERMAN,STACKS,Z670 .C79 1966,1966,"An introduction to librarianship,","Corbett, Edmund V.",X000594320,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,0
1188005,2,ALDERMAN,STACKS,Z670 .G45 1963,1963,Rahnum??e kit?bd?ri.,G?h?ul?m Ras?l,1188005-1001,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,0
1188007,2,ALDERMAN,STACKS,Z670 .L6 1935 v.2,1935,"The business of bookbinding for librarians, publishers, students, binders, and the general reader,","(Alexander John), Philip, Alexander J.",X030452450,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,0
1188013,2,ALDERMAN,STACKS,Z670 .M3 1924 no. 29,1924,"Library work with children,","Hunt, Clara Whitehill,",X030452451,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,0
1188012,2,ALDERMAN,STACKS,Z670 .M3 1925 no. 18,1925,"Classification,","Bacon, Corinne,",X030452452,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,0
1188009,2,ALDERMAN,STACKS,Z670 .M3 1928 no. 4,1928,"The college and university library,","(James Ingersoll), Wyer, J. I.",X030452454,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,0
1188010,2,ALDERMAN,STACKS,Z670 .M3 1930 no. 10,1930,Elements of the library plan.,"(Herbert Simon), Hirshberg, Herbert S.",X030452455,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,0
1188011,2,ALDERMAN,STACKS,Z670 .M3 1930 no. 16,1930,"Book selection,","Bascom, Elva Lucile,",X030452453,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,0
1231139,2,ALDERMAN,STACKS,Z670 .M64 1952 Index,1952,"Handbuch der Bibliothekswissenschaft,","Milkau, Fritz,",X001566263,BOOK,9/30/08,10/19/17,STACKS,0,0,0,1,0
1231139,2,ALDERMAN,STACKS,Z670 .M64 1952 v.1,1952,"Handbuch der Bibliothekswissenschaft,","Milkau, Fritz,",X001566267,BOOK,9/30/08,10/19/17,STACKS,0,0,0,1,0
1231139,2,ALDERMAN,STACKS,Z670 .M64 1952 v.2,1952,"Handbuch der Bibliothekswissenschaft,","Milkau, Fritz,",X001566265,BOOK,6/30/96,12/7/10,STACKS,0,0,0,1,1
1231139,2,ALDERMAN,STACKS,Z670 .M64 1952 v.3 pt.1,1952,"Handbuch der Bibliothekswissenschaft,","Milkau, Fritz,",X001566266,BOOK,9/30/08,1/1/00,STACKS,0,0,0,1,0
1231139,2,ALDERMAN,STACKS,Z670 .M64 1952 v.3 pt.2,1952,"Handbuch der Bibliothekswissenschaft,","Milkau, Fritz,",X001566264,BOOK,9/30/08,12/9/10,STACKS,0,0,0,1,0
4797998,2,ALDERMAN,STACKS,Z670 .M64 1961 Registerband,1961,Handbuch des Büchereiwesens.,"Langfeldt, Johannes,",X030509204,BOOK,12/1/08,1/1/00,STACKS,0,0,0,1,0
4797217,2,ALDERMAN,STACKS,Z670 .M64 Halbbd.1,1973,Handbuch des Büchereiwesens /,,X030509176,BOOK,11/25/08,6/22/10,STACKS,0,0,0,1,1
4797217,2,ALDERMAN,STACKS,Z670 .M64 Halbbd.2,1973,Handbuch des Büchereiwesens /,,X030509177,BOOK,11/25/08,6/22/10,STACKS,0,0,0,1,1
4474952,2,ALDERMAN,STACKS,Z670 .N29 2007,2007,les lectures d'un libertin érudit / La bibliothèque parisienne de Gabriel Naudé en 1630 :,"Boeuf, Estelle.",X030217478,BOOK,3/20/07,8/5/08,STACKS,0,0,0,1,0
1277045,2,ALDERMAN,STACKS,Z670 .S74,1967,The library; an introduction for library assistants.,San Francisco Bay Region Chapter. Special Libraries Association.,X000423051,BOOK,6/30/96,1/1/00,STACKS,0,0,1,1,1
755799,2 14,ALDERMAN,STACKS,Z670.5 .M6 1968,1968,a systems approach Library effectiveness:,"Morse, Philip M. (Philip McCord),",X030488283,BOOK,10/15/08,1/1/00,STACKS,0,0,0,1,0
