"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",573614,"X000121875","BR600 .M4 1966","ALDERMAN","a history of politicoecclesiastical relations, Church and state in Latin America;","(John Lloyd), Mecham, J. Lloyd",1966,"6/29/96","10/20/09",29,236,0,2,"2 3",FALSE,1,"1",0
"2",634805,"X000170976","BR123 .L484 1960","CLEMONS","a revised and enlarged edition with a new introduction, of the three books, The case for Christianity, Christian behavior, and Beyond personality, Mere Christianity;","Lewis, C. S. (Clive Staples),",1960,"6/29/96","5/21/18",10,160,34,1,"3",FALSE,2,"1",0
"3",544087,"X000202858","BR123 .L484","CLEMONS","Mere Christianity; a revised and enlarged edition, with a new introduction of the three books, The case for christianity, Christian behaviour, and Beyond personality.","Lewis, C. S. (Clive Staples),",1952,"6/29/96","10/8/18",8,156,19,1,"2 3",FALSE,3,"1",0
"4",1169598,"X000315009","BR520 .S88 1947","ALDERMAN","Religion in colonial America,","Sweet, William Warren,",1942,"6/29/96","10/28/18",1,151,120,1,"2",FALSE,4,"1",0
"5",192977,"X000448073","BR115 .E3 W4 1976","CLEMONS","The Protestant ethic and the spirit of capitalism /","Weber, Max,",1976,"6/28/96","2/21/18",4,146,52,2,"3",FALSE,5,"1",0
"6",812558,"X000470699","BR516 .W47 1969","ALDERMAN","What Americans believe and how they worship,","Williams, John Paul,",1969,"6/29/96","10/28/18",0,140,121,1,"2",FALSE,6,"1",0
"7",310861,"X000537833","BR510 .H35 1976","ALDERMAN","A history of the churches in the United States and Canada /","Handy, Robert T.",1976,"6/28/96","10/28/18",3,137,123,1,"2",FALSE,7,"1",0
"8",447625,"X000358226","BR515 .B48","ALDERMAN","Religion in America /","Bedell, George C.",1975,"6/29/96","10/28/18",0,134,121,1,"2",FALSE,8,"1",0
"9",816863,"X006094843","BR1720 .A9 M2 1903","ALDERMAN","St. Augustine and his age,","McCabe, Joseph,",1903,"6/29/96","8/31/14",1,160,53,1,"2",FALSE,9,"1",0
"10",2080620,"X002159040","BR742 .D84 1992","ALDERMAN","traditional religion in England, 1400-1580 / The stripping of the altars :","Duffy, Eamon.",1992,"6/30/96","4/10/18",23,164,23,2,"2",FALSE,10,"1",0
"11",1827615,"X001936673","BR307 .C78 1991","ALDERMAN","Confessions and catechisms of the Reformation /","",1991,"6/30/96","2/7/14",3,136,28,1,"2",FALSE,11,"1",0
"12",669201,"X000827449","BR515 .E24 1983","ALDERMAN","Early American Christianity /","",1983,"6/29/96","10/28/18",0,123,121,1,"2",FALSE,12,"1",0
"13",127781,"X000602042","BR100 .K52 1983","ALDERMAN","Fear and trembling ; Repetition /","Kierkegaard, Søren,",1983,"6/28/96","10/9/18",8,123,42,1,"2",FALSE,13,"1",0
"14",591977,"X000144116","BR115 .E3 W4 1958","ALDERMAN","The Protestant ethic and the spirit of capitalism.","Weber, Max,",1958,"6/29/96","1/18/18",21,232,7,2,"2",FALSE,14,"1",0
"15",529946,"X006095480","BR65 .A9 M33 1970","ALDERMAN","Saeculum: history and society in the theology of St. Augustine","Markus, R. A. (Robert Austin),",1970,"6/29/96","5/13/17",32,147,21,2,"2 3",FALSE,15,"1",0
"16",1332430,"X000175860","BR110 .J3 1961","CLEMONS","The varieties of religious experience; a study in human nature.","James, William,",1961,"6/30/96","7/19/18",4,120,11,1,"3",FALSE,16,"1",0
"17",2055542,"X002189379","BR252 .L96 1992","ALDERMAN","The medieval church : a brief history /","Lynch, Joseph H.,",1992,"6/30/96","4/23/16",7,113,40,1,"2",FALSE,17,"1",0
"18",168464,"X006136352","BR307 .S464","ALDERMAN","For the sake of simple folk : popular propaganda for the German Reformation /","Scribner, Robert W.",1981,"6/28/96","5/12/18",15,111,9,1,"2",FALSE,18,"1",0
"19",436259,"X000314890","BR520 .H34","ALDERMAN","The sacred cause of liberty : republican thought and the millennium in Revolutionary New England /","Hatch, Nathan O.",1977,"6/29/96","10/23/18",3,109,0,1,"2",FALSE,19,"1",0
"20",1284486,"X001462986","BR115 .L25 T36 1988","ALDERMAN","God and creation in Christian theology : tyranny or empowerment ? /","Tanner, Kathryn,",1988,"6/30/96","9/7/18",7,102,24,1,"2",TRUE,20,"1",0
"21",682101,"X001208796","BR253 .B96 1987","ALDERMAN","Holy feast and holy fast : the religious significance of food to medieval women /","Bynum, Caroline Walker.",1987,"6/29/96","5/26/18",27,247,18,3,"2 3",FALSE,21,"1",0
"22",2512343,"X002742070","BR515 .M35 1995","ALDERMAN","religion and popular culture in America / Material Christianity :","McDannell, Colleen.",1995,"7/1/96","5/14/18",13,100,7,1,"2 4",FALSE,22,"1",0
"23",2711807,"X004126837","BR115 .C8 T36 1997","ALDERMAN","a new agenda for theology / Theories of culture :","Tanner, Kathryn,",1997,"8/20/97","10/12/17",0,97,5,1,"2",TRUE,24,"1",0
"24",356178,"X000062459","BR563 .N4 R25","ALDERMAN","the ""invisible institution"" in the Antebellum South / Slave religion :","Raboteau, Albert J.",1978,"6/28/96","9/13/18",25,262,27,3,"2 3",TRUE,25,"1",0
