"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",1971573,"X002122551","DP269.9 .O7 1980","ALDERMAN","Homage to Catalonia /","Orwell, George,",1980,"6/30/96","4/25/18",9,165,28,2,"2",FALSE,1,"0",0
"2",554645,"X000109461","DP171 .E4 1964","ALDERMAN","Imperial Spain, 1469-1716.","(John Huxtable) Elliott, J. H.",1964,"6/29/96","5/14/18",11,164,9,2,"2 3 14",FALSE,2,"0",0
"3",1965694,"X002119129","DP182 .L96 1992","ALDERMAN","The Hispanic world in crisis and change, 1598-1700 /","Lynch, John,",1992,"6/30/96","6/18/17",3,104,9,1,"2",FALSE,3,"0",0
"4",2687120,"X004103796","DP52 .D68 1997","ALDERMAN","Bulls, bullfighting, and Spanish identities /","Douglass, Carrie B.,",1997,"5/7/97","4/18/18",6,172,4,2,"2 3",FALSE,4,"0",0
"5",228896,"X000141325","DP270 .C258","ALDERMAN","Spain, dictatorship to democracy /","Carr, Raymond.",1979,"6/28/96","5/8/13",7,149,2,2,"2 3",FALSE,5,"0",0
"6",336743,"X006143202","DP99 .M23","ALDERMAN","from frontier to empire, 1000-1500 / Spain in the Middle Ages :","MacKay, Angus,",1977,"6/28/96","10/6/17",14,135,16,2,"2 3",FALSE,6,"0",0
"7",794131,"X000491369","DP203 .C3 1982","ALDERMAN","Spain, 1808-1975 /","Carr, Raymond.",1982,"6/29/96","12/15/16",7,130,11,2,"2 3",FALSE,7,"0",0
"8",2057696,"X002194943","DP103 .L38 1992","ALDERMAN","The legacy of Muslim Spain /","",1992,"6/30/96","10/12/18",18,78,9,1,"2",FALSE,9,"0",0
"9",1819501,"X001924974","DP75 .P34 1990","ALDERMAN","Spanish imperialism and the political imagination : studies in European and Spanish-American social and political theory, 1513-1830 /","Pagden, Anthony.",1990,"6/30/96","4/17/16",9,80,0,1,"2",FALSE,10,"0",0
"10",208126,"X000324337","DP233 .C37","ALDERMAN","Modern Spain, 1875-1980 /","Carr, Raymond.",1980,"6/28/96","1/26/18",4,80,16,1,"2",FALSE,11,"0",0
"11",1329048,"X002187358","DP171 .E42 1989","ALDERMAN","Spain and its world, 1500-1700 : selected essays /","Elliott, J. H. (John Huxtable)",1989,"6/30/96","5/7/18",14,183,18,3,"2 3",FALSE,12,"0",0
"12",1605694,"X002626700","DP192 .L96 1989","ALDERMAN","Bourbon Spain, 1700-1808 /","Lynch, John,",1989,"6/30/96","4/12/18",2,144,5,2,"2 3",FALSE,13,"0",0
"13",2506248,"X002685423","DP233.5 .S7 1995","ALDERMAN","an introduction : the struggle for modernity / Spanish cultural studies :","",1995,"7/1/96","10/17/17",11,119,21,2,"2 3",FALSE,14,"0",0
"14",1759908,"X001831338","DP302 .B53 C56 1990","ALDERMAN","Negotiating with ETA : obstacles to peace in the Basque country, 1975-1988 /","Clark, Robert P.",1990,"6/30/96","7/13/18",3,72,0,1,"2",TRUE,15,"0",0
"15",782830,"X001285056","DP272 .S635 1987","ALDERMAN","Spain in the 1980s : the democratic transition and a new international role /","",1987,"6/29/96","1/25/18",5,73,0,1,"2",FALSE,16,"0",0
"16",1954754,"X002106908","DP96 .F84 1992","ALDERMAN","The buried mirror : reflections on Spain and the New World /","Fuentes, Carlos.",1992,"6/30/96","10/28/18",3,70,3,1,"2 3",FALSE,17,"0",0
"17",472548,"X000085209","DP103 .C46","ALDERMAN","Muslim Spain, its history and culture","Chejne, Anwar G.",1974,"6/29/96","10/1/18",9,100,6,2,"2 3",FALSE,18,"0",0
"18",2042138,"X002190510","DP99 .F56 1992","CLEMONS","Moorish Spain /","(Richard A.) Fletcher, R. A.",1992,"6/30/96","12/4/16",5,69,4,1,"3",FALSE,19,"0",0
"19",2893715,"X004276516","DP48 .C233 1999","CLEMONS","The Cambridge companion to modern Spanish culture /","",1999,"3/22/99","10/17/18",7,90,9,2,"2 3",FALSE,21,"0",0
"20",4676265,"X030338449","DP48 .O53 2008","ALDERMAN","historia, sociedad y cultura / España y los españoles de hoy :","Operé, Fernando,",2008,"1/2/08","5/8/18",2,44,6,1,"2",FALSE,22,"0",0
"21",330966,"X031863508","DP269.15 .P3","ALDERMAN","posters of the Spanish Civil War / The Palette and the flame :","",1979,"6/28/96","12/14/07",1,74,0,1,"2",FALSE,23,"0",0
"22",419330,"X000212967","DP269 .T5 1977","ALDERMAN","The Spanish Civil War /","Thomas, Hugh,",1977,"6/29/96","10/1/18",4,60,26,1,"2",FALSE,25,"0",0
"23",1778580,"X001845257","DP52 .P37 1989 v.2","ALDERMAN","El Pensamiento español contemporáneo y la idea de América /","",1989,"6/30/96","1/23/07",1,124,0,2,"2",TRUE,26,"0",0
"24",95743,"X001109335","DP128 .B57 1986","ALDERMAN","Medieval crown of Aragon : a short history /","Bisson, Thomas N.",1986,"6/28/96","12/12/17",2,57,0,1,"2",FALSE,27,"0",0
"25",3775874,"X004561233","DP48 .C594 2000","ALDERMAN","Contemporary Spanish cultural studies /","",2000,"9/13/01","5/13/18",13,45,15,1,"2",FALSE,28,"0",0
"26",1257969,"X001355457","DP302 .B53 S85 1988","ALDERMAN","the flight from Euskadi / ETA and Basque nationalism :","Sullivan, John, (John L.),",1988,"6/30/96","11/19/15",3,57,5,1,"2",FALSE,29,"0",0
"27",111222,"X000402400","DP272 .M36 1982","ALDERMAN","Transition to democracy in Spain /","Maravall, José María.",1982,"6/28/96","12/13/11",1,63,0,1,"2",FALSE,30,"0",0
"28",1792879,"X001856064","DP102 .H34 1990","ALDERMAN","Islamic Spain, 1250 to 1500 /","Harvey, L. P. (Leonard Patrick)",1990,"6/30/96","4/25/17",5,76,13,2,"2 3",FALSE,31,"0",0
"29",1920044,"X002051134","DP402 .B265 H85 1992","ALDERMAN","Barcelona /","Hughes, Robert,",1992,"6/30/96","3/23/18",5,68,8,2,"2 3 4",FALSE,33,"0",0
"30",3579493,"X004420149","DP66 .S63 2000","CLEMONS","Spain : a history /","",2000,"11/7/00","3/13/18",0,40,0,1,"3",FALSE,34,"0",0
"31",2458712,"X002644704","DP302 .B53 D54 1995","ALDERMAN","Divided nations : class, politics, and nationalism in the Basque Country and Catalonia /","Díez Medrano, Juan.",1995,"7/1/96","11/1/16",6,48,7,1,"2",TRUE,35,"0",0
"32",450829,"X000330043","DP192 .B47 1974","ALDERMAN","The Spanish Bourbons : the history of a tenacious dynasty /","Bergamini, John D.",1974,"6/29/96","6/4/17",3,52,1,1,"2",FALSE,37,"0",0
