"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",2922217,"X030237080","DS904 .S69 1997 v.2","CLEMONS","Sources of Korean tradition /","",1997,"5/18/07","11/10/16",5,405,25,4,"2 3 14",TRUE,1,"1",0
"2",554001,"X000194727","DS703 .D4","ALDERMAN","Sources of Chinese tradition,","De Bary, Wm. Theodore,",1960,"6/29/96","9/16/14",50,358,7,3,"2 3",FALSE,2,"1",0
"3",2459576,"X002673805","DS778 .M3 T45 1995","ALDERMAN","Mao : a biography /","Terrill, Ross.",1995,"7/1/96","5/8/13",0,184,5,1,"2",TRUE,3,"1",0
"4",1955072,"X002113678","DS793 .Y45 S813 1991","ALDERMAN","Deathsong of the river : a reader's guide to the Chinese TV series Heshang = [He shang] /","Su, Xiaokang,",1991,"6/30/96","9/29/18",14,182,77,2,"2 3",FALSE,4,"1",0
"5",2100231,"X002213071","DS904 .S68 1993 v.1","ALDERMAN","Sourcebook of Korean civilization /","",1993,"6/30/96","4/18/13",8,281,14,5,"2 3",TRUE,5,"1",0
"6",558662,"X000118592","DS777.55 .C44567","CLEMONS","A chronology of the People's Republic of China from October 1, 1949.","Cheng, Peter,",1972,"6/29/96","10/19/18",0,160,90,3,"2 3",FALSE,6,"1",0
"7",973213,"X000241879","DS821 .C44 1902","ALDERMAN","Things Japanese; being notes on various subjects connected with Japan for the use of travellers and others,","Chamberlain, Basil Hall,",1902,"6/29/96","10/9/12",0,176,0,1,"2",FALSE,7,"1",0
"8",2105116,"X002314051","DS721 .C517 1993","ALDERMAN","Chinese civilization : a sourcebook /","",1993,"6/30/96","10/31/18",4,175,37,2,"2",FALSE,8,"1",0
"9",4367075,"X004899094","DS917.27 .S47 2006","ALDERMAN","genealogy, politics, and legacy / Ethnic nationalism in Korea :","Shin, Gi-Wook.",2006,"5/12/06","10/30/17",1,129,8,1,"2",FALSE,10,"1",0
"10",623449,"X000282303","DS778 .M3 A2513 1975","ALDERMAN","talks and letters: 1956-1971. Chairman Mao talks to the people;","Mao, Zedong,",1975,"6/29/96","11/26/13",20,149,2,1,"2",FALSE,11,"1",0
"11",678996,"X001108044","DS777.55 .C445669 1986","ALDERMAN","Chronology of the People's Republic of China, 1970-1979 /","Cheng, Peter,",1986,"6/29/96","10/19/18",1,139,88,1,"2",FALSE,12,"1",0
"12",31549,"X000823085","DS779.27 .C5 1984","ALDERMAN","China's foreign relations in the 1980s /","",1984,"6/28/96","4/10/18",11,139,7,1,"2",FALSE,13,"1",0
"13",1913111,"X002079562","DS779.32 .P67 1992","ALDERMAN","Popular protest and political culture in modern China : learning from 1989 /","",1992,"6/30/96","3/24/18",17,184,2,2,"2 3",FALSE,14,"1",0
"14",969591,"X006106896","DS735 .C5115 v.4","ALDERMAN","The China reader /","",1967,"6/29/96","4/11/05",18,166,0,5,"2",TRUE,15,"1",0
"15",79984,"X000971165","DS778.7 .T76 1986","ALDERMAN","The Cultural Revolution and post-Mao reforms : a historical perspective /","Tsou, Tang,",1986,"6/28/96","10/30/18",15,129,3,1,"2",FALSE,16,"1",0
"16",2261692,"X002737104","DS759 .W455 1994","ALDERMAN","Resistance, chaos, and control in China : Taiping rebels, Taiwanese ghosts, and Tiananmen /","(Robert Paul), Weller, Robert P.",1994,"7/1/96","9/29/18",5,171,79,2,"2",FALSE,17,"1",0
"17",1896882,"X002048057","DS777.75 .C66 1991","ALDERMAN","Contemporary Chinese politics in historical perspective /","",1991,"6/30/96","12/4/15",11,166,5,2,"2 3",FALSE,18,"1",0
"18",145714,"X000538410","DS779.26 .W54 1982","ALDERMAN","Wild lilies : poisonous weeds : dissident voices from People's China /","",1982,"6/28/96","10/16/01",7,145,0,1,"2",FALSE,19,"1",0
"19",406108,"X000198991","DS777.55 .D53","ALDERMAN","Dimensions of China's foreign relations /","",1977,"6/28/96","10/19/18",0,120,88,2,"2 3",FALSE,20,"1",0
"20",2796414,"X004183565","DS735 .W79 1997","ALDERMAN","historical change and the limits of European experience / China transformed :","Wong, Roy Bin.",1997,"5/20/98","6/7/18",2,125,22,2,"2 3",FALSE,21,"1",0
"21",577730,"X000122548","DS740.4 .C35455 1968","ALDERMAN","traditional China's foreign relations. The Chinese world order;","",1968,"6/29/96","4/27/18",18,222,4,3,"2 3",FALSE,22,"1",0
"22",1852010,"X004905660","DS907.18 .K675 1990","ALDERMAN","Korea, old and new : a history /","",1990,"9/20/05","5/16/16",5,229,44,3,"2",FALSE,23,"1",0
"23",2434660,"X002663727","DS778 .M3 M345 1986","ALDERMAN","Mao Zedong : biography, assessment, reminiscences /","",1986,"7/1/96","4/11/17",0,114,4,1,"2",FALSE,24,"1",0
"24",4216028,"X004826678","DS907.18 .K68 2004","ALDERMAN","discovery of its characteristics and developments / Korean history :","",2004,"12/14/04","9/26/17",2,94,3,1,"2",FALSE,25,"1",0
"25",2534976,"X002759686","DS774.5 .J47 1996","ALDERMAN","American images of China, 1931-1949 /","Jespersen, T. Christopher,",1996,"7/1/96","9/29/18",0,117,80,2,"2 3",FALSE,26,"1",0
"26",1825334,"X001925762","DS779.32 .C5 1990","ALDERMAN","perspectives on spring 1989 / The Chinese people's movement :","",1990,"6/30/96","2/2/18",8,99,0,1,"2",FALSE,27,"1",0
"27",221857,"X006172525","DS917.55 .C85 v.2","ALDERMAN","The origins of the Korean War  /","Cumings, Bruce,",1981,"6/28/96","11/25/14",37,229,5,3,"2 3",TRUE,28,"1",0
"28",3800023,"X004414884","DS740.5 .J3 C3995 2002","ALDERMAN","complementarity and conflict / Chinese-Japanese relations in the twenty-first century :","",2002,"12/18/01","10/19/18",1,88,88,1,"2",TRUE,29,"1",0
"29",3825405,"X004628374","DS778 .C5374 S55 1998 v.2","ALDERMAN","Tie chuang yu sheng lu : Jiang Qing bei bu zhi hou mi wen /","Shi, Dongbing,",1997,"8/12/02","10/2/18",0,176,132,2,"2",TRUE,30,"1",0
"30",250230,"X000071961","DS740.2 .T4 1979","CLEMONS","a documentary survey, 1839-1923 / China's response to the West :","Teng, Ssu-yü,",1979,"6/28/96","4/30/18",16,98,10,1,"3",FALSE,32,"1",0
"31",17334,"X000969910","DS754.14 .P66 1985","ALDERMAN","Popular culture in late imperial China /","",1985,"6/28/96","5/19/17",9,98,0,1,"2",FALSE,33,"1",0
"32",1789660,"X001857468","DS779.32 .S47 1990","ALDERMAN","Almost a revolution /","Shen, Tong,",1990,"6/30/96","4/21/15",0,97,0,1,"2",FALSE,34,"1",0
"33",90497,"X000903999","DS778 .M3 H63 1985","ALDERMAN","Mao and the men against him /","Hollingworth, Clare.",1985,"6/28/96","10/19/18",4,92,88,2,"2 3",FALSE,35,"1",0
"34",4242985,"X004875676","DS779.26 .W366 1997","ALDERMAN","Hu Yaobang xia tai di bei jing /","Wang, Ruoshui.",1997,"4/28/05","10/2/18",0,78,66,1,"2",FALSE,36,"1",0
"35",3935377,"X004789797","DS779.28 .G35 2003 v.1","ALDERMAN","Zhong gong shi liu jie zheng zhi ju chang wei / Ling dao Zhongguo de xin ren wu :","Gao, Xin,",2003,"4/16/03","10/12/17",1,91,58,2,"2",TRUE,37,"1",0
"36",2634676,"X004063366","DS715 .M97 1996","ALDERMAN","new discoveries from the early dynasties / Mysteries of ancient China :","",1996,"12/6/96","11/16/16",12,91,0,1,"2",FALSE,38,"1",0
"37",1968313,"X002107942","DS735 .F27 1992","CLEMONS","a new history / China :","Fairbank, John King,",1992,"6/30/96","5/14/16",18,181,16,2,"2 3",FALSE,39,"1",0
"38",1680574,"X001784631","DS721 .H45 1990","ALDERMAN","contemporary perspectives on Chinese civilization / Heritage of China :","",1990,"6/30/96","10/5/16",10,92,6,1,"2",FALSE,40,"1",0
"39",2950650,"X004325602","DS916 .H62 1999","ALDERMAN","an encyclopedia / Conflict in Korea :","Hoare, James.",1999,"10/18/99","4/2/17",9,82,0,1,"2",FALSE,42,"1",0
"40",4038227,"X004793209","DS735 .A2 E6 2004 v.1 pt.1","ALDERMAN","Shi ji /","Sima, Qian,",2004,"6/15/04","10/2/18",0,139,132,2,"2",TRUE,44,"1",0
"41",3731632,"X004541710","DS777.8 .C4314 2001","CLEMONS","Mao's China and the cold war /","Chen, Jian,",2001,"8/23/01","12/5/17",8,75,9,1,"2 3",FALSE,46,"1",0
"42",970293,"X000213106","DS749.3 .P46","ALDERMAN","Perspectives on the T?ang.","",1973,"6/29/96","5/13/13",11,93,0,1,"2",FALSE,47,"1",0
"43",4344674,"X004898361","DS827 .S3 D4 2004","ALDERMAN","classic strategies for success / The Japanese samurai code :","De Mente, Boye.",2004,"2/3/06","3/2/12",1,75,0,1,"2",TRUE,49,"1",0
"44",2909001,"X004302699","DS732 .O54 1999","ALDERMAN","Flexible citizenship : the cultural logics of transnationality /","Ong, Aihwa.",1999,"5/3/99","5/21/18",10,75,2,1,"2",FALSE,50,"1",0
"45",303039,"X006083076","DS778 .M3 W53","ALDERMAN","Mao, the people's emperor /","Wilson, Dick,",1979,"6/28/96","5/7/08",2,97,0,1,"2",FALSE,51,"1",0
"46",161717,"X000507672","DS741.65 .O74 1983","ALDERMAN","The Origins of Chinese civilization /","",1983,"6/28/96","8/4/16",13,110,0,2,"2 3",FALSE,52,"1",0
"47",2745457,"X004140332","DS786 .T499 1998","ALDERMAN","essays on self-determinaton / Tibet through dissident Chinese eyes :","",1998,"12/16/97","1/25/18",3,77,0,1,"2",FALSE,53,"1",0
"48",1675692,"X001639684","DS779.23 .L776 1989","ALDERMAN","""he shang"", zheng ming yu hui ying / Long nian de bei chuang :","",1989,"6/30/96","5/14/18",0,79,8,1,"2",FALSE,54,"1",0
"49",2101763,"X002215331","DS777.54 .W46 1993","ALDERMAN","Soviet-American rivalry and the       origins of the Chinese Civil War, 1944-1946 / Cold war and revolution :","Westad, Odd Arne.",1993,"6/30/96","11/9/16",3,79,2,1,"2",FALSE,55,"1",0
"50",2824621,"X004190598","DS735 .F27 1998","ALDERMAN","a new history / China :","Fairbank, John King,",1998,"8/27/98","4/25/16",14,135,8,2,"2",FALSE,56,"1",0
"51",609812,"X004053612","DS777.55 .M2224 v.3","ALDERMAN","The origins of the cultural revolution.","MacFarquhar, Roderick.",1974,"12/12/97","10/24/17",5,146,79,3,"2 14",TRUE,57,"1",0
"52",2318114,"X004039145","DS785 .A1 I56 1992 v.1 & appendix","ALDERMAN","proceedings of the 6th Seminar of the International Association for Tibetan Studies, Fagernes, 1992 / Tibetan studies :","International Association for Tibetan Studies. Seminar",1994,"7/1/96","4/30/17",51,142,4,2,"2",TRUE,58,"1",0
"53",2360620,"X002512675","DS785 .B794 1994","ALDERMAN","The mirror illuminating the royal genealogies : Tibetan Buddhist historiography : an annotated translation of the XIVth century Tibetan chronicle : rGyal-rabs gsal- ba?i me-long /","Bsod-nams-rgyal-mtshan,",1994,"7/1/96","6/6/18",3,76,3,1,"2",FALSE,59,"1",0
"54",2736806,"X004115692","DS786 .G636 1997","ALDERMAN","China, Tibet, and the Dalai Lama / The snow lion and the dragon :","Goldstein, Melvyn C.",1997,"11/19/97","4/6/18",10,125,47,2,"2 3",FALSE,60,"1",0
"55",2886212,"X004266693","DS889 .D69 1999","ALDERMAN","Embracing defeat : Japan in the wake of World War II /","Dower, John W.",1999,"3/1/99","5/1/18",11,107,5,2,"2 3 21",FALSE,61,"1",0
"56",1270571,"X000690407","DS735 .C3145 v.12","ALDERMAN","The Cambridge history of China /","",1978,"6/30/96","5/14/16",79,505,54,18,"2 3 4 14",TRUE,62,"1",0
"57",1371146,"X001610187","DS849 .C6 J33 1989","ALDERMAN","The Japanese informal empire in China, 1895-1937 /","",1989,"6/30/96","11/9/10",1,86,0,1,"2",FALSE,63,"1",0
"58",2306275,"X004147021","DS788 .K45 1973 v.1","ALDERMAN","Biographical dictionary of Tibet and Tibetan Buddhism /","Khetsun Sangpo,",1973,"6/17/97","3/11/15",2,94,4,21,"2",TRUE,64,"1",0
"59",2891263,"X004501187","DS786 .W337 1998","ALDERMAN","Xizang de ming yun / Tian zang :","Wang, Lixiong,",1998,"3/16/99","3/31/17",2,71,1,1,"2",FALSE,65,"1",0
"60",2533429,"X004017480","DS778 .L4725 T38 1996","ALDERMAN","riding the tiger during the Cultural Revolution, 1966-1971 / The tragedy of Lin Biao :","Teiwes, Frederick C.",1996,"7/1/96","11/25/17",2,74,4,1,"2",TRUE,66,"1",0
"61",2632275,"X004062733","DS786 .S48 1984","ALDERMAN","a political history / Tibet,","(Wangchuk Deden), Shakabpa, W. D.",1984,"11/25/96","10/2/18",2,74,66,1,"2",FALSE,67,"1",0
"62",970952,"X000490368","DS786 .S48 1967","ALDERMAN","Tibet, a political history,","(Wangchuk Deden), Shakabpa, W. D.",1967,"6/29/96","5/7/18",14,93,36,2,"2",FALSE,68,"1",0
"63",4323442,"X004907567","DS822.5 .C656 2005","ALDERMAN","Contemporary Japanese thought /","",2005,"10/25/05","10/14/18",0,58,98,1,"2",FALSE,69,"1",0
"64",4354178,"X030033248","DS735 .Z56 2005 v.1","ALDERMAN","Zhongguo li shi jiang tang /","",2005,"3/13/06","10/2/18",2,57,66,6,"2",TRUE,70,"1",0
"65",687279,"X001220492","DS771 .E73 1987","ALDERMAN","The origins of the Boxer Uprising /","Esherick, Joseph.",1987,"6/29/96","7/18/17",13,75,9,1,"2",FALSE,71,"1",0
"66",634960,"X000093318","DS821 .T76","ALDERMAN","Sources of Japanese tradition,","Tsunoda, Ry?saku,",1958,"6/29/96","3/18/18",12,129,3,6,"2 3",FALSE,72,"1",0
"67",143722,"X006132177","DS778 .L4534 A37 1983","ALDERMAN","Son of the Revolution /","Liang, Heng,",1983,"6/28/96","2/4/09",2,88,0,1,"2 14",FALSE,73,"1",0
