8,1778403,X001859236,HQ1784 .O64 1990,ALDERMAN,Opening the gates : a century of Arab feminist writing /,,1990,6/30/96,10/5/17,23,193,4,1,2,FALSE,8,1,0
16,1643881,X001729279,HQ1154 .B88 1990,ALDERMAN,Gender trouble : feminism and the subversion of identity /,"Butler, Judith,",1990,6/30/96,7/17/18,53,682,80,6,2 3 14 17,FALSE,17,1,0
37,1751066,X001824500,HQ1742 .B86 1990,ALDERMAN,a journey among the women of India / May you be the mother of a hundred sons :,"Bumiller, Elizabeth.",1990,6/30/96,5/5/15,16,276,42,3,2 3,FALSE,42,1,0
42,1743914,X001826456,HQ734 .T24 1990,ALDERMAN,women and men in conversation / You just don't understand :,"Tannen, Deborah.",1990,6/30/96,9/29/18,15,160,7,2,2 3,FALSE,50,1,0
53,1759890,X001858028,HQ1075 .L37 1990,CLEMONS,body and gender from the Greeks to Freud / Making sex :,"Laqueur, Thomas Walter.",1990,6/30/96,9/23/18,29,251,59,3,2 3,FALSE,63,1,0
120,1754713,X001825250,HQ751 .W46 1990,ALDERMAN,"The Wellborn science : eugenics in Germany, France, Brazil, and Russia /",,1990,6/30/96,11/11/13,0,102,0,1,2 5,FALSE,144,1,0
172,1743243,X001856134,HQ1418 .G56 1990,ALDERMAN,"Women and the work of benevolence : morality, politics, and class in the nineteenth-century United States /","Ginzberg, Lori D.",1990,6/30/96,8/29/17,14,136,1,2,2,FALSE,204,1,0
180,2411227,X006082837,HQ536 .H63 1990,CLEMONS,The second shift : working parents and the revolution /,"Hochschild, Arlie Russell,",1990,7/1/96,10/20/14,7,90,2,1,3,FALSE,214,1,0
210,1626472,X001688620,HQ1206 .F453 1990,ALDERMAN,Feminism/postmodernism /,,1990,6/30/96,4/20/17,25,122,0,2,2,FALSE,247,1,0
246,1682195,X001784555,HQ1391 .U5 R9 1990,ALDERMAN,"Women in public : between banners and ballots, 1825-1880 /","Ryan, Mary P.",1990,6/30/96,4/13/15,13,88,18,2,2 3,TRUE,288,1,0
302,1743227,X001825418,HQ1206 .C53 1990,ALDERMAN,Circles of care : work and identity in women's lives /,,1990,6/30/96,6/17/08,18,103,0,1,2,FALSE,349,1,0
306,1779305,X001859537,HQ1090.3 .M43 1990,ALDERMAN,Meanings for manhood : constructions of masculinity in Victorian America /,,1990,6/30/96,11/16/17,12,133,55,2,2,FALSE,353,1,0
408,1769038,X001845788,HQ1236.5 .U6 M38 1990,CLEMONS,"Sex, gender, and the politics of ERA : a state and the nation /","Mathews, Donald G.",1990,6/30/96,5/14/17,9,70,13,1,3,FALSE,448,1,0
514,1736479,X001811647,HQ1410 .U54 1990,ALDERMAN,a multicultural reader in U.S. women's history / Unequal sisters :,,1990,6/30/96,3/24/11,9,90,0,1,2,FALSE,551,1,0
593,1785344,X001855703,HQ260.5 .N35 W45 1990,ALDERMAN,The comforts of home : prostitution in Colonial Nairobi /,"White, Luise.",1990,6/30/96,9/26/16,8,70,13,1,2,FALSE,626,1,0
673,1670541,X001783464,HQ13 .B44 1990,ALDERMAN,Before sexuality : the construction of erotic experience in the ancient Greek world /,,1990,6/30/96,10/18/18,12,93,4,2,2 3,FALSE,704,1,0
